dates,satname,nzd0070-0000,nzd0070-0001,nzd0070-0002,nzd0070-0003,nzd0070-0010,nzd0070-0011,nzd0070-0012,nzd0070-0013,nzd0070-0014,nzd0070-0028,nzd0070-0029,nzd0070-0030,nzd0070-0032,nzd0070-0033,nzd0070-0034,nzd0070-0035,nzd0070-0036,nzd0070-0004,nzd0070-0005,nzd0070-0006,nzd0070-0007,nzd0070-0008,nzd0070-0009,nzd0070-0015,nzd0070-0016,nzd0070-0017,nzd0070-0018,nzd0070-0025,nzd0070-0026,nzd0070-0027,nzd0070-0031,nzd0070-0022,nzd0070-0023,nzd0070-0024,nzd0070-0019,nzd0070-0020,nzd0070-0021
1999-12-07 22:10:53.996000,L7,,,,,252.20,307.31,315.01,,,,,,352.39,379.01,,,,,,,,,,,,,,,,,261.53,308.82,291.25,305.66,,,
2000-03-28 22:10:07.233000,L7,377.59,347.75,406.85,378.84,252.67,322.00,276.86,349.69,379.68,343.10,263.01,326.05,305.24,321.70,281.09,302.17,312.27,,,,,,,,,,,,,,,,,,,,
2001-11-26 22:06:09.518000,L7,,,,,,,,,,,,282.17,300.69,302.17,275.98,284.15,302.72,,,,,,,,,,,,,,271.51,,,,,,
2001-12-05 22:00:18.987000,L7,429.86,414.90,329.47,335.44,328.13,340.90,350.14,347.04,356.21,356.43,237.19,250.84,260.52,,,,,337.60,359.48,366.74,337.62,341.01,310.07,365.38,363.22,297.29,309.71,298.64,308.94,318.49,299.29,,,,,,
2001-12-12 22:06:38.912000,L7,,,327.13,356.76,263.33,312.33,264.75,298.44,307.90,,,236.63,,,,,,344.91,368.38,347.53,,,244.99,310.75,296.05,240.82,278.82,273.42,284.52,294.62,312.81,254.30,336.80,292.74,,,
2002-01-29 22:06:21.478000,L7,,,,,327.40,319.86,,,,,,,,,,,,,364.89,306.13,,,,,,,,,,,,,,,,,
2002-02-14 22:06:53.474000,L7,379.66,380.30,452.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-23 22:00:43.620000,L7,,,,,,,,,,357.93,334.19,,,,,,,,,,,,,,,,,332.86,338.60,347.64,,323.64,322.84,360.18,,,
2002-04-12 22:00:37.812000,L7,,,,,,,315.03,312.42,281.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-11-13 22:05:54.371000,L7,,,,,,,380.91,407.12,285.61,,,,,,,,,,,,352.62,360.03,,290.72,301.63,291.43,282.22,,,,,,,,,,
2003-01-16 22:06:02.914000,L7,,,,,339.14,281.61,278.90,292.58,,327.28,297.50,,305.14,324.00,281.25,334.35,304.52,333.71,298.53,294.19,290.33,332.25,,,,,,324.49,292.13,291.48,323.39,,,,,,
2003-04-22 22:06:19.091000,L7,446.43,433.80,407.12,,,,,,342.03,,,,,,,,,,,,,,,297.53,338.45,299.94,,,,,,,,,,,
2003-07-28 21:48:28.960000,L5,,,,,,,,,,,,,,,,299.38,309.12,,,,,,,,,,,,,,,,,,,,
2003-12-03 21:50:19.675000,L5,,,,,,,,,,,,214.78,278.65,287.88,316.87,356.72,,,,,,,,,,,,,,,234.63,,,,,,
2004-07-30 21:54:28.143000,L5,,,,,,,,,,,,,,,290.40,328.53,389.32,,,,,,,,,,,,,,,,,,,,
2004-09-16 21:55:41.721000,L5,,,,,,,,,,,,218.14,282.72,292.35,310.21,350.61,,,,,,,,,,,,,,,239.05,,,,,,
2004-10-18 21:56:23.891000,L5,,,,,,,,,,,,222.02,291.09,303.23,310.58,363.87,,,,,,,,,,,,,,,245.37,,,,,,
