dates,nzd0004-0000,nzd0004-0001,nzd0004-0002,nzd0004-0003,nzd0004-0004,nzd0004-0005,nzd0004-0006,nzd0004-0007,nzd0004-0008,nzd0004-0009,nzd0004-0010,nzd0004-0011,nzd0004-0012,nzd0004-0013,nzd0004-0014,nzd0004-0015,nzd0004-0016,nzd0004-0017,nzd0004-0018,nzd0004-0019,nzd0004-0020,nzd0004-0021,nzd0004-0022,nzd0004-0023,nzd0004-0024,nzd0004-0025,nzd0004-0026,nzd0004-0027,nzd0004-0028,nzd0004-0029,nzd0004-0030,nzd0004-0031,nzd0004-0032,nzd0004-0033,nzd0004-0034,nzd0004-0035,nzd0004-0036,nzd0004-0037,nzd0004-0038,nzd0004-0039,nzd0004-0040,nzd0004-0041,nzd0004-0042,nzd0004-0043,nzd0004-0044,nzd0004-0045,nzd0004-0046,nzd0004-0047,nzd0004-0048,nzd0004-0049,nzd0004-0050,nzd0004-0051,nzd0004-0052,nzd0004-0053,nzd0004-0054,nzd0004-0055,nzd0004-0056,nzd0004-0057,nzd0004-0058,nzd0004-0059,nzd0004-0060,nzd0004-0061,nzd0004-0062,nzd0004-0063,nzd0004-0064,nzd0004-0065,nzd0004-0066,nzd0004-0067,nzd0004-0068,nzd0004-0069,nzd0004-0070,nzd0004-0071,nzd0004-0072,nzd0004-0073,nzd0004-0074,nzd0004-0075,nzd0004-0076,nzd0004-0077,nzd0004-0078,nzd0004-0079,nzd0004-0080,nzd0004-0081,nzd0004-0082,nzd0004-0083,satname
1999-08-17 22:10:26.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-10-04 22:10:38.131,,,,,229.51,233.46,,224.22,230.73,214.33,,237.19,242.25,247.11,242.85,249.86,258.55,264.44,,,,,,,,,,321.99,321.66,316.34,,,,,324.88,,314.52,315.04,,329.02,,215.88,239.23,201.49,220.45,,,,,296.91,276.32,288.58,277.37,253.35,,284.66,289.08,,285.62,267.57,277.17,275.85,282.34,271.11,,,,284.31,,,,384.71,,,,330.94,,,,,,,,,L7
1999-11-21 22:10:24.244,,,,,228.655,227.43,,222.265,226.355,207.29500000000002,,239.175,235.315,242.73000000000002,242.59,255.535,262.13,264.475,,443.2,,,,,445.8,,,325.58000000000004,341.45000000000005,322.96,,,,,324.88,,321.19,333.95500000000004,,336.765,,199.95499999999998,235.28,196.47,215.815,,,,,295.8,273.21500000000003,277.92499999999995,272.97,251.79,,278.57000000000005,283.86,,277.96500000000003,265.15999999999997,275.97,271.065,277.12,266.3,330.79,346.05,330.2,278.51,,,,384.71,,,,350.875,363.74,404.32,,346.1,,417.99,409.93,445.68,L7
2000-03-28 22:10:07.233,,,,218.4,229.39333333333335,229.47000000000003,,222.265,226.355,207.29500000000002,,239.175,235.315,242.73000000000002,242.59,255.535,262.13,264.475,,449.765,,,,,450.145,,,325.58000000000004,341.45000000000005,322.96,411.59,384.47,,,310.65,415.58,321.19,333.95500000000004,,336.765,,199.95499999999998,235.28,196.47,215.815,,,,,295.8,273.21500000000003,277.92499999999995,272.97,251.79,,278.57000000000005,283.86,,277.2866666666667,265.15999999999997,275.97,271.065,277.12,276.31,333.665,344.96500000000003,340.58,278.51,,,,388.015,,,,350.875,355.96500000000003,386.68,,364.405,,409.995,409.025,440.49,L7
2000-04-29 22:09:53.797,,234.99,231.77,221.775,228.20666666666668,228.25333333333333,,220.31,221.98,200.26,345.13,239.625,233.495,242.78,241.83,254.995,262.29999999999995,266.65999999999997,,449.765,,,,,450.145,,,329.17,361.24,329.58,392.755,377.17,368.75,,,399.67499999999995,327.86,368.015,,344.51,,203.275,234.44,193.005,222.8,,241.7,,316.07,304.255,273.39,286.98,281.525,250.23,,283.43,284.21,,278.5366666666667,270.53999999999996,277.08,274.94,275.04999999999995,276.0333333333333,333.665,344.96500000000003,340.58,277.23,300.81,276.85,,379.995,,,,370.81,355.96500000000003,386.68,388.45,375.55333333333334,411.88,414.5466666666666,418.4166666666667,448.6933333333333,L7
2000-06-16 22:09:26.713,210.76,229.025,219.92000000000002,219.03666666666666,222.32000000000002,227.42666666666665,220.63,211.13,204.24,,340.425,238.09,238.61,247.21,236.10500000000002,242.695,251.735,262.74,,456.33,,,,,454.49,,387.29,355.07,,338.69,392.755,370.68,353.075,,337.99,381.64000000000004,341.9,368.69000000000005,326.14,325.8,,222.52,237.55,189.24,217.425,202.08,232.535,247.69,301.38,298.15,270.57500000000005,290.66999999999996,279.225,242.63,223.46,284.515,282.38,249.78,282.65,268.03,270.335,270.38,269.13,273.75,336.54,343.88,350.96,274.59000000000003,293.84000000000003,269.32500000000005,228.17,367.78999999999996,,,,,342.78,350.065,384.77,394.90000000000003,426.71500000000003,412.82499999999993,408.59,450.19999999999993,L7
2000-08-03 22:08:44.137,213.565,227.57666666666668,220.96,217.47750000000002,220.125,225.01,219.35,213.065,212.56,208.22,340.425,232.245,234.155,242.43,235.4466666666667,241.3066666666667,250.39,262.01,266.78,456.33,,,,,454.49,,397.08000000000004,363.305,,338.69,392.06,370.68,359.7166666666667,,337.99,369.615,333.735,364.8066666666667,307.115,325.8,,222.52,237.55,187.6833333333333,213.1,204.02,232.21333333333334,247.7,300.99666666666667,295.3966666666667,270.26666666666665,287.6133333333333,274.99666666666667,244.035,231.07999999999998,280.3966666666667,280.7833333333333,251.83499999999998,277.89666666666665,267.12666666666667,268.09,268.35,269.09,271.5075,336.54,343.88,350.96,274.4766666666667,293.19666666666666,269.32,237.165,367.78999999999996,,,,,332.2133333333333,342.56333333333333,378.98333333333335,387.43,426.71500000000003,390.2733333333333,393.53499999999997,450.19999999999993,L7
2000-09-04 22:08:22.800,213.565,227.57666666666668,220.96,217.47750000000002,220.125,225.01,219.35,213.065,212.56,208.22,346.57666666666665,232.245,234.155,242.43,235.4466666666667,232.2525,245.5475,257.8625,253.13,456.33,,,377.06,,416.33500000000004,420.51,397.08000000000004,377.09999999999997,,342.08500000000004,384.2425,370.68,353.365,322.77,335.17,363.93199999999996,333.735,358.8625,307.115,316.565,,222.52,237.55,187.6833333333333,213.1,204.02,232.21333333333334,247.7,300.99666666666667,295.3966666666667,270.26666666666665,287.6133333333333,274.99666666666667,244.035,231.07999999999998,280.3966666666667,280.7833333333333,251.83499999999998,277.89666666666665,267.12666666666667,268.09,268.35,269.09,271.5075,336.54,343.88,350.96,274.4766666666667,293.19666666666666,269.32,237.165,367.78999999999996,,385.88,,392.46,332.2133333333333,342.56333333333333,378.98333333333335,387.43,426.71500000000003,390.2733333333333,393.53499999999997,450.19999999999993,L7
2000-09-20 22:08:03.348,221.46333333333334,227.57666666666668,220.96,217.47750000000002,220.125,225.01,219.35,213.065,212.56,208.22,346.57666666666665,232.245,234.155,242.43,235.4466666666667,232.2525,245.5475,257.8625,253.13,466.7,261.35,249.85,365.16499999999996,,412.79333333333335,419.905,393.41,381.76,,332.28000000000003,374.656,370.68,350.014,319.01,335.17,363.93199999999996,333.735,358.8625,307.115,316.565,,219.275,238.22500000000002,194.975,219.31,210.09,235.69,268.34666666666664,306.5475,297.2625,273.3325,291.41499999999996,279.0325,244.035,231.07999999999998,280.3966666666667,280.7833333333333,251.83499999999998,277.89666666666665,267.12666666666667,268.09,268.35,269.09,271.5075,336.54,343.88,350.96,274.4766666666667,293.19666666666666,269.32,237.165,367.78999999999996,,383.51,,391.76,332.2133333333333,345.1175,377.12,387.43,413.8233333333333,388.6275,387.072,443.32666666666665,L7
2000-10-06 22:07:59.689,223.38,228.2175,222.755,218.1275,218.52749999999997,226.1775,218.47,215.78,215.67666666666665,208.845,346.57666666666665,232.29,234.59333333333333,243.78,235.89,234.996,247.256,258.312,258.9733333333333,477.07,257.01,244.385,365.16499999999996,224.14,391.94500000000005,419.905,393.41,388.834,,332.28000000000003,365.4225,363.78499999999997,350.014,319.01,335.17,351.02,333.735,361.506,307.115,316.565,,210.92333333333332,237.17666666666665,196.486,219.248,212.3325,236.37199999999999,270.155,306.242,297.28000000000003,273.474,290.98199999999997,279.0325,244.035,231.07999999999998,280.3966666666667,280.7833333333333,251.83499999999998,278.88,266.6275,269.5025,269.105,269.91499999999996,264.505,,,,275.995,295.3725,271.1025,244.1,356.025,,383.51,,391.76,324.225,301.15,341.08599999999996,341.46,408.045,376.2425,381.81,444.07666666666665,L7
2001-06-03 22:07:16.736,,,,,,,,,,,,201.94,209.64,225.69,221.65,227.06,236.59,243.66,238.9,,,,,,,,,,328.2,313.65,,,,328.41,330.7,317.27,,,,345.57,,,,,,,,,,,,,,,,,,,,,251.28,251.48,,,,,,,,,,377.12,,401.62,,,,,,,,,,,L7
2001-06-19 22:07:05.722,,,,,,,,,,,,201.94,209.64,225.69,221.65,227.06,236.59,243.66,238.9,,,,,,,,,,328.2,313.65,,,,328.41,330.7,317.27,,,,345.57,,,,,,,,,,,,,,,,,,,,,251.28,251.48,,,,,,,,,,368.90999999999997,,401.62,,,,,,,,,,,L7
2001-08-22 22:06:23.463,230.43,230.44,232.76,230.13,222.24,229.67,228.19,221.2,226.84,218.93,,217.04,220.97,232.275,228.51,234.01999999999998,243.335,252.115,256.645,,256.09,239.25,,222.51,,,,,341.07,313.65,369.29,355.95,375.25,328.41,365.23,317.27,,,,345.57,,228.36,237.59,211.99,239.98,248.38,244.34,299.88,312.78,319.75,301.36,321.48,299.79,,,310.33,291.29,,302.02,270.84,266.795,268.935,283.72,270.62,,,,286.6,313.99,280.76,278.31,368.90999999999997,232.93,401.62,212.56,,,198.02,194.84,221.08,416.21,344.41,,457.44,L7
2001-09-23 22:06:03.238,230.43,230.44,232.76,230.13,215.03,212.76,217.45,215.155,208.695,207.3,346.96,217.99666666666667,220.7733333333333,232.21333333333334,227.41,233.24,244.10666666666668,252.67999999999998,254.27666666666664,,256.09,239.25,,222.51,426.67,,,,341.07,313.65,369.29,355.95,375.25,328.41,375.50333333333333,350.605,,,,345.57,433.69,228.36,237.59,211.99,239.98,248.38,244.34,299.88,312.78,319.75,301.36,321.48,299.79,,,310.33,291.29,250.02,302.02,261.65999999999997,265.71666666666664,265.66,273.23,265.18,,,,273.61,313.99,262.705,278.31,368.90999999999997,229.64,401.62,213.07,,,199.89,200.01,212.835,416.21,352.42,,457.44,L7
2001-12-28 22:06:14.106,234.41500000000002,235.37,237.54,235.715,223.57000000000002,222.0233333333333,225.69333333333336,223.04333333333332,208.695,213.18999999999997,346.96,232.90666666666667,236.0533333333333,243.10666666666665,236.8766666666667,245.35999999999999,255.21666666666667,263.00666666666666,261.965,,258.79999999999995,244.22,,232.315,426.67,,,,353.94,,369.29,355.95,394.185,,408.8433333333333,400.975,,,,,438.79499999999996,228.36,237.59,211.99,239.98,248.38,244.34,299.88,312.78,319.75,301.36,321.48,299.79,,,311.74,297.83500000000004,250.02,301.5,269.95666666666665,281.56,272.75,282.3733333333334,274.48333333333335,,,,273.61,316.695,262.705,278.615,,232.53,,217.96666666666667,,,205.71,204.75333333333333,216.1833333333333,416.21,352.42,,457.44,L7
