dates,satname,nzd0004-0000,nzd0004-0001,nzd0004-0002,nzd0004-0003,nzd0004-0004,nzd0004-0005,nzd0004-0006,nzd0004-0007,nzd0004-0008,nzd0004-0009,nzd0004-0010,nzd0004-0011,nzd0004-0012,nzd0004-0013,nzd0004-0014,nzd0004-0015,nzd0004-0016,nzd0004-0017,nzd0004-0018,nzd0004-0019,nzd0004-0020,nzd0004-0021,nzd0004-0022,nzd0004-0023,nzd0004-0024,nzd0004-0025,nzd0004-0026,nzd0004-0027,nzd0004-0028,nzd0004-0029,nzd0004-0030,nzd0004-0031,nzd0004-0032,nzd0004-0033,nzd0004-0034,nzd0004-0035,nzd0004-0036,nzd0004-0037,nzd0004-0038,nzd0004-0039,nzd0004-0040,nzd0004-0041,nzd0004-0042,nzd0004-0043,nzd0004-0044,nzd0004-0045,nzd0004-0046,nzd0004-0047,nzd0004-0048,nzd0004-0049,nzd0004-0050,nzd0004-0051,nzd0004-0052,nzd0004-0053,nzd0004-0054,nzd0004-0055,nzd0004-0056,nzd0004-0057,nzd0004-0058,nzd0004-0059,nzd0004-0060,nzd0004-0061,nzd0004-0062,nzd0004-0063,nzd0004-0064,nzd0004-0065,nzd0004-0066,nzd0004-0067,nzd0004-0068,nzd0004-0069,nzd0004-0070,nzd0004-0071,nzd0004-0072,nzd0004-0073,nzd0004-0074,nzd0004-0075,nzd0004-0076,nzd0004-0077,nzd0004-0078,nzd0004-0079,nzd0004-0080,nzd0004-0081,nzd0004-0082,nzd0004-0083
2000-10-06 22:07:59.689000,L7,356.83,518.13,553.39,536.89,517.60,519.61,510.46,493.83,495.71,470.85,474.68,480.69,469.02,466.71,493.83,515.74,503.83,502.91,539.15,543.11,526.65,491.35,474.84,471.31,449.59,441.58,420.60,418.00,423.53,421.62,435.75,422.16,409.44,395.93,404.12,408.47,408.30,373.53,434.84,413.57,458.23,446.29,445.22,457.33,477.60,433.62,479.15,485.61,527.96,538.60,544.41,548.20,537.74,502.36,509.95,500.99,508.16,518.51,515.08,521.40,552.73,540.31,505.83,496.46,521.21,515.71,507.83,544.27,567.65,509.41,493.69,455.36,417.83,399.02,416.74,364.87,357.82,321.90,366.41,276.80,299.75,350.86,352.96,400.20
2001-06-03 22:07:16.736000,L7,,,,,,193.58,210.51,203.79,193.86,199.53,177.05,206.68,214.37,228.76,225.08,230.58,239.90,246.98,246.45,414.06,396.03,380.29,413.81,370.23,347.16,366.92,333.24,328.84,330.03,317.03,298.20,,336.72,288.26,344.50,320.93,,346.14,332.61,346.78,372.16,359.24,373.86,332.78,196.95,199.24,219.91,457.17,429.64,445.42,449.28,448.65,439.41,425.50,432.61,427.77,452.82,408.87,430.67,237.58,255.77,254.07,250.06,244.54,250.70,396.59,416.00,440.45,457.44,474.82,467.87,444.81,420.88,334.78,383.44,388.27,382.01,381.85,358.68,371.30,,,,
2001-06-19 22:07:05.722000,L7,215.00,220.19,216.55,210.96,373.22,396.25,331.59,363.57,381.38,352.83,360.55,357.33,398.72,369.18,407.97,437.37,423.45,444.88,473.00,443.14,350.29,362.80,363.77,386.90,409.47,380.70,390.02,349.44,347.58,356.33,341.47,323.36,305.17,315.68,349.46,348.54,346.23,345.58,360.88,358.80,343.96,366.70,378.91,396.39,413.83,414.13,427.89,463.02,441.05,450.30,466.55,469.50,470.49,437.67,445.47,459.28,464.84,412.20,402.76,403.82,415.03,423.99,414.45,461.11,436.71,435.29,431.56,444.11,458.94,418.01,417.32,413.60,360.51,381.17,357.80,364.26,375.82,369.15,362.95,382.60,290.20,389.45,393.65,415.35
2001-08-22 22:06:23.463000,L7,228.71,229.17,231.85,225.91,221.04,228.29,227.10,220.01,225.27,217.05,193.44,230.44,231.04,237.87,234.50,239.87,248.82,259.42,272.39,270.13,253.99,237.71,220.79,221.14,208.79,215.87,195.67,352.70,352.65,339.35,367.17,354.48,371.30,403.38,399.05,371.66,391.43,189.39,200.75,212.68,209.92,224.75,235.22,208.50,237.07,245.73,243.10,297.49,310.07,315.55,284.29,303.01,296.23,291.87,293.91,294.58,289.39,296.24,298.95,269.13,278.10,283.86,280.92,269.38,276.53,272.68,309.42,279.79,309.98,278.13,273.20,250.70,230.53,223.93,209.25,209.42,202.86,195.45,193.97,220.21,415.15,343.66,356.24,456.23
2001-09-23 22:06:03.238000,L7,231.07,234.41,233.58,224.63,227.81,231.01,231.02,224.66,227.53,211.45,187.84,236.76,239.96,242.51,240.43,247.20,256.32,266.17,269.59,263.55,237.90,240.35,221.41,235.04,214.52,210.58,191.40,303.40,296.27,306.21,292.55,287.49,285.53,281.56,286.56,292.37,300.84,303.37,304.23,314.17,319.81,366.25,396.93,377.20,420.72,354.10,478.28,285.04,277.92,300.77,273.86,504.24,487.41,478.58,470.43,284.61,413.02,495.15,493.95,384.97,384.47,374.46,388.62,387.20,397.38,419.37,427.57,372.87,381.50,270.68,289.74,422.18,298.77,289.77,286.41,249.50,257.91,280.02,269.81,268.94,336.38,207.24,297.61,310.68
2001-12-28 22:06:14.106000,L7,,,,,,,,,,,,,,219.40,207.45,207.48,239.89,243.88,246.38,235.83,,,,,,,,,,374.34,353.89,340.30,,,,,358.88,364.95,374.35,359.43,371.62,378.67,387.09,,,,199.94,222.53,226.02,265.31,234.07,217.15,447.60,463.59,208.59,455.10,457.62,492.48,383.95,201.92,234.92,252.02,247.55,221.98,231.20,229.91,202.57,,236.42,443.35,430.61,415.46,400.71,405.15,363.34,397.27,349.42,367.70,389.66,355.07,416.91,427.01,442.55,470.74
2002-02-14 22:06:29.522000,L7,392.91,275.07,,393.53,412.48,529.06,532.47,501.60,326.59,330.47,320.92,324.56,521.80,249.41,419.04,428.26,491.27,491.62,467.05,465.01,543.17,345.79,454.62,412.81,351.87,354.71,311.89,,,292.23,437.59,374.36,277.79,270.88,454.59,455.00,280.86,364.14,350.86,434.56,296.49,318.04,481.07,424.19,446.51,460.02,447.96,475.77,493.81,524.53,479.50,485.27,479.19,483.60,469.36,467.89,466.59,476.76,455.50,444.83,460.83,431.48,418.98,402.19,414.13,425.42,424.41,428.75,454.36,446.99,421.96,401.57,371.29,364.14,373.31,379.68,360.53,336.68,343.20,363.16,364.57,370.01,391.45,420.69
2002-03-18 22:06:22.131000,L7,453.93,459.14,469.29,486.68,464.17,501.10,452.74,432.33,353.80,339.47,,,,,,208.96,236.02,251.15,229.24,,399.16,410.15,385.49,336.44,430.00,423.70,415.54,396.02,377.16,375.81,384.35,372.09,311.69,362.82,307.47,308.37,368.12,363.46,368.25,355.04,363.88,382.07,376.94,396.10,413.77,424.30,185.40,219.13,215.92,253.59,222.20,190.82,,461.83,457.13,454.55,458.09,456.46,420.93,456.30,459.96,422.46,421.85,409.27,432.30,449.12,443.54,479.50,487.80,469.76,423.94,427.86,402.67,389.99,378.68,386.11,403.58,413.51,438.82,334.01,396.52,444.05,439.33,429.06
2002-08-09 22:05:46.029000,L7,373.98,333.18,395.98,434.46,423.13,551.56,404.04,353.05,317.21,376.71,410.32,494.90,325.78,337.19,334.34,348.51,352.14,361.96,374.74,376.47,357.03,344.70,337.28,324.70,324.26,316.88,314.55,294.11,285.61,278.59,275.25,275.99,278.44,278.06,278.89,275.52,395.12,319.90,390.63,196.45,199.20,205.98,192.66,200.92,218.66,224.94,239.52,256.27,300.75,297.46,266.22,284.40,271.80,245.36,286.15,289.45,282.20,256.39,276.67,264.95,263.65,268.36,267.46,269.26,268.36,264.57,270.63,274.89,308.96,276.12,258.03,236.35,224.41,210.07,196.81,197.75,196.13,298.19,321.86,327.54,322.74,344.52,344.39,405.23
2003-05-08 22:06:20.773000,L7,343.53,379.76,438.40,,375.82,459.74,448.24,519.00,486.34,462.55,,,439.66,390.59,272.31,234.78,247.40,256.42,264.64,394.25,412.45,407.71,439.23,461.92,427.49,365.72,318.19,527.39,306.25,283.82,498.23,421.55,367.54,299.25,,291.33,296.01,366.30,396.26,198.35,205.72,402.46,430.17,486.73,491.13,472.74,466.11,454.29,447.56,502.66,499.75,538.25,433.98,431.77,421.99,419.30,383.10,372.81,367.85,368.23,402.63,368.24,392.86,358.26,357.76,398.18,427.51,456.41,363.55,536.22,522.15,496.07,473.08,484.71,503.78,437.00,277.86,317.29,305.95,321.91,355.07,378.11,360.81,396.05
