dates,satname,nzd0386-0000,nzd0386-0001,nzd0386-0002,nzd0386-0003,nzd0386-0004,nzd0386-0005,nzd0386-0006,nzd0386-0007,nzd0386-0008
1999-12-25 22:00:04.067000,L7,,,,,,,,294.46,320.01
2000-01-26 22:00:02.226000,L7,,,,,,,,286.81,324.47
2000-02-11 21:59:57.866000,L7,,,,,,,,296.87,322.68
2000-02-27 21:59:52.393000,L7,338.93,356.63,344.10,343.11,371.54,333.20,279.71,359.91,367.76
2000-03-30 21:59:45.397000,L7,308.81,315.25,315.35,315.67,309.05,328.31,329.32,302.44,339.55
2000-05-01 21:59:30.586000,L7,355.35,372.48,358.44,379.08,378.84,363.80,371.62,371.70,415.62
2000-11-09 21:57:33.274000,L7,420.82,376.71,396.63,398.05,,,,,
2001-02-13 21:57:39.607000,L7,,,,,,366.14,333.59,,
2001-08-08 21:56:12.984000,L7,,,,,,,,,315.78
2002-10-14 21:54:55.882000,L7,,371.49,379.05,376.70,382.63,374.96,389.21,381.35,386.32
2003-03-23 21:55:52.571000,L7,,,,,,,300.35,336.24,333.16
2003-07-21 21:43:45.776000,L5,,327.63,340.31,340.90,347.17,346.97,355.51,359.20,369.87
2003-12-28 21:45:57.554000,L5,,,,,,302.75,323.33,319.88,333.10
2004-04-02 21:46:30.745000,L5,326.25,324.09,324.14,323.52,325.86,330.35,334.36,341.62,337.68
2004-05-04 21:47:27.968000,L5,331.94,323.34,322.69,323.56,332.11,337.17,340.79,346.32,351.49
2004-06-05 21:48:24.950000,L5,,,325.81,319.28,330.96,335.95,343.10,343.96,350.93
2004-07-07 21:49:21.098000,L5,,,347.57,349.08,361.84,357.28,364.53,367.23,377.36
2004-09-25 21:51:19.231000,L5,326.61,318.23,311.45,314.82,322.47,315.11,331.55,337.64,335.31
2005-01-15 21:53:21.356000,L5,312.96,304.66,299.57,316.41,321.80,325.84,331.03,334.57,339.09
2005-03-04 21:54:04.136000,L5,329.23,325.85,331.66,335.39,340.00,348.31,349.16,357.73,360.53
2005-04-05 21:54:19.058000,L5,310.29,300.88,306.44,311.47,314.39,317.20,316.10,322.50,326.96
2005-04-21 21:54:22.812000,L5,336.18,328.72,329.65,331.80,342.06,341.94,347.35,347.27,352.34
2005-06-08 21:54:44.925000,L5,,,307.59,321.71,322.93,321.90,330.80,331.35,348.02
2005-07-10 21:54:55.488000,L5,,,,,,,321.41,326.98,336.73
2005-08-27 21:55:20.007000,L5,,,,,,293.73,319.50,331.92,338.34
2005-10-30 21:55:15.307000,L5,354.49,350.56,357.53,361.09,364.30,370.03,368.63,358.12,366.89
2006-02-19 21:57:51.685000,L5,314.89,309.39,312.68,315.41,317.11,321.05,325.60,314.77,326.64
2006-11-02 22:01:32.743000,L5,335.52,330.47,333.71,335.47,337.69,339.14,337.04,342.03,341.47
2007-01-21 22:02:09.591000,L5,328.30,323.22,323.92,321.41,328.38,329.63,330.53,333.05,345.50
2008-02-25 21:57:37.029000,L5,316.24,311.18,324.07,323.17,323.72,325.22,327.78,333.06,335.82
2008-12-25 21:51:46.135000,L5,,,,,,,313.90,313.82,328.20
2010-01-29 21:58:05.346000,L5,296.43,299.58,313.26,308.02,306.49,314.59,318.43,306.98,327.35
2010-10-12 21:57:13.086000,L5,319.63,316.09,320.20,321.24,321.94,320.76,326.15,331.67,314.63
2011-02-17 21:57:12.898000,L5,337.72,328.41,331.54,334.04,335.11,335.38,342.28,347.83,352.71
2011-09-13 21:55:45.838000,L5,,,,,,,302.19,318.31,325.41
2013-12-07 22:08:50.709000,L8,313.16,307.23,309.90,306.85,313.29,316.45,321.10,325.70,321.83
2014-04-30 22:06:58.400000,L8,337.19,327.43,327.67,331.43,329.33,329.09,333.66,338.57,
2014-07-03 22:07:01.995000,L8,,,320.68,314.97,321.99,323.73,331.43,336.69,318.19
2014-09-05 22:07:21.754000,L8,305.92,301.18,306.07,304.68,308.43,,,,
2014-11-08 22:07:28.004000,L8,307.02,301.53,303.14,303.91,308.75,308.01,315.85,,
2014-12-26 22:07:18.944000,L8,303.30,298.93,306.46,301.19,295.33,308.19,315.70,317.05,
2015-02-28 22:07:00.305000,L8,307.57,299.42,312.33,307.66,302.14,316.63,317.14,320.54,
2015-07-22 22:06:49.445000,L8,,,,,,,314.36,336.49,323.05
2015-08-23 22:07:00.453000,L8,306.04,296.64,308.39,302.72,,,,,
2015-11-27 22:07:23.156000,L8,311.44,306.22,310.96,307.15,313.09,317.94,318.79,326.11,318.06
2015-12-13 22:07:21.432000,L8,310.28,306.69,310.70,307.84,311.97,315.81,318.47,322.92,321.05
2016-03-02 22:07:07.398000,L8,311.80,301.21,314.82,307.21,303.34,313.40,317.29,317.26,316.46
2016-04-19 22:06:46.856000,L8,,,312.16,305.89,305.61,305.65,315.66,321.55,
2016-08-09 22:07:15.795000,L8,318.59,322.34,320.16,309.95,309.29,306.70,320.93,331.07,319.12
2016-10-12 22:07:33.085000,L8,317.50,313.86,318.00,311.35,316.67,316.64,321.53,327.40,
2016-12-15 22:07:29.991000,L8,352.14,335.64,345.19,340.50,347.95,347.92,354.98,350.33,355.83
2017-01-16 22:07:22.953000,L8,311.44,307.32,313.35,304.71,308.99,316.69,319.78,316.57,
2017-03-05 22:07:02.841000,L8,286.55,291.95,312.83,304.70,302.07,312.96,,,
2017-04-06 22:06:45.830000,L8,315.72,289.74,315.47,309.25,306.62,307.86,,,
2017-05-24 22:06:46.292000,L8,333.80,334.04,344.71,338.43,343.25,347.73,350.87,350.57,364.64
2017-08-28 22:07:19.886000,L8,314.23,308.57,310.26,295.09,,,,,
2017-10-31 22:07:31.844000,L8,354.17,357.31,345.23,336.55,311.41,344.42,352.11,353.67,363.11
2017-12-02 22:07:22.770000,L8,347.42,335.90,336.74,330.55,309.52,337.30,345.62,348.06,357.34
2018-04-25 22:06:26.771000,L8,358.42,360.61,345.05,334.92,303.52,340.04,346.09,348.29,363.98
2018-08-31 22:06:47.157000,L8,,,,,,331.30,341.46,344.87,351.19
2018-10-18 22:07:05.594000,L8,356.69,362.38,341.35,335.27,324.84,339.40,348.08,349.79,359.66
2018-11-03 22:07:09.298000,L8,363.71,364.18,336.77,326.41,308.01,,,,
2018-12-21 22:07:06.566000,L8,321.70,310.99,319.43,316.69,,,328.78,333.53,322.20
2019-01-22 22:07:02.132000,L8,369.43,362.04,380.81,380.75,378.65,397.98,397.06,372.17,
2019-04-12 22:06:42.607000,L8,368.93,372.83,394.73,376.42,338.44,344.02,344.98,,
2019-05-30 22:06:57.095000,L8,,,,,,,338.30,342.18,405.42
2019-07-17 22:07:10.971000,L8,302.80,361.77,375.65,369.34,,,,,
