dates,nzd0189-0000,nzd0189-0001,nzd0189-0002,nzd0189-0003,nzd0189-0004,nzd0189-0005,nzd0189-0006,nzd0189-0007,nzd0189-0008,nzd0189-0009,nzd0189-0010,nzd0189-0011,nzd0189-0012,nzd0189-0013,nzd0189-0014,nzd0189-0015,nzd0189-0016,nzd0189-0017,nzd0189-0018,nzd0189-0019,nzd0189-0020,nzd0189-0021,nzd0189-0022,nzd0189-0023,nzd0189-0024,nzd0189-0025,nzd0189-0026,nzd0189-0027,nzd0189-0028,nzd0189-0029,nzd0189-0030,nzd0189-0031,satname
1999-09-29 21:52:52+00:00,,,,,,,,,,,,284.88,,,,,,,,314.63,,309.96,299.59,298.71,304.25,304.18,302.52,304.66,307.23,297.9,300.73,293.67,L7
1999-10-15 21:52:49+00:00,,,,,252.37,257.35,,,,235.07,,265.75,,255.07,233.74,200.5,241.5,200.72,,316.13,,319.96500000000003,309.365,311.47,315.87,320.445,318.775,317.83000000000004,320.735,313.17999999999995,312.6,307.72,L7
1999-12-09 21:58:57+00:00,319.14,,,,271.875,276.125,302.93,,308.39,239.18,,263.0833333333333,,238.535,239.715,200.195,242.87,202.35500000000002,275.23,316.13,238.21,319.96500000000003,309.365,311.47,315.87,320.445,318.775,317.83000000000004,320.735,311.16,310.7166666666667,307.3566666666666,L7
1999-12-25 21:58:52+00:00,307.195,295.19,299.85,,274.34999999999997,292.5566666666667,302.93,,307.01,241.79999999999998,193.33,248.6875,196.78,239.49666666666667,239.715,200.195,242.87,202.35500000000002,275.23,316.13,239.59,319.96500000000003,309.365,311.47,315.87,320.445,318.775,317.83000000000004,320.735,315.025,310.7166666666667,298.2725,L7
2000-02-04 21:52:37+00:00,307.195,300.21500000000003,299.85,,282.3,292.5566666666667,302.93,,307.01,241.79999999999998,193.33,248.6875,196.78,239.49666666666667,239.715,204.14,242.87,202.35500000000002,275.23,316.13,239.59,319.96500000000003,309.365,311.47,315.87,320.445,318.775,331.8833333333334,320.735,318.99,310.7166666666667,298.2725,L7
2000-03-14 21:58:35+00:00,310.73333333333335,300.21500000000003,305.905,,282.3,298.9,302.93,,307.01,241.79999999999998,193.33,248.6875,196.78,239.49666666666667,239.715,204.14,242.87,202.35500000000002,275.23,316.13,239.59,319.96500000000003,309.365,313.73333333333335,315.87,320.445,318.775,331.8833333333334,332.96000000000004,318.99,310.7166666666667,298.2725,L7
2000-03-30 21:58:33+00:00,310.73333333333335,274.0266666666667,305.905,,282.3,298.9,287.095,,307.01,238.785,193.33,236.62333333333333,196.78,239.49666666666667,239.715,204.14,242.87,202.35500000000002,293.42,317.63,239.59,329.97,319.14,321.245,327.49,336.71,335.03,348.20666666666665,338.81,324.26250000000005,315.71000000000004,286.98499999999996,L7
2000-04-24 21:52:10+00:00,310.73333333333335,265.5875,300.82,,295.9025,312.74999999999994,287.095,,307.01,240.0233333333333,193.33,231.625,196.78,231.71,245.69,206.54333333333332,244.24,203.99,304.34,330.06,239.59,,,327.685,330.87,333.88,336.92,316.78,307.9533333333333,305.6175,306.95,267.68,L7
2000-08-05 21:57:08+00:00,317.81,230.95999999999995,301.305,215.03,264.96,317.93,271.26,216.44,,229.74,195.1,173.31,175.54,,204.57,206.07,,195.61,318.895,330.06,223.13,,,327.685,330.87,333.88,336.92,267.5833333333333,307.9533333333333,253.88,,246.53500000000005,L7
2000-08-14 21:50:56+00:00,317.81,230.95999999999995,301.305,218.34,254.67,317.93,253.06,220.54500000000002,,220.23000000000002,191.95999999999998,177.585,176.82999999999998,,207.91,205.66333333333333,246.83,195.61,318.895,330.06,223.13,335.93,,327.685,330.87,333.88,336.92,267.5833333333333,307.9533333333333,253.88,,246.53500000000005,L7
