dates,satname,nzd0139-0000,nzd0139-0001,nzd0139-0002,nzd0139-0003,nzd0139-0004,nzd0139-0007,nzd0139-0008,nzd0139-0009,nzd0139-0010,nzd0139-0011,nzd0139-0012,nzd0139-0013,nzd0139-0014,nzd0139-0015,nzd0139-0016,nzd0139-0017,nzd0139-0018,nzd0139-0019,nzd0139-0020,nzd0139-0021,nzd0139-0022,nzd0139-0023,nzd0139-0024,nzd0139-0025,nzd0139-0026,nzd0139-0027,nzd0139-0028,nzd0139-0029,nzd0139-0030,nzd0139-0031,nzd0139-0006,nzd0139-0005
1999-10-22 21:58:28.758000,L7,405.67,401.91,323.53,280.84,238.25,358.55,352.64,354.19,350.78,344.90,343.16,338.17,331.69,333.79,332.03,334.65,342.21,334.27,335.73,352.07,332.32,332.95,340.66,328.96,327.28,323.76,,,,,,
1999-12-09 21:58:33.708000,L7,,,,,,,342.25,313.96,317.04,317.35,319.05,297.26,304.85,398.05,388.56,393.33,378.04,372.78,379.39,387.25,383.27,386.10,375.94,384.99,388.63,371.93,388.73,387.19,366.80,331.41,259.12,151.26
2000-02-27 21:58:16.566000,L7,408.61,394.78,,,,,,384.98,367.38,366.28,365.44,356.35,385.87,377.30,413.56,387.36,380.28,,,,,,313.94,354.00,379.29,398.57,379.35,373.69,385.86,387.49,,
2000-03-14 21:58:11.336000,L7,344.99,336.63,319.29,,,,365.76,366.24,364.79,364.56,359.10,354.35,345.54,341.39,337.97,333.81,341.18,341.72,331.71,325.04,330.97,332.23,339.65,332.35,329.05,329.87,325.95,329.00,331.66,291.53,,
2000-03-30 21:58:09.573000,L7,350.44,374.61,321.98,285.29,,,402.49,401.57,391.76,,,,,405.88,372.94,376.37,393.82,371.86,372.39,373.27,371.31,385.16,384.13,,,,,,,,,
2000-09-06 21:56:22.949000,L7,405.95,396.52,325.45,281.56,,271.00,351.09,384.46,389.86,409.38,395.37,327.58,331.77,335.18,328.59,345.07,340.28,341.54,332.63,331.16,326.74,329.48,331.13,330.91,338.31,,,,,,202.36,
2000-09-22 21:56:05.544000,L7,338.97,324.18,314.01,278.96,231.26,292.61,344.27,403.76,392.51,369.13,377.67,370.20,381.18,360.81,,404.22,370.60,333.60,410.61,,,,,,,,,,,,207.74,170.95
2000-12-11 21:56:00.959000,L7,,,297.48,209.60,157.65,,335.94,337.93,331.07,406.78,386.41,385.44,386.57,374.52,375.77,392.34,388.65,369.86,382.39,400.06,419.43,392.38,404.34,411.66,387.60,370.89,411.89,401.17,396.25,358.04,278.01,
2000-12-27 21:56:05.061000,L7,385.75,370.15,363.63,288.62,,364.45,338.67,335.23,336.03,326.93,333.28,331.14,325.44,324.89,326.52,328.43,329.87,323.15,322.23,321.31,372.21,370.59,379.24,363.42,363.36,366.28,367.32,367.36,366.21,349.61,233.30,228.85
2001-01-12 21:56:06.772000,L7,374.38,362.59,349.97,,,314.16,345.74,366.45,388.57,370.70,413.41,319.27,311.91,314.81,318.03,324.20,319.72,368.85,372.59,355.79,370.50,383.56,360.03,349.88,350.68,355.33,347.83,343.59,359.61,320.16,292.72,
2001-05-20 21:55:29.073000,L7,330.77,362.08,,,,,,,,,361.47,392.44,359.12,350.67,,,,,,,362.56,303.51,306.03,304.88,306.88,309.06,309.12,393.21,,,,
2001-06-05 21:55:16.607000,L7,413.12,,,,,,,,,,,,,,,,,,,,296.43,303.75,305.50,300.52,307.23,307.95,303.59,304.45,357.73,261.91,,
2001-08-24 21:54:24.664000,L7,321.50,323.86,314.87,280.13,214.07,,,,,,,,,,,,,,,,,,,,,,,,297.50,252.81,,
2001-09-09 21:54:12.928000,L7,388.35,379.77,361.28,311.99,,188.68,,380.49,375.69,373.57,378.78,400.22,398.74,398.13,396.80,394.64,403.59,418.31,407.52,432.42,324.10,327.47,329.81,329.10,331.47,340.60,336.97,326.39,329.81,323.11,215.46,
2001-10-11 21:53:46.024000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.87,246.02,,
