dates,nzd0139-0000,nzd0139-0001,nzd0139-0002,nzd0139-0003,nzd0139-0004,nzd0139-0007,nzd0139-0008,nzd0139-0009,nzd0139-0010,nzd0139-0011,nzd0139-0012,nzd0139-0013,nzd0139-0014,nzd0139-0015,nzd0139-0016,nzd0139-0017,nzd0139-0018,nzd0139-0019,nzd0139-0020,nzd0139-0021,nzd0139-0022,nzd0139-0023,nzd0139-0024,nzd0139-0025,nzd0139-0026,nzd0139-0027,nzd0139-0028,nzd0139-0029,nzd0139-0030,nzd0139-0031,nzd0139-0006,nzd0139-0005,satname
1999-10-22 21:58:28+00:00,,,323.53,280.84,238.25,358.55,352.64,,350.78,344.9,343.16,,331.69,333.79,332.03,334.65,342.21,334.27,335.73,352.07,332.32,332.95,340.66,328.96,327.28,,,,,,,,L7
1999-12-09 21:58:33+00:00,,,323.53,280.84,238.25,358.55,347.445,,333.90999999999997,331.125,331.105,,318.27,333.79,332.03,334.65,342.21,334.27,335.73,352.07,332.32,332.95,340.66,328.96,327.28,,,,366.8,331.41,259.12,151.26,L7
2000-03-14 21:58:11+00:00,344.99,336.63,321.40999999999997,280.84,238.25,358.55,353.55,366.24,344.2033333333334,342.27,340.43666666666667,354.35,327.36,337.59000000000003,335.0,334.23,341.695,337.995,333.72,338.555,331.645,332.59000000000003,340.155,330.655,328.16499999999996,,325.95,329.0,349.23,311.47,259.12,151.26,L7
2000-09-06 21:56:22+00:00,344.99,336.63,319.29,,,,365.76,366.24,364.79,364.56,359.1,340.96500000000003,338.655,338.28499999999997,333.28,339.44,340.73,341.63,332.16999999999996,328.1,328.855,330.855,335.39,331.63,333.68,,325.95,329.0,331.66,291.53,,,L7
2000-12-11 21:56:00+00:00,,,,,,,335.94,337.93,331.07,,,327.58,331.77,335.18,328.59,345.07,340.28,341.54,332.63,331.16,326.74,329.48,331.13,330.91,338.31,370.89,,,,,,,L7
2001-01-12 21:56:06+00:00,,,349.97,,,314.16,340.84000000000003,337.93,331.07,,,323.42499999999995,321.84000000000003,324.995,323.30999999999995,334.635,330.0,341.54,332.63,343.475,326.74,329.48,345.58,340.395,344.495,363.11,347.83,343.59,359.61,320.16,,,L7
2001-06-05 21:55:16+00:00,,,349.97,,,314.16,340.84000000000003,337.93,331.07,,,319.27,311.91,314.81,318.03,324.2,319.72,,,355.79,296.43,303.75,332.765,325.2,328.95500000000004,344.72333333333336,325.71,324.02,358.67,320.16,,,L7
2001-08-24 21:54:24+00:00,321.5,323.86,314.87,280.13,214.07,,,,,,,,,,,,,,,,296.43,303.75,305.5,300.52,307.23,307.95,303.59,304.45,357.73,,,,L7
2001-09-09 21:54:12+00:00,321.5,323.86,314.87,296.06,214.07,188.68,,,,,,,,,,,,,,,310.265,315.61,317.655,314.81,319.35,324.275,320.28,315.41999999999996,357.73,323.11,215.46,,L7
2002-01-31 21:54:26+00:00,321.5,323.86,333.045,296.06,214.07,188.68,,,,,,,,,,,,,,,324.1,327.47,329.81,348.21000000000004,331.47,340.6,336.97,326.39,385.37,311.58000000000004,215.46,,L7
2002-05-23 21:54:18+00:00,,,351.22,,,,,,,,,,,,,,,,,,,,,367.32,,,349.6,,385.37,274.03,,,L7
2002-08-27 21:53:36+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,349.6,,298.05,246.85,,,L7
2003-01-18 21:54:06+00:00,,,306.55,275.76,,,,,,,,,,,,,,,,,,,,,,,,299.95,304.015,260.845,,,L7
2003-05-26 21:54:19+00:00,,,306.55,275.76,,,,,,,,,,,,,,,,,,,,,,,,299.95,310.82000000000005,255.635,,,L7
2003-07-21 21:42:09+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.93,224.72500000000002,,,L5
2003-08-06 21:42:27+00:00,339.35,361.01,343.04,313.63,,,,,,,,,,,,,,,,,,,,,,,,,299.9433333333333,219.70333333333335,,,L5
2003-10-25 21:43:40+00:00,339.35,357.105,339.3,310.54499999999996,,,,,,,,,,,,,,,,,,,,,,,,,300.025,219.6375,,,L5
2004-02-14 21:44:33+00:00,380.74,353.225,343.745,307.46,,,,,,,,,,,,,,,,,,,,,,,,,294.96,229.515,,,L5
2004-04-02 21:44:54+00:00,375.61,355.04333333333335,344.1033333333333,309.225,,,,,,,,,,,,,,,,,,,,,,,,,289.88,228.82000000000002,,,L5
2004-04-18 21:45:25+00:00,375.32666666666665,357.005,346.6775,310.23,,,,,,,,,,,,,,,,,,,,,,,,,290.9575,229.44,,,L5
