dates,satname,nzd0030-0000,nzd0030-0001,nzd0030-0003,nzd0030-0004,nzd0030-0005,nzd0030-0006,nzd0030-0007,nzd0030-0008,nzd0030-0009,nzd0030-0018,nzd0030-0019,nzd0030-0020,nzd0030-0021,nzd0030-0002,nzd0030-0022,nzd0030-0071,nzd0030-0072,nzd0030-0073,nzd0030-0086,nzd0030-0087,nzd0030-0088,nzd0030-0092,nzd0030-0093,nzd0030-0094,nzd0030-0095,nzd0030-0010,nzd0030-0045,nzd0030-0046,nzd0030-0047,nzd0030-0048,nzd0030-0013,nzd0030-0014,nzd0030-0015,nzd0030-0016,nzd0030-0017,nzd0030-0026,nzd0030-0027,nzd0030-0028,nzd0030-0029,nzd0030-0030,nzd0030-0031,nzd0030-0032,nzd0030-0033,nzd0030-0036,nzd0030-0037,nzd0030-0038,nzd0030-0039,nzd0030-0040,nzd0030-0041,nzd0030-0042,nzd0030-0043,nzd0030-0044,nzd0030-0049,nzd0030-0050,nzd0030-0051,nzd0030-0052,nzd0030-0053,nzd0030-0054,nzd0030-0055,nzd0030-0056,nzd0030-0034,nzd0030-0035,nzd0030-0057,nzd0030-0058,nzd0030-0066,nzd0030-0067,nzd0030-0068,nzd0030-0069,nzd0030-0070,nzd0030-0074,nzd0030-0075,nzd0030-0076,nzd0030-0077,nzd0030-0078,nzd0030-0079,nzd0030-0080,nzd0030-0081,nzd0030-0082,nzd0030-0083,nzd0030-0084,nzd0030-0085,nzd0030-0011,nzd0030-0012,nzd0030-0059,nzd0030-0060,nzd0030-0061,nzd0030-0062,nzd0030-0024,nzd0030-0025,nzd0030-0063,nzd0030-0064,nzd0030-0065,nzd0030-0089,nzd0030-0090,nzd0030-0091,nzd0030-0023
1999-10-04 22:10:38.131000,L7,,,,,319.10,299.81,354.64,366.54,300.28,,,,,,,,,,,,,,,,,,,,,,372.90,380.31,373.65,366.83,,,,,,,,,,,,,,,,,,,,,,329.06,397.12,348.16,,302.78,,,310.17,308.37,313.17,351.76,382.77,305.81,,,,,,,,,,,,,,376.11,383.61,351.20,279.48,,319.98,,,319.27,325.45,367.16,,,,
1999-11-21 22:10:24.244000,L7,307.92,303.13,293.62,309.19,314.65,315.29,327.74,318.09,318.46,311.13,325.61,334.61,347.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-09 22:10:19.398000,L7,342.49,,310.85,335.46,,,,,,,325.36,329.06,344.37,310.28,334.69,332.98,331.28,319.92,356.73,348.82,352.71,358.94,344.35,329.78,313.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-29 22:09:53.797000,L7,,,,,,,,358.93,387.67,,,,,,,,,,,,389.38,,,,,374.06,,,297.87,320.66,,,,,,,,,,,,,,,,377.23,368.19,,,,,,341.87,,,,,,,,,,,,282.02,373.19,376.73,380.82,,,354.24,350.07,332.63,368.09,347.25,,,,,,,397.04,392.44,,,,,,,,,,389.87,393.32,410.61,
2000-05-15 22:09:42.527000,L7,,,,,,,,351.41,342.76,326.51,324.93,343.16,344.45,,297.80,,,,301.64,,,,373.79,360.90,,344.19,343.26,343.42,342.18,,337.94,332.39,366.68,345.68,306.90,,,,366.52,329.93,317.43,303.37,311.34,313.82,,,,,,,,,353.25,393.42,,,,,,,329.58,339.50,,387.11,,,,,,,,,,,,,,,397.91,328.38,307.56,348.11,346.80,380.78,378.82,372.76,377.39,,,353.45,348.27,,,,,
2000-08-03 22:08:44.137000,L7,372.63,379.63,,332.06,368.98,393.43,381.19,391.05,358.40,,,,,393.11,,,,,,,,,,,,381.25,367.92,404.58,403.10,400.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-20 22:08:03.348000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.83,370.68,375.48,360.07,,,,,,,,,,,,,,,,,333.01,297.88,,,,,,,,281.99,305.02,311.36,305.91,345.76,,,,,,,,,,,,,,344.03,,,,
2000-10-22 22:07:50.487000,L7,342.70,354.73,346.77,332.60,332.40,341.86,339.32,333.81,330.75,,,,,356.41,,,,,,,,,,,,346.01,387.74,390.44,374.97,374.56,389.64,363.69,356.89,357.88,384.64,370.56,351.05,336.09,333.04,351.86,359.48,372.51,381.72,405.67,374.53,357.89,359.94,349.69,394.11,381.31,389.70,384.75,370.80,355.51,348.80,347.41,352.32,345.29,350.10,373.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-07 22:07:53.532000,L7,,,,,,,,,,301.70,331.16,345.20,280.52,,299.66,320.89,319.47,310.36,,,,,,,396.50,,,,,,,,,301.83,325.07,252.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.24,348.84,336.99,288.80,,,,,,,,,,,,,,,,,,299.36,294.88,,,,,,,312.24
2001-09-23 22:06:03.238000,L7,323.42,380.69,368.23,385.90,380.94,,,,,334.31,342.56,340.40,368.03,347.06,,376.34,364.25,351.97,363.38,370.90,407.78,,,,,,,,,,337.21,325.37,311.64,320.57,321.20,,,,,,,,,368.21,407.80,400.03,,,,,,,,,,361.87,356.08,319.93,327.96,322.97,388.54,381.63,307.37,337.81,355.51,367.94,372.04,369.45,370.93,340.78,349.25,350.15,334.93,328.68,339.10,364.12,342.14,329.66,327.78,354.49,372.65,,,,,,,,,,,,,,,
