dates,nzd0191-0000,nzd0191-0001,nzd0191-0009,nzd0191-0010,nzd0191-0011,nzd0191-0012,nzd0191-0013,nzd0191-0018,nzd0191-0019,nzd0191-0020,nzd0191-0021,nzd0191-0022,nzd0191-0023,nzd0191-0024,nzd0191-0025,nzd0191-0026,nzd0191-0027,nzd0191-0028,nzd0191-0029,nzd0191-0030,nzd0191-0031,nzd0191-0032,nzd0191-0033,nzd0191-0034,nzd0191-0035,nzd0191-0036,nzd0191-0037,nzd0191-0038,nzd0191-0039,nzd0191-0040,nzd0191-0041,nzd0191-0042,nzd0191-0043,nzd0191-0044,nzd0191-0045,nzd0191-0046,nzd0191-0047,nzd0191-0048,nzd0191-0049,nzd0191-0050,nzd0191-0051,nzd0191-0052,nzd0191-0053,nzd0191-0054,nzd0191-0055,nzd0191-0056,nzd0191-0057,nzd0191-0058,nzd0191-0059,nzd0191-0060,nzd0191-0002,nzd0191-0003,nzd0191-0004,nzd0191-0005,nzd0191-0006,nzd0191-0007,nzd0191-0008,nzd0191-0014,nzd0191-0015,nzd0191-0016,nzd0191-0017,nzd0191-0061
1999-09-29 21:52:52+00:00,,,,,,,,,,,,,,,,296.34,299.42,214.07,215.42,197.38,221.13,213.77,,,227.75,229.71,231.73,234.74,241.11,238.72,242.32,,,,,,224.74,209.56,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-15 21:52:49+00:00,,307.71,,,,299.81,296.45,,,,,,,,,296.255,297.995,214.92000000000002,217.985,208.64999999999998,222.535,219.04000000000002,234.61,,231.315,233.01,240.765,244.82999999999998,244.31,242.975,243.32999999999998,224.55,238.23,,230.67,226.89,231.42000000000002,215.885,,,244.57,,,,237.77,218.81,,,,,,,,,,,,,,,,
1999-12-09 21:58:57+00:00,,307.71,,,,299.81,296.45,,,,,,,,,296.255,297.995,216.82000000000002,217.66333333333333,208.98333333333335,220.29999999999998,214.25,234.61,,231.315,228.92,240.765,245.9433333333333,244.88333333333333,240.89,243.13333333333333,208.555,229.54,191.49,219.81,215.665,226.03333333333333,215.885,,,244.57,,,,237.77,218.81,,,,,,,,,,,,,,,,
2000-02-04 21:52:37+00:00,,307.71,,,,299.81,296.45,,,,,,,,,296.255,297.995,216.395,213.42000000000002,208.4125,218.0275,214.25,234.61,,231.315,228.92,237.67666666666665,244.0375,241.155,238.3,241.0325,208.555,229.54,191.49,209.21,205.09666666666666,224.115,199.73333333333335,183.36,212.77,231.18,206.22,218.04,200.25,219.005,204.66,,,,,,,,,,,,,,,,
2001-01-05 21:50:16+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.24,173.47,217.77,214.67,198.17,203.52,202.69,187.42,175.59,,,,,,,,,,,,,,,,,
2002-01-24 21:48:42+00:00,,,,,,,,,,,,,,,,,,213.23,211.47,171.16,214.52,,,,,,237.64,240.01,243.16,231.52,237.27,181.24,191.08,176.3,183.84,174.62,216.21,193.34,217.95,215.58,,,,,,,,,,,,,,196.7,165.9,162.85,176.18,,,,,
2002-08-27 21:54:00+00:00,,,,,,,,,,,293.54,,,,,,293.52,,,,,,,,,,,,,,,,,,,,224.46,178.43,211.48,,,,,,,,,,,,,,,,,,,,,,,
2002-10-07 21:47:33+00:00,,,,,,,,,,,293.54,,,,,,293.52,188.61,199.01,201.6,215.11,196.04,210.52,177.28,,,,,229.04,230.71,226.57,,,,172.67,172.65,211.18,176.35500000000002,216.49,231.25,209.8,190.02,198.94,193.98,201.03,185.71,,,,,,,,,,,,,,,,
2002-10-14 21:53:43+00:00,,,,,,,,,,,293.54,,,,,,293.52,199.02,201.29,200.88,210.04000000000002,190.495,210.52,177.28,,,220.59,232.23,230.035,228.26,229.85,191.8,206.24,163.2,177.32,171.255,212.28333333333333,177.96333333333334,215.6,222.09,201.97500000000002,189.235,198.765,199.29500000000002,196.18,189.28500000000003,,,,,,,,,,,,,,,,
2002-10-23 21:47:39+00:00,,,,,,,,,,,293.54,,,,,,293.52,203.5666666666667,202.25,200.32666666666668,209.37,194.92,208.32999999999998,176.7,,,220.59,232.23,233.74333333333334,228.04999999999998,229.99333333333334,197.495,197.395,170.055,176.6,173.92666666666665,211.175,183.4225,209.875,218.85,198.61333333333334,186.93999999999997,198.765,199.29500000000002,196.18,189.28500000000003,,,,,,,,,,,,,,,,
2003-01-18 21:54:30+00:00,,,,,,,,,,,280.845,,,,,,293.52,203.5666666666667,202.25,200.2425,207.78,194.0025,208.32999999999998,176.7,,,225.93,231.805,235.605,227.365,229.49,197.495,197.395,170.055,176.6,173.92666666666665,211.175,183.4225,209.875,218.85,198.61333333333334,186.93999999999997,198.765,199.29500000000002,196.18,189.28500000000003,,,,,,,,,,,,,,,,
2003-07-21 21:42:33+00:00,,,,,,,,,,,,,210.57,220.03,216.69,230.99,,210.27,233.43,236.17,230.88,236.39,243.25,244.37,249.53,245.78,247.82,254.34,241.95,253.11,244.39,254.78,251.86,244.44,247.25,242.33,254.02,,174.1,246.31,263.07,,,,253.94,224.15,,,,,,,,,,,,,,,,
2003-08-06 21:42:51+00:00,,,,,,,,,,,,,210.985,220.05,215.675,228.175,,210.27,233.43,236.17,230.88,236.39,243.25,244.37,245.935,244.985,249.77499999999998,256.15,243.14499999999998,250.48000000000002,247.035,256.675,253.53500000000003,241.39,245.515,241.72500000000002,249.04000000000002,,189.58499999999998,246.095,259.3,,,,253.445,228.175,,,,,,,,,,,,,,,,
2003-08-15 21:36:48+00:00,,,,,,,,,,,,,208.68666666666664,217.2733333333333,204.86666666666667,227.48000000000002,,212.04500000000002,231.085,226.64999999999998,228.99,236.0,242.26,230.56,239.39000000000001,233.45000000000002,249.3166666666667,255.32666666666668,235.82666666666668,248.22333333333336,247.035,253.04666666666665,252.29666666666665,243.36666666666667,244.79333333333332,240.91666666666666,247.36,219.85,189.58499999999998,246.095,259.3,,,,253.445,228.175,,,,,,,,,,,,,,,,
2003-10-18 21:37:48+00:00,,299.08,244.77,264.35,260.45,270.5,265.25,263.71,256.47,257.46,260.93,266.07,208.68666666666664,217.2733333333333,204.86666666666667,227.48000000000002,272.0,212.04500000000002,231.085,226.64999999999998,228.99,236.0,242.26,230.56,239.39000000000001,233.45000000000002,249.3166666666667,255.32666666666668,235.82666666666668,248.22333333333336,259.96999999999997,260.3375,261.1225,253.965,244.79333333333332,240.91666666666666,247.36,219.85,189.58499999999998,246.095,275.61,,,,271.62,249.4,296.62,297.79,265.59,,276.53,250.53,,208.8,184.51,178.66,199.98,265.58,254.66,254.4,262.4,
2003-10-25 21:44:04+00:00,,296.655,239.23000000000002,261.26,259.29499999999996,265.71500000000003,263.78999999999996,268.625,264.905,258.72,259.87,262.265,208.68666666666664,217.2733333333333,204.86666666666667,227.48000000000002,272.0,212.04500000000002,231.085,226.64999999999998,228.99,236.0,242.26,230.56,239.39000000000001,233.45000000000002,249.3166666666667,255.32666666666668,235.82666666666668,248.22333333333336,270.095,267.858,269.592,263.026,244.79333333333332,240.91666666666666,247.36,219.85,189.58499999999998,246.095,286.035,,,,281.955,265.3025,296.325,295.58500000000004,256.855,,284.17999999999995,257.49,243.82,216.005,191.375,186.35,196.92000000000002,271.52,263.17,262.095,272.125,
2004-03-17 21:45:08+00:00,,296.655,239.23000000000002,261.26,259.29499999999996,265.71500000000003,263.78999999999996,268.625,264.905,258.72,259.87,262.265,202.46,209.44,195.36,219.14,272.0,208.33,231.88,193.93,201.19,235.8,238.07,242.63,216.5,222.43,,218.91,216.76,,293.1550000000001,290.075,295.535,292.51500000000004,239.61,239.08,234.27,209.51,198.87,,312.77000000000004,,,,310.465,302.43,296.325,295.58500000000004,256.855,,284.17999999999995,257.49,243.82,216.005,191.375,186.35,196.92000000000002,271.52,263.17,262.095,272.125,
2004-04-02 21:45:18+00:00,,297.97333333333336,231.17,257.97333333333336,257.02666666666664,264.4666666666667,264.9433333333333,263.94666666666666,260.9533333333333,254.76666666666665,256.49,259.60999999999996,229.85500000000002,209.44,195.36,219.14,274.765,208.33,231.88,230.79,235.68,235.8,260.49,242.63,216.5,222.43,,218.91,216.76,,296.30333333333334,288.14666666666665,293.9666666666667,290.10999999999996,239.61,239.08,234.27,209.51,198.87,,313.41333333333336,,,,303.7733333333333,298.7,290.18333333333334,289.61333333333334,256.855,,283.94,257.95,241.135,217.06000000000003,192.68999999999997,190.99666666666667,195.04333333333332,268.27,262.53666666666663,258.70666666666665,269.57666666666665,
2004-05-20 21:46:44+00:00,,300.61,215.05,251.4,252.49,261.97,267.25,254.59,253.05,246.86,249.73,211.24,227.18333333333337,216.465,213.08,228.14499999999998,254.72499999999997,218.60000000000002,233.03,230.69666666666663,234.74666666666667,235.75,255.34,237.635,230.805,233.885,255.96,239.17000000000002,229.6,242.9,273.77,266.025,271.64,267.805,244.12,244.4,242.52,209.51,198.87,252.92,282.705,257.99,209.03,232.02,273.6,266.415,277.9,277.67,,,283.46,258.87,238.45,219.17,195.32,200.29,191.29,261.77,261.27,251.93,264.48,
2004-06-30 21:41:46+00:00,,300.61,215.05,251.4,252.49,261.97,267.25,254.59,253.05,246.86,249.73,198.62,226.63500000000002,223.73666666666668,219.20000000000002,231.97666666666666,248.42999999999998,222.87,234.53666666666666,232.2825,234.74666666666667,235.75,255.34,237.635,230.805,237.62333333333333,256.63,248.8466666666667,230.84666666666666,247.07,260.6066666666667,258.02666666666664,265.82666666666665,262.8333333333333,250.46,247.51666666666665,246.67333333333332,209.51,198.87,262.34999999999997,276.92,257.99,223.66,232.02,269.67,258.9066666666667,277.9,277.67,,,283.46,258.87,238.45,219.17,195.32,200.29,191.29,261.77,261.27,251.93,264.48,
2004-07-07 21:48:09+00:00,,300.61,215.05,251.4,252.49,261.97,267.25,254.59,253.05,246.86,249.73,189.1825,225.044,226.3925,220.1325,232.3175,243.48499999999999,223.0175,235.2775,233.00799999999998,235.0775,237.62,254.0925,240.5633333333333,237.09,239.98000000000002,254.9666666666667,252.9225,229.21,246.59666666666666,255.935,252.35749999999996,262.525,259.7075,250.73250000000002,248.8425,248.8225,224.91,198.87,257.84,274.895,258.05,219.16666666666666,213.21,266.7,253.62,277.9,277.67,,,283.46,258.87,238.45,219.17,195.32,200.29,191.29,261.77,261.27,251.93,264.48,
2004-07-23 21:48:33+00:00,,300.61,215.05,251.4,252.49,261.97,267.25,254.59,253.05,246.86,249.73,184.494,221.615,225.88400000000001,218.50799999999998,231.72799999999998,240.98199999999997,221.98200000000003,234.46999999999997,233.1,234.846,238.4225,252.05599999999998,241.58999999999997,239.9975,241.67200000000003,255.59750000000003,253.5,232.044,245.625,253.052,250.02599999999998,260.89,257.68,251.38000000000002,249.282,248.234,226.89,203.035,257.0125,271.492,252.3066666666667,225.17000000000002,215.47000000000003,263.704,251.62600000000003,277.9,277.67,,,283.46,258.87,238.45,219.17,195.32,200.29,191.29,261.77,261.27,251.93,264.48,
2004-08-08 21:48:50+00:00,,300.61,215.05,251.4,252.49,261.97,267.25,254.59,253.05,246.86,249.73,184.494,221.615,225.88400000000001,218.50799999999998,231.51999999999998,239.58,222.88333333333333,234.96666666666667,233.54285714285714,234.585,238.4225,252.05599999999998,241.58999999999997,239.9975,241.94333333333336,254.38400000000001,254.42500000000004,234.20666666666668,246.96599999999998,252.4366666666667,249.59333333333333,260.15166666666664,257.01166666666666,252.00166666666667,249.75166666666667,250.25166666666667,229.7575,209.15666666666667,259.772,270.46,255.0625,229.458,222.95250000000001,263.47166666666664,251.07833333333335,277.9,277.67,,,283.46,258.87,238.45,219.17,195.32,200.29,191.29,261.77,261.27,251.93,264.48,
2004-09-25 21:50:07+00:00,,297.54,217.485,254.66,253.995,261.35,264.15999999999997,260.53000000000003,257.20500000000004,249.66000000000003,250.39,197.66833333333332,231.06000000000003,237.348,234.17600000000002,242.05000000000004,245.22,234.875,235.584,246.12999999999997,248.26333333333332,249.17000000000002,261.13,253.01999999999998,258.27,253.71166666666667,261.84999999999997,268.9766666666667,247.65333333333334,254.62,259.3757142857143,255.1142857142857,265.89428571428573,262.0157142857143,260.46166666666664,258.15833333333336,259.89000000000004,247.685,241.85666666666668,267.4216666666667,276.9157142857143,268.18600000000004,243.93666666666664,241.45,270.3357142857143,257.7371428571428,283.94,285.94,,,282.19,257.645,235.72,217.615,197.45999999999998,197.815,192.115,264.705,262.84499999999997,253.74499999999998,266.64,
2004-10-20 21:44:28+00:00,,295.665,227.625,259.04999999999995,256.275,262.805,260.845,263.53,259.0,254.69,253.92000000000002,198.63500000000002,233.4766666666667,242.19666666666663,241.29,246.25857142857143,243.6357142857143,240.29857142857145,241.97500000000002,246.8457142857143,248.49999999999997,255.02800000000002,261.548,260.15,265.61199999999997,259.57714285714286,267.3071428571429,273.4814285714286,252.99,258.9557142857143,257.0514285714286,254.39000000000001,265.33857142857147,262.31857142857143,265.5057142857143,262.93857142857144,265.36857142857144,255.17600000000002,257.27750000000003,273.30285714285714,275.5957142857143,274.835,253.60142857142858,251.42333333333332,271.86,257.64142857142855,287.65999999999997,293.17999999999995,,,275.84000000000003,252.075,231.385,212.13,192.68,190.09,194.59,263.76,257.87,253.89,263.11,
2004-10-27 21:50:47+00:00,,298.40333333333336,226.61,257.38666666666666,256.24333333333334,261.03333333333336,264.94666666666666,265.54333333333335,256.11333333333334,252.54,250.12333333333333,207.2757142857143,236.84142857142857,245.13571428571427,246.50571428571428,250.85375,247.985,245.52625,247.86285714285717,251.345,251.4585714285714,258.37666666666667,264.31666666666666,263.89166666666665,269.71166666666664,263.55375,271.46125,278.12125000000003,259.4725,263.4125,263.11,258.6625,270.1425,264.07625,268.19875,265.87,268.01125,259.24333333333334,264.76800000000003,279.01125,281.18625,282.39428571428573,262.21625,261.0214285714286,277.44500000000005,262.08,286.71,291.69,,,277.54,254.18666666666664,234.49666666666667,214.87666666666667,193.92333333333332,187.36666666666667,194.63666666666666,265.90000000000003,260.95,256.47666666666663,265.7033333333333,
2005-01-15 21:52:09+00:00,,294.7225,227.735,259.1375,259.1425,259.6125,261.2575,267.4,256.11333333333334,257.295,254.08,244.96000000000004,248.09499999999997,259.002,261.56,259.925,258.46166666666664,258.075,258.258,264.6066666666666,263.0783333333333,272.714,277.80000000000007,280.412,285.68600000000004,278.9,282.42,287.505,276.1333333333334,273.2766666666667,277.145,269.41666666666663,284.04833333333335,276.36333333333334,280.25,278.975,281.1016666666667,269.25333333333333,269.32,292.96999999999997,293.21666666666664,294.1083333333333,290.08166666666665,282.995,291.88000000000005,280.10999999999996,289.0075,293.075,,,272.225,251.51749999999998,230.7025,210.69,193.92333333333332,191.82999999999998,197.495,260.0025,256.435,251.77749999999997,261.7925,
2005-02-09 21:46:19+00:00,,294.7225,227.735,259.1375,265.536,259.6125,268.434,274.406,256.11333333333334,265.614,263.066,273.26800000000003,268.3975,270.866,277.43199999999996,278.16,275.134,279.23400000000004,274.20000000000005,279.46999999999997,277.8175,286.87399999999997,291.70799999999997,295.61199999999997,297.332,298.86199999999997,300.182,302.5425,294.846,290.33399999999995,292.99749999999995,282.0925,298.37,296.832,293.105,292.6775,295.0975,294.146,303.29200000000003,308.12,313.494,319.54200000000003,318.262,308.14500000000004,316.938,297.16749999999996,289.0075,293.075,349.39,357.65,275.23400000000004,257.83,230.7025,210.69,193.92333333333332,191.82999999999998,197.495,260.0025,256.435,251.77749999999997,261.7925,347.32
2005-02-25 21:46:35+00:00,,294.7225,227.735,259.1375,265.536,259.6125,268.434,274.406,256.11333333333334,265.614,263.066,274.99833333333333,268.3975,270.866,277.43199999999996,278.16,275.134,279.23400000000004,274.20000000000005,279.46999999999997,277.8175,286.87399999999997,291.70799999999997,295.61199999999997,297.332,298.86199999999997,300.182,302.5425,294.846,290.33399999999995,292.99749999999995,282.0925,298.37,296.832,293.105,292.6775,295.0975,294.146,303.29200000000003,308.12,313.494,319.54200000000003,318.262,308.14500000000004,321.25666666666666,297.16749999999996,289.0075,293.075,345.195,357.65,275.23400000000004,257.83,230.7025,210.69,193.92333333333332,191.82999999999998,197.495,260.0025,256.435,251.77749999999997,261.7925,347.32
