dates,nzd0191-0000,nzd0191-0001,nzd0191-0009,nzd0191-0010,nzd0191-0011,nzd0191-0012,nzd0191-0013,nzd0191-0018,nzd0191-0019,nzd0191-0020,nzd0191-0021,nzd0191-0022,nzd0191-0023,nzd0191-0024,nzd0191-0025,nzd0191-0026,nzd0191-0027,nzd0191-0028,nzd0191-0029,nzd0191-0030,nzd0191-0031,nzd0191-0032,nzd0191-0033,nzd0191-0034,nzd0191-0035,nzd0191-0036,nzd0191-0037,nzd0191-0038,nzd0191-0039,nzd0191-0040,nzd0191-0041,nzd0191-0042,nzd0191-0043,nzd0191-0044,nzd0191-0045,nzd0191-0046,nzd0191-0047,nzd0191-0048,nzd0191-0049,nzd0191-0050,nzd0191-0051,nzd0191-0052,nzd0191-0053,nzd0191-0054,nzd0191-0055,nzd0191-0056,nzd0191-0057,nzd0191-0058,nzd0191-0059,nzd0191-0060,nzd0191-0002,nzd0191-0003,nzd0191-0004,nzd0191-0005,nzd0191-0006,nzd0191-0007,nzd0191-0008,nzd0191-0014,nzd0191-0015,nzd0191-0016,nzd0191-0017,nzd0191-0061
2005-03-04 21:52:52+00:00,,294.7225,228.98200000000003,259.298,264.63166666666666,260.738,267.96999999999997,271.31166666666667,256.38,263.97499999999997,262.1383333333333,274.17285714285714,269.698,271.3016666666667,278.51,277.6666666666667,274.9216666666667,278.3566666666667,275.0675,278.834,277.876,286.3433333333333,291.83500000000004,295.52,297.6333333333333,299.85499999999996,300.80333333333334,303.634,294.11,290.05833333333334,292.95399999999995,282.256,297.10200000000003,294.975,293.622,294.104,296.22200000000004,293.8883333333333,303.8183333333333,309.402,312.96,318.75666666666666,316.59,308.082,318.90714285714284,296.53999999999996,288.37600000000003,292.648,345.195,357.65,273.865,256.6083333333333,230.20999999999998,210.04000000000002,195.2925,189.73,197.914,259.44,254.956,250.844,261.53200000000004,347.32
2005-04-21 21:53:10+00:00,,293.5133333333333,229.11,258.4275,267.034,259.65,269.596,272.372,254.07333333333335,265.79799999999994,262.63599999999997,276.08,272.41999999999996,273.954,279.07399999999996,277.90600000000006,276.202,278.062,275.6875,278.935,277.935,287.806,294.098,297.5,300.37600000000003,302.37199999999996,302.178,304.87250000000006,295.706,290.802,291.73749999999995,281.735,297.2675,296.172,294.05,295.47749999999996,297.8025,297.45,305.272,312.845,314.582,320.36199999999997,316.404,307.08750000000003,320.795,296.9375,288.24,290.21500000000003,345.195,357.65,272.508,257.198,229.425,207.9525,195.76666666666665,190.72000000000003,198.02499999999998,256.8525,253.96249999999998,247.84,260.315,347.32
2005-06-01 21:47:18+00:00,,288.33,230.62,259.8833333333333,269.7475,260.36999999999995,268.70750000000004,273.0725,255.94,270.1875,267.66249999999997,279.47200000000004,277.54999999999995,276.75,279.3925,267.09400000000005,266.68399999999997,267.11400000000003,261.745,265.66,263.2525,279.81000000000006,286.724,288.9,292.866,293.72799999999995,292.86400000000003,292.265,293.42,281.048,275.82,269.1525,283.2125,290.13,284.17,285.17,287.755,301.9175,307.90749999999997,310.80333333333334,313.14750000000004,318.515,314.875,303.24666666666667,321.646,298.20000000000005,289.3833333333333,290.7166666666667,345.195,357.65,270.4,256.895,225.66,203.8133333333333,195.445,193.65333333333334,199.12333333333333,252.41,249.57999999999996,243.23666666666668,256.79,347.32
2005-06-08 21:53:33+00:00,,288.33,230.62,259.8833333333333,269.7475,260.36999999999995,268.70750000000004,273.0725,255.94,270.1875,267.66249999999997,279.47200000000004,277.54999999999995,276.75,279.3925,261.5016666666667,260.59,260.5,256.604,260.28000000000003,259.928,274.12333333333333,281.73499999999996,281.1716666666667,286.1816666666667,287.0983333333333,287.7083333333333,286.95799999999997,293.42,275.02000000000004,271.42999999999995,264.856,277.96799999999996,284.6033333333333,279.254,278.012,279.58000000000004,301.9175,307.90749999999997,310.80333333333334,313.14750000000004,318.515,314.875,303.24666666666667,321.646,298.20000000000005,289.3833333333333,290.7166666666667,345.195,357.65,270.4,256.895,225.66,203.8133333333333,195.445,193.65333333333334,199.12333333333333,252.41,249.57999999999996,243.23666666666668,256.79,347.32
2005-07-19 21:47:39+00:00,,292.98,230.375,257.63,270.3833333333334,262.87999999999994,274.88000000000005,273.1066666666667,255.94,269.72999999999996,268.2333333333333,280.265,277.54999999999995,277.27,283.37999999999994,254.29666666666665,255.26666666666665,253.84666666666666,249.204,250.42600000000002,250.164,265.295,272.87833333333333,269.175,277.02,278.0216666666667,282.195,280.672,297.52666666666664,270.36333333333334,263.682,259.126,268.09000000000003,276.2633333333334,269.538,264.88199999999995,268.13800000000003,302.4333333333334,313.18333333333334,316.58000000000004,319.3,323.3566666666666,319.74666666666667,306.25,325.025,293.6700000000001,286.125,287.46000000000004,345.195,357.65,275.1066666666667,261.3566666666666,228.83,206.65499999999997,195.445,187.87000000000003,195.64999999999998,257.46000000000004,252.92499999999995,246.01500000000001,260.155,347.32
2005-10-30 21:54:03+00:00,,304.94,217.93,247.04,247.38,261.93,273.88,270.18,250.01,246.6,242.59,,256.01,262.38,277.45,227.3733333333333,230.7733333333333,227.6233333333333,230.64666666666668,233.19000000000005,240.9925,245.4475,256.1625,246.325,260.2025,259.00750000000005,256.84999999999997,262.4366666666667,302.01,244.9766666666667,245.37000000000003,243.19999999999993,260.3775,256.6225,260.8375,244.0233333333333,255.8425,278.63,301.69,314.42,320.46,324.49,325.26,315.4,313.08,289.19,280.43,281.42,,,284.04,255.75,240.49,222.21,192.19,,179.53,271.32,270.53,263.45,270.85,
2006-02-28 21:50:40+00:00,,304.94,217.93,247.04,247.38,261.93,273.88,270.18,250.01,246.6,242.59,,256.01,237.98000000000002,248.87,220.05,220.78,210.69,207.82,230.35,268.47,248.99499999999998,281.22,258.45,285.43,264.91,,,302.01,236.59,233.53,226.52,253.54999999999995,274.29,285.58,234.32,283.84,278.63,301.69,314.42,320.46,324.49,325.26,315.4,313.08,289.19,280.43,281.42,,,284.04,255.75,240.49,222.21,192.19,,179.53,271.32,270.53,263.45,270.85,
2006-06-27 21:58:48+00:00,,290.45,236.84,264.8,264.33,264.18,265.72,266.73,264.65,255.54,255.21,263.97,266.25,213.58,220.29,220.05,220.78,210.69,207.82,230.35,284.09,260.07,290.11,239.52,294.44,243.91,,304.11,295.81,236.59,233.53,226.52,223.16,290.57,299.72,234.32,301.73,287.22,300.37,308.62,311.35,308.75,309.22,303.48,302.42,299.09,293.49,,,,270.11,247.56,226.81,211.2,198.76,189.82,193.37,266.11,258.02,255.77,265.71,
2006-07-06 21:52:45+00:00,,290.45,236.84,264.8,264.33,264.18,265.72,266.73,264.65,255.54,255.21,263.97,266.25,222.015,224.02499999999998,228.54500000000002,226.19,215.73000000000002,207.82,230.35,284.09,255.97,272.67,243.155,274.725,251.675,258.11,285.245,295.81,243.535,243.715,235.14499999999995,239.065,290.57,299.72,243.57,301.73,287.22,300.37,308.62,288.32500000000005,308.75,309.22,303.48,302.42,299.09,293.49,,,,270.11,247.56,226.81,211.2,198.76,189.82,193.37,266.11,258.02,255.77,265.71,
2006-07-13 21:59:02+00:00,,290.45,236.84,264.8,264.33,264.18,265.72,266.73,264.65,255.54,255.21,263.97,266.25,222.85333333333332,223.43999999999997,230.49,229.35333333333332,220.70666666666668,220.36,230.79500000000002,284.09,250.8125,264.0466666666667,242.20333333333335,267.56,252.57333333333335,257.5,278.1666666666667,295.81,246.10666666666665,241.29666666666665,236.23666666666665,239.4333333333333,290.57,299.72,245.41,301.73,287.22,300.37,308.62,280.72333333333336,308.75,309.22,303.48,302.42,299.09,293.49,,,,270.11,247.56,226.81,211.2,198.76,189.82,193.37,266.11,258.02,255.77,265.71,
2006-08-23 21:53:23+00:00,,289.85,232.49,260.6,259.33,263.875,262.615,263.255,261.105,255.755,253.255,265.83000000000004,266.37,235.41750000000002,235.3875,240.5025,240.14249999999998,232.87,238.42999999999998,243.04333333333332,282.005,256.79,270.4875,255.5125,274.79499999999996,263.8825,271.0233333333333,283.58000000000004,293.16999999999996,256.6925,252.9475,247.24249999999998,251.3225,290.705,297.995,257.49,298.62,289.175,299.11,305.1,286.52250000000004,306.235,305.355,302.21500000000003,297.28,297.46,290.405,295.7,,,268.045,243.66499999999996,223.61,206.89,197.22,189.82,188.82,259.805,256.86999999999995,251.24499999999998,263.225,
2006-12-13 21:54:31+00:00,,295.69,235.2733333333333,260.56333333333333,260.87666666666667,266.22333333333336,264.8333333333333,260.81333333333333,260.2366666666667,255.80666666666664,254.33,264.93,265.2133333333333,251.83999999999997,250.10250000000002,256.5525,254.61,250.6375,263.11999999999995,260.31333333333333,282.40000000000003,265.62399999999997,274.11,268.91,279.13,277.58000000000004,278.86,289.182,294.92333333333335,271.6425,268.72249999999997,262.5125,269.7925,289.99666666666667,297.73333333333335,271.89500000000004,296.8666666666667,288.66333333333336,299.14000000000004,304.0333333333333,291.918,307.84999999999997,309.23,304.74,302.65333333333336,297.9433333333333,291.62,290.83500000000004,,,271.21333333333337,247.50999999999996,226.04999999999998,208.72333333333333,197.22,189.82,188.82,262.84999999999997,258.33,254.81666666666663,263.50666666666666,
2009-11-26 21:56:28+00:00,,294.19,269.23,253.72,254.58,259.67,257.97,269.08,263.63,260.28,262.35,259.32,261.79,264.74,269.89,270.95,268.98,274.89,277.53,279.39,282.16,281.86,291.21,290.34,288.4,289.46,289.39,297.38,283.79,287.38,289.11,288.46,287.48,286.0,292.98,293.63,289.53,276.84,295.54,297.31,299.65,292.45,306.23,304.84,301.67,293.28,286.23,291.69,,,269.15,247.66,239.14,215.46,190.61,190.76,199.37,256.4,251.18,253.97,265.55,
2010-01-13 21:56:49+00:00,,294.37,264.48,254.87,255.45999999999998,258.71000000000004,258.51,267.56,265.99,262.6,261.66,264.46500000000003,268.69,267.73,273.835,274.015,271.655,275.59000000000003,277.98,279.15999999999997,282.70000000000005,283.1,291.625,291.27,292.455,295.365,294.2,299.38,288.46500000000003,288.455,289.45500000000004,286.53499999999997,287.01,286.615,294.21000000000004,294.78499999999997,294.28,283.22,295.89,298.16499999999996,299.905,294.82,303.04,301.605,301.78,291.79999999999995,286.25,289.0,,,267.17999999999995,248.85500000000002,235.125,211.9,189.005,186.26999999999998,195.085,254.76999999999998,251.77,250.905,263.26,
2010-10-28 21:55:51+00:00,331.34,298.06,269.82,269.23,265.58,267.65,265.37,270.86,268.15,265.0,264.72,270.18,267.93,267.08,271.14,274.23,272.6,271.34,278.89,281.59,284.64,284.16,291.94,297.27,295.88,294.37,294.3,300.36,288.86,288.38,291.47,291.07,292.58,290.79,297.48,298.07,302.21,281.27,297.41,301.89,307.1,299.51,304.76,306.44,307.7,304.89,296.71,300.06,,,276.17,249.81,233.73,217.29,194.15,189.89,204.84,263.61,258.82,255.34,270.57,
2010-12-31 21:55:56+00:00,331.34,296.625,272.29999999999995,265.635,260.43,264.41999999999996,261.525,270.345,270.17499999999995,266.23,265.655,270.58500000000004,264.945,269.865,271.885,274.025,273.66,272.57,278.87,282.61,284.88,285.70500000000004,292.315,296.26,297.21000000000004,295.03499999999997,295.055,300.125,289.15999999999997,287.97,290.425,290.5,292.225,288.645,296.81,296.81,301.455,282.09000000000003,297.32500000000005,299.635,305.015,297.66499999999996,301.54999999999995,304.275,304.695,300.265,290.07,296.015,,,274.815,249.185,231.56,217.355,194.59,187.05,202.19,261.315,255.995,252.26999999999998,270.65999999999997,
