dates,satname,nzd0352-0000,nzd0352-0001,nzd0352-0002,nzd0352-0003,nzd0352-0004,nzd0352-0005
1999-09-04 22:00:09.953000,L7,416.86,,,,,
1999-12-09 22:00:09.551000,L7,385.78,376.72,366.38,341.61,359.47,341.30
2000-02-11 21:59:57.866000,L7,,313.72,329.51,298.68,328.51,302.19
2000-10-24 21:57:29.684000,L7,368.57,376.75,377.45,338.70,368.03,350.82
2000-12-11 21:57:36.803000,L7,386.46,379.32,377.34,364.31,363.17,357.64
2001-12-30 21:55:49.115000,L7,350.65,360.47,360.02,334.50,352.07,327.01
2002-01-15 21:55:59.365000,L7,,308.57,315.82,291.16,336.43,
2003-01-02 21:55:34.113000,L7,391.77,386.69,387.84,369.58,374.23,355.87
2003-01-18 21:55:42.118000,L7,369.74,373.60,366.86,342.71,364.08,345.32
2003-02-19 21:55:54.479000,L7,344.76,387.12,378.44,368.34,374.58,353.39
2003-12-28 21:45:57.554000,L5,296.20,332.81,283.04,302.19,338.20,315.59
2004-10-27 21:51:59.516000,L5,256.38,334.82,315.76,309.38,341.65,305.07
2005-01-15 21:53:21.356000,L5,,331.02,300.20,304.62,340.74,291.78
2005-03-04 21:54:04.136000,L5,,310.87,268.09,289.66,320.47,292.99
2005-09-28 21:55:20.450000,L5,,318.61,310.85,301.67,332.21,300.98
2006-02-19 21:57:51.685000,L5,,330.83,297.00,296.84,332.55,306.29
2006-11-02 22:01:32.743000,L5,284.21,329.01,305.49,284.57,326.47,304.78
2007-01-05 22:02:04.371000,L5,306.55,329.11,280.77,306.93,336.64,312.87
2007-01-21 22:02:09.591000,L5,287.05,331.14,285.35,299.22,336.99,310.89
2007-02-06 22:02:11.997000,L5,,329.98,297.84,301.49,338.55,307.04
2008-02-25 21:57:37.029000,L5,,332.70,304.14,301.47,334.71,308.45
2008-12-25 21:51:46.135000,L5,293.81,331.99,297.46,299.85,333.06,310.44
2010-01-29 21:58:05.346000,L5,,331.05,278.57,291.29,335.78,304.75
2010-10-12 21:57:13.086000,L5,,,,306.98,327.37,313.43
2011-01-16 21:57:09.950000,L5,,,,292.52,330.33,300.34
2011-02-17 21:57:12.898000,L5,,315.51,282.00,295.56,325.67,306.99
2013-04-11 22:09:26.995000,L8,,278.77,320.39,299.05,329.95,
2014-01-24 22:08:21.364000,L8,,,,272.81,319.89,286.53
2014-02-09 22:08:09.113000,L8,,,,,321.95,290.61
2014-03-13 22:07:45.256000,L8,,,,287.54,326.01,286.99
2014-10-07 22:07:25.795000,L8,,316.49,306.81,287.36,327.16,290.47
2014-11-08 22:07:28.004000,L8,304.64,322.08,307.56,276.07,325.96,297.47
2014-12-26 22:07:18.944000,L8,,329.34,321.24,302.89,341.23,306.86
2015-02-12 22:07:03.113000,L8,334.35,327.05,327.55,294.81,330.23,298.48
2015-02-28 22:07:00.305000,L8,,,,285.04,325.84,292.63
2015-08-23 22:07:00.453000,L8,,359.04,361.42,306.94,355.35,315.02
2015-09-08 22:07:06.448000,L8,,331.96,324.42,297.33,337.90,307.20
2015-10-10 22:07:14.813000,L8,,325.23,313.87,285.94,329.84,295.07
2015-11-27 22:07:23.156000,L8,336.20,327.88,318.35,280.03,334.30,300.59
2015-12-13 22:07:21.432000,L8,338.94,331.13,326.48,287.51,334.16,301.21
2015-12-29 22:07:21.036000,L8,302.86,320.08,310.16,277.38,317.26,294.57
2016-03-02 22:07:07.398000,L8,,327.30,325.21,279.99,335.83,298.78
2016-09-10 22:07:27.365000,L8,,320.83,315.34,292.67,330.22,293.41
2016-10-12 22:07:33.085000,L8,293.83,327.47,317.68,281.21,328.50,295.58
2016-12-15 22:07:29.991000,L8,326.16,322.15,303.74,285.07,329.58,297.26
2017-03-21 22:06:52.698000,L8,,274.67,319.28,289.43,327.86,292.98
2017-10-31 22:07:31.844000,L8,342.16,335.47,332.61,292.57,336.57,306.03
2017-12-02 22:07:22.770000,L8,346.44,339.92,339.16,298.23,342.43,315.53
2018-01-19 22:07:14.526000,L8,305.99,319.77,313.37,284.78,329.05,297.02
2018-02-20 22:07:00.077000,L8,291.31,323.09,313.03,295.38,321.50,294.47
2018-03-24 22:06:44.096000,L8,,,321.74,297.59,327.76,296.61
2018-08-31 22:06:47.157000,L8,,,326.08,300.53,328.15,294.14
2018-10-18 22:07:05.594000,L8,293.81,327.21,327.64,293.50,332.80,300.95
2018-12-21 22:07:06.566000,L8,340.11,329.05,323.47,287.00,326.77,293.03
2019-01-22 22:07:02.132000,L8,337.82,330.07,329.51,291.85,334.48,308.34
2019-02-07 22:06:59.544000,L8,,,,282.02,325.62,289.07
2019-03-27 22:06:47.460000,L8,,,321.84,287.10,332.31,292.25
2019-04-12 22:06:42.607000,L8,,295.36,330.63,300.34,325.33,286.18
2019-09-19 22:07:32.145000,L8,,321.98,318.17,294.62,327.31,299.06
2019-10-05 22:07:36.198000,L8,253.58,323.52,314.68,292.13,329.96,297.07
2019-10-21 22:07:37.761000,L8,,319.52,308.09,279.47,323.53,293.65
2020-01-09 22:07:25.588000,L8,,,,278.75,328.35,296.74
2020-01-25 22:07:21.445000,L8,303.72,326.46,324.82,291.87,331.31,298.59
2020-02-10 22:07:16.756000,L8,,,,286.35,326.84,290.04
2020-02-26 22:07:12.690000,L8,,322.08,326.25,291.09,329.54,295.34
2020-03-13 22:07:06.074000,L8,,,,290.78,326.39,290.24
2020-09-21 22:07:30.724000,L8,,322.42,320.50,296.87,329.35,293.58
2020-10-23 22:07:33.943000,L8,326.21,326.01,327.54,286.31,324.09,298.01
2021-01-11 22:07:26.124000,L8,327.96,325.99,319.26,284.36,328.59,299.05
2021-02-12 22:07:19.216000,L8,,,,286.85,326.50,296.89
2021-09-08 22:07:29.873000,L8,,280.17,309.41,296.19,331.20,295.06
2021-09-24 22:07:32.728000,L8,,324.72,319.39,296.09,333.21,296.07
2021-12-21 22:07:31.120000,L9,303.82,319.36,313.25,280.03,326.79,294.96
2021-12-29 22:07:29.143000,L8,,387.46,380.94,363.48,363.07,349.94
2022-02-15 22:07:18.025000,L8,,,,286.37,327.72,291.67
2022-02-23 22:07:19.963000,L9,,321.41,325.84,289.34,331.47,297.53
2022-09-19 22:07:33.648000,L9,371.40,363.46,378.13,333.06,347.16,328.68
2022-10-05 22:07:34.692000,L9,,326.12,314.91,287.70,334.54,297.66
2022-10-21 22:07:41.412000,L9,292.89,321.62,314.90,280.23,329.31,295.97
2022-10-29 22:07:52.427000,L8,296.45,324.90,312.99,294.02,327.97,296.78
2022-11-06 22:07:39.965000,L9,305.72,323.20,314.53,283.48,324.26,294.51
2022-11-14 22:07:47.062000,L8,,,,283.96,321.46,294.63
2023-01-25 22:07:37.119000,L9,335.57,,,,,
2023-02-18 22:07:25.855000,L8,,,,283.63,327.99,289.31
2023-03-06 22:07:14.102000,L8,,314.92,325.77,291.78,329.51,293.04
2023-03-14 22:07:23.107000,L9,,322.98,326.02,294.94,328.46,297.89
2023-03-22 22:07:04.713000,L8,,320.08,327.09,292.11,328.62,
2023-08-29 22:07:14.014000,L8,,283.97,321.46,310.59,334.82,293.70
2023-09-06 22:07:14.613000,L9,,265.98,317.09,301.45,331.76,293.27
2023-09-30 22:07:21.548000,L8,,325.70,314.19,302.51,328.98,302.64
2023-10-08 22:07:22.193000,L9,,319.66,313.84,292.66,332.56,297.18
2023-10-24 22:07:27.973000,L9,320.38,325.68,312.95,296.01,325.70,296.56
2023-11-25 22:07:32.484000,L9,,330.57,319.86,300.12,335.48,302.35
2023-12-19 22:07:27.073000,L8,340.74,330.32,330.30,301.68,339.65,298.94
2024-01-12 22:07:30.793000,L9,,,,293.19,327.50,291.27
2024-01-28 22:07:30.090000,L9,,,,281.28,324.77,293.33
2024-02-05 22:07:19.904000,L8,,,,293.87,328.79,297.22
2024-02-13 22:07:29.811000,L9,,327.04,328.53,301.30,335.56,300.13
2024-02-21 22:07:17.333000,L8,377.68,381.14,381.66,371.23,371.36,358.87
2024-02-29 22:07:23.348000,L9,,329.82,332.74,304.76,334.59,301.67
2024-03-16 22:07:23.404000,L9,,319.91,321.01,300.26,326.68,288.78
2024-08-31 22:07:03.291000,L8,,280.35,326.73,310.69,335.46,291.67
2024-09-24 22:07:01.359000,L9,,,,282.10,320.78,292.28
2024-10-10 22:07:10.262000,L9,,325.87,305.75,301.06,330.12,295.21
2024-10-18 22:07:18.673000,L8,,,,279.82,318.17,287.88
2024-11-11 22:07:15.564000,L9,,,,278.08,320.17,292.23
2024-11-19 22:07:19.849000,L8,312.18,325.88,311.71,294.37,326.82,296.39
2024-12-13 22:07:21.847000,L9,348.78,340.60,347.70,319.84,345.76,318.49
2025-01-06 22:07:18.443000,L8,303.87,318.91,311.37,279.41,319.92,292.57
2025-01-22 22:07:13.469000,L8,,,,286.03,327.11,293.22
2025-02-07 22:07:17.137000,L8,,,,287.12,332.77,289.21
2025-02-23 22:07:07.365000,L8,,,,267.29,328.05,292.29
2025-09-19 22:07:27.204000,L8,,316.61,301.36,293.80,331.48,291.84
2025-10-05 22:07:28.631000,L8,,321.50,298.41,295.97,323.61,291.38
2025-10-29 22:07:29.182000,L9,315.00,322.55,300.51,292.96,324.37,289.65
2025-11-06 22:07:31.775000,L8,310.50,320.48,299.40,284.52,322.23,292.82
2025-11-14 22:07:36.344000,L9,,328.18,321.56,286.74,328.06,294.01
