dates,satname,nzd0242-0000,nzd0242-0001,nzd0242-0002,nzd0242-0003,nzd0242-0004,nzd0242-0005,nzd0242-0006,nzd0242-0007,nzd0242-0008,nzd0242-0009,nzd0242-0010,nzd0242-0011,nzd0242-0012,nzd0242-0013,nzd0242-0014,nzd0242-0015,nzd0242-0016,nzd0242-0017,nzd0242-0018,nzd0242-0019,nzd0242-0020,nzd0242-0021,nzd0242-0022,nzd0242-0023,nzd0242-0024,nzd0242-0025,nzd0242-0026,nzd0242-0027,nzd0242-0028
1999-09-22 21:46:36.849000,L7,350.87,344.78,346.05,344.82,316.47,374.71,351.77,368.69,366.87,361.57,356.58,361.79,333.67,353.66,356.86,357.77,355.20,279.74,320.56,285.49,343.62,305.59,331.43,320.36,325.08,318.91,321.18,317.32,
1999-10-24 21:46:32.266000,L7,361.56,346.39,355.50,353.75,386.14,385.84,,,,,,,,,323.19,323.94,351.72,354.65,331.74,330.04,,,,,,,,,
2000-04-01 21:46:10.627000,L7,335.46,300.15,331.49,325.23,331.67,347.73,321.25,364.08,333.67,320.49,333.74,332.73,322.26,329.45,321.31,301.73,297.72,303.41,275.41,301.75,330.46,318.88,304.37,325.69,300.13,321.46,324.79,321.81,
2000-05-19 21:45:43.918000,L7,,,,,260.07,285.48,,,,,,,313.56,314.38,307.58,305.94,275.72,276.30,,,,,,,,316.24,315.36,307.67,
2000-08-07 21:44:45.034000,L7,336.63,330.00,318.46,,,,313.82,358.03,334.31,283.61,344.18,279.33,328.45,343.42,316.55,295.79,,,,,,,,,,,,,
2001-01-14 21:44:09.210000,L7,,,,,,,,,,371.72,352.73,380.80,366.15,,,,,,,,,,393.24,344.21,359.13,350.90,,,
2001-07-25 21:42:54.824000,L7,307.73,316.04,317.64,324.77,270.67,342.00,319.82,345.22,314.58,285.58,315.19,335.37,320.61,355.61,324.52,332.81,310.88,327.54,323.75,338.08,323.50,317.83,294.70,,,,,,
2001-08-10 21:42:36.562000,L7,314.76,,,337.49,278.61,346.04,331.43,333.33,341.84,296.50,351.95,354.75,327.23,351.76,342.34,317.99,311.72,331.82,312.95,,,,,358.70,322.28,256.93,261.91,,
2001-08-26 21:42:25.671000,L7,331.93,326.85,,328.22,278.45,354.26,319.56,357.10,333.68,337.27,344.25,343.65,320.90,350.00,340.75,307.42,285.78,312.88,271.82,,,,,317.40,307.76,270.67,317.39,312.16,
2001-09-27 21:42:05.338000,L7,,,,,,,385.83,380.68,376.09,373.95,380.32,378.56,385.02,385.79,348.01,341.64,340.27,341.68,348.85,364.24,353.58,340.72,336.11,376.34,397.89,363.73,351.40,366.50,376.19
2001-10-13 21:41:51.963000,L7,,,,,,324.66,311.17,321.14,263.25,,,,,,,,,,,,,,,,,,,,
2002-02-02 21:42:30.783000,L7,,,,,276.31,341.95,326.09,336.92,328.75,,,,,,,,,,,,,,,,310.76,299.57,325.71,,
2002-04-07 21:42:28.931000,L7,353.15,345.27,346.33,359.88,376.82,377.14,378.79,373.22,379.95,365.79,377.85,382.26,378.78,374.87,366.43,,,,,,,,,,,,,,
2002-08-29 21:41:39.340000,L7,,,,,,,,,,,,,,,,,,,,,,,,312.86,320.94,318.23,291.20,,
2002-09-14 21:41:31.043000,L7,333.85,294.18,325.63,266.01,266.04,337.91,310.45,351.95,325.37,283.27,327.34,329.68,317.95,350.82,318.46,285.16,287.75,311.69,270.29,,,,,312.99,313.75,319.24,319.55,324.91,
2003-01-20 21:42:09.421000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,386.42,379.01,375.23,376.69
2003-02-21 21:42:20.469000,L7,314.07,290.07,311.67,323.65,321.13,336.48,334.79,337.64,338.66,343.74,332.29,341.65,347.08,338.47,330.45,284.42,295.34,293.23,275.88,286.13,275.40,294.82,304.32,314.39,325.68,322.38,316.84,343.14,
2003-04-26 21:42:25.606000,L7,,,,,,,,,,,,331.06,317.38,314.42,310.02,,,,,,,,,307.06,311.75,314.84,313.39,,
2003-09-25 21:31:19.142000,L5,330.16,287.14,315.96,309.09,343.20,342.83,346.73,351.17,330.76,338.02,342.82,343.21,329.55,335.70,332.73,302.24,323.55,323.14,328.79,332.98,324.17,335.58,325.58,330.52,347.19,336.37,332.23,325.61,330.02
2003-12-14 21:32:14.677000,L5,343.92,325.02,353.27,364.56,386.32,394.05,,383.43,375.37,363.04,368.56,363.15,363.22,358.75,359.27,361.00,361.26,362.22,363.67,364.78,361.34,343.83,349.19,354.94,365.29,356.48,360.49,363.56,367.01
2003-12-30 21:32:24.694000,L5,352.80,334.65,346.66,354.86,373.61,382.03,381.59,392.66,392.23,392.19,394.26,389.28,385.01,369.48,365.66,358.94,357.44,356.06,361.78,369.10,,,,,,389.54,376.29,367.67,367.18
2004-05-06 21:33:58.336000,L5,,,,264.79,327.80,330.62,341.53,355.03,320.45,336.29,327.49,331.87,312.69,333.18,330.68,,309.31,306.30,314.63,315.71,315.02,327.25,308.70,324.99,343.65,334.59,330.16,322.84,324.25
2004-06-07 21:34:54.755000,L5,,,,,,,334.40,352.75,313.82,333.71,327.93,336.10,320.00,338.91,334.29,285.45,323.43,323.83,325.77,336.11,325.25,334.83,316.55,334.49,349.29,337.40,338.33,314.86,332.97
2004-06-23 21:35:22.995000,L5,,,,307.56,329.96,349.09,335.46,353.41,333.43,341.97,326.87,344.89,325.54,344.14,340.44,292.00,320.41,311.55,323.33,319.93,322.58,329.68,320.19,326.51,343.41,334.16,325.06,314.86,310.96
2004-07-25 21:36:14.167000,L5,332.21,287.49,308.62,317.46,335.03,346.97,344.73,356.43,339.36,344.06,342.20,349.44,334.77,350.67,335.38,315.27,324.24,323.41,328.16,323.93,299.23,332.13,311.05,339.22,351.19,341.36,340.37,318.17,320.75
2004-08-10 21:36:32.804000,L5,,,,367.76,386.22,392.22,383.89,385.58,381.17,379.05,387.82,383.67,378.59,,,,,,,,,,,,,,,,
2005-03-22 21:40:41.327000,L5,,,,,,,,,,,,,,,,,,,,,,,276.82,327.21,346.07,343.39,344.13,336.06,335.28
2005-05-09 21:40:56.205000,L5,319.93,296.33,313.44,286.03,329.91,334.02,334.59,343.01,309.16,333.08,323.95,341.35,319.02,338.27,327.65,,,292.87,325.63,325.71,307.77,321.60,309.46,326.34,351.03,341.19,329.62,324.76,323.07
2005-06-10 21:41:12.271000,L5,,294.89,319.43,312.40,334.00,347.85,335.83,354.19,328.59,342.44,334.72,349.98,326.62,346.89,333.80,255.52,322.32,318.17,331.26,331.60,306.44,338.36,305.77,333.66,351.58,335.09,322.92,289.70,322.17
2005-06-26 21:41:16.724000,L5,322.81,298.25,322.01,302.90,339.80,339.28,329.21,346.40,319.62,327.57,327.39,337.68,322.68,338.77,321.97,284.25,318.85,322.61,321.67,326.02,296.41,327.21,302.48,332.01,344.84,340.32,337.95,322.81,332.65
2005-07-12 21:41:23.560000,L5,321.57,295.51,317.06,294.21,336.24,340.57,338.06,357.15,323.55,339.96,332.83,343.13,316.82,331.25,330.51,248.99,318.26,315.44,323.59,336.00,321.58,338.65,327.21,344.76,353.19,333.62,327.36,319.43,330.42
2005-07-28 21:41:34.002000,L5,,,,,,,342.76,356.91,319.78,326.32,330.19,,,,,,,,,,,337.67,311.77,341.22,338.27,324.60,311.34,313.59,319.91
2005-08-29 21:41:46.875000,L5,,,,,,,,,386.49,378.95,385.09,374.38,367.11,366.43,365.42,371.49,375.97,,,,,,385.88,387.53,393.46,395.28,381.29,385.78,385.94
2005-09-14 21:41:48.852000,L5,325.18,298.63,316.05,285.48,338.44,346.93,348.43,355.76,329.43,337.84,336.68,339.04,318.24,332.14,326.55,310.01,313.95,322.65,334.60,338.91,319.06,331.31,331.43,335.79,348.30,335.52,334.56,327.61,329.81
2006-06-13 21:46:13.914000,L5,,,,,,,334.52,345.81,323.86,337.00,321.75,338.10,313.26,329.52,320.80,,,,,,,332.13,307.85,336.44,350.37,345.01,338.14,329.53,332.49
2006-06-29 21:46:28.892000,L5,,,,,,,,,,,,,290.02,332.42,325.55,278.84,317.00,322.24,335.84,339.08,316.35,339.89,313.41,341.33,356.36,349.84,344.47,337.58,341.40
2006-09-01 21:47:19.401000,L5,320.47,292.64,305.63,275.78,341.86,339.27,331.76,343.96,319.04,323.81,324.67,329.53,321.62,325.91,328.99,,,,,,,311.61,286.35,302.46,321.97,309.89,313.52,310.93,308.94
2006-09-17 21:47:31.164000,L5,323.37,298.59,312.29,289.90,341.37,334.65,333.98,343.18,319.16,322.50,325.63,334.26,328.94,332.17,332.60,276.00,317.58,323.48,316.84,320.90,276.18,316.55,294.55,312.22,329.65,316.65,317.91,320.06,317.60
2006-12-06 21:48:41.029000,L5,319.41,307.06,302.22,316.42,332.58,347.88,346.74,322.81,322.94,321.77,324.87,324.84,320.05,313.57,320.14,326.33,319.47,322.31,318.34,329.26,326.28,311.51,315.02,324.97,333.12,318.29,319.39,314.13,331.54
2007-01-07 21:48:55.368000,L5,322.41,307.34,310.86,319.60,330.73,346.99,349.94,352.18,348.96,342.13,342.34,343.86,329.88,326.74,328.67,316.07,308.57,299.04,301.16,,,316.16,323.62,337.74,351.35,338.49,337.06,327.68,320.27
2007-02-08 21:48:38.839000,L5,,,,,,347.43,343.36,346.75,337.93,314.23,310.70,315.35,319.51,312.27,315.31,,,,,,,,,313.23,339.15,326.65,320.77,312.39,
2011-01-02 21:43:35.332000,L5,,,,,,,,,391.50,379.54,383.93,383.48,382.17,382.50,379.03,381.76,,,,,,385.46,377.62,381.60,391.11,381.15,384.63,375.88,387.70
2011-03-07 21:43:36.874000,L5,321.35,306.43,305.74,312.73,334.02,346.81,347.65,347.87,334.98,337.14,331.82,336.04,334.46,332.53,332.63,309.38,269.99,,,,,,,,,,,,
2013-05-31 21:55:43.729000,L8,,,,,262.12,324.61,323.34,332.24,296.61,275.33,,,,,,,,,,,,,,,,,,,
2013-08-19 21:55:42.209000,L8,301.02,294.96,301.45,308.10,317.75,338.24,326.32,333.93,322.92,321.49,320.73,322.74,319.46,326.21,321.57,313.78,291.69,309.75,312.36,319.05,271.57,323.58,314.75,327.64,337.44,333.23,320.42,315.57,315.08
2013-09-04 21:55:42.619000,L8,296.76,289.41,302.75,258.94,310.76,333.51,320.29,330.32,301.80,302.26,315.04,,,295.37,312.55,307.23,286.34,298.79,297.71,,,,287.35,319.49,325.97,326.60,312.86,299.36,
2013-10-06 21:55:33.702000,L8,297.54,291.07,,,307.41,326.10,319.74,326.96,306.20,286.79,311.09,316.39,286.29,311.74,312.63,258.33,290.86,296.51,281.13,262.67,253.06,300.39,289.61,314.78,324.07,320.00,312.65,301.25,298.27
2013-12-09 21:55:16.438000,L8,300.73,290.69,302.60,309.18,320.75,337.48,325.41,328.19,323.75,289.53,322.11,322.03,321.55,321.21,314.53,310.57,298.09,308.09,306.97,294.68,266.72,303.91,293.84,320.10,330.40,322.51,280.08,317.15,309.77
2014-01-10 21:54:55.235000,L8,322.17,311.80,321.55,329.52,347.33,357.37,340.53,349.64,346.63,339.91,342.75,340.31,341.35,336.39,334.73,329.52,322.76,324.77,323.00,327.35,311.66,329.81,330.47,339.41,353.17,345.64,344.19,337.03,341.92
2014-02-11 21:54:32.873000,L8,289.78,284.76,294.28,300.09,294.81,331.26,322.10,324.74,302.96,319.67,319.87,320.40,312.05,312.54,312.23,,,,,,,,,,,,,,
2014-05-02 21:53:22.380000,L8,,289.40,299.62,265.13,307.79,330.47,324.36,332.27,296.73,274.39,,317.37,278.15,321.17,318.53,310.60,281.02,304.44,269.48,,,,,,319.50,328.07,300.58,304.53,285.80
2014-05-18 21:53:11.680000,L8,,,,,300.40,326.19,323.67,329.56,292.28,295.83,312.39,321.50,272.82,322.44,316.56,309.40,277.05,297.38,307.78,287.28,,,,320.59,328.97,330.57,313.80,301.33,283.54
2014-06-19 21:53:23.387000,L8,,,,,,,,,,,,,,,,,,,,,,,,319.10,326.93,331.30,312.87,299.55,
2014-07-05 21:53:29.728000,L8,,285.02,300.43,262.03,309.48,337.02,326.82,334.39,307.33,321.84,314.75,325.99,,,,,,303.52,289.14,316.07,,,,328.61,335.03,334.72,316.27,314.62,318.45
2014-07-21 21:53:33.067000,L8,,289.14,298.68,310.79,321.51,340.63,327.75,339.27,312.27,329.21,318.35,326.68,320.24,327.23,325.65,312.78,293.72,309.60,313.17,322.47,,320.62,310.22,327.15,337.07,335.92,318.99,321.32,315.96
2014-08-06 21:53:41.801000,L8,,,,261.36,296.87,335.20,324.72,335.56,308.13,299.98,316.72,322.58,301.22,323.74,323.15,312.53,287.43,307.14,308.30,315.52,,,,322.56,331.83,332.25,314.63,276.77,
