dates,nzd0569-0000,nzd0569-0001,nzd0569-0002,nzd0569-0003,nzd0569-0004,nzd0569-0005,nzd0569-0006,nzd0569-0007,nzd0569-0008,nzd0569-0009,nzd0569-0010,nzd0569-0011,nzd0569-0012,nzd0569-0013,nzd0569-0014,nzd0569-0015,nzd0569-0016,nzd0569-0017,nzd0569-0018,nzd0569-0019,nzd0569-0020,nzd0569-0021,nzd0569-0022,nzd0569-0023,nzd0569-0024,nzd0569-0025,satname
1999-07-25 22:05:51+00:00,,,,,,,,,,,,,,,,,,,220.73,,187.73,228.74,229.36,222.67,206.99,204.53,L7
1999-08-26 22:05:56+00:00,,,,187.32,196.01,,194.45,197.29,201.14,203.8,,203.99,200.04,208.05,213.57,206.61,215.7,,219.435,,184.945,218.36,221.59,213.935,199.07999999999998,197.64499999999998,L7
1999-09-27 22:06:00+00:00,,,,187.32,196.01,,194.45,197.29,201.14,203.8,252.85,203.99,200.04,208.05,213.57,206.61,215.7,271.24,237.25333333333333,269.46,184.945,231.14333333333332,236.59666666666666,213.935,199.07999999999998,197.64499999999998,L7
1999-11-30 22:05:47+00:00,,,,187.32,196.01,,194.45,197.29,201.14,203.8,252.85,203.99,200.04,208.05,229.88,225.765,229.875,258.985,239.4725,257.35,184.945,231.14333333333332,242.12,227.66,199.07999999999998,197.64499999999998,L7
1999-12-16 22:05:57+00:00,,182.16,182.1,187.805,194.25,199.25,192.165,196.425,202.725,205.82,233.655,210.47,209.07999999999998,213.08,223.70000000000002,223.99333333333334,224.43666666666664,245.82666666666668,233.99200000000002,241.83,178.86666666666667,231.14333333333332,238.28400000000002,224.7275,200.73333333333335,201.31333333333336,L7
2000-03-05 22:05:36+00:00,225.56,199.7,200.47,205.135,209.39,215.875,208.01999999999998,213.91,217.63,223.44,234.70000000000002,216.95,228.22,218.11,228.76500000000001,232.685,228.80499999999998,247.285,248.2025,241.83,202.72500000000002,254.52999999999997,251.89249999999998,243.67666666666665,204.04,208.65,L7
2000-03-21 22:05:37+00:00,235.965,211.83,200.47,205.135,221.58,215.875,208.01999999999998,213.91,217.63,223.44,234.70000000000002,216.95,228.22,218.11,228.76500000000001,232.685,228.80499999999998,247.285,248.2025,241.83,202.72500000000002,262.95,251.89249999999998,243.67666666666665,204.04,208.65,L7
2000-05-08 22:05:09+00:00,235.965,211.83,213.15666666666667,212.49,225.625,224.1966666666667,208.01999999999998,213.91,217.63,233.26333333333332,225.625,216.95,228.22,218.11,228.76500000000001,232.685,228.80499999999998,244.105,239.97333333333333,228.01500000000001,202.72500000000002,261.21,251.0825,243.67666666666665,204.04,208.65,L7
2000-05-24 22:04:58+00:00,235.965,211.83,213.15666666666667,212.49,225.625,224.1966666666667,202.42666666666665,207.13666666666666,210.29333333333332,233.26333333333332,225.625,206.89999999999998,219.2733333333333,207.72000000000003,221.70000000000002,223.86333333333332,218.05333333333337,244.105,239.97333333333333,222.62333333333333,202.72500000000002,261.21,251.0825,243.67666666666665,198.76,198.925,L7
2000-09-13 22:03:38+00:00,244.075,239.47,238.53,227.2,241.86,240.84,191.24,193.59,195.62,251.70499999999998,,196.85,201.38,197.33,207.57,206.22,196.55,258.52,263.0,243.235,271.14,262.8066666666667,263.37,,193.48,189.2,L7
2000-10-15 22:03:08+00:00,243.69,241.12,238.53,227.2,240.05,240.84,191.24,193.59,195.62,251.70499999999998,,196.85,201.38,197.33,207.57,206.22,196.55,258.52,257.68,245.65,255.815,252.11666666666667,263.37,,193.48,189.2,L7
2001-01-03 22:03:24+00:00,243.69,239.95000000000002,225.66,225.46,239.60000000000002,231.4,,236.39,246.29,248.4,266.51,,,,254.39,275.79,,268.69,260.59,263.17333333333335,257.65333333333336,251.99666666666667,271.24,264.07,254.46,,L7
2001-01-19 22:03:31+00:00,236.9433333333333,235.5375,223.6,229.52,237.73666666666668,235.9,,231.73,241.83499999999998,245.8066666666667,255.83999999999997,,,,254.18,267.995,,268.95,262.195,257.065,258.695,250.3575,263.61,262.315,254.315,,L7
2001-02-20 22:03:24+00:00,225.505,235.5375,209.82666666666668,229.52,237.73666666666668,235.9,186.91,219.24333333333334,228.27666666666664,235.0375,255.83999999999997,206.73,210.24,207.35,250.01,261.23333333333335,219.46,263.45,262.195,248.644,258.695,247.56599999999997,255.93666666666664,255.90666666666667,250.09333333333333,,L7
2001-06-28 22:02:21+00:00,207.32,229.95499999999998,209.82666666666668,229.52,235.435,235.9,186.91,219.24333333333334,228.27666666666664,229.88333333333333,255.83999999999997,206.73,210.24,207.35,250.01,261.23333333333335,219.46,263.45,266.71,239.37,261.575,244.3233333333333,255.93666666666664,257.385,250.09333333333333,,L7
