dates,satname,nzd0569-0000,nzd0569-0001,nzd0569-0002,nzd0569-0003,nzd0569-0004,nzd0569-0005,nzd0569-0006,nzd0569-0007,nzd0569-0008,nzd0569-0009,nzd0569-0010,nzd0569-0011,nzd0569-0012,nzd0569-0013,nzd0569-0014,nzd0569-0015,nzd0569-0016,nzd0569-0017,nzd0569-0018,nzd0569-0019,nzd0569-0020,nzd0569-0021,nzd0569-0022,nzd0569-0023,nzd0569-0024,nzd0569-0025
1999-07-25 22:05:51.165000,L7,,,,,,,38.32,52.58,55.97,105.58,115.06,61.63,,,,,126.56,171.44,220.73,217.51,187.73,228.74,229.36,222.67,206.99,204.53
1999-08-26 22:05:56.841000,L7,185.28,181.69,184.19,187.32,196.01,198.57,194.45,197.29,201.14,203.80,206.85,203.99,200.04,208.05,213.57,206.61,215.70,214.91,218.14,213.65,182.16,207.98,213.82,205.20,191.17,190.76
1999-09-27 22:06:00.877000,L7,246.08,241.34,235.48,242.42,255.43,259.88,256.05,251.95,260.63,266.30,252.85,257.21,263.82,260.77,259.78,270.04,272.19,271.24,272.89,269.46,270.10,256.71,266.61,265.79,263.37,272.83
1999-11-30 22:05:47.159000,L7,322.05,305.51,290.74,288.71,283.17,283.40,290.77,296.38,304.09,311.68,304.00,302.51,294.96,261.76,246.19,244.92,244.05,246.73,246.13,245.24,225.11,247.24,258.69,255.11,245.07,253.76
1999-12-16 22:05:57.846000,L7,191.22,182.16,182.10,188.29,192.49,199.25,189.88,195.56,204.31,207.84,214.46,216.95,218.12,218.11,211.34,220.45,213.56,219.51,212.07,210.79,166.71,217.49,222.94,215.93,204.04,208.65
2000-03-05 22:05:36.285000,L7,225.56,217.24,218.84,221.98,226.29,232.50,226.16,232.26,230.95,239.04,236.79,239.77,238.32,249.45,243.16,246.11,249.90,251.66,261.72,252.09,238.74,252.35,259.33,259.99,268.52,256.23
2000-03-21 22:05:37.143000,L7,246.37,236.09,247.09,245.15,245.96,246.75,246.52,247.81,253.54,260.13,265.37,265.64,268.01,268.63,276.36,273.57,266.79,275.73,299.89,309.75,303.61,279.79,276.51,273.21,272.31,261.95
2000-05-08 22:05:09.063000,L7,242.44,244.36,238.53,227.20,237.76,240.84,245.44,242.46,256.91,252.91,253.45,256.25,257.76,256.56,256.46,255.91,262.90,258.52,266.69,253.01,249.12,251.49,263.37,253.14,247.09,249.99
2000-05-24 22:04:58.537000,L7,183.30,175.51,175.56,184.83,192.87,130.40,191.24,193.59,195.62,102.32,93.81,196.85,201.38,197.33,207.57,206.22,196.55,215.20,213.10,211.84,167.04,196.28,182.00,198.78,193.48,189.20
2000-08-12 22:04:05.961000,L7,257.91,257.75,255.69,266.06,263.28,270.99,266.66,268.57,279.67,289.48,291.33,292.54,296.82,285.01,285.24,291.16,293.69,303.37,314.49,321.87,331.68,314.24,298.14,290.72,285.27,286.26
2000-09-13 22:03:38.044000,L7,241.78,242.85,237.67,242.97,244.15,257.76,253.72,257.86,252.09,250.50,256.54,263.75,259.31,259.61,260.02,266.43,271.46,273.81,263.00,274.63,271.14,257.14,268.10,267.08,269.99,255.98
2000-10-15 22:03:08.086000,L7,245.60,239.39,244.25,235.19,242.34,244.61,243.00,241.26,245.74,248.90,256.23,255.20,258.03,251.30,257.76,265.01,267.19,258.96,252.36,250.48,240.49,247.72,261.37,250.66,247.88,256.78
2000-10-31 22:03:22.696000,L7,,,99.72,84.32,117.88,,,,,169.81,183.97,113.00,133.43,178.38,63.48,,134.10,180.01,198.92,154.92,142.99,175.60,189.44,147.23,165.90,
2001-01-03 22:03:24.303000,L7,228.48,237.61,225.66,225.46,236.86,231.40,254.16,236.39,246.29,246.30,266.51,255.86,272.11,268.75,254.39,275.79,272.16,268.69,266.41,264.41,261.33,251.13,271.24,264.07,254.46,256.42
2001-01-19 22:03:31.103000,L7,223.45,222.30,221.54,233.58,234.01,240.40,236.22,227.07,237.38,240.62,245.17,250.62,255.38,254.45,253.97,260.20,268.00,269.21,267.01,238.74,261.82,245.44,255.98,260.56,254.17,256.80
2001-02-20 22:03:24.667000,L7,191.19,172.53,182.28,183.55,191.58,195.12,186.91,194.27,201.16,202.73,203.68,206.73,210.24,207.35,241.67,247.71,219.46,252.45,211.56,214.96,204.27,236.40,240.59,243.09,241.65,240.22
2001-05-27 22:02:48.377000,L7,245.43,228.74,232.67,233.72,243.84,241.61,232.46,238.78,247.66,247.33,245.56,244.06,249.48,252.38,247.95,258.05,262.07,257.92,271.33,255.01,259.64,252.33,261.17,257.99,256.46,256.69
2001-06-28 22:02:21.050000,L7,314.10,259.90,295.31,262.54,253.86,255.61,244.03,252.07,257.09,254.12,254.08,258.65,254.74,261.54,255.55,266.57,266.55,273.18,346.27,361.75,337.50,256.70,292.89,261.82,260.70,255.86
