dates,satname,nzd0048-0000,nzd0048-0001,nzd0048-0002,nzd0048-0003,nzd0048-0004
1999-08-17 22:10:26.276000,L7,,,,424.42,407.68
1999-09-27 22:04:25.056000,L7,395.22,,,,
1999-10-04 22:10:38.131000,L7,428.25,372.70,388.18,409.79,330.83
1999-11-14 22:04:18.343000,L7,399.42,358.45,376.37,370.88,353.34
1999-11-30 22:04:11.332000,L7,336.01,,,,
2000-01-01 22:04:13.486000,L7,,,414.78,392.51,358.18
2000-02-09 22:10:19.398000,L7,437.14,389.85,393.11,,
2000-04-29 22:09:53.797000,L7,421.47,,,,
2000-05-24 22:03:22.722000,L7,392.46,338.57,359.28,349.47,339.06
2000-06-16 22:09:26.713000,L7,397.31,,,,
2000-08-03 22:08:44.137000,L7,409.08,377.60,383.36,383.97,329.15
2000-08-12 22:02:30.151000,L7,319.47,,,,
2000-08-19 22:08:38.248000,L7,400.56,379.50,386.28,394.29,328.62
2000-09-04 22:08:22.800000,L7,348.34,,,,
2000-10-15 22:01:32.252000,L7,380.37,,,,
2001-03-24 22:01:35.778000,L7,387.36,347.72,348.81,,
2001-06-03 22:07:16.736000,L7,341.87,298.84,,,
2001-06-19 22:07:05.722000,L7,433.09,386.84,414.62,412.68,345.95
2001-08-15 22:00:14.727000,L7,456.98,358.56,380.56,366.15,358.96
2001-11-19 21:59:56.393000,L7,383.81,341.58,357.20,321.61,342.77
2001-12-21 22:00:05.972000,L7,384.52,345.34,370.14,315.89,339.11
2002-01-22 22:00:16.971000,L7,341.48,334.50,,,
2002-01-29 22:06:21.478000,L7,,,,,426.65
2002-02-23 22:00:19.685000,L7,429.82,354.52,380.72,359.18,361.34
2002-03-27 22:00:13.634000,L7,,392.70,389.60,391.04,382.79
2002-06-15 21:59:55.710000,L7,391.28,346.88,367.17,373.54,340.89
2002-07-08 22:06:00.488000,L7,,426.84,417.60,420.14,386.51
2002-07-17 21:59:44.793000,L7,435.92,359.14,371.62,373.64,347.58
2002-09-19 21:59:11.129000,L7,364.74,333.03,345.48,,
2002-10-12 22:05:14.598000,L7,411.68,369.65,384.87,384.89,339.88
2002-10-28 22:05:22.323000,L7,427.55,401.94,395.64,399.69,355.50
2003-03-30 22:00:07.079000,L7,378.10,338.34,,,
2003-04-22 22:06:19.091000,L7,407.62,361.88,393.89,392.99,319.74
2003-05-08 22:06:20.773000,L7,355.22,,,,
2004-04-16 21:57:19.749000,L5,371.61,342.34,,,
2004-06-12 21:52:47.645000,L5,375.71,318.89,333.10,336.80,
2004-07-21 22:00:04.249000,L5,392.54,346.31,348.26,,
2004-07-30 21:54:04.170000,L5,391.59,328.75,335.95,343.47,
2005-04-03 22:04:40.528000,L5,373.92,346.14,357.21,346.69,305.85
2005-06-06 22:05:05.724000,L5,397.24,361.08,366.03,370.68,312.38
2010-01-27 22:08:26.527000,L5,386.98,354.13,351.61,354.62,
2010-12-06 22:01:12.836000,L5,441.96,369.94,377.47,380.53,338.09
2011-08-19 22:00:12.535000,L5,382.05,327.13,,,
2011-09-04 22:00:03.630000,L5,371.42,326.13,,,
2013-04-25 22:19:21.025000,L8,371.67,356.07,368.46,335.06,322.26
2013-05-11 22:19:31.249000,L8,370.37,355.43,,,
2013-05-20 22:13:26.604000,L8,349.43,338.44,361.62,334.23,337.72
2013-06-05 22:13:27.306000,L8,351.12,338.46,359.48,343.59,
2013-06-28 22:19:33.252000,L8,374.55,357.96,369.39,345.14,329.75
2013-07-07 22:13:24.262000,L8,352.25,338.85,358.99,334.05,339.43
2013-07-14 22:19:34.707000,L8,373.60,356.01,367.04,,
2013-09-09 22:13:25.749000,L8,349.47,334.87,,,
2013-09-25 22:13:17.289000,L8,344.86,331.78,,,
2013-10-02 22:19:28.820000,L8,363.78,355.86,368.14,340.07,337.32
2013-10-11 22:13:17.650000,L8,345.95,333.80,,,
2013-10-18 22:19:25.762000,L8,360.35,353.78,,,
2013-11-12 22:13:08.247000,L8,355.91,342.26,361.43,338.80,341.27
2013-12-05 22:19:13.005000,L8,362.31,351.77,,,
2013-12-14 22:12:57.636000,L8,431.72,367.52,379.09,368.17,359.02
2014-01-06 22:18:54.881000,L8,359.84,352.63,,,
2014-01-15 22:12:33.689000,L8,349.16,339.29,,,
2014-01-31 22:12:28.855000,L8,344.13,347.28,,,
2014-02-07 22:18:33.391000,L8,366.01,355.19,367.08,331.29,
2014-02-23 22:18:20.398000,L8,361.18,353.89,365.41,337.87,332.34
2014-03-04 22:11:59.077000,L8,346.49,336.36,356.14,330.67,337.61
2014-03-11 22:18:08.266000,L8,404.42,378.65,393.95,391.72,368.80
2014-03-27 22:17:50.001000,L8,368.64,354.55,367.11,341.82,
2014-04-05 22:11:34.747000,L8,347.51,333.89,,,
2014-04-12 22:17:37.464000,L8,366.65,355.72,365.55,335.03,322.17
2014-04-28 22:17:22.576000,L8,370.25,358.67,368.22,334.20,318.59
2014-05-07 22:11:02.102000,L8,342.56,334.37,,,
2014-05-14 22:17:08.923000,L8,367.18,355.97,364.76,329.42,
2014-05-30 22:17:11.184000,L8,379.25,358.90,,,
2014-07-01 22:17:22.417000,L8,444.91,395.43,419.17,412.66,369.55
2014-07-17 22:17:28.260000,L8,375.02,358.04,370.09,329.79,
2014-07-26 22:11:19.207000,L8,365.22,353.44,366.55,351.05,342.91
2014-10-30 22:11:34.905000,L8,348.55,336.99,356.71,322.99,
2014-12-01 22:11:36.363000,L8,455.15,351.54,371.70,354.47,351.08
2015-01-02 22:11:27.004000,L8,347.49,335.84,,,
2015-01-25 22:17:32.812000,L8,362.85,351.30,,,
2015-02-19 22:11:13.759000,L8,354.20,339.43,,,
