dates,nzd0425-0000,nzd0425-0001,nzd0425-0002,nzd0425-0003,nzd0425-0004,nzd0425-0005,nzd0425-0006,nzd0425-0007,nzd0425-0008,nzd0425-0009,nzd0425-0010,nzd0425-0011,nzd0425-0012,nzd0425-0013,nzd0425-0014,nzd0425-0015,nzd0425-0016,nzd0425-0017,nzd0425-0018,nzd0425-0019,nzd0425-0020,nzd0425-0021,nzd0425-0022,nzd0425-0023,nzd0425-0025,nzd0425-0026,nzd0425-0024,satname
1999-11-21 22:12:47+00:00,,259.51,263.08,271.9,259.38,257.61,254.1,,,,,,,,,,,,,,,,,,,,,L7
2003-12-10 21:58:29+00:00,300.92,289.96,287.3,288.43,286.33,283.54,288.84,287.73,297.83,291.45,271.53,265.27,180.59,,,,,,,,,,,,,,,L5
2004-01-27 21:58:50+00:00,303.76,293.625,292.16499999999996,292.495,286.51,280.70000000000005,284.355,283.185,291.57,287.44,266.69,261.505,183.265,,,,,,,,,,,,,,,L5
2004-05-18 22:00:38+00:00,302.74333333333334,290.5233333333333,286.78,286.81666666666666,286.51,280.70000000000005,273.6166666666666,273.1566666666667,276.13,277.29333333333335,251.89666666666668,261.505,183.265,,,,,,,,,,,,,,,L5
2004-11-26 22:05:17+00:00,273.66,257.55,253.09,,,,232.76,236.76,214.04,241.28,212.63,,,,,,,,,,,,,,,,,L5
2005-02-14 22:06:33+00:00,269.285,254.715,245.315,,,240.79,239.79500000000002,242.89,221.08499999999998,248.885,220.95999999999998,,,,,,,,,,,,,,,,,L5
2005-03-02 22:06:47+00:00,271.7166666666667,256.0733333333333,248.60999999999999,246.71,247.48,238.72,241.03,243.45666666666668,221.37666666666667,248.42999999999998,222.25333333333333,214.26,,,,,,,,,,,,,,,,L5
2005-09-10 22:08:07+00:00,273.95,256.51,253.16,,,,,,,,,,,,,,,,,,,,,,,,,L5
2005-11-13 22:08:20+00:00,274.975,259.525,256.84,230.49,254.07,240.3,250.02,248.82,237.56,264.08,234.98,224.38,,,,,,,,,,,,,,,,L5
2006-10-31 22:14:17+00:00,317.02,304.5,304.35,303.66,,,,288.27,,284.02,267.54,263.24,198.47,,,,,,,,,,,,,,,L5
2007-02-04 22:14:57+00:00,312.95,301.355,300.22,301.56,,,,288.495,,288.80499999999995,271.885,262.445,197.53,,,,,,,,,,,,,,,L5
