dates,nzd0018-0000,nzd0018-0001,nzd0018-0002,nzd0018-0003,nzd0018-0006,nzd0018-0007,nzd0018-0008,nzd0018-0009,nzd0018-0010,nzd0018-0011,nzd0018-0012,nzd0018-0013,nzd0018-0014,nzd0018-0015,nzd0018-0016,nzd0018-0017,nzd0018-0018,nzd0018-0019,nzd0018-0022,nzd0018-0023,nzd0018-0024,nzd0018-0004,nzd0018-0005,nzd0018-0020,nzd0018-0021,satname
1999-10-04 22:10:38+00:00,,,,,391.11,385.85,389.12,379.49,392.57,402.9,,407.02,402.5,410.25,409.66,,,,,,408.77,,,,,L7
2003-04-06 22:06:21+00:00,,,,,,354.4,369.84,368.3,376.02,,,,,,,,,,,,,,,,,L7
2005-04-03 22:04:40+00:00,333.12,327.6,344.33,319.37,,,,,,,,,,,,,,,,,,339.34,329.59,,,L5
2005-04-19 22:04:43+00:00,333.86,335.36,348.14,323.78499999999997,341.78,,,,,,,,,,,,,,,,,345.23,331.15,,,L5
2010-01-27 22:08:26+00:00,366.06,351.72,359.98,335.04,,,,,,,,,,,,,,,,,,347.08,331.13,,,L5
2017-06-07 22:17:15+00:00,358.12,344.93,349.76,343.84,,,,,,,,,,,,,,,,,,336.5,,,,L8
2017-08-10 22:17:37+00:00,358.66499999999996,346.885,350.225,344.38,,,,,,,,,,,,,,,,,,337.475,326.31,,,L8
2018-05-09 22:16:40+00:00,352.55,344.55,347.68,338.78,,,,,,,,,,,,,,,,,,329.49,321.06,,,L8
2018-06-26 22:16:36+00:00,357.645,347.12,349.495,341.865,,,,,,,,,,,,,,,,,,336.155,324.555,,,L8
2019-03-25 22:17:09+00:00,,,349.95,344.74,,,,,,,,,,,,,,,,,,343.98,329.25,,,L8
2019-04-26 22:16:59+00:00,,,351.42499999999995,346.34000000000003,,,,,,,,,,,,,,,,,,342.755,330.07,,,L8
2019-06-29 22:17:29+00:00,,,350.28666666666663,344.2366666666667,,,,,,,,,,,,,,,,,,341.57,329.75,,,L8
2020-02-08 22:17:38+00:00,365.14,,,,,,,,,,,,,,,,,,,,,,,,,L8
2020-02-24 22:17:35+00:00,366.565,352.28,354.98,348.03,,,,,,,,,,,,,,,,,,343.74,334.23,,,L8
2020-03-11 22:17:28+00:00,366.565,352.28,353.8,346.42499999999995,,381.73,,,376.18,,,,,,,,,,,,,342.655,334.23,,,L8
2020-03-27 22:17:20+00:00,366.565,352.28,353.8,341.2966666666667,363.26,375.48,,,376.18,,,,,,,,,,,,,343.60999999999996,334.42,,,L8
2020-04-12 22:17:12+00:00,364.22333333333336,350.17499999999995,353.1766666666667,341.89,363.26,375.48,,,376.18,,,,,,,,,,,,,342.7975,331.90333333333336,,,L8
2021-05-17 22:17:12+00:00,356.3,344.0,352.54,341.72,,,,,,,,,,,,,,,,,,340.16,330.03,,,L8
2024-03-30 22:17:36+00:00,,,,,377.37,,,,,,,,,,,,,,,,,,,,,L9
2025-03-01 22:17:39+00:00,349.1,344.56,351.62,345.92,,,,,,,,,,,,,,,,,,330.33,328.79,,,L9
