dates,satname,nzd0357-0000,nzd0357-0001,nzd0357-0002,nzd0357-0003,nzd0357-0004,nzd0357-0005,nzd0357-0006,nzd0357-0007,nzd0357-0008,nzd0357-0009,nzd0357-0010,nzd0357-0011,nzd0357-0012,nzd0357-0013,nzd0357-0014,nzd0357-0015,nzd0357-0016,nzd0357-0017,nzd0357-0018,nzd0357-0019,nzd0357-0020,nzd0357-0021,nzd0357-0026,nzd0357-0027,nzd0357-0028,nzd0357-0029,nzd0357-0030,nzd0357-0031,nzd0357-0032,nzd0357-0034,nzd0357-0035,nzd0357-0036,nzd0357-0037,nzd0357-0038,nzd0357-0039,nzd0357-0040,nzd0357-0041,nzd0357-0042,nzd0357-0043,nzd0357-0044,nzd0357-0045,nzd0357-0046,nzd0357-0047,nzd0357-0048,nzd0357-0049,nzd0357-0050,nzd0357-0022,nzd0357-0023,nzd0357-0024,nzd0357-0025,nzd0357-0033,nzd0357-0051,nzd0357-0052,nzd0357-0053,nzd0357-0054,nzd0357-0055,nzd0357-0056,nzd0357-0057,nzd0357-0058,nzd0357-0059,nzd0357-0060,nzd0357-0061,nzd0357-0062,nzd0357-0063,nzd0357-0113,nzd0357-0114,nzd0357-0117,nzd0357-0118,nzd0357-0119,nzd0357-0120,nzd0357-0121,nzd0357-0122,nzd0357-0123,nzd0357-0104,nzd0357-0105,nzd0357-0106,nzd0357-0107,nzd0357-0108,nzd0357-0109,nzd0357-0110,nzd0357-0111,nzd0357-0112,nzd0357-0064,nzd0357-0115,nzd0357-0116,nzd0357-0067,nzd0357-0068,nzd0357-0069,nzd0357-0070,nzd0357-0071,nzd0357-0072,nzd0357-0073,nzd0357-0124,nzd0357-0066,nzd0357-0065,nzd0357-0074,nzd0357-0078,nzd0357-0079,nzd0357-0080,nzd0357-0081,nzd0357-0082,nzd0357-0083,nzd0357-0084,nzd0357-0085,nzd0357-0086,nzd0357-0087,nzd0357-0088,nzd0357-0089,nzd0357-0102,nzd0357-0103
2002-09-12 21:55:07.575000,L7,446.49,532.55,354.15,397.40,333.13,223.73,,,,,528.80,507.60,488.34,468.31,454.90,464.86,453.23,429.80,403.37,400.62,403.48,424.86,362.76,349.54,329.34,327.69,351.63,368.32,382.49,344.34,321.09,322.48,324.25,347.56,315.93,275.43,263.41,278.46,312.22,308.61,332.21,333.83,349.07,317.44,285.86,286.08,401.26,405.96,385.42,374.06,365.00,339.18,218.53,203.57,186.21,168.31,167.76,176.21,191.13,187.48,188.77,183.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-14 21:54:55.882000,L7,309.30,351.11,192.94,,,,,268.21,287.29,308.72,295.79,287.46,323.07,341.33,346.58,337.38,335.94,323.67,299.96,184.32,248.35,243.50,229.60,240.30,237.00,235.80,265.05,,,,,,,,,,,,,167.20,182.61,187.83,199.26,188.51,161.24,,255.85,202.92,273.51,263.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-30 21:55:01.471000,L7,352.50,362.63,229.07,,,,192.41,414.17,337.85,372.12,336.16,298.02,372.21,371.42,363.44,356.69,349.59,334.05,307.20,316.52,324.35,325.91,281.29,256.01,245.47,255.57,279.84,299.64,264.97,260.33,247.20,,,,,,,,,182.63,225.45,189.92,202.28,203.34,195.68,162.79,327.03,317.13,275.68,263.34,285.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-02 21:55:34.113000,L7,347.59,370.16,218.91,,438.44,396.96,374.45,397.24,408.41,422.18,402.79,403.32,383.87,371.79,365.83,350.71,347.95,342.54,303.78,185.70,218.65,220.65,283.18,272.18,262.13,255.64,290.40,295.74,284.39,263.53,254.02,,257.44,253.89,215.52,197.56,197.48,200.34,211.60,192.84,213.80,170.98,209.28,197.51,187.91,163.43,228.04,219.12,281.25,266.58,285.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-03-23 21:55:52.571000,L7,329.69,343.48,162.37,,,,,265.66,348.71,406.08,333.42,282.62,267.98,194.91,269.98,221.24,344.03,327.92,306.67,318.83,297.99,295.00,,,,,,,,,,,,,,,,,,,,,,,,,264.04,227.40,251.13,250.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-21 21:43:45.776000,L5,369.01,353.62,423.58,473.07,474.40,465.00,478.69,501.41,513.94,494.25,492.04,439.13,425.42,408.33,406.41,397.27,385.46,375.51,362.69,366.33,367.74,365.94,326.87,312.39,297.33,295.29,322.43,326.04,329.34,303.60,289.12,283.48,289.88,280.07,263.08,240.88,221.06,237.36,238.94,261.39,263.83,253.51,243.87,240.68,228.27,216.75,357.61,351.51,338.49,330.33,321.76,202.32,183.94,162.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-28 21:45:57.554000,L5,,,361.72,395.50,319.25,212.17,,,522.08,520.01,502.16,482.03,470.10,452.41,438.02,424.49,402.81,388.46,382.36,386.16,392.10,389.08,349.47,336.11,318.69,311.71,337.39,350.65,348.75,321.54,312.54,303.42,299.66,297.11,278.62,255.81,247.17,261.82,271.50,285.10,290.93,287.93,278.42,276.82,271.67,250.19,390.10,374.31,362.28,348.44,345.09,231.04,212.83,190.36,177.27,169.41,169.73,177.78,174.35,173.94,170.22,170.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-04-02 21:46:30.745000,L5,,,344.22,376.16,302.92,199.94,,,,,537.21,494.43,486.54,466.01,443.80,427.72,404.74,396.80,391.43,389.73,394.14,384.99,335.94,327.08,316.10,311.03,346.21,362.84,359.42,333.25,313.62,303.75,313.89,321.76,291.37,267.36,254.33,355.97,347.53,325.30,321.61,300.45,292.80,279.66,265.69,246.33,381.55,367.98,352.22,343.34,348.74,221.79,203.28,186.37,175.71,169.88,170.14,187.49,174.75,170.29,173.03,206.45,175.85,174.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-05-20 21:47:56.357000,L5,501.89,433.99,365.48,396.89,314.34,213.52,,,,,531.92,502.60,496.27,468.81,453.61,441.28,422.30,406.51,390.79,393.90,395.78,405.81,351.88,350.80,325.87,317.85,360.80,364.68,357.01,344.61,328.24,315.68,326.38,319.50,294.52,269.78,255.30,282.40,299.44,313.28,314.33,313.83,302.13,287.36,266.49,248.62,399.20,384.45,359.53,349.32,367.35,236.48,216.24,190.66,186.98,171.90,178.25,189.94,191.19,183.70,179.99,177.09,179.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-06-05 21:48:24.950000,L5,,513.52,537.80,405.00,311.45,209.55,,,,543.62,522.60,495.16,478.61,460.08,441.19,436.61,423.54,402.46,401.53,386.35,402.28,392.42,347.70,336.79,332.39,325.26,367.36,356.95,351.80,335.50,317.96,313.12,315.88,310.59,293.82,266.39,253.06,355.61,349.40,293.28,321.13,306.65,288.91,285.91,267.38,253.17,388.81,374.51,362.69,347.37,348.17,235.45,210.21,194.35,180.40,170.03,171.99,181.01,188.06,185.24,169.60,170.80,167.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-07-23 21:49:45.084000,L5,,523.84,374.85,401.57,321.89,222.76,,533.18,520.74,521.57,499.18,487.62,476.86,454.11,444.17,427.71,407.91,397.50,385.34,383.23,384.72,388.54,348.09,328.29,315.57,316.95,336.90,355.65,355.57,340.58,314.46,307.18,313.41,307.12,283.40,260.98,248.41,259.78,279.24,298.07,304.65,308.56,292.18,281.67,268.47,245.74,384.86,366.86,358.34,355.09,359.18,228.94,202.87,185.95,174.41,164.93,,,,,,,,,,,,,,,,,,393.44,382.38,324.17,297.17,351.41,337.85,257.60,316.37,209.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-08-24 21:50:29.935000,L5,,420.53,360.00,388.63,308.60,197.84,,,,548.74,534.12,514.78,490.85,464.98,445.96,431.55,411.88,401.20,396.18,394.17,386.01,395.53,344.39,352.93,316.21,310.77,371.54,366.62,356.12,343.51,317.11,307.66,313.98,328.63,300.45,272.09,254.81,319.92,303.44,317.18,347.09,336.06,328.44,310.44,284.01,260.57,392.75,383.53,364.70,352.03,362.75,244.65,215.82,195.17,184.37,175.19,202.76,188.07,180.13,177.56,178.07,179.76,185.67,168.93,,,,,,,,,,,,,,,,,,,184.16,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-25 21:51:19.231000,L5,,533.44,354.42,383.01,303.69,196.39,,,535.07,528.96,522.90,502.26,485.13,463.20,443.80,429.61,406.12,397.77,381.50,378.04,377.02,378.94,339.51,322.73,308.79,309.69,346.57,353.44,345.42,325.93,305.48,303.25,305.27,306.12,283.95,258.46,248.18,344.64,316.45,298.24,300.05,297.90,286.76,279.40,257.57,232.63,375.83,363.98,350.99,339.27,343.96,217.24,192.14,176.04,173.28,163.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-10-27 21:51:59.516000,L5,,,355.37,399.32,325.09,187.28,,531.65,522.02,527.35,522.01,486.38,471.00,453.10,433.43,420.25,403.89,395.81,390.97,385.96,389.99,388.00,343.41,332.58,319.30,314.49,344.22,354.49,345.71,327.05,312.43,305.16,304.01,303.43,289.94,260.54,250.26,259.04,285.56,293.87,296.97,298.20,299.40,287.16,267.04,246.77,386.70,375.32,360.39,345.21,355.16,235.85,211.95,194.56,176.61,171.42,170.74,186.19,179.98,174.72,175.86,167.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-11-12 21:52:15.232000,L5,452.04,517.76,260.64,381.33,289.09,183.88,529.99,525.28,524.92,535.14,513.71,489.36,482.07,465.76,448.95,431.86,409.46,394.66,386.26,378.89,383.16,381.04,338.04,325.27,310.78,308.34,340.82,344.14,343.08,328.72,314.82,309.01,308.51,307.41,288.17,263.66,251.95,262.14,303.74,294.55,303.31,298.96,289.36,270.80,251.24,232.30,377.87,367.74,355.39,344.49,340.26,219.27,196.93,185.28,171.80,163.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-15 21:53:21.356000,L5,,,352.61,387.85,307.28,179.02,,,520.52,521.16,505.85,486.10,474.77,455.92,436.85,424.19,405.08,401.23,398.78,391.55,398.27,397.45,350.31,344.42,324.83,332.03,356.56,364.10,355.83,328.00,309.94,306.05,307.52,301.71,285.54,269.84,256.34,364.17,326.74,291.56,303.93,294.86,298.71,290.93,275.81,255.07,394.44,384.96,366.90,359.25,354.00,238.04,214.40,204.44,190.29,188.57,185.48,189.27,182.85,182.28,177.74,174.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-04 21:54:04.136000,L5,,,348.34,378.76,274.24,180.41,,,,540.57,520.13,494.49,485.31,464.88,453.85,434.23,414.56,404.56,397.56,393.71,393.97,396.12,352.61,339.43,320.64,320.00,425.04,359.22,355.74,335.70,313.87,311.94,316.39,311.76,289.66,270.24,261.20,363.57,328.54,297.67,313.02,304.64,302.03,287.32,275.27,253.25,393.92,383.88,369.05,354.90,405.41,237.17,215.73,200.11,190.41,179.10,178.14,192.33,179.55,174.09,181.99,177.86,171.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-04-05 21:54:19.058000,L5,,,350.25,380.09,295.50,191.78,,,,543.62,527.29,506.17,489.28,464.62,449.54,437.02,418.50,410.84,401.05,394.88,396.66,396.71,351.47,346.79,330.88,319.81,421.37,366.64,358.68,353.79,317.60,311.39,311.62,314.03,300.97,283.46,261.69,370.85,341.79,318.02,318.10,306.90,298.18,286.92,267.45,253.35,391.83,383.89,365.89,351.75,365.05,236.60,213.07,200.10,193.29,185.78,190.55,201.44,187.25,185.35,183.89,184.61,176.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-04-21 21:54:22.812000,L5,,,350.53,369.24,270.70,180.32,,,,540.55,526.29,494.82,485.49,467.10,451.63,441.96,416.13,402.63,400.57,389.87,399.34,392.73,349.30,340.67,320.23,320.36,422.54,358.72,355.14,338.19,312.91,310.06,308.70,314.29,292.78,271.02,254.75,358.46,344.43,318.92,327.82,305.82,301.54,286.10,276.17,255.90,393.02,379.51,359.38,351.56,405.35,232.08,207.64,195.36,172.97,173.73,181.33,199.57,177.84,176.77,171.04,174.94,165.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-23 21:54:36.577000,L5,,,342.76,337.90,,,,,,,530.50,504.92,487.58,466.99,454.40,452.84,413.28,404.52,415.04,396.60,401.65,398.98,354.81,434.63,327.35,323.71,359.03,368.25,364.19,351.57,327.48,318.54,319.71,316.94,303.94,280.67,272.55,369.90,345.24,324.16,315.91,307.74,303.00,296.51,283.52,258.23,395.55,384.62,367.66,355.65,398.51,243.92,221.72,201.91,202.60,197.41,210.53,220.64,196.73,190.18,194.24,200.37,183.70,171.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-08 21:54:44.925000,L5,,,356.81,359.97,297.02,181.77,,,540.74,536.81,520.57,494.41,483.59,462.00,442.22,428.97,410.15,397.31,395.37,390.82,399.55,395.56,349.91,340.52,320.08,318.35,356.46,366.35,358.92,338.32,322.07,316.36,318.54,313.29,297.21,271.55,257.53,364.14,313.03,321.98,314.02,309.25,299.02,292.22,271.57,259.67,394.51,384.25,366.39,357.78,364.33,233.74,208.91,189.84,179.48,169.53,178.01,188.53,182.27,178.48,177.09,180.18,166.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-07-10 21:54:55.488000,L5,,,,,,,249.88,280.96,296.03,348.74,349.92,278.21,295.23,295.62,369.99,349.72,333.74,316.67,301.91,,,,,,,,,,279.82,264.32,241.74,,,,,,,,171.70,175.45,196.50,220.93,212.11,197.19,167.02,,,,,,283.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-08-27 21:55:20.007000,L5,,,343.20,383.55,298.02,200.94,,,539.27,536.43,517.03,494.85,480.53,450.79,436.33,431.21,408.17,394.98,390.47,387.77,397.27,410.44,350.99,342.31,320.78,320.56,358.91,364.28,364.69,355.28,327.98,329.53,318.91,311.97,295.66,270.75,263.65,342.08,318.10,300.78,319.56,303.54,302.61,285.03,274.18,257.29,392.06,397.52,383.81,365.77,363.08,239.59,213.71,195.75,196.53,178.70,195.31,198.42,188.55,181.50,173.07,176.77,166.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-28 21:55:20.450000,L5,,,334.13,368.86,282.66,182.14,,,537.77,537.02,522.67,500.74,485.69,461.83,447.99,433.96,412.39,402.74,403.64,399.57,402.29,403.90,346.77,341.40,325.86,317.80,363.37,361.70,359.33,343.11,317.14,314.02,314.19,316.96,296.01,269.34,258.06,351.22,305.97,310.89,323.03,311.73,303.71,285.63,271.35,243.36,392.91,378.10,364.82,351.08,356.80,230.27,213.28,194.47,187.25,181.96,197.80,202.19,187.99,177.20,179.25,179.29,168.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-10-30 21:55:15.307000,L5,372.94,350.00,179.88,405.30,461.18,454.24,456.15,456.54,480.61,481.77,464.55,444.85,432.28,421.98,416.65,402.68,384.64,374.46,354.34,357.60,359.93,355.17,318.10,304.19,289.85,291.67,320.60,321.45,313.01,311.20,289.59,283.52,291.97,283.64,261.23,236.34,229.86,239.30,246.15,258.34,269.75,259.35,239.17,228.74,218.95,206.20,354.00,343.68,327.85,319.90,321.86,188.74,172.94,160.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-02-19 21:57:51.685000,L5,,,348.54,381.03,299.60,190.09,,,,549.16,528.01,493.12,483.79,459.91,444.92,441.94,411.32,404.25,392.72,389.17,390.97,396.06,349.53,345.17,327.08,319.92,347.22,361.53,359.36,347.73,323.11,313.49,323.29,310.03,291.92,267.85,255.33,267.70,286.28,304.04,313.73,302.81,294.45,281.98,270.04,253.49,388.44,378.14,364.75,358.81,367.30,239.68,221.19,198.44,189.62,178.76,192.64,203.39,193.17,180.99,182.44,179.77,175.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-27 22:00:00.431000,L5,492.04,435.01,360.90,390.64,315.24,205.45,,,,545.28,526.59,491.14,477.67,462.19,449.28,433.00,412.78,403.14,395.73,393.11,426.29,396.37,353.81,346.41,416.63,345.37,388.60,381.61,365.28,349.59,319.75,322.34,322.80,322.08,303.65,284.74,266.10,273.39,294.21,317.94,326.98,307.38,301.23,290.97,274.13,256.73,402.21,389.45,370.53,356.58,364.07,231.38,215.22,209.64,183.66,185.95,197.97,206.33,195.17,190.07,187.56,184.40,180.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-09-15 22:01:03.273000,L5,,,,,,344.59,397.11,419.34,421.03,428.18,338.51,,377.28,352.02,369.20,365.58,347.63,344.25,316.89,304.90,333.25,338.26,303.92,288.28,276.15,276.21,298.70,309.12,297.51,290.62,277.61,272.32,279.40,264.16,243.88,219.66,207.93,220.96,226.70,235.88,249.72,243.29,224.03,216.57,205.59,191.75,342.48,331.71,318.49,306.12,300.44,177.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-11-02 22:01:32.743000,L5,467.51,437.40,358.66,388.72,300.33,195.99,,,533.21,531.77,513.00,498.43,490.76,472.49,454.23,436.22,420.94,400.21,398.66,396.36,398.77,398.28,346.17,338.43,326.22,320.41,368.75,367.14,359.50,342.58,316.16,318.29,319.24,321.16,308.76,286.99,281.51,323.30,321.32,324.78,319.71,313.87,299.20,290.38,277.60,258.29,392.86,378.63,368.48,354.60,368.11,235.95,214.18,200.09,189.39,189.03,220.40,219.29,191.88,188.10,185.58,186.57,173.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-05 22:02:04.371000,L5,481.51,433.51,370.68,398.11,317.63,219.47,,,,539.55,521.24,493.23,480.58,465.41,444.77,434.12,415.54,406.37,394.49,397.95,393.81,393.20,356.21,348.55,329.40,325.13,354.17,370.21,371.41,358.02,330.87,327.11,327.54,322.80,297.56,272.37,263.13,276.54,291.89,315.56,316.05,305.98,298.66,291.49,273.98,263.47,392.65,392.22,378.29,358.91,364.99,247.10,227.25,211.48,196.41,181.31,186.59,221.01,206.67,197.27,192.54,208.01,189.26,185.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-21 22:02:09.591000,L5,465.20,428.97,365.38,393.19,321.61,219.38,,533.58,526.98,533.27,521.71,494.62,472.82,453.74,439.37,421.76,415.86,400.93,392.53,385.46,387.75,385.44,353.22,336.03,326.77,315.56,350.47,358.00,357.74,338.96,318.62,318.21,315.08,311.48,290.84,270.07,251.87,262.03,274.64,295.86,296.13,292.34,288.90,271.63,268.15,244.62,384.72,373.07,368.46,356.46,352.74,229.51,211.82,198.51,187.66,179.60,175.90,195.13,185.40,181.29,174.76,177.24,176.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
