dates,satname,nzd0109-0000,nzd0109-0001,nzd0109-0002,nzd0109-0003,nzd0109-0004,nzd0109-0005,nzd0109-0006,nzd0109-0007,nzd0109-0008,nzd0109-0009,nzd0109-0010,nzd0109-0011,nzd0109-0012,nzd0109-0013,nzd0109-0014,nzd0109-0015,nzd0109-0016
1999-09-27 22:04:48.949000,L7,,,,,,,,,,,,,,,326.97,341.72,337.12
1999-11-14 22:04:42.286000,L7,,,,,,,,,,,,,,,330.83,335.13,326.26
2000-07-11 22:03:17.779000,L7,,,359.21,356.88,355.70,356.24,340.60,340.21,339.70,340.73,349.82,,,,,,
2001-01-03 22:02:12.432000,L7,348.00,342.89,352.00,355.19,345.35,337.90,335.18,344.28,338.40,339.21,427.87,398.88,398.53,396.23,400.37,384.12,469.85
2001-03-24 22:01:59.719000,L7,,,399.43,399.91,363.74,351.42,359.95,404.37,,,,,,,,,
2001-10-02 22:00:04.650000,L7,,,,,,,,,,,,,,,322.54,315.12,317.34
2001-12-21 22:00:29.925000,L7,398.93,375.04,395.92,380.28,370.18,384.01,388.71,353.12,357.62,399.85,,359.60,381.91,406.03,359.64,346.45,352.76
2002-01-22 22:00:40.906000,L7,349.97,428.30,398.41,407.48,409.60,424.15,413.66,417.37,413.27,418.51,428.28,437.40,434.75,430.91,415.15,399.70,388.90
2002-02-23 22:00:43.620000,L7,,,,,,,,,,,,,,,324.99,324.03,341.47
2002-03-27 22:00:37.575000,L7,,,,,,,,,,,,,,,327.97,333.93,327.57
2002-06-15 22:00:19.658000,L7,375.31,387.88,384.04,392.00,379.52,374.79,,,,,,,,,,,
2002-08-02 22:00:01.321000,L7,409.85,398.72,410.55,,,,,,,,,,,,,346.77,312.98
2002-10-21 21:59:36.443000,L7,,,,,,,,,,,,,,,334.56,341.00,336.56
2002-12-24 22:00:09.147000,L7,344.61,341.12,346.07,351.43,336.57,334.90,334.37,335.56,375.34,379.24,392.98,396.57,405.19,395.70,370.87,348.35,349.59
2003-01-25 22:00:18.779000,L7,380.23,391.31,392.73,390.99,,,,370.60,338.65,360.54,372.38,384.47,382.32,402.00,390.33,370.65,359.26
2004-08-24 21:48:54.043000,L5,,,,,,,,,348.96,351.79,367.31,363.83,375.93,420.72,403.68,,
2010-10-28 21:55:27.339000,L5,,,,,,,,,,,,,,,,321.02,338.58
2013-10-27 22:13:31.854000,L8,398.32,431.57,351.84,446.90,,,,,,,,,,,,,
2016-03-25 22:11:32.353000,L8,,,,,,,,,,,,,,,318.31,318.57,318.04
2019-03-02 22:11:29.304000,L8,,,,,,,,,,,,,,,329.60,326.36,323.17
2021-02-03 22:11:56.237000,L8,,,,,,,,,,,,,,,317.64,320.81,319.14
2023-03-13 22:11:47.152000,L8,320.58,321.61,,,,,,,,,,,,,321.25,326.01,327.44
2024-08-22 22:11:34.534000,L8,,,,,,,,,,,,,,,326.33,326.00,443.09
2025-11-13 22:12:04.594000,L8,,,,,,,,,,,,,,,324.27,327.05,330.03
