dates,satname,nzd0402-0000,nzd0402-0001,nzd0402-0003,nzd0402-0004,nzd0402-0005,nzd0402-0006,nzd0402-0007,nzd0402-0008,nzd0402-0009,nzd0402-0010,nzd0402-0011,nzd0402-0012,nzd0402-0002,nzd0402-0013,nzd0402-0014,nzd0402-0015,nzd0402-0016,nzd0402-0017,nzd0402-0018,nzd0402-0019,nzd0402-0020,nzd0402-0021,nzd0402-0022,nzd0402-0023,nzd0402-0024,nzd0402-0025,nzd0402-0026,nzd0402-0027,nzd0402-0028,nzd0402-0029,nzd0402-0030
1999-10-22 22:00:28.631000,L7,356.30,335.49,361.11,363.27,354.51,339.49,366.62,380.24,384.39,367.19,369.21,337.79,,,,,,,,,,,,,,,,,,,
1999-12-09 22:00:33.510000,L7,,,361.98,387.56,387.49,379.30,380.59,376.62,374.30,365.04,364.99,356.92,,352.37,347.70,342.10,337.39,335.62,332.66,333.97,342.12,344.49,334.51,347.45,346.45,345.06,,,,,
2000-01-26 22:00:26.187000,L7,370.21,382.72,386.53,379.26,373.38,373.31,376.33,375.53,361.53,358.99,354.49,352.64,382.46,341.34,324.77,346.59,357.26,367.29,378.82,302.56,332.76,331.91,331.32,336.58,336.72,303.01,295.29,295.22,288.52,296.30,
2000-02-11 22:00:21.827000,L7,,273.87,330.73,336.33,315.79,305.86,334.06,323.75,319.53,311.82,343.16,333.48,334.20,,,,,,,,,,,,,,,,,,
2000-02-27 22:00:16.353000,L7,365.15,372.52,385.54,379.12,387.52,384.17,376.94,362.97,362.36,365.37,352.46,342.02,382.03,295.43,,,,,,,,329.76,333.96,337.89,352.36,,,,,,
2000-03-30 22:00:09.363000,L7,,317.94,344.49,347.39,339.16,331.51,349.79,368.31,328.31,362.40,358.65,325.58,341.61,,,,,,,,,,,,,,,,,,
2000-10-08 21:58:00.300000,L7,,,360.28,345.25,313.62,293.31,318.18,333.17,327.91,,,,319.77,,,,,,,,,,,,,,,,,,
2000-11-25 21:57:58.896000,L7,353.65,337.40,358.54,367.87,362.74,345.06,376.62,379.59,369.43,352.41,361.20,354.26,391.92,293.60,,,,,,,,,,,,,,,,,
2001-06-05 21:57:16.389000,L7,,,323.74,321.34,332.75,,,,,,,,317.97,,,,,,,,,,,,,,,,,,
2001-09-25 21:56:04.528000,L7,347.40,316.96,350.08,368.96,371.05,362.92,334.86,372.09,323.15,324.62,363.81,352.76,345.36,293.31,,,,,,,,,,,,,,,,,
2001-12-30 21:56:13.010000,L7,,372.27,348.71,348.91,339.10,328.83,371.53,373.39,325.66,329.26,326.70,325.38,348.99,,,,,,,,,,,,,,,,,,
2002-02-16 21:56:30.006000,L7,,281.08,332.58,370.77,322.37,305.62,325.90,332.19,309.90,315.63,312.62,311.95,334.86,,,,,,,,,,,,,,,,,,
2002-10-14 21:55:19.836000,L7,340.61,308.37,345.61,351.70,339.62,314.20,385.28,370.90,370.98,328.17,325.44,326.58,342.67,290.78,,,,,,,,,,,,,,,,,
2002-10-30 21:55:25.430000,L7,351.23,332.43,361.73,384.58,359.93,384.00,383.98,377.52,374.01,369.11,361.77,340.54,354.51,,,,,,,351.03,344.87,351.28,,,,,,,,,
2003-01-18 21:56:06.129000,L7,,,314.81,325.23,313.70,305.40,343.19,355.63,337.23,378.26,375.27,370.96,321.15,370.39,368.89,359.84,362.00,386.72,,,,,,,,,,,,,
2003-07-21 21:44:09.463000,L5,357.75,328.87,356.54,347.38,349.18,316.43,354.39,347.67,322.15,334.32,328.66,319.55,347.58,,,,,,,,,,,,,,,,,,
2004-04-02 21:46:54.575000,L5,356.57,336.27,373.91,380.93,362.12,344.07,371.32,358.99,330.55,341.61,333.61,325.35,366.94,295.41,,,,,,,,,,,,,,,,,
2004-05-04 21:47:51.656000,L5,361.91,339.36,364.96,372.72,364.29,343.90,356.40,355.96,335.92,341.19,334.89,329.17,364.25,298.51,,,,,,,,,,,,,,,,,
2004-07-07 21:49:44.929000,L5,361.42,340.40,367.76,365.84,381.44,365.98,349.03,365.39,342.72,351.13,337.56,322.18,366.90,,,,,,,,,,,,,,,,,,
2004-08-08 21:50:26.495000,L5,359.68,348.50,369.47,368.88,351.90,343.11,351.59,366.48,340.53,353.12,340.54,324.83,359.82,,,,,,,,,,,,,,,,,,
2004-09-25 21:51:43.061000,L5,370.56,345.07,370.37,384.47,367.15,346.37,370.62,357.93,336.58,340.14,333.73,324.65,370.78,287.54,,,,,,,,,,,,,,,,,
2004-10-27 21:52:23.346000,L5,,,382.53,384.35,371.05,368.06,364.56,368.70,353.78,361.82,349.41,336.21,,297.67,,,,,,,,,,,,,,,,,
2005-01-15 21:53:45.186000,L5,362.77,348.71,371.44,370.48,362.78,351.38,374.26,367.58,353.33,355.40,353.87,347.17,360.96,309.43,,,,,,,,,,,,,,,,,
2005-03-04 21:54:27.824000,L5,354.42,328.03,357.85,356.62,339.17,318.88,343.15,336.42,325.21,338.17,333.05,325.57,351.43,304.73,,,,,,,,,,,,,,,,,
2005-04-05 21:54:42.889000,L5,361.28,347.42,368.24,375.36,359.96,358.39,358.02,364.30,338.86,349.80,364.58,331.23,366.87,296.71,,,,,,,,,,,,,,,,,
2005-07-10 21:55:19.319000,L5,,329.06,344.20,347.07,336.75,307.72,338.97,353.30,326.70,333.80,330.24,319.61,345.85,,,,,,,,,,,,,,,,,,
2005-08-27 21:55:43.837000,L5,364.73,347.95,364.66,364.78,353.16,356.23,353.08,361.09,339.62,345.11,339.67,336.79,370.18,298.44,,,,,,,,,,250.94,270.60,275.27,283.83,280.05,257.23,241.96,219.03
2006-02-19 21:58:15.515000,L5,363.11,354.45,382.62,374.99,372.96,356.33,364.21,348.61,340.55,345.97,354.04,332.33,366.37,306.65,,,,,,,,,,,265.37,268.42,265.98,288.72,252.21,216.96,212.14
2006-11-02 22:01:56.430000,L5,352.45,327.82,364.00,364.47,341.07,326.28,355.01,350.07,329.75,333.79,326.11,315.04,352.69,,,,,,,,,,,,,,,,,,
2007-01-05 22:02:28.201000,L5,373.50,343.92,363.08,363.91,343.32,329.13,350.90,350.27,332.17,350.89,346.93,338.05,365.13,298.71,,,,,,,,,,,,,,,,,
2007-01-21 22:02:33.422000,L5,371.51,354.14,375.24,378.65,362.76,332.82,358.08,349.00,332.35,340.89,339.93,332.04,369.13,306.55,,,,,,,,,,,,,,,,,
2008-02-25 21:58:00.859000,L5,356.65,347.68,372.10,370.28,355.66,353.80,361.13,355.32,342.92,348.14,350.47,331.11,364.00,293.98,,,,,,,,,,,,,,,,,
2008-12-25 21:52:09.965000,L5,,,347.84,337.98,319.12,298.35,327.36,309.64,298.86,313.68,315.92,299.47,348.79,,,,,,,,,,,,,,,,,,
2010-01-13 21:58:24.995000,L5,,,338.10,334.61,314.01,298.56,332.54,315.71,306.18,327.45,324.79,319.62,329.44,,,,,,,,,,,,,,,,,,
2010-01-29 21:58:29.033000,L5,,343.68,373.37,365.22,345.61,333.85,360.67,347.90,336.65,347.14,349.16,339.56,369.26,307.78,,,,,,,,,,,,,,,,,
2011-09-13 21:56:09.668000,L5,371.86,357.93,377.86,373.77,358.16,352.49,360.01,364.33,341.87,356.05,354.80,334.47,372.06,293.69,,,,,,,,,,,,,,,,,
2014-03-13 22:08:09.214000,L8,,,351.58,361.07,349.74,315.43,352.10,349.92,324.12,345.31,341.26,325.22,351.17,296.87,,,,,,,,,,,,,,,,,
2014-11-08 22:07:51.967000,L8,348.65,,349.48,357.05,348.72,308.17,343.08,330.55,320.14,338.45,328.27,316.23,347.61,,,,,,,,,,,,,,,,,,
2014-12-26 22:07:42.898000,L8,372.79,322.63,395.64,366.48,354.89,333.03,350.37,332.02,326.08,345.26,340.40,328.20,382.96,297.63,,,,,,,,,,,,,,,,,
2015-02-12 22:07:27.072000,L8,369.80,302.81,388.13,387.59,390.47,334.78,344.49,366.44,342.53,350.70,342.78,333.60,383.42,300.17,,,,,,,,,,,,,,,,,
2015-02-28 22:07:24.273000,L8,,,341.14,351.35,323.62,284.24,333.97,323.40,311.53,336.08,328.44,321.11,333.02,297.84,,,,,,,,,,,,,,,,,
2015-04-01 22:07:01.610000,L8,,,339.94,357.14,329.78,,,,,,,,334.53,,,,,,,,,,,,,,,,,,
2015-08-23 22:07:24.416000,L8,,,341.30,359.07,331.70,,,,,,,,334.54,,,,,,,,,,,,,,,,,,
2015-10-10 22:07:38.780000,L8,,,395.02,390.95,351.07,321.14,343.94,332.91,321.31,339.13,331.67,322.65,,,,,,,,,,,,,,,,,,,
2015-11-27 22:07:47.119000,L8,357.49,324.82,366.67,370.49,357.32,338.09,367.48,369.08,353.99,352.79,349.89,325.16,373.10,,,,,,,,,,,,,,,,,,
2016-03-02 22:07:31.352000,L8,375.15,327.76,386.80,397.54,362.54,336.39,348.31,373.73,403.76,353.03,345.91,331.86,381.14,312.71,,,,,,,,,,,,,,,,,
2016-04-19 22:07:10.819000,L8,,,355.10,367.05,356.38,328.24,358.93,345.09,341.94,342.49,339.48,323.84,342.03,295.93,,,,,,,,,,,,,,,,,
2016-07-24 22:07:37.782000,L8,,311.72,363.00,381.74,364.66,345.15,368.92,367.05,351.20,351.13,347.69,308.84,350.17,,,,,,,,,,,,,,,,,,
2016-09-10 22:07:51.328000,L8,,309.45,354.06,371.29,357.35,331.61,360.52,334.57,341.43,343.82,336.93,318.41,350.15,,,,,,,,,,,,,,,,,,
2016-10-12 22:07:57.049000,L8,,,345.87,363.27,349.87,316.54,345.08,334.89,324.01,338.45,328.37,317.02,340.56,,,,,,,,,,,,,,,,,,
2016-12-15 22:07:53.950000,L8,,293.77,353.02,357.02,348.07,316.82,351.26,334.59,323.36,341.28,335.42,315.25,349.35,,,,,,,,,,,,,,,,,,
2017-01-16 22:07:46.911000,L8,356.13,307.72,362.81,366.68,358.97,341.80,368.70,368.31,341.84,349.77,341.17,324.60,354.95,,,,,,,,,,,,,,,,,,
2017-04-06 22:07:09.788000,L8,,,338.91,355.57,335.41,289.50,333.88,330.98,320.05,333.19,327.02,297.34,332.70,,,,,,,,,,,,,,,,,,
2017-10-31 22:07:55.807000,L8,,,336.53,345.09,320.34,287.71,330.81,322.17,311.83,328.97,321.44,303.38,330.89,,,,,,,,,,,,,,,,,,
2017-12-02 22:07:46.733000,L8,,275.54,362.68,366.37,356.71,337.54,366.62,364.34,346.00,349.63,345.39,326.62,356.54,300.13,,,,,,,,,,,,,,,,,
2018-01-19 22:07:38.489000,L8,352.58,296.80,355.24,362.22,353.15,327.53,355.38,360.28,336.21,345.94,336.75,323.54,354.37,,,,,,,,,,,,,,,,,,
2018-04-25 22:06:50.725000,L8,,,342.27,358.43,341.74,294.15,334.23,333.56,320.89,334.95,329.37,304.92,333.59,,,,,,,,,,,,,,,,,,
2018-08-31 22:07:11.120000,L8,369.88,390.62,,,370.98,340.82,369.62,374.14,354.06,359.33,349.35,328.70,,298.30,,,,,,,,,,,,,,,,,
2018-12-21 22:07:30.529000,L8,,,397.84,376.96,364.50,354.98,364.04,366.91,363.28,342.14,404.76,407.64,,397.25,392.22,378.62,380.60,371.14,372.62,,,,,,,,,,,,
2019-01-22 22:07:26.086000,L8,395.22,262.68,357.94,362.62,350.27,319.06,351.07,333.51,336.30,353.17,331.31,316.83,352.83,291.53,,,,,,,,,,,,,,,,,
2019-10-05 22:08:00.157000,L8,360.20,316.68,368.48,372.60,362.23,344.96,363.41,362.22,347.17,338.07,323.92,308.41,365.03,,,,,,,,,,,,,,,,,,
2019-12-08 22:07:56.574000,L8,,299.03,363.67,366.81,354.76,323.72,352.66,333.91,337.75,334.57,319.55,302.21,358.19,,,,,,,,,,,,,,,,,,
2020-01-09 22:07:49.551000,L8,,,376.56,373.27,365.56,345.87,392.75,417.42,407.32,406.08,347.30,334.34,,304.49,,,,,,,,,,,,,,,,,
2020-02-10 22:07:40.719000,L8,,,,,,285.08,330.59,316.75,315.55,340.00,322.71,317.93,,,,,,,,,,,,,,,,,,,
