dates,satname,nzd0435-0000,nzd0435-0001,nzd0435-0002,nzd0435-0003,nzd0435-0004,nzd0435-0005,nzd0435-0006,nzd0435-0007,nzd0435-0008,nzd0435-0009,nzd0435-0010,nzd0435-0011,nzd0435-0012,nzd0435-0013
2003-08-11 22:03:03.501000,L5,,,,,191.57,271.27,260.91,257.61,,,,,,
2003-08-27 22:03:21.662000,L5,,,,,261.08,274.91,263.89,273.73,166.02,,,,,
2003-12-10 21:58:29.659000,L5,,,,294.17,307.24,310.25,305.88,301.18,294.75,302.46,294.13,286.95,246.27,322.93
2003-12-26 21:58:42.145000,L5,,,,,192.45,276.37,269.38,265.87,244.46,237.47,240.43,,,
2004-01-18 22:04:57.325000,L5,,,,,,,262.24,252.62,234.22,227.22,230.76,,,
2004-02-19 22:05:07.713000,L5,,,,,,,252.54,250.34,181.80,224.30,232.37,,,
2004-09-30 22:10:21.832000,L5,,,,,,,256.46,253.93,230.33,253.48,248.01,172.83,,
2004-11-26 22:05:17.306000,L5,,,,249.40,276.49,284.59,269.72,256.92,246.00,246.16,243.66,161.73,,
2005-02-14 22:06:33.160000,L5,,,,,247.92,261.40,241.63,248.27,247.50,256.60,247.05,173.07,,
2005-02-21 22:12:51.062000,L5,,,,,186.80,278.70,266.96,261.98,244.00,253.49,247.72,168.57,,
2005-09-10 22:08:07.620000,L5,,,,,264.60,272.69,256.52,256.03,186.23,252.65,240.26,,,
2005-11-13 22:08:20.468000,L5,,,,,268.88,280.56,266.17,266.33,253.81,250.67,249.74,170.82,,
2006-02-01 22:10:13.684000,L5,,,,231.16,266.98,275.46,264.10,262.79,250.29,253.90,250.96,168.28,,
2006-02-08 22:16:33.840000,L5,,,,226.69,270.09,282.89,269.73,271.62,252.73,259.04,257.55,165.93,,
2006-03-12 22:17:13.956000,L5,,,,,262.16,273.40,257.13,258.98,167.35,253.46,251.22,163.26,,
2006-10-22 22:20:22.725000,L5,,,,,271.99,274.39,261.04,252.77,251.53,249.96,234.92,161.55,,
2006-10-31 22:14:17.081000,L5,,,,247.90,274.96,289.74,269.14,266.36,258.22,261.10,250.78,169.49,,
2006-12-09 22:20:48.644000,L5,,,,,264.87,273.68,258.56,250.75,246.78,242.20,240.69,161.19,,
2007-01-26 22:21:06.903000,L5,,,,,258.94,267.29,252.65,246.69,249.19,252.50,251.25,162.80,,
2007-02-04 22:14:57.320000,L5,,,,,266.48,274.97,272.93,263.64,253.34,254.10,254.53,169.53,,
2007-02-11 22:21:08.430000,L5,,,,224.88,290.11,295.44,282.30,267.58,255.63,258.10,253.34,172.21,,
2007-09-07 22:19:19.580000,L5,,,,,254.64,269.33,251.02,240.26,156.56,,,,,
2007-10-02 22:12:54.699000,L5,,,,,278.43,286.25,265.13,253.79,241.06,250.91,244.37,156.37,,
