dates,satname,nzd0570-0000,nzd0570-0001,nzd0570-0002,nzd0570-0003,nzd0570-0004,nzd0570-0005,nzd0570-0006,nzd0570-0007,nzd0570-0008,nzd0570-0009,nzd0570-0010,nzd0570-0011,nzd0570-0012,nzd0570-0013,nzd0570-0014,nzd0570-0015,nzd0570-0017,nzd0570-0018,nzd0570-0019,nzd0570-0020,nzd0570-0021,nzd0570-0022,nzd0570-0023,nzd0570-0024,nzd0570-0025,nzd0570-0026,nzd0570-0027,nzd0570-0028,nzd0570-0029,nzd0570-0030,nzd0570-0031,nzd0570-0032,nzd0570-0016
1999-08-26 22:06:20.800000,L7,225.66,44.98,43.30,47.61,27.72,100.12,103.74,208.92,213.09,185.23,57.91,256.81,269.90,207.81,202.92,261.61,28.55,13.99,283.37,278.22,270.52,263.70,258.00,267.83,279.79,270.89,273.56,166.48,122.42,259.62,252.00,268.91,
1999-09-20 22:00:08.403000,L7,165.46,174.37,246.97,188.55,198.30,186.36,207.09,212.98,213.48,197.84,241.02,234.56,254.81,260.91,251.25,255.02,256.87,264.38,273.03,269.16,263.19,254.22,257.65,256.15,268.42,265.46,265.90,246.71,252.46,253.81,251.95,270.98,238.19
1999-09-27 22:06:24.836000,L7,249.00,275.88,275.81,273.45,271.62,274.61,273.62,272.81,270.36,235.03,266.94,271.75,282.93,279.23,272.84,272.38,270.90,277.91,282.69,280.62,278.34,270.87,271.48,273.29,283.26,274.31,277.71,263.63,272.67,267.47,266.53,282.52,254.76
1999-10-22 22:00:04.598000,L7,283.24,284.94,287.81,288.12,288.20,292.48,293.24,291.49,289.68,289.08,285.40,288.83,289.68,292.24,292.60,285.29,288.22,292.44,293.38,293.06,281.90,224.08,201.34,255.61,274.24,247.40,313.37,363.17,65.82,12.18,92.96,154.26,274.36
1999-12-09 22:00:09.551000,L7,250.49,267.22,271.55,272.30,270.71,275.19,277.13,275.97,275.02,241.91,265.84,215.94,200.76,216.69,199.65,273.81,272.24,278.84,283.21,284.03,281.42,274.94,267.62,272.04,279.78,274.31,274.58,267.57,272.55,271.15,267.17,281.52,264.46
1999-12-16 22:06:21.817000,L7,165.29,164.39,182.86,183.58,191.94,198.86,188.43,213.17,207.39,195.27,89.12,,243.33,217.96,258.48,253.25,,243.73,255.51,253.91,252.24,240.21,216.26,169.16,217.21,217.84,253.63,238.26,218.71,215.43,198.62,208.13,
1999-12-25 22:00:04.067000,L7,249.91,270.99,275.64,273.93,272.97,272.94,277.44,274.48,272.19,236.85,205.27,208.06,201.91,223.58,207.57,276.38,272.29,281.14,283.55,284.78,282.24,275.73,275.75,273.74,281.96,276.07,277.92,263.89,271.49,269.44,266.88,280.35,263.88
2000-01-26 22:00:02.226000,L7,163.82,169.53,176.84,184.62,198.29,204.99,207.06,214.40,209.89,187.11,87.53,,183.80,112.13,41.86,256.57,34.89,259.49,263.96,264.48,258.19,226.16,252.87,255.43,261.06,261.32,253.80,245.94,225.37,224.25,214.16,225.94,244.97
2000-02-11 21:59:57.866000,L7,303.83,305.12,306.75,305.43,306.11,315.17,309.68,309.89,307.93,308.79,311.86,313.45,310.81,313.59,319.99,312.14,307.26,313.98,318.28,332.44,317.71,315.62,318.08,318.67,316.96,312.22,311.64,300.78,300.89,304.14,302.20,310.50,296.31
2000-02-18 22:06:05.064000,L7,248.79,269.89,275.42,255.46,269.68,271.70,274.35,271.45,263.86,240.33,251.72,264.98,266.88,217.41,206.30,169.73,221.92,228.79,282.66,278.16,274.55,269.02,266.16,271.29,279.78,273.67,275.10,262.78,265.10,272.60,265.79,278.00,260.98
2000-02-27 21:59:52.393000,L7,310.14,315.62,314.64,315.29,308.31,313.79,310.50,311.26,307.70,304.21,309.07,310.49,314.59,317.68,322.28,318.45,316.88,318.87,316.47,315.37,316.57,318.48,327.15,323.90,325.78,319.96,313.90,306.83,303.23,308.88,305.54,316.33,298.12
2000-03-21 22:06:01.097000,L7,154.06,152.28,102.72,172.46,,189.12,186.12,209.68,194.01,164.48,69.20,,237.87,252.07,246.17,242.61,,246.54,259.36,259.45,251.06,230.82,240.13,197.75,214.99,187.08,153.67,161.32,215.95,208.40,194.67,197.14,224.25
