dates,satname,nzd0066-0000,nzd0066-0001,nzd0066-0002,nzd0066-0003,nzd0066-0004,nzd0066-0005,nzd0066-0006,nzd0066-0007,nzd0066-0008,nzd0066-0009,nzd0066-0010,nzd0066-0011,nzd0066-0012,nzd0066-0013
2000-01-01 22:04:37.439000,L7,,304.77,339.60,3.58,341.42,,,,,,,,,
2000-01-17 22:04:11.868000,L7,358.33,368.88,355.39,350.88,357.38,342.86,344.51,336.97,347.05,348.71,343.90,334.02,347.95,337.54
2000-01-17 22:04:35.821000,L7,356.76,367.03,354.13,349.29,354.40,340.34,343.10,333.17,337.95,347.00,340.21,331.31,345.78,331.92
2000-02-18 22:04:29.218000,L7,,327.15,340.22,342.88,347.94,323.39,317.89,,314.57,309.79,308.88,303.83,314.02,316.23
2000-08-12 22:02:30.151000,L7,,307.71,322.18,331.55,338.19,320.09,313.09,,,,,,,
2001-01-03 22:02:12.432000,L7,,309.78,316.46,341.28,333.30,,,,,,,,,
2001-08-15 22:00:14.727000,L7,,311.59,329.26,332.39,335.95,,,,,,,,,
2001-08-15 22:00:38.680000,L7,,312.52,330.81,332.52,336.96,314.75,,,,,,,,
2002-01-22 22:00:16.971000,L7,,343.06,350.47,346.76,338.28,319.39,311.11,,,,,,,
2002-01-22 22:00:40.906000,L7,,343.34,345.21,344.27,337.62,317.14,,,,,,,,
2002-08-18 21:59:57.690000,L7,528.89,,,,,,,,,,,,,
2003-07-28 21:48:04.987000,L5,,,308.01,318.16,,,,,,,,,,
2003-09-30 21:49:06.317000,L5,,323.03,330.00,336.28,340.18,319.18,,,,,,,,
2003-09-30 21:49:30.432000,L5,,,321.09,332.45,337.91,314.28,,,,,,,,
2004-07-30 21:54:28.143000,L5,,330.17,329.03,330.02,336.74,317.50,,,,,,,,
2004-09-16 21:55:17.605000,L5,,329.87,331.82,335.79,342.02,322.54,,,,,,,,
2004-09-16 21:55:41.721000,L5,,,313.23,324.37,330.36,,,,,,,,,
2005-02-23 21:58:07.648000,L5,,,318.70,311.87,,,,,,,,,,
2005-02-23 21:58:31.621000,L5,,,317.69,309.55,,,,,,,,,,
2005-03-11 21:58:20.185000,L5,,,312.58,325.77,327.94,,,,,,,,,
2005-03-27 21:58:27.646000,L5,,298.18,318.09,329.25,335.42,315.87,,,,,,,,
2005-05-30 21:58:51.383000,L5,,,308.30,318.52,326.73,,,,,,,,,
2005-05-30 21:59:15.499000,L5,,,309.77,319.71,327.55,,,,,,,,,
2005-07-17 21:59:11.604000,L5,,,299.55,313.16,,,,,,,,,,
2006-02-10 22:01:51.332000,L5,,,304.70,308.97,,,,,,,,,,
2006-02-26 22:02:11.573000,L5,,,304.85,311.66,,,,,,,,,,
2006-03-14 22:02:31.280000,L5,,238.98,314.14,317.32,,,,,,,,,,
2006-05-17 22:03:33.996000,L5,,286.51,306.93,322.85,327.60,,,,,,,,,
2006-05-17 22:03:57.969000,L5,,304.60,315.38,328.77,333.33,,,,,,,,,
2006-08-21 22:04:55.513000,L5,,,307.90,314.72,,,,,,,,,,
2006-08-21 22:05:19.629000,L5,,312.60,317.49,321.16,326.26,,,,,,,,,
2007-02-13 22:06:47.368000,L5,,295.91,318.66,324.23,332.02,,,,,,,,,
2007-09-25 22:04:24.972000,L5,,305.69,317.29,324.70,330.59,,,,,,,,,
2007-09-25 22:04:48.945000,L5,,327.37,331.43,333.22,338.56,321.90,315.18,,,,,,,
2008-02-16 22:02:22.163000,L5,,312.57,325.31,326.87,336.48,,,,,,,,,
2008-10-29 21:55:24.451000,L5,,307.90,319.14,326.19,336.28,,,,,,,,,
2011-03-12 22:01:43.554000,L5,,330.53,336.07,342.48,351.24,326.22,309.57,,,,,,,
2011-08-19 22:00:12.535000,L5,,,304.34,308.71,,,,,,,,,,
2013-05-20 22:13:50.559000,L8,,293.37,310.07,319.26,327.29,,,,,,,,,
2013-06-05 22:13:27.306000,L8,,272.24,317.50,322.92,330.24,,,,,,,,,
2013-09-25 22:13:17.289000,L8,,295.89,312.00,319.90,326.29,,,,,,,,,
2013-12-14 22:12:57.636000,L8,,294.11,313.65,318.99,327.73,,,,,,,,,
2013-12-14 22:13:21.591000,L8,,308.37,316.47,321.63,330.07,,,,,,,,,
2014-01-15 22:12:33.689000,L8,,316.03,328.04,333.61,339.72,319.44,313.63,,,,,,,
2014-01-31 22:12:28.855000,L8,,312.58,328.25,330.97,336.82,317.87,,317.23,312.02,310.13,308.95,312.44,311.09,319.02
2014-08-11 22:11:51.972000,L8,,321.43,345.74,365.45,375.50,353.51,386.26,326.42,321.98,315.75,317.52,321.19,320.29,318.79
2014-10-14 22:11:38.746000,L8,,291.35,306.95,314.87,,,,,,,,,,
2014-10-14 22:12:02.705000,L8,,307.23,317.00,324.51,331.42,,,,,,,,,
2015-01-02 22:11:27.004000,L8,,244.42,36.97,334.79,335.34,,,,,,,,,
2015-06-11 22:10:40.593000,L8,529.38,318.71,329.68,335.85,345.68,326.04,323.50,315.91,321.85,315.01,316.63,319.52,319.44,322.80
2015-07-29 22:11:01.897000,L8,,244.37,311.72,320.49,330.61,,,,,,,,,
2015-12-20 22:11:33.546000,L8,,319.61,324.91,333.24,341.70,320.45,,,,311.68,310.39,343.18,360.23,313.75
2015-12-20 22:11:57.501000,L8,,319.69,324.94,333.20,341.69,320.46,,,,311.75,310.62,342.82,360.32,313.91
2016-02-22 22:11:18.630000,L8,,312.46,323.39,328.41,333.79,315.33,,,,,,,,
2016-06-13 22:11:30.674000,L8,,318.43,327.84,332.21,340.38,322.79,318.84,322.25,323.81,317.09,320.77,320.08,315.38,322.16
2016-06-29 22:11:15.136000,L8,,295.77,190.96,320.51,328.27,,,,,,,,,
2016-07-15 22:11:22.376000,L8,531.85,325.65,330.06,333.21,340.76,325.15,325.37,320.66,326.57,317.41,318.37,322.33,317.59,319.95
2016-07-15 22:11:46.335000,L8,,300.12,315.18,321.20,329.05,,,,,,,,,
2016-08-16 22:11:29.744000,L8,,318.44,326.68,333.16,339.29,322.51,317.75,319.72,320.27,315.42,316.47,317.04,313.38,318.25
2016-08-16 22:11:53.694000,L8,,318.39,326.54,332.95,339.17,322.41,317.69,319.83,320.42,315.46,316.61,317.05,313.40,318.22
2016-11-20 22:12:09.409000,L8,,277.80,195.46,314.48,,,,,,,,,,
2016-12-22 22:12:03.110000,L8,,315.76,330.38,331.97,343.95,324.72,333.51,,,,,,,
2018-01-10 22:11:30.163000,L8,,295.16,314.91,321.98,329.83,,,,,,,,,
2018-01-10 22:11:54.118000,L8,,308.17,177.20,328.29,335.11,,,,,,,,,
2018-01-26 22:11:45.215000,L8,,318.94,328.98,331.96,339.99,321.16,317.53,,,,,,,
2018-02-11 22:11:38.494000,L8,,,308.65,309.91,,,,,,,,,,
2018-08-06 22:10:46.333000,L8,,292.00,313.58,321.09,329.68,,,,,,,,,
