dates,nzd0277-0000,nzd0277-0001,nzd0277-0002,nzd0277-0003,nzd0277-0004,nzd0277-0005,nzd0277-0006,nzd0277-0007,nzd0277-0008,nzd0277-0009,nzd0277-0010,nzd0277-0012,nzd0277-0013,nzd0277-0014,nzd0277-0015,nzd0277-0011,nzd0277-0016,nzd0277-0017,nzd0277-0018,nzd0277-0019,nzd0277-0020,nzd0277-0021,nzd0277-0022,nzd0277-0023,nzd0277-0024,nzd0277-0025,nzd0277-0026,nzd0277-0027,nzd0277-0028,nzd0277-0029,nzd0277-0030,nzd0277-0031,nzd0277-0032,nzd0277-0033,nzd0277-0034,nzd0277-0042,nzd0277-0043,nzd0277-0044,nzd0277-0036,nzd0277-0037,nzd0277-0038,nzd0277-0035,nzd0277-0048,nzd0277-0039,nzd0277-0040,nzd0277-0041,nzd0277-0045,nzd0277-0046,nzd0277-0047,nzd0277-0049,nzd0277-0050,satname
1999-08-26 22:05:32+00:00,,,,,,308.73,,330.24,,,,,285.73,,304.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-01-10 21:59:16+00:00,,,,,,308.73,,330.24,,,,,285.73,,304.98,,,,,,,,,,,,,,,,,,,,,,264.3,277.41,,,,,231.6,,,,277.25,236.39,230.58,248.61,270.48,L7
2000-03-30 21:58:57+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.3,277.41,,,,,247.15499999999997,,,,269.81,250.245,249.23000000000002,248.61,270.48,L7
2000-05-24 22:04:34+00:00,,258.25,275.23,275.23,270.73,284.3,290.44,292.24,294.53,287.78,,,,,,,,,,,,,,,,,,,,,,,314.82,,311.11,,264.3,277.41,294.52,287.69,,313.28,247.15499999999997,,,,269.81,250.245,249.23000000000002,248.61,270.48,L7
2000-07-11 22:04:05+00:00,,258.25,275.23,275.23,270.73,284.3,290.44,292.24,294.53,287.78,308.43,,,,,,,,331.46,,,,,,,,251.14,251.88,303.12,285.38,273.37,,314.82,,311.11,,,,294.52,287.69,,313.28,262.71,,,,262.37,264.1,267.88,,,L7
2000-08-05 21:57:32+00:00,,258.25,275.23,275.23,270.73,284.3,290.44,292.24,294.53,287.78,308.43,,,,306.73,,,326.7,333.22,,,,,,,,251.14,251.88,303.12,285.38,273.37,,314.82,,311.11,298.31,287.38,,294.52,285.725,,313.28,262.71,,,,262.37,264.1,267.88,,,L7
2000-08-12 22:03:42+00:00,303.54,269.115,278.8,276.87,282.65,301.005,290.85,307.46000000000004,294.53,287.78,308.43,,,,306.73,,,326.7,333.22,,,,,,,,251.14,251.88,303.12,285.38,273.37,300.0,311.97,316.18,307.555,298.31,287.38,,294.52,285.725,,313.28,262.71,,,,262.37,264.1,267.88,,,L7
2000-09-13 22:03:14+00:00,295.54,275.36333333333334,278.5266666666667,272.37666666666667,276.54,291.6433333333334,287.16,302.42333333333335,293.195,281.405,308.43,,,,306.73,,,326.7,333.22,,,,,,,,251.14,251.88,303.12,285.38,273.37,300.0,311.97,316.18,307.555,294.005,265.45,254.18,294.52,285.725,,313.28,262.71,,,,262.37,264.1,267.88,,,L7
2000-11-25 21:56:47+00:00,295.54,283.92,280.175,270.95,279.445,295.31500000000005,285.52,307.515,291.86,275.03,308.43,,,272.41,297.485,,316.23,319.79999999999995,315.1133333333333,293.17,262.47,,,,,,251.14,251.88,303.12,271.6,279.78499999999997,292.12,309.435,298.88,294.53499999999997,289.00333333333333,268.21999999999997,254.18,,279.41999999999996,268.47,286.27,252.31,276.78,290.54,292.11,,258.3,260.77,267.19,,L7
2001-01-03 22:03:00+00:00,303.03000000000003,290.76,288.0566666666667,280.81666666666666,289.43666666666667,295.31500000000005,299.64333333333326,307.515,319.595,286.47,308.43,,271.71,282.54,295.25,255.33,299.01,304.07,300.6625,293.17,262.47,,,,,,251.14,251.88,303.12,271.6,279.78499999999997,292.12,309.435,298.88,294.53499999999997,289.00333333333333,268.21999999999997,254.18,,279.41999999999996,268.47,286.27,252.31,276.78,290.54,292.11,,258.3,260.77,267.19,,L7
2001-02-20 22:03:00+00:00,302.775,296.15,290.90000000000003,286.43,291.8766666666667,291.71500000000003,309.1466666666666,305.285,317.3933333333334,294.24666666666667,294.9,302.85,271.71,282.54,289.51,255.33,300.6333333333334,294.07,273.25,278.14,259.535,,,,,,,,,257.82,286.2,284.24,309.75,281.58,285.07,284.35,258.64,254.18,,275.08,268.47,286.27,252.31,276.78,290.54,292.11,,258.3,260.77,267.19,,L7
2001-04-09 22:02:42+00:00,316.54499999999996,303.97,303.82,299.04,305.65500000000003,310.51,323.8299999999999,331.71500000000003,326.19666666666666,307.79,293.36,302.85,271.71,282.54,289.51,255.33,300.6333333333334,294.07,273.25,278.14,259.535,,,,,,,,,257.82,286.2,284.24,309.75,281.58,285.07,279.0,273.76,,,275.08,268.47,286.27,252.31,276.78,290.54,292.11,,258.3,260.77,267.19,,L7
2001-05-27 22:02:24+00:00,301.36999999999995,295.57666666666665,294.74,294.4825,296.55,301.28999999999996,314.92,321.0833333333333,319.7825,304.32000000000005,293.36,302.85,271.71,292.67,290.78,255.33,292.83500000000004,284.655,270.42500000000007,263.11,256.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-06-28 22:01:57+00:00,301.36999999999995,295.57666666666665,294.74,294.4825,296.55,301.28999999999996,314.92,321.0833333333333,319.7825,304.32000000000005,293.36,302.85,271.71,292.67,290.78,255.33,292.83500000000004,284.655,270.42500000000007,263.11,256.6,,,,,,,,,,,,,,316.78,,,,,,,,,,315.78,,,,,,,L7
2001-08-15 22:01:26+00:00,293.04999999999995,282.22999999999996,279.865,289.675,285.34999999999997,295.76,302.9466666666667,313.825,306.995,302.82,293.36,302.85,,,,,303.88,296.7,283.54,263.11,256.6,,,,,,,,,,,,,,316.78,,,,,,,,,,315.78,,,,,,,L7
2001-09-09 21:55:00+00:00,293.04999999999995,282.22999999999996,279.865,287.7833333333333,277.0799999999999,288.385,294.5350000000001,312.35999999999996,304.99666666666667,300.49333333333334,291.82,,,,,,,,,,,,,,,,,,,,,,,,316.78,289.13,278.75,271.49,,,,,,,315.78,302.72,,,,,,L7
2001-10-11 21:54:33+00:00,271.02,271.595,279.865,281.06499999999994,277.0799999999999,288.385,294.5350000000001,295.93499999999995,298.36,292.90999999999997,,,,,,,,,,,,,,,,,,,,,,,,,316.78,289.13,293.905,271.49,,282.05,295.13,,,281.52,302.145,302.72,288.6,290.37,276.61,,,L7
2002-01-22 22:01:28+00:00,292.92,273.275,279.235,282.77,287.6,288.68,294.55,296.355,299.4,286.015,,,,,,,,,,,,,,,,,,,,,,,,,,289.13,293.905,271.49,,282.05,295.13,,,281.52,288.51,302.72,288.6,290.37,276.61,,,L7
2002-02-07 22:01:30+00:00,291.375,279.1333333333333,284.19,282.9066666666667,284.6166666666666,288.5833333333333,295.58666666666664,296.98333333333335,299.02,287.1066666666667,252.71,293.4,258.71,275.38,277.11,244.59,,,,,,,,,,,,,,,,,,,,289.13,293.905,271.49,,282.05,295.13,,,281.52,288.51,302.72,288.6,290.37,276.61,,,L7
2002-02-16 21:55:18+00:00,291.375,286.5,289.25,283.70000000000005,289.015,290.525,297.395,299.45000000000005,300.43999999999994,284.70500000000004,252.71,293.4,258.71,275.38,277.11,244.59,,,,,,,,,,,,,,,,,286.55,277.17,279.31,275.515,283.8,276.635,278.35,277.905,286.155,276.19,253.55,280.75,290.095,289.495,274.20500000000004,268.555,266.44,267.13,,L7
