dates,satname,nzd0277-0000,nzd0277-0001,nzd0277-0002,nzd0277-0003,nzd0277-0004,nzd0277-0005,nzd0277-0006,nzd0277-0007,nzd0277-0008,nzd0277-0009,nzd0277-0010,nzd0277-0012,nzd0277-0013,nzd0277-0014,nzd0277-0015,nzd0277-0011,nzd0277-0016,nzd0277-0017,nzd0277-0018,nzd0277-0019,nzd0277-0020,nzd0277-0021,nzd0277-0022,nzd0277-0023,nzd0277-0024,nzd0277-0025,nzd0277-0026,nzd0277-0027,nzd0277-0028,nzd0277-0029,nzd0277-0030,nzd0277-0031,nzd0277-0032,nzd0277-0033,nzd0277-0034,nzd0277-0042,nzd0277-0043,nzd0277-0044,nzd0277-0036,nzd0277-0037,nzd0277-0038,nzd0277-0035,nzd0277-0048,nzd0277-0039,nzd0277-0040,nzd0277-0041,nzd0277-0045,nzd0277-0046,nzd0277-0047,nzd0277-0049,nzd0277-0050
2002-01-22 22:01:28.819000,L7,292.92,282.15,284.40,284.22,299.38,292.66,297.13,300.66,302.62,280.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-07 22:01:30.075000,L7,289.83,290.85,294.10,283.18,278.65,288.39,297.66,298.24,298.26,289.29,252.71,293.40,258.71,275.38,277.11,244.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-16 21:55:18.119000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.55,277.17,279.31,261.90,263.59,281.78,278.35,273.76,277.18,276.19,253.55,279.98,291.68,276.27,259.81,246.74,256.27,267.13,303.72
2002-02-23 22:01:31.535000,L7,,294.24,293.81,291.23,274.95,284.45,291.56,291.94,294.39,278.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-11 22:01:31.708000,L7,,,,,,314.75,316.86,304.48,308.98,308.13,287.50,284.18,281.69,291.09,288.67,287.30,278.35,274.42,258.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-12 22:01:25.491000,L7,341.92,312.23,314.99,315.75,309.06,326.83,323.91,331.86,323.96,325.29,318.29,298.48,309.51,323.77,391.83,301.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-07-17 22:00:56.550000,L7,262.52,264.72,265.51,260.66,267.50,277.34,281.17,284.46,286.55,279.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.49,314.06,360.82,,,,,,,,,,
2002-08-18 22:00:45.601000,L7,,352.29,353.85,329.35,347.27,343.21,372.78,,,,,,,,,,,,,282.47,292.63,290.50,296.47,302.05,300.87,270.32,297.12,,,,,344.57,287.54,340.29,334.24,356.95,343.77,335.79,319.25,264.26,,279.64,,,318.02,359.03,,,,,
2002-10-05 22:00:19.390000,L7,,,,,,,,,,,334.70,280.70,293.04,306.10,316.43,279.20,288.44,284.27,265.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-21 22:00:24.356000,L7,,320.95,329.99,318.05,,,,,381.36,300.52,307.45,331.27,337.15,368.57,364.79,308.18,323.88,292.91,312.93,320.10,336.19,,,,,,,,,,,293.37,320.96,365.46,,359.61,345.03,277.80,,,,,,249.71,310.99,308.24,274.51,290.80,,,
2002-11-22 22:00:45.709000,L7,317.92,309.27,313.96,329.44,350.41,350.00,343.75,317.07,310.49,293.31,277.93,262.69,267.99,283.49,295.05,271.35,282.16,277.15,257.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-01 21:54:40.891000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.45,266.01,260.83,,,,,222.49,259.29,258.56,260.72,231.30,224.58,219.58,239.30,255.73
2003-01-25 22:01:06.704000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.45,382.24,374.72,,,,,,,,,,,,,,,,
2003-02-19 21:55:06.528000,L7,,,,,,,,,,,,240.66,267.66,283.98,294.14,230.28,305.14,293.55,296.76,,,,,,,,,,,,,,,,,,,,,,,,239.37,,367.51,339.66,,226.43,245.65,281.01,279.75
2003-03-07 21:55:10.647000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.18,274.31,,,,,,,,,284.72,252.82,,,
2003-04-08 21:55:11.531000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,309.34,282.61,257.55,,,,,294.13,292.39,290.49,326.20,330.06,322.11,345.01,356.77,371.65,316.47,,359.40,333.94,347.85,305.84,281.39,,,
2003-11-17 21:50:57.255000,L5,282.25,273.59,279.16,272.50,286.05,271.58,289.21,287.50,289.80,276.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-08-15 21:55:37.657000,L5,278.66,265.93,257.32,252.83,257.17,265.67,274.85,279.43,284.30,273.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-10-18 21:57:11.695000,L5,260.37,250.81,260.27,256.89,267.43,274.48,283.77,290.54,287.73,273.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-02-23 21:59:19.281000,L5,275.18,271.23,273.41,274.92,270.18,286.26,291.79,293.31,293.88,278.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-11 21:59:31.818000,L5,278.41,272.06,270.69,268.11,268.81,274.40,285.14,287.96,288.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-15 22:00:10.341000,L5,287.15,270.40,277.60,279.72,270.51,287.31,294.01,300.55,300.92,290.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-25 22:02:41.053000,L5,287.22,278.94,278.69,275.13,281.11,286.29,296.14,304.42,304.68,282.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-03-14 22:03:42.914000,L5,286.06,280.12,278.84,273.16,268.94,281.80,287.67,292.62,295.11,279.91,,,247.10,273.14,275.18,,281.16,300.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-04 22:01:15.264000,L5,275.17,255.87,261.97,255.18,259.83,272.96,283.62,288.27,284.24,276.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-05 22:14:39.165000,L8,306.23,300.96,294.87,287.08,290.34,309.75,313.54,339.75,304.17,292.72,274.25,267.43,271.77,349.35,364.48,288.04,321.01,302.99,257.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-08 22:14:37.622000,L8,353.14,339.92,327.38,315.31,304.74,311.64,325.09,347.16,363.16,312.92,297.14,334.02,305.78,297.28,321.37,302.88,323.54,308.91,356.59,354.52,304.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-02 22:08:28.553000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.33,,,,,246.66,245.54,235.94,276.05
2013-11-12 22:14:20.111000,L8,287.88,271.43,278.81,274.20,274.43,281.39,298.23,296.91,306.27,279.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-14 22:14:09.504000,L8,311.50,291.55,290.54,283.58,286.93,303.12,298.33,312.40,309.32,292.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-30 22:14:01.261000,L8,305.10,288.00,288.02,280.49,282.92,294.45,299.46,309.07,300.01,301.86,249.94,291.08,259.45,279.02,,318.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-31 22:13:40.710000,L8,296.15,293.90,283.66,289.15,280.29,287.98,318.83,303.85,299.94,281.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-16 22:13:26.728000,L8,300.00,287.35,313.71,279.26,278.02,289.54,298.81,304.03,309.37,294.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-04 22:13:10.937000,L8,300.17,285.60,277.66,274.02,275.13,296.88,297.65,293.78,291.34,279.65,,,,,,,,,,,,,,,,,,,,,,,,277.75,285.13,,,,274.48,287.05,285.74,286.74,,,,,,,,,
2014-04-05 22:12:46.606000,L8,287.00,272.14,283.14,272.91,270.90,273.90,287.99,293.19,291.12,277.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-21 22:12:30.084000,L8,287.16,275.23,283.79,301.39,274.99,283.41,298.59,298.04,311.68,286.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-07 22:12:13.957000,L8,328.71,325.33,316.65,307.88,317.18,354.08,385.65,,352.77,319.59,308.03,,,,,312.17,324.29,334.22,332.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-04 22:06:26.455000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.02,291.13,292.44,,
2014-09-28 22:12:44.815000,L8,306.72,295.41,288.24,285.71,287.20,296.82,297.84,308.90,310.24,302.91,307.75,260.85,255.84,271.35,,269.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-14 22:12:50.618000,L8,288.05,269.86,281.41,292.05,277.14,282.50,293.21,294.74,296.17,282.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-23 22:06:39.356000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.22,,,,,,221.62,282.61,259.24
2014-12-01 22:12:48.222000,L8,303.65,276.95,289.71,284.79,284.20,296.75,297.14,320.30,312.93,302.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02 22:12:38.872000,L8,330.10,302.25,287.94,285.37,284.33,302.78,298.72,305.07,298.44,302.12,256.43,250.79,259.29,278.29,314.98,253.93,319.93,304.90,290.54,260.30,295.66,300.53,275.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-27 22:06:23.288000,L8,,,,,,,,,,,,290.56,306.72,318.36,330.26,,,,,,,,,,,,,,,,,,,,,,,303.87,,,,,,,,,266.09,274.73,284.85,,
2015-02-12 22:06:15.200000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.50,364.25,372.42,370.23,374.59,272.70,260.49,289.85,362.26,374.27,357.77,337.92,,344.75,379.92,,287.98,,,,
2015-02-19 22:12:25.623000,L8,299.34,300.12,296.33,291.49,296.45,301.64,301.10,303.96,307.46,306.30,264.12,247.31,248.24,266.33,,241.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-23 22:12:09.042000,L8,355.19,330.82,314.22,285.99,292.59,316.69,320.80,343.31,314.86,336.29,324.69,,,,,333.36,,351.59,357.46,350.84,280.20,273.57,280.24,342.10,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-24 22:11:56.306000,L8,288.49,274.61,279.00,276.26,277.23,287.36,292.40,296.98,304.22,292.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-26 22:11:41.039000,L8,305.58,286.93,294.57,290.13,296.67,308.33,350.88,334.22,312.11,314.93,264.35,249.17,256.56,269.10,,253.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-11 22:11:52.469000,L8,321.95,284.35,325.68,321.15,328.02,345.20,351.74,357.19,306.99,305.64,263.38,262.29,257.85,281.87,307.62,240.94,,,,,,,,,255.64,294.10,313.75,306.62,325.00,,,,,,,,,,,,,,,,,,,,,,
