dates,nzd0327-0000,nzd0327-0001,nzd0327-0002,nzd0327-0003,nzd0327-0004,satname
1999-09-29 21:53:40.155,213.77,205.41,207.45,281.55,,L7
1999-10-24 21:47:20.173,232.10000000000002,212.57999999999998,225.91,301.44,347.14,L7
1999-11-25 21:47:14.750,235.11,218.72,225.91,311.73,359.995,L7
2000-01-12 21:47:42.353,227.6325,215.055,225.91,311.73,359.995,L7
2000-01-19 21:53:25.812,227.6325,215.055,240.43666666666664,314.52,351.08666666666664,L7
2000-04-17 21:47:08.557,232.25333333333333,218.705,253.5533333333333,322.9775,341.0875,L7
2000-05-03 21:47:07.085,223.16499999999996,208.0225,258.145,323.5266666666667,339.07,L7
2000-05-19 21:46:31.829,223.16499999999996,201.58800000000002,258.145,323.5266666666667,339.07,L7
2000-05-26 21:52:36.566,204.305,195.812,258.145,319.135,322.17999999999995,L7
2000-07-29 21:51:50.349,203.41,193.75,246.8,313.2,327.48,L7
2000-08-07 21:45:32.940,201.58499999999998,194.174,246.8,313.2,327.48,L7
2000-09-15 21:51:13.624,201.76999999999998,195.8033333333333,246.8,313.2,327.48,L7
2000-12-04 21:50:58.069,200.95,199.90999999999997,,311.02,349.52,L7
2001-01-05 21:51:04.492,200.95,199.90999999999997,,315.36,352.18666666666667,L7
2001-01-14 21:44:57.122,202.35,200.72666666666666,,301.79333333333335,352.18666666666667,L7
2001-02-06 21:51:02.555,203.64499999999998,211.65666666666667,258.12,301.09666666666664,350.30333333333334,L7
2001-04-04 21:44:30.925,205.15,215.51000000000005,258.12,293.2675,350.30333333333334,L7
2001-04-27 21:50:43.832,206.69,213.27333333333334,258.12,284.51,350.30333333333334,L7
2001-05-13 21:50:33.259,203.24666666666667,206.065,258.12,284.51,350.30333333333334,L7
2001-09-02 21:49:17.229,202.29500000000002,196.61999999999998,297.29,259.63,,L7
2001-09-18 21:49:05.242,200.15333333333334,197.08666666666667,297.29,243.42999999999998,,L7
2002-01-17 21:43:40.748,201.215,196.69,297.29,211.03,,L7
2002-02-18 21:43:18.247,201.215,196.69,297.29,216.495,,L7
2002-03-06 21:43:23.680,207.83666666666667,199.67,,236.87666666666667,,L7
2002-03-22 21:43:16.355,209.83333333333334,200.0566666666667,,253.4666666666667,,L7
2002-04-07 21:43:17.050,209.83333333333334,200.0566666666667,,246.955,,L7
2002-05-09 21:43:16.766,209.83333333333334,206.8725,307.0,246.955,333.74,L7
2002-06-10 21:43:00.814,204.635,201.91000000000003,242.75,246.955,333.74,L7
