dates,satname,nzd0327-0000,nzd0327-0001,nzd0327-0002,nzd0327-0003,nzd0327-0004
1999-09-22 21:47:24.746000,L7,203.24,203.92,203.16,242.62,217.77
1999-10-24 21:47:44.121000,L7,192.21,193.86,172.07,261.65,201.66
1999-11-25 21:47:14.750000,L7,242.82,232.08,303.60,334.24,374.92
2000-01-12 21:47:18.340000,L7,201.92,200.29,209.17,243.23,255.89
2000-01-19 21:53:25.812000,L7,338.74,273.79,274.96,328.96,346.68
2000-04-17 21:46:44.595000,L7,389.18,369.83,378.05,389.94,396.07
2000-05-19 21:46:55.786000,L7,200.35,185.44,186.44,237.98,206.90
2000-05-26 21:52:36.566000,L7,208.53,206.62,200.47,235.43,254.05
2000-07-29 21:51:50.349000,L7,,,,210.95,197.29
2000-08-07 21:45:32.940000,L7,199.76,195.87,192.95,253.43,232.41
2000-09-15 21:51:13.624000,L7,200.25,202.77,198.32,220.75,210.43
2000-10-26 21:45:10.779000,L7,305.14,335.05,348.37,353.55,353.49
2000-12-04 21:50:58.069000,L7,212.53,202.35,202.78,270.81,260.33
2000-12-13 21:44:52.270000,L7,222.68,212.28,210.41,281.21,266.92
2001-01-05 21:51:04.492000,L7,341.40,326.79,334.14,319.70,357.52
2001-01-14 21:44:57.122000,L7,212.31,204.81,209.13,279.41,296.47
2001-02-06 21:51:02.555000,L7,283.58,227.51,254.99,307.23,334.80
2001-04-04 21:44:54.882000,L7,211.13,221.61,188.00,286.93,
2001-04-27 21:50:43.832000,L7,208.23,208.80,193.88,249.48,260.45
2001-05-13 21:50:33.259000,L7,211.26,200.32,207.71,271.96,256.38
2001-09-02 21:49:17.229000,L7,195.85,214.84,213.63,188.34,213.94
2001-09-18 21:49:05.242000,L7,197.48,199.18,202.50,246.36,249.92
2002-01-17 21:43:40.748000,L7,206.56,195.36,179.01,267.90,266.06
2002-02-18 21:43:18.247000,L7,194.09,176.46,169.26,260.48,267.95
2002-02-25 21:49:35.857000,L7,295.95,338.39,337.32,339.35,318.55
2002-03-22 21:43:16.355000,L7,203.68,201.37,192.85,262.80,272.59
2002-04-07 21:43:17.050000,L7,181.96,173.04,182.49,233.53,236.34
2002-05-09 21:43:16.766000,L7,322.73,233.00,316.79,332.12,342.13
2002-06-10 21:43:00.814000,L7,189.04,182.06,178.50,270.57,275.95
2002-07-19 21:48:57.399000,L7,256.90,223.75,274.99,339.81,362.47
2002-08-20 21:48:46.449000,L7,194.94,190.18,198.03,254.72,256.75
2002-09-30 21:42:11.676000,L7,197.53,194.51,192.03,274.43,277.80
2002-10-16 21:42:12.654000,L7,264.28,221.98,242.28,502.06,504.08
2002-10-16 21:42:36.617000,L7,177.94,171.22,167.49,,209.76
2002-10-23 21:48:27.128000,L7,302.87,220.13,253.73,338.51,333.24
2002-12-26 21:48:59.976000,L7,193.09,200.59,200.10,265.88,268.33
2003-01-20 21:42:57.343000,L7,195.76,210.16,188.28,274.28,279.03
