dates,nzd0258-0000,nzd0258-0001,nzd0258-0002,nzd0258-0004,nzd0258-0005,nzd0258-0006,nzd0258-0007,nzd0258-0008,nzd0258-0009,nzd0258-0003,nzd0258-0010,nzd0258-0011,nzd0258-0012,satname
2002-02-16 21:55:18+00:00,,,,341.89,338.54,330.54,301.74,308.53,297.11,,283.35,299.07,,L7
2009-12-12 21:57:01+00:00,,,,,,319.32,295.77,302.35,278.46,,,,,L5
2016-01-30 22:06:29+00:00,,,,,341.98,324.88,306.53,295.49,275.29,,280.34,290.29,,L8
2022-01-30 22:06:34+00:00,,,,341.35,336.19,318.02,289.51,287.17,270.1,,,,,L8
2023-03-14 22:06:35+00:00,,,,342.79,339.4,321.7,294.07,289.39,274.87,,,,,L9
2025-11-14 22:06:48+00:00,321.11,323.04,313.43,,,,329.08,304.92,281.85,,,,,L9
