dates,satname,nzd0557-0000,nzd0557-0001,nzd0557-0002,nzd0557-0003,nzd0557-0004,nzd0557-0005,nzd0557-0006,nzd0557-0007,nzd0557-0008,nzd0557-0009,nzd0557-0010,nzd0557-0011,nzd0557-0012,nzd0557-0013,nzd0557-0014,nzd0557-0015,nzd0557-0016,nzd0557-0017,nzd0557-0018,nzd0557-0019,nzd0557-0020,nzd0557-0021,nzd0557-0022,nzd0557-0023,nzd0557-0024,nzd0557-0025,nzd0557-0026,nzd0557-0027,nzd0557-0028,nzd0557-0029,nzd0557-0030,nzd0557-0031,nzd0557-0032,nzd0557-0033,nzd0557-0034,nzd0557-0035,nzd0557-0036,nzd0557-0037,nzd0557-0038,nzd0557-0039,nzd0557-0040,nzd0557-0041,nzd0557-0042,nzd0557-0043,nzd0557-0044,nzd0557-0045,nzd0557-0046,nzd0557-0047,nzd0557-0048,nzd0557-0049
2004-05-02 22:00:57.398000,L5,365.18,359.05,345.80,334.55,327.13,318.40,308.47,285.35,303.52,307.52,306.37,292.97,301.28,303.31,302.27,302.80,299.85,299.07,283.94,279.39,266.14,263.73,261.69,267.94,266.69,271.23,277.33,294.81,289.93,261.66,251.91,240.22,231.83,224.93,221.04,226.39,215.43,186.01,167.38,172.52,185.01,192.75,194.69,195.59,199.72,212.74,230.64,236.96,215.72,225.62
2004-05-18 22:01:26.569000,L5,255.22,242.72,249.92,248.26,245.65,253.29,244.09,232.76,229.03,230.00,228.31,228.63,213.43,207.21,211.46,228.41,237.91,233.50,230.24,213.24,200.98,157.72,161.47,185.69,195.54,192.61,195.05,224.01,214.90,203.60,,,,,,,,,,,,,,,146.42,151.64,170.85,182.55,165.72,182.06
2005-01-13 22:06:52.927000,L5,342.97,325.38,320.20,309.51,301.27,293.22,284.13,278.54,279.19,284.80,272.63,271.12,267.20,266.33,266.46,270.77,281.02,278.90,263.51,252.05,240.32,236.55,246.15,249.82,256.82,261.30,267.31,279.14,273.31,259.12,236.71,217.84,210.19,206.85,203.59,202.11,182.76,174.09,,,151.11,164.22,177.95,176.14,177.47,189.50,210.60,216.06,200.25,212.16
2005-02-14 22:07:21.106000,L5,337.43,320.15,312.14,303.00,296.05,288.47,275.84,273.65,272.75,275.42,276.32,272.34,268.46,267.27,259.00,262.83,274.29,272.56,255.10,245.91,232.78,224.29,235.27,241.77,251.38,257.50,265.36,274.36,268.82,262.06,236.66,225.55,213.30,200.26,199.25,202.38,173.68,144.94,,,149.17,157.27,168.78,177.22,184.79,189.83,198.37,203.94,189.94,199.94
2005-08-09 22:08:46.932000,L5,255.53,239.78,235.86,233.37,230.43,236.73,223.37,211.62,203.12,209.95,222.97,227.35,210.05,193.38,191.43,207.07,214.04,230.79,233.36,219.92,207.75,175.70,164.25,191.68,195.65,186.97,187.87,205.75,215.74,207.25,144.81,147.11,,,,,,,,,,,,,,,,,,
2005-09-10 22:08:55.708000,L5,328.86,318.52,309.99,302.56,291.63,287.69,276.50,269.98,268.83,269.43,266.84,267.09,263.49,261.42,264.96,270.14,277.12,272.75,255.26,246.76,233.28,227.71,231.00,232.80,234.37,241.41,248.81,267.66,263.92,249.09,229.71,221.63,214.12,205.79,202.77,198.72,181.89,158.15,,,140.27,158.44,171.67,176.12,184.87,192.41,212.56,219.14,199.47,212.33
2005-11-13 22:09:08.414000,L5,377.34,360.70,349.00,351.18,352.07,358.18,353.35,333.71,311.87,300.19,298.39,324.04,347.22,349.19,343.21,338.89,342.95,338.29,327.87,315.74,303.13,294.32,285.63,275.58,270.86,277.06,292.52,309.87,302.43,285.65,268.89,263.88,251.70,245.23,247.03,246.98,219.88,217.33,188.25,179.21,182.66,191.14,195.13,198.28,209.02,241.62,249.06,252.71,238.36,248.63
2006-02-17 22:11:22.491000,L5,341.24,328.54,319.70,308.55,300.48,293.97,280.54,278.93,277.07,276.37,277.30,274.92,273.34,274.02,273.15,277.41,287.86,281.91,268.28,259.78,249.02,242.28,244.86,247.60,255.32,257.91,264.62,274.56,270.51,250.36,239.62,226.26,221.26,212.61,212.64,216.26,189.60,163.91,,,148.18,157.77,171.17,176.76,183.81,195.66,212.11,222.38,207.32,223.08
2006-04-22 22:12:36.093000,L5,398.19,389.50,389.85,368.62,354.43,335.38,322.87,321.90,325.35,330.91,312.11,305.64,314.64,331.74,336.64,324.29,336.37,335.13,326.13,315.03,293.61,283.08,277.33,278.08,296.32,304.82,295.25,308.04,299.73,276.01,264.24,255.04,252.05,237.56,237.52,234.87,217.82,192.91,172.37,191.78,195.16,197.67,196.39,197.23,199.59,213.85,226.40,241.48,217.22,233.88
2006-07-27 22:13:58.731000,L5,316.04,316.91,306.52,299.72,287.59,288.16,279.45,268.10,268.14,273.61,269.54,264.76,266.77,270.05,265.16,268.34,274.17,273.85,263.31,249.75,241.86,236.82,240.16,246.02,245.62,248.52,257.53,270.83,263.49,254.51,247.43,226.12,220.95,212.19,202.14,203.61,188.60,159.21,,,151.57,164.20,180.75,189.32,191.32,205.19,221.49,235.43,208.92,239.24
2006-08-28 22:14:23.601000,L5,321.64,324.88,301.85,301.92,295.42,290.79,280.07,275.86,274.31,276.84,275.25,271.93,265.75,267.49,272.71,275.86,288.09,271.17,257.82,245.84,232.47,230.44,229.29,235.43,239.68,245.29,256.05,276.41,271.90,255.40,242.23,237.61,225.82,218.61,203.26,200.28,179.45,156.30,,,145.03,163.97,188.77,191.24,198.90,208.68,220.54,212.26,203.01,223.92
2006-10-31 22:15:04.884000,L5,,,,187.64,222.86,243.17,228.91,206.32,167.77,,,,,181.32,187.14,218.24,235.77,237.05,220.04,214.81,204.37,158.36,169.35,203.16,209.17,197.27,179.31,202.88,217.83,201.38,187.06,140.89,,,,,,,,,,,,,,,,,,
