dates,nzd0557-0000,nzd0557-0001,nzd0557-0002,nzd0557-0003,nzd0557-0004,nzd0557-0005,nzd0557-0006,nzd0557-0007,nzd0557-0008,nzd0557-0009,nzd0557-0010,nzd0557-0011,nzd0557-0012,nzd0557-0013,nzd0557-0014,nzd0557-0015,nzd0557-0016,nzd0557-0017,nzd0557-0018,nzd0557-0019,nzd0557-0020,nzd0557-0021,nzd0557-0022,nzd0557-0023,nzd0557-0024,nzd0557-0025,nzd0557-0026,nzd0557-0027,nzd0557-0028,nzd0557-0029,nzd0557-0030,nzd0557-0031,nzd0557-0032,nzd0557-0033,nzd0557-0034,nzd0557-0035,nzd0557-0036,nzd0557-0037,nzd0557-0038,nzd0557-0039,nzd0557-0040,nzd0557-0041,nzd0557-0042,nzd0557-0043,nzd0557-0044,nzd0557-0045,nzd0557-0046,nzd0557-0047,nzd0557-0048,nzd0557-0049,satname
1999-11-05 22:13:40+00:00,,297.71,,,,,,,,,250.97,254.47,255.07,250.64,248.17,255.39,263.06,,,,,210.03,212.86,216.15,195.71,,,242.96,239.38,219.6,,,193.14,187.96,165.72,161.89,,,,,,,,,,,,,,,L7
1999-12-07 22:13:41+00:00,,295.64,,,,,,,249.76,250.3,247.93,250.445,254.86,250.64,248.17,252.82,260.4,260.26,241.98,,,210.535,212.93,215.655,184.88,,236.51,243.61,239.615,220.31,,202.95,191.96499999999997,179.505,166.31,162.47,,,,,,,,,,,,,,,L7
2000-09-04 22:11:34+00:00,,264.59,,230.26,238.94,231.34,,,257.93,,254.82,,,,,,,,,238.9,,,,217.58,,229.97,240.82,250.75,,,212.21,204.52,,,,,,,,,,,,,,,,,,,L7
2000-09-20 22:11:14+00:00,,264.59,,230.26,238.94,231.34,,,257.93,,254.82,,,,,,,,,238.9,,219.21,,219.91000000000003,224.17,229.255,239.925,249.685,239.84,222.22,210.505,202.65,,,,,,170.5,,147.92,153.4,161.39,178.09,186.02,194.03,,,,,,L7
2001-02-11 22:11:12+00:00,,281.455,285.5,230.26,238.94,231.34,,,257.93,,251.79,,,250.49,246.11,250.36,254.12,259.3,245.69,235.45,223.96,217.485,214.97,219.91000000000003,216.665,229.255,239.925,249.685,239.84,222.22,211.17999999999998,205.22000000000003,200.36,214.04,214.28,163.04,148.2,170.5,,147.92,153.4,161.39,177.055,186.47,194.03,,,,,223.04,L7
2001-04-16 22:10:54+00:00,225.22,298.32,285.5,,,,,,,,248.76,,,250.49,246.11,250.36,254.12,259.3,245.69,232.0,223.96,215.76,214.97,,209.16,,,,,,212.53,210.36,200.36,214.04,214.28,163.04,148.2,,,,,,176.02,186.92,,,,,,223.04,L7
2001-11-26 22:09:21+00:00,,,,,,,,,,,,,,,,265.04,,,,,,,,,,239.82,,257.51,,,,,,228.62,,,188.08,158.42,181.53,,,,,211.01,194.17,226.6,244.59,247.78,225.39,223.07,L7
2003-03-21 22:09:27+00:00,,,,,,,,,,,,,,255.39,264.65,254.61,,,263.99,,,,226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2003-10-07 21:58:35+00:00,,,,,,,,,,,,267.77,267.35,267.82,266.72,,,,,,,,,,,,,,,,228.06,219.53,213.58,203.4,204.44,211.45,,172.06,,,151.97,152.38,163.74,170.79,181.6,190.84,206.77,221.02,205.16,226.18,L5
2003-12-26 21:59:30+00:00,,,,,,,,,,,,267.77,267.35,267.82,266.72,,,,,,,,,251.57,,,,,,244.23,231.035,220.135,214.10500000000002,206.845,206.5,213.8,200.32,173.05,,144.81,153.93,160.09,163.3,171.745,180.32999999999998,190.685,208.695,220.2,205.49,227.015,L5
