dates,nzd0476-0000,nzd0476-0001,nzd0476-0002,nzd0476-0003,nzd0476-0004,nzd0476-0005,nzd0476-0006,nzd0476-0007,nzd0476-0008,nzd0476-0009,nzd0476-0010,nzd0476-0011,nzd0476-0012,satname
1999-10-13 22:07:12+00:00,,,,,,,,,,334.86,343.35,,,L7
2000-08-03 22:11:31+00:00,310.49,308.94,310.03,,,,,,,,,,,L7
2000-09-20 22:10:50+00:00,316.15999999999997,308.94,310.03,,,,,,,,347.31,,,L7
2000-12-18 22:04:37+00:00,310.13666666666666,307.685,310.03,,,,,,,,347.31,,,L7
2001-04-09 22:04:41+00:00,303.28999999999996,305.87,311.77,287.78,287.17,314.11,303.02,315.58,,,,,,L7
2001-06-28 22:03:32+00:00,308.49,300.525,306.595,292.275,294.775,303.875,303.02,315.58,,,,,282.19,L7
2002-04-12 22:03:25+00:00,291.19,285.7,291.93,274.82,,,,,,,,,,L7
2002-11-22 22:02:21+00:00,316.49,314.18,,,,,319.88,,,329.36,,,,L7
2003-09-14 21:51:42+00:00,,,291.65,282.43,286.31,291.31,286.92,285.41,283.38,,,,,L5
2003-10-16 21:52:08+00:00,284.73,275.57,286.19,276.23,286.31,291.31,286.92,285.41,283.38,,,,,L5
2003-11-17 21:52:33+00:00,282.8,274.39,286.5566666666667,276.43333333333334,282.275,288.33000000000004,285.70000000000005,283.71000000000004,291.23,,,,,L5
2004-07-30 21:56:51+00:00,274.1,279.18,285.88,282.11,288.32,288.16,285.55,294.65,283.12,,,,,L5
2004-08-15 21:57:13+00:00,274.1,275.295,284.31,279.58500000000004,285.205,286.44000000000005,282.495,291.91999999999996,272.635,,,,,L5
2004-10-18 21:58:47+00:00,299.46000000000004,275.295,284.31,279.58500000000004,285.205,286.44000000000005,282.495,291.91999999999996,272.635,310.74,304.3,,,L5
2005-04-12 22:01:18+00:00,311.82,291.06,303.69,297.16,300.54,314.63,310.56,307.8,309.05,303.11,304.3,,,L5
2005-10-05 22:02:17+00:00,313.03499999999997,291.06,303.69,297.16,300.54,314.63,310.56,310.795,309.05,305.36,302.78,,,L5
2005-11-06 22:02:22+00:00,317.425,301.55,308.98,,,,,313.79,,315.24,302.78,,,L5
2006-08-21 22:07:43+00:00,280.27,284.33,297.76,286.04,290.26,298.13,291.58,295.53,301.46,,,,,L5
2006-10-24 22:08:26+00:00,280.27,274.28999999999996,294.33500000000004,285.40999999999997,285.76,295.985,289.7,295.6,295.945,,,,,L5
2006-12-11 22:08:52+00:00,285.34000000000003,279.27,295.09999999999997,286.75,287.55333333333334,296.5233333333333,292.37333333333333,296.21999999999997,297.42,,,,,L5
2007-02-13 22:09:11+00:00,288.32666666666665,280.195,294.4575,287.6225,287.905,296.81,291.8025,293.635,297.42,,,,,L5
2007-09-16 22:13:28+00:00,278.97,283.54,293.68,287.16,292.93,298.85,296.42,277.23,267.6,,,,,L5
2008-11-14 21:57:52+00:00,290.61,287.42,290.09,277.71,,,,,,,,,,L5
2009-01-17 21:59:20+00:00,291.165,286.55,292.41499999999996,282.29499999999996,284.49,294.97,291.95,295.25,291.21,,,,,L5
2011-02-08 22:04:11+00:00,288.92,283.79,301.5,299.37,297.65,302.55,300.77,302.23,292.79,,,,,L5
2011-03-12 22:04:07+00:00,294.255,286.065,296.18,292.41499999999996,290.585,296.43,294.155,296.06,288.8,,,,,L5
2011-03-28 22:04:02+00:00,290.90333333333336,283.76666666666665,293.73333333333335,288.63,285.83666666666664,291.37,290.55333333333334,290.57,285.75,,,,,L5
2013-05-11 22:22:18+00:00,269.72,271.47,287.55,273.6,284.05,279.65,285.35,280.22,275.32,,,,,L8
2013-09-25 22:16:28+00:00,278.275,275.265,285.515,273.34000000000003,282.545,281.27,285.295,282.555,277.94,,,,,L8
2013-10-02 22:22:16+00:00,278.275,275.265,285.515,273.34000000000003,282.545,281.27,285.295,282.555,290.27,298.63,291.96,,,L8
2013-10-11 22:16:29+00:00,280.99,277.9066666666667,284.63000000000005,271.78000000000003,281.74666666666667,281.22666666666663,285.54,284.00333333333333,288.2525,298.63,291.96,,,L8
2013-10-27 22:16:19+00:00,289.0775,277.9066666666667,284.63000000000005,271.78000000000003,281.74666666666667,281.22666666666663,285.54,284.00333333333333,288.2525,309.765,304.7,,,L8
2013-11-19 22:22:01+00:00,295.53,276.21,283.77333333333337,270.67,280.595,282.015,285.635,285.895,292.56333333333333,309.765,304.7,,,L8
2013-12-30 22:16:01+00:00,302.3725,276.21,283.77333333333337,270.67,280.595,282.015,285.635,285.895,292.56333333333333,311.3533333333333,303.8,,,L8
2014-01-22 22:21:31+00:00,299.034,277.6275,283.505,270.6425,280.595,282.015,285.635,285.895,292.56333333333333,311.3533333333333,303.8,,,L8
2014-02-23 22:21:08+00:00,298.12666666666667,281.05,286.544,274.994,286.0133333333334,289.63666666666666,290.50333333333333,289.0466666666667,293.39750000000004,306.40999999999997,303.8,,,L8
2014-03-11 22:20:55+00:00,299.90000000000003,286.09,286.544,274.994,286.0133333333334,289.63666666666666,290.50333333333333,295.15999999999997,297.58000000000004,308.40999999999997,305.885,,,L8
2014-03-20 22:15:01+00:00,297.35375,285.29571428571427,286.83500000000004,276.1983333333333,285.1925,289.97749999999996,289.83,293.264,295.03333333333336,308.40999999999997,305.885,,,L8
2014-03-27 22:20:37+00:00,295.9275,284.2542857142857,287.02333333333337,276.5316666666667,286.57666666666665,292.34,291.35999999999996,295.35749999999996,297.928,308.40999999999997,305.885,,,L8
2014-09-28 22:14:20+00:00,,,287.23,274.54,281.81,285.64,287.32,286.26,284.48,,,,,L8
2014-10-21 22:20:37+00:00,,,290.53,280.305,285.63,290.69,291.905,291.63,288.665,,,,,L8
2014-11-06 22:20:37+00:00,,,290.3566666666666,281.29,286.21,292.17,292.31666666666666,292.55,289.2766666666667,,,,,L8
2014-12-01 22:14:24+00:00,277.27,282.22,290.4625,282.05,286.96,293.15250000000003,292.9325,293.0725,289.305,,,,,L8
2015-02-10 22:20:14+00:00,277.27,286.365,289.54,282.55,286.848,293.054,292.306,292.11199999999997,288.228,,,,,L8
2015-02-19 22:14:01+00:00,282.07,284.15000000000003,287.9433333333333,282.085,286.055,292.355,291.21,291.12833333333333,286.7,,,,,L8
2015-02-26 22:20:10+00:00,287.69,286.1325,288.90999999999997,283.63142857142856,286.9214285714285,293.2557142857143,291.89,292.2757142857143,287.62714285714287,283.48,,,,L8
2015-03-14 22:19:59+00:00,286.5675,284.89,287.335,282.18375000000003,286.9214285714285,293.2557142857143,291.89,292.2757142857143,287.62714285714287,283.48,,,,L8
2015-04-15 22:19:46+00:00,284.768,283.90833333333336,286.05875,281.62625,287.7733333333333,294.52500000000003,292.6516666666667,293.2783333333333,288.1516666666667,283.48,,,,L8
2015-04-24 22:13:32+00:00,283.83166666666665,283.31714285714287,284.685,280.72499999999997,286.4683333333333,292.76,291.1983333333333,291.8383333333333,286.5183333333333,283.48,,,,L8
2015-05-01 22:19:36+00:00,283.83166666666665,283.31714285714287,284.31888888888886,280.2088888888889,285.18857142857144,290.95142857142855,290.04714285714283,290.9657142857143,285.0285714285714,283.48,,,,L8
2015-10-08 22:20:24+00:00,280.8433333333333,279.19666666666666,280.145,274.0325,279.565,282.62499999999994,285.4549999999999,287.045,279.56999999999994,,,,,L8
2015-10-24 22:20:28+00:00,285.90999999999997,279.635,280.87,274.11999999999995,277.51,280.1,283.14,285.73,276.09,,,,,L8
2015-11-09 22:20:29+00:00,285.90999999999997,279.635,280.61,273.14,298.73,303.01,,,,293.9,,,,L8
2016-01-21 22:14:17+00:00,289.49,283.6166666666666,283.59,276.52,292.34000000000003,297.21000000000004,292.2,290.05,292.38,288.04999999999995,,,,L8
2016-02-29 22:20:17+00:00,289.49,283.6166666666666,290.09250000000003,284.3275,297.70666666666665,301.61333333333334,301.955,297.83000000000004,300.105,294.3333333333333,319.64,,,L8
2016-03-16 22:20:12+00:00,300.1425,283.6166666666666,292.75600000000003,289.004,299.12,302.8675,303.45,299.21000000000004,299.8633333333333,296.3775,309.61,,,L8
2016-04-17 22:19:57+00:00,299.1775,282.73,291.91200000000003,288.666,299.12,302.8675,303.45,299.21000000000004,299.8633333333333,296.3775,309.61,,,L8
