dates,satname,nzd0393-0000,nzd0393-0001,nzd0393-0002,nzd0393-0003,nzd0393-0004,nzd0393-0005,nzd0393-0006,nzd0393-0007,nzd0393-0008,nzd0393-0009,nzd0393-0010,nzd0393-0011,nzd0393-0012,nzd0393-0020,nzd0393-0021,nzd0393-0022,nzd0393-0023,nzd0393-0024,nzd0393-0025,nzd0393-0026,nzd0393-0027,nzd0393-0028,nzd0393-0029,nzd0393-0030,nzd0393-0031,nzd0393-0032,nzd0393-0033,nzd0393-0034,nzd0393-0035,nzd0393-0036,nzd0393-0037,nzd0393-0038,nzd0393-0039,nzd0393-0040,nzd0393-0041,nzd0393-0042,nzd0393-0043,nzd0393-0044,nzd0393-0045,nzd0393-0046,nzd0393-0047,nzd0393-0048,nzd0393-0049,nzd0393-0050,nzd0393-0051,nzd0393-0052,nzd0393-0053,nzd0393-0054,nzd0393-0055,nzd0393-0056,nzd0393-0057,nzd0393-0058,nzd0393-0059,nzd0393-0060,nzd0393-0061,nzd0393-0062,nzd0393-0063,nzd0393-0064,nzd0393-0065,nzd0393-0066,nzd0393-0067,nzd0393-0068,nzd0393-0069,nzd0393-0070,nzd0393-0071,nzd0393-0072,nzd0393-0073,nzd0393-0074,nzd0393-0075,nzd0393-0076,nzd0393-0077,nzd0393-0078,nzd0393-0079,nzd0393-0080,nzd0393-0081,nzd0393-0082,nzd0393-0083,nzd0393-0084,nzd0393-0085,nzd0393-0086,nzd0393-0087,nzd0393-0088,nzd0393-0089,nzd0393-0090,nzd0393-0091,nzd0393-0092,nzd0393-0093,nzd0393-0094,nzd0393-0095,nzd0393-0096,nzd0393-0097,nzd0393-0013,nzd0393-0014,nzd0393-0015,nzd0393-0016,nzd0393-0017,nzd0393-0018,nzd0393-0019,nzd0393-0098,nzd0393-0099,nzd0393-0100,nzd0393-0102,nzd0393-0101
2000-02-11 22:00:21.827000,L7,,,,,,258.92,271.67,275.06,287.53,305.23,300.07,290.60,301.28,310.65,296.67,292.88,303.62,301.53,292.67,285.25,276.41,271.64,274.17,272.50,284.59,288.30,289.13,301.17,291.16,291.69,293.83,293.28,294.14,279.90,266.11,279.33,263.06,294.36,287.11,282.81,,296.31,333.40,315.88,319.69,322.45,327.30,328.66,324.28,320.97,318.06,304.24,295.96,292.88,299.36,292.44,299.63,318.33,316.47,314.88,315.63,317.82,316.03,322.00,324.57,333.75,329.82,334.32,339.41,,,351.99,338.91,350.14,338.10,347.50,369.63,375.29,344.63,337.59,337.24,334.39,357.94,334.07,,,,,,,,293.62,358.65,361.25,370.68,368.97,363.85,324.15,,,,,
2000-02-27 21:59:52.393000,L7,,,,,,,,,,,,,274.89,306.14,287.78,289.16,291.02,306.08,282.04,276.95,273.13,274.09,271.91,267.39,278.72,276.61,279.56,292.45,283.98,283.52,282.02,288.01,289.09,271.41,258.95,260.35,256.28,284.16,282.73,263.22,243.00,282.92,316.45,306.56,316.89,322.64,327.18,361.07,352.13,320.61,316.14,292.10,289.32,289.25,288.40,291.49,295.37,310.42,304.01,309.60,308.47,309.77,304.79,315.70,313.91,324.96,323.88,326.73,331.90,336.46,339.81,344.97,339.85,341.41,334.78,363.03,340.65,336.70,331.98,330.05,329.82,331.61,328.57,323.80,327.46,323.22,329.15,371.70,365.06,366.53,,283.05,287.25,304.44,310.03,311.64,312.22,310.79,,,,,
2000-02-27 22:00:16.353000,L7,,,,,,,,,,,,,281.99,307.85,293.30,294.06,295.17,307.71,286.46,284.83,277.04,277.76,275.85,272.03,282.66,279.84,286.07,295.96,286.43,288.95,287.14,290.73,292.39,275.73,265.80,262.55,257.63,287.98,285.73,265.09,252.16,286.04,320.17,307.54,318.44,329.80,330.48,361.65,343.21,324.35,320.87,297.11,291.53,293.45,292.60,295.26,298.46,313.67,311.14,313.22,310.48,313.81,310.32,319.32,317.87,328.86,326.71,329.08,334.84,338.83,342.27,345.97,347.81,391.99,347.67,347.28,344.28,338.66,335.82,333.54,370.50,351.68,330.09,326.60,328.91,326.39,332.32,374.51,,,,288.01,366.02,362.83,368.83,375.61,315.25,314.85,,,,,
2000-03-30 21:59:45.397000,L7,,,,,,,,,,,,,,306.90,293.99,297.23,297.42,302.48,290.09,290.51,277.09,277.86,276.05,270.84,288.53,290.17,291.58,297.85,288.56,296.69,294.20,295.77,299.60,275.92,272.28,278.02,259.04,291.12,283.72,265.79,,281.81,319.54,313.90,323.35,329.82,333.92,332.72,332.08,323.98,315.57,277.89,292.23,296.05,296.22,300.86,309.52,317.84,309.74,319.41,314.82,315.38,307.76,320.69,320.10,327.90,329.28,329.87,332.97,339.80,342.10,344.57,344.47,343.43,340.80,339.94,346.33,340.87,344.32,342.53,341.88,339.08,335.93,333.49,337.51,332.81,338.40,335.59,342.22,343.35,350.63,257.36,287.20,311.23,310.81,317.69,323.37,315.73,,,,,
2000-03-30 22:00:09.363000,L7,,,,,,,,,,,,,306.34,310.75,298.71,302.05,303.20,309.10,296.03,296.20,283.86,283.34,281.81,277.48,294.82,296.64,296.80,303.21,291.86,300.92,299.59,300.26,303.12,279.15,279.00,284.57,263.03,296.61,286.08,268.72,,294.43,322.28,318.09,328.39,334.02,336.75,335.11,334.64,326.47,321.18,281.22,294.51,297.72,298.57,304.73,312.75,320.04,311.85,323.07,316.96,318.05,311.78,323.40,321.41,330.05,332.10,331.56,334.15,341.23,343.36,347.15,347.42,344.64,344.90,341.50,348.66,342.50,345.94,344.46,344.50,344.08,337.54,335.16,339.28,334.87,340.55,337.21,344.27,344.84,353.35,328.87,328.49,326.64,319.16,323.46,326.76,319.80,,,,,
2000-04-15 21:59:31.785000,L7,,,,,,,,,,,,,,307.74,298.29,293.61,303.45,295.30,285.56,280.03,271.87,269.45,277.91,269.53,290.14,291.47,292.99,297.62,294.77,293.89,295.04,292.77,299.18,284.48,265.88,270.08,258.33,293.87,288.48,267.77,,280.21,318.32,314.13,325.72,331.47,331.04,331.48,328.14,320.32,324.95,278.13,298.26,294.20,302.73,291.75,303.76,315.26,310.43,312.77,309.82,315.64,305.00,315.36,321.29,329.58,327.00,331.37,333.56,339.23,340.50,349.24,348.91,353.32,338.16,343.35,347.46,345.07,344.32,343.85,340.71,335.59,337.27,332.81,337.03,333.72,342.89,348.20,352.92,347.23,350.75,283.56,296.95,299.68,307.65,323.12,322.46,316.16,,,,,
2000-04-15 21:59:55.745000,L7,,,,,,,,,,,,,,310.20,303.64,297.38,306.49,297.47,290.30,284.12,276.34,271.73,285.04,273.05,290.26,293.78,295.38,302.78,299.67,296.18,299.37,295.44,302.30,288.62,268.28,277.56,261.72,301.31,291.00,270.13,,287.12,322.57,316.76,328.06,331.55,333.13,333.79,328.90,320.39,327.06,280.18,303.11,296.75,304.91,294.00,307.30,317.38,311.81,314.33,311.52,316.19,306.71,319.04,325.22,331.80,327.80,333.71,336.32,340.34,342.48,352.01,349.82,353.64,339.68,376.58,352.81,345.70,345.95,344.86,344.38,337.46,341.96,334.57,364.48,335.72,372.83,365.19,358.58,350.08,353.23,293.85,336.43,308.39,322.62,323.79,327.54,320.30,,,,,
2000-05-01 21:59:30.586000,L7,,,,,,275.54,283.54,296.44,303.37,321.04,313.66,314.59,321.28,331.01,321.54,312.54,319.92,321.44,308.86,298.49,285.23,284.34,279.15,273.93,290.58,298.48,299.52,309.65,297.40,303.83,300.06,298.56,313.68,318.43,321.49,311.34,316.66,323.96,337.33,337.28,320.33,329.84,329.43,328.63,337.80,339.23,331.85,336.59,334.73,328.80,316.81,307.62,311.56,305.34,309.51,307.38,311.24,313.18,307.57,321.90,325.15,321.40,313.31,327.65,330.59,334.69,337.14,334.63,341.91,344.42,348.70,350.58,352.10,351.79,349.35,357.25,355.80,349.16,352.68,351.33,346.84,350.35,343.07,337.02,339.51,337.09,344.42,341.29,357.10,353.95,357.83,322.19,353.81,,,,347.23,334.96,,,,,
2000-05-01 21:59:54.563000,L7,,,,,,270.35,278.93,286.95,295.54,314.77,308.14,311.54,310.84,325.58,317.92,307.59,315.00,316.51,302.85,293.61,279.24,277.67,272.83,268.84,282.74,289.79,292.75,305.04,277.56,295.94,289.78,293.92,307.17,305.59,303.76,299.16,298.52,321.09,328.25,331.56,307.61,320.63,324.82,322.27,333.57,332.30,329.43,331.63,330.24,322.76,310.82,302.68,303.49,299.31,301.46,302.23,303.38,304.33,302.51,313.27,318.12,316.97,309.12,321.85,323.76,326.27,330.41,331.69,337.49,340.26,344.61,345.05,346.46,344.78,339.88,343.68,345.89,344.57,347.26,346.00,340.47,341.31,336.47,335.34,333.47,332.30,338.82,338.03,350.75,347.51,353.45,306.82,358.05,,,,339.46,328.00,,,,,
2000-06-18 21:59:03.789000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.50,285.68,283.95,283.20,297.10,296.12,301.42,294.97,291.37,300.70,298.17,296.94,288.45,298.90,298.13,305.66,290.27,296.84,290.60,294.25,295.70,274.33,298.32,296.25,303.37,,,,,,,,335.33,334.57,367.40,389.10,391.11
