dates,satname,nzd0178-0000,nzd0178-0001,nzd0178-0002,nzd0178-0003,nzd0178-0004
2002-01-22 22:01:04.880000,L7,407.30,383.96,391.25,,
2002-10-21 21:59:36.443000,L7,317.80,344.71,,,
2003-11-17 21:50:09.452000,L5,,,321.56,302.60,316.80
2003-12-03 21:50:19.675000,L5,,,310.35,294.47,306.01
2005-11-15 21:54:26.309000,L5,,284.18,316.22,294.95,302.44
2010-12-22 22:02:05.586000,L5,,302.87,328.54,315.27,351.17
2011-01-07 22:02:08.379000,L5,,290.74,321.82,313.95,408.65
2013-11-12 22:13:32.202000,L8,356.73,325.15,307.48,,
2013-11-12 22:13:56.157000,L8,363.55,325.04,,,
2013-11-28 22:13:49.926000,L8,,,289.51,304.46,312.03
2013-12-14 22:13:45.545000,L8,363.15,302.62,,,
2014-12-01 22:12:24.268000,L8,370.04,320.54,324.73,,
2017-09-04 22:12:19.532000,L8,,386.58,378.20,387.99,431.10
2022-01-21 22:12:23.867000,L8,,287.90,335.05,315.02,311.57
2022-02-22 22:12:14.581000,L8,,,332.28,307.89,306.76
2022-03-02 22:12:13.972000,L9,,303.64,331.49,307.49,304.82
2023-02-17 22:12:37.497000,L9,,283.89,331.57,309.89,302.08
2023-11-08 22:12:20.984000,L8,368.14,328.84,335.53,312.32,306.75
2025-01-21 22:12:25.198000,L9,362.15,310.82,328.68,,
