dates,satname,nzd0188-0000,nzd0188-0001,nzd0188-0002,nzd0188-0003,nzd0188-0004,nzd0188-0005,nzd0188-0006,nzd0188-0007,nzd0188-0008,nzd0188-0009,nzd0188-0010,nzd0188-0011,nzd0188-0012,nzd0188-0013,nzd0188-0014
1999-09-29 21:52:52.243000,L7,,,,,,,,,,,,163.90,175.04,196.14,172.43
1999-12-09 21:58:57.676000,L7,383.95,328.47,315.73,321.87,322.18,320.49,318.90,321.64,318.68,325.70,333.14,336.42,305.83,343.87,329.66
2000-02-27 21:58:40.521000,L7,,,,,,,,,,,,142.22,169.68,207.22,146.88
2000-05-17 21:58:07.485000,L7,,,,,,,,,,,,,260.18,237.38,178.58
2000-08-05 21:57:08.715000,L7,,,,,,,,,,,178.48,195.29,201.92,205.01,178.46
2001-01-05 21:50:16.585000,L7,364.13,,,,,,,,,,,,,,
2001-09-25 21:54:28.694000,L7,,,,,,,,,,,174.20,141.58,200.18,190.49,163.54
2001-10-11 21:54:09.862000,L7,,,,,,,,,,,,197.55,203.28,211.00,161.19
2001-12-30 21:54:37.254000,L7,326.42,333.63,292.67,340.84,324.44,338.82,321.73,332.75,331.53,362.55,328.83,342.20,290.36,297.62,335.21
2002-01-24 21:48:42.967000,L7,355.37,,,,,,,,,,,,,,
2002-03-20 21:54:48.224000,L7,,,,,,,,,,,174.37,151.47,189.96,204.08,180.76
2002-10-14 21:53:43.769000,L7,,,,,,,,,,,,202.56,241.38,225.78,
2002-10-23 21:47:39.211000,L7,,,,,,,,,,,,150.71,165.67,194.10,149.58
2002-11-08 21:47:44.401000,L7,,,389.33,383.68,380.35,370.92,374.96,,,,,,,,
2003-01-18 21:54:30.278000,L7,,,,,,,,,,,,150.51,166.41,199.83,161.97
2003-10-18 21:37:48.406000,L5,322.97,296.40,288.31,295.45,,,269.23,285.52,276.60,276.26,287.47,285.01,287.72,289.63,279.32
2004-05-20 21:46:44.438000,L5,,,,,,,,,,,,211.95,216.87,222.69,158.58
2004-09-25 21:50:07.312000,L5,,,,,,,,,,,,186.58,221.96,222.56,152.90
2004-10-20 21:44:28.706000,L5,315.79,298.32,288.37,297.10,279.92,292.96,273.56,292.36,279.88,276.33,290.30,281.36,286.65,287.30,277.14
2005-01-15 21:52:09.437000,L5,,,,,,,,,,,136.20,207.27,198.20,201.16,
2005-01-24 21:46:06.161000,L5,324.59,305.53,302.79,301.07,293.51,295.59,269.48,292.68,277.15,279.04,294.59,287.58,293.22,287.20,288.65
2005-03-13 21:46:47.612000,L5,,,,,,,,,,,,,217.12,215.54,145.71
2005-04-21 21:53:10.893000,L5,,,,,,,,,,,,209.35,224.68,211.45,148.03
2006-02-19 21:56:39.909000,L5,,,,,,,,,,,,171.47,210.41,207.81,
2006-12-13 21:54:31.554000,L5,317.41,294.19,286.16,294.47,280.29,291.09,286.75,295.02,289.56,281.57,295.64,298.42,291.42,293.94,288.37
2007-01-30 21:54:48.635000,L5,321.71,292.94,284.39,292.33,278.42,292.34,268.00,284.94,275.12,273.40,283.69,286.20,286.27,287.89,285.42
2009-11-26 21:56:28.873000,L5,328.93,302.40,293.39,300.45,289.05,292.22,270.82,289.91,281.79,285.56,293.79,293.96,296.18,296.75,292.70
2010-12-31 21:55:56.533000,L5,330.90,300.64,291.28,296.36,279.81,291.53,270.17,288.24,278.66,281.60,293.05,289.45,289.85,289.20,290.45
2011-01-09 21:49:46.887000,L5,318.87,294.84,289.78,291.87,283.42,292.05,271.25,287.23,282.18,279.71,293.69,288.27,296.68,296.58,292.02
2011-02-17 21:56:00.979000,L5,,,,,,,,,,,142.94,213.28,212.13,192.13,
2013-04-11 22:08:15.067000,L8,300.48,293.45,289.03,288.03,,,,291.38,279.35,278.16,289.94,292.09,293.39,288.91,281.60
2013-05-22 22:01:53.656000,L8,331.62,333.48,327.86,326.48,323.91,329.20,323.22,330.70,315.82,318.41,314.35,323.00,321.17,315.32,316.63
2013-05-29 22:08:05.425000,L8,298.03,298.30,290.47,292.90,292.48,293.32,291.41,291.87,287.81,284.30,290.80,296.09,296.47,292.85,293.12
