dates,nzd0444-0000,nzd0444-0001,nzd0444-0002,nzd0444-0003,nzd0444-0004,nzd0444-0005,nzd0444-0006,nzd0444-0007,nzd0444-0008,nzd0444-0009,nzd0444-0010,nzd0444-0011,nzd0444-0012,nzd0444-0013,nzd0444-0014,nzd0444-0015,nzd0444-0016,nzd0444-0017,nzd0444-0018,nzd0444-0019,nzd0444-0020,nzd0444-0021,nzd0444-0022,nzd0444-0023,nzd0444-0024,nzd0444-0025,nzd0444-0026,nzd0444-0027,nzd0444-0028,nzd0444-0029,nzd0444-0030,nzd0444-0031,nzd0444-0032,nzd0444-0033,nzd0444-0034,nzd0444-0035,nzd0444-0036,nzd0444-0037,nzd0444-0038,satname
1999-11-21 22:12:47+00:00,,,,,,,,,187.97,207.01,204.14,231.69,231.37,247.16,215.98,234.05,234.94,233.35,236.72,233.1,235.14,238.22,242.52,244.57,243.7,258.41,274.89,,,290.87,260.97,256.43,249.38,245.96,241.49,238.26,241.08,287.41,298.7,L7
1999-11-28 22:18:56+00:00,,,,,,,,,187.97,207.01,204.14,231.69,231.37,247.16,215.98,234.05,234.94,233.35,246.755,244.245,247.355,238.22,242.52,244.57,243.7,258.41,274.89,,,297.525,269.83000000000004,264.935,249.38,245.96,241.49,238.26,241.08,287.41,298.7,L7
1999-12-07 22:12:53+00:00,,,,,,,,,186.36,204.64499999999998,194.62,229.905,224.41500000000002,234.39999999999998,214.725,224.4,232.06,230.035,239.53,237.77999999999997,247.355,232.065,228.995,231.815,235.975,257.71000000000004,271.57,,,297.525,265.46000000000004,260.56,242.97,242.04500000000002,232.695,237.66,238.37,287.41,298.7,L7
2000-08-19 22:11:01+00:00,,,,,,,,,196.81,212.69,218.45,243.1,255.83,259.78,248.73,248.03,247.07,249.83,250.13,250.25,253.43,252.63,252.73,251.35,258.93,267.15,289.91,310.06,294.71,,274.66,264.3,261.45,257.27,247.91,250.37,260.72,,,L7
2000-09-20 22:10:27+00:00,,,,,,,,,196.81,212.69,218.45,243.1,255.83,259.78,248.73,236.2,247.07,249.83,250.13,250.25,253.43,252.63,252.73,251.35,258.93,267.15,289.91,310.06,294.71,,274.66,264.3,261.45,257.27,247.91,250.37,260.72,,,L7
2000-09-27 22:16:36+00:00,310.96,326.09,328.58,320.33,326.12,316.75,,,196.81,212.69,218.45,243.1,255.83,259.78,248.73,236.2,247.07,249.83,250.13,250.25,253.43,252.63,252.73,251.35,258.93,267.15,289.91,315.43,298.67999999999995,266.47,277.865,269.745,265.365,260.61,254.13,250.37,260.72,,,L7
2000-11-07 22:10:17+00:00,317.33,329.65999999999997,326.97,322.26,326.90999999999997,320.70500000000004,233.64,,196.81,212.69,218.45,243.1,255.83,259.78,248.73,236.2,247.07,249.83,250.13,250.25,253.43,252.63,252.73,251.35,258.93,267.15,289.91,315.43,298.67999999999995,266.47,277.865,269.745,265.365,260.61,254.13,250.37,260.72,,,L7
2000-11-14 22:16:30+00:00,317.33,329.65999999999997,326.97,322.26,326.90999999999997,320.70500000000004,233.64,,199.81,215.565,223.08499999999998,244.415,257.605,263.77,254.43,242.5533333333333,250.86,253.18,253.55,253.76,256.93,258.175,258.9,258.145,264.07500000000005,272.06,294.91,315.12333333333333,299.56333333333333,266.135,278.3933333333334,269.745,265.365,260.61,254.13,250.37,260.72,,,L7
2000-12-16 22:16:35+00:00,317.33,329.65999999999997,326.97,322.26,326.90999999999997,320.70500000000004,233.64,,199.81,215.565,223.08499999999998,244.415,257.605,263.77,254.43,242.5533333333333,243.16666666666666,245.3166666666667,244.66,253.76,256.93,247.53,258.9,258.145,264.07500000000005,266.84999999999997,286.89000000000004,315.12333333333333,299.56333333333333,260.35333333333335,272.925,269.745,253.02666666666664,252.84,245.76999999999998,250.37,260.72,,,L7
2001-01-01 22:16:33+00:00,317.33,329.65999999999997,326.97,322.26,297.1433333333334,320.70500000000004,231.45,180.85,200.42999999999998,215.89333333333335,223.08499999999998,244.415,257.605,263.77,254.43,242.5533333333333,243.16666666666666,245.3166666666667,244.66,253.76,256.93,247.53,258.9,258.145,264.07500000000005,266.84999999999997,286.89000000000004,315.12333333333333,301.1225,261.32500000000005,273.078,269.745,253.02666666666664,252.84,245.76999999999998,250.37,264.555,320.65,,L7
2001-01-10 22:10:27+00:00,329.1766666666667,336.98,326.97,318.06666666666666,297.1433333333334,328.06666666666666,231.45,180.85,201.65,216.5525,225.36666666666667,245.08666666666667,258.51666666666665,264.5933333333333,255.62,245.405,245.6475,247.31,247.66250000000002,254.08,258.93666666666667,251.555,260.41,261.03000000000003,266.61333333333334,270.2825,289.83250000000004,314.96500000000003,300.954,262.30600000000004,274.08166666666665,271.32,256.6425,255.52249999999998,245.76999999999998,250.37,264.555,320.65,,L7
2001-01-26 22:10:30+00:00,329.1766666666667,336.98,326.97,318.06666666666666,297.1433333333334,328.06666666666666,231.45,180.85,201.65,216.5525,225.36666666666667,245.08666666666667,248.3025,247.2025,243.33,238.02200000000002,239.67600000000002,241.10399999999998,247.66250000000002,254.08,258.93666666666667,251.555,247.74,261.03000000000003,254.63750000000002,270.2825,289.83250000000004,314.96500000000003,300.954,262.30600000000004,268.45285714285717,271.32,249.58999999999997,248.594,245.76999999999998,250.37,264.555,320.65,,L7
2001-02-18 22:16:35+00:00,329.1766666666667,336.98,326.97,318.06666666666666,297.1433333333334,328.06666666666666,231.45,180.85,203.26333333333332,217.84,228.82500000000002,246.07999999999998,237.6575,238.5875,231.01,229.37400000000002,233.58,235.004,246.84000000000003,255.995,261.68999999999994,251.1966666666667,237.285,265.87,242.74,271.3266666666667,289.8066666666667,316.6000000000001,302.515,262.30600000000004,267.41833333333335,274.83000000000004,246.62499999999994,246.425,244.7,,268.39,320.65,,L7
2001-02-27 22:10:18+00:00,337.775,336.98,334.90333333333336,318.06666666666666,297.1433333333334,328.06666666666666,231.45,180.85,203.26333333333332,217.84,228.82500000000002,246.07999999999998,237.6575,238.5875,231.01,229.37400000000002,233.58,235.004,246.84000000000003,255.995,261.68999999999994,251.1966666666667,237.285,265.87,242.74,271.3266666666667,289.8066666666667,316.6000000000001,302.515,262.30600000000004,267.41833333333335,274.83000000000004,246.62499999999994,246.425,244.7,,268.39,320.65,,L7
2001-03-15 22:10:15+00:00,337.775,336.98,334.90333333333336,318.06666666666666,297.1433333333334,328.06666666666666,231.45,180.85,198.8275,212.79749999999999,215.62666666666667,240.02999999999997,236.67199999999997,238.56599999999997,229.82799999999997,229.17,232.52333333333334,234.205,242.66750000000002,247.92999999999998,252.06999999999996,248.13750000000002,233.81599999999997,257.8566666666667,242.91600000000003,267.7325,286.6625,309.3625,302.515,258.9116666666667,265.6942857142857,264.63000000000005,245.14199999999997,244.57199999999997,241.61,243.57,256.98,320.65,,L7
2001-03-31 22:10:07+00:00,346.7133333333333,342.42500000000007,338.06500000000005,316.93500000000006,264.14000000000004,293.07,227.3133333333333,194.385,196.74599999999998,211.26399999999998,214.8975,239.26749999999998,238.295,240.88,231.285,232.21,233.3242857142857,234.80142857142854,242.72600000000003,246.20749999999998,250.39999999999998,248.34,233.90166666666667,254.16250000000002,245.655,266.98400000000004,287.11800000000005,307.0775,299.7825,257.21166666666664,263.2942857142857,258.32,242.68400000000003,241.406,235.82333333333335,250.225,254.34666666666666,320.65,267.8,L7
2001-08-29 22:14:52+00:00,,,262.7,256.9,237.765,226.66,229.005,225.82999999999998,193.76666666666665,208.88,211.76,237.59,246.3133333333333,253.97666666666666,242.58,243.4466666666667,240.59666666666666,243.25666666666666,244.50666666666666,245.5233333333333,248.24,252.45000000000002,240.92999999999998,251.99333333333334,258.3566666666667,260.47,283.08500000000004,299.655,291.72,249.10499999999996,268.7966666666666,260.26,257.46333333333337,252.34666666666666,249.08,258.38666666666666,257.96666666666664,342.88,306.01,L7
2001-09-07 22:08:34+00:00,,,262.7,246.33499999999998,235.10666666666665,225.53333333333333,227.99666666666667,222.46333333333334,194.35999999999999,208.92499999999998,211.9325,238.115,247.01999999999998,253.54999999999998,243.005,241.56,240.23499999999999,243.5025,244.19750000000002,244.7025,248.02499999999998,252.52,240.8025,251.55,259.09000000000003,262.12333333333333,284.55333333333334,302.27,291.165,249.94999999999996,269.0925,259.9075,257.275,251.22,248.0725,257.02,256.40749999999997,342.02,307.7866666666667,L7
