dates,satname,nzd0444-0000,nzd0444-0001,nzd0444-0002,nzd0444-0003,nzd0444-0004,nzd0444-0005,nzd0444-0006,nzd0444-0007,nzd0444-0008,nzd0444-0009,nzd0444-0010,nzd0444-0011,nzd0444-0012,nzd0444-0013,nzd0444-0014,nzd0444-0015,nzd0444-0016,nzd0444-0017,nzd0444-0018,nzd0444-0019,nzd0444-0020,nzd0444-0021,nzd0444-0022,nzd0444-0023,nzd0444-0024,nzd0444-0025,nzd0444-0026,nzd0444-0027,nzd0444-0028,nzd0444-0029,nzd0444-0030,nzd0444-0031,nzd0444-0032,nzd0444-0033,nzd0444-0034,nzd0444-0035,nzd0444-0036,nzd0444-0037,nzd0444-0038
1999-11-21 22:12:47.994000,L7,,,,,,,,,187.97,207.01,204.14,231.69,231.37,247.16,215.98,234.05,234.94,233.35,236.72,233.10,235.14,238.22,242.52,244.57,243.70,258.41,274.89,297.12,291.93,290.87,260.97,256.43,249.38,245.96,241.49,238.26,241.08,287.41,298.70
1999-11-28 22:18:56.993000,L7,465.62,413.63,413.53,383.10,393.04,390.94,369.32,366.67,391.93,384.02,379.11,405.77,423.84,421.97,404.41,427.02,413.22,410.16,256.79,255.39,259.57,401.14,395.46,400.25,382.60,428.61,409.00,431.27,477.93,304.18,278.69,273.44,382.03,396.77,388.77,499.81,532.61,436.50,381.05
1999-12-07 22:12:53.785000,L7,,,,,,,,,184.75,202.28,185.10,228.12,217.46,221.64,213.47,214.75,229.18,226.72,225.08,224.85,218.50,225.91,215.47,219.06,228.25,257.01,268.25,250.18,238.78,241.29,256.72,251.81,236.56,238.13,223.90,237.06,235.66,,
2000-08-19 22:11:01.988000,L7,,,249.43,216.91,235.79,219.81,229.20,221.47,196.81,212.69,218.45,243.10,255.83,259.78,248.73,248.03,247.07,249.83,250.13,250.25,253.43,252.63,252.73,251.35,258.93,267.15,289.91,310.06,294.71,258.56,274.66,264.30,261.45,257.27,247.91,250.37,260.72,,
2000-09-20 22:10:27.007000,L7,,,,,,,,,,,,,,187.42,200.42,224.37,,,,,,,,,,,,,,,,,,,,,,,
2000-09-27 22:16:36.610000,L7,310.96,326.09,328.58,320.33,326.12,316.75,312.62,358.03,310.33,337.39,345.66,352.43,372.99,372.97,364.93,370.41,370.55,374.79,380.80,388.03,391.73,367.90,373.51,378.47,372.70,360.75,409.25,320.80,302.65,266.47,281.07,275.19,269.28,263.95,260.35,369.54,379.24,392.91,333.31
2000-11-07 22:10:17.299000,L7,323.70,333.23,325.36,324.19,327.70,324.66,233.64,328.31,323.46,324.63,335.55,338.46,368.19,364.12,343.30,360.41,360.70,351.55,347.51,348.34,340.91,353.42,346.65,347.99,346.45,353.71,371.42,395.73,405.18,391.03,360.01,356.42,341.85,347.07,353.53,351.25,345.62,346.62,352.87
2000-11-14 22:16:30.766000,L7,369.35,371.08,372.56,365.24,363.18,368.21,373.70,378.02,202.81,218.44,227.72,245.73,259.38,267.76,260.13,255.26,254.65,256.53,256.97,257.27,260.43,263.72,265.07,264.94,269.22,276.97,299.91,314.51,301.33,265.80,279.45,389.78,363.27,362.98,389.19,396.27,349.26,362.87,363.86
2000-12-16 22:16:35.253000,L7,,,,,,,,,,,,,213.63,217.11,210.77,197.13,227.78,229.59,226.88,212.99,217.26,226.24,215.91,214.47,227.66,256.43,270.85,177.85,233.48,248.79,256.52,226.55,228.35,237.30,229.05,188.30,,,
2001-01-01 22:16:33.637000,L7,267.67,257.37,251.51,248.00,237.61,229.59,229.26,180.85,201.67,216.55,365.07,384.11,400.69,405.62,390.93,390.14,395.96,398.87,400.52,400.50,410.18,404.81,396.97,404.84,399.71,380.94,405.36,447.10,305.80,264.24,273.69,399.61,390.97,396.67,404.67,406.39,268.39,320.65,402.97
2001-01-10 22:10:27.647000,L7,352.87,351.62,353.11,309.68,349.08,342.79,349.63,354.41,205.31,218.53,229.93,246.43,260.34,266.24,258.00,253.96,253.09,253.29,256.67,254.72,262.95,263.63,263.43,266.80,271.69,280.58,298.66,314.49,300.28,266.23,279.10,274.47,267.49,263.57,336.32,364.11,374.13,387.47,370.04
2001-01-26 22:10:30.842000,L7,,,,,,,,,,,,,217.66,195.03,206.46,208.49,215.79,216.28,178.60,181.50,207.53,215.26,209.73,213.27,218.71,210.38,,,,,234.68,198.49,221.38,220.88,,,,,
2001-02-18 22:16:35.003000,L7,,,,,,,,,,,,,213.25,225.32,199.45,204.79,216.59,219.33,170.58,168.56,207.20,216.00,210.91,200.83,211.34,220.54,,,,,,,,,,,,,
2001-02-27 22:10:18.214000,L7,363.57,353.84,350.77,353.60,357.32,352.84,362.45,372.83,356.18,356.66,345.00,314.44,385.53,383.90,370.28,368.45,371.67,345.96,376.80,393.86,348.72,357.26,391.23,380.19,378.69,349.82,415.44,410.47,413.86,405.59,394.18,377.81,368.38,374.38,338.35,384.15,388.19,391.39,406.35
2001-03-15 22:10:15.982000,L7,,,,,,,,,185.52,197.67,189.23,227.93,232.73,238.48,225.10,228.15,227.24,230.21,230.15,231.80,232.83,238.96,219.94,241.83,243.62,256.95,277.23,287.65,237.47,241.94,255.35,244.23,239.21,237.16,235.43,243.57,245.57,,
2001-03-31 22:10:07.582000,L7,,,,,227.11,211.76,219.04,207.92,188.42,205.13,212.71,236.98,246.41,252.45,238.57,242.61,238.13,238.38,242.96,241.04,245.39,249.15,234.33,243.08,259.35,263.99,288.94,311.66,291.72,256.27,264.27,256.26,256.99,248.12,242.99,256.88,249.08,180.50,267.80
2001-08-29 22:14:52.879000,L7,295.13,270.95,262.70,256.90,248.42,241.56,238.97,243.74,207.36,223.84,233.34,247.86,259.80,271.00,264.07,259.58,256.42,261.18,260.41,263.73,266.50,269.24,268.52,271.07,272.10,347.13,364.94,395.00,386.66,371.93,286.77,280.29,276.19,271.76,268.82,274.71,279.25,342.88,344.22
2001-09-07 22:08:34.815000,L7,,,,235.77,229.79,223.28,225.98,215.73,196.14,209.06,212.45,239.69,249.14,252.27,244.28,235.90,239.15,244.24,243.27,242.24,247.38,252.73,240.42,250.22,261.29,265.43,287.49,307.50,290.61,251.64,269.98,258.85,256.71,247.84,245.05,252.92,251.73,341.16,311.34
2001-09-23 22:08:26.958000,L7,223.94,195.75,,,,,,,,,,,230.87,247.37,223.71,227.53,227.20,229.27,234.00,231.12,227.11,234.88,219.09,217.56,243.29,255.30,272.40,206.48,,,253.93,239.28,229.62,243.09,236.71,187.13,,,
2002-01-20 22:15:01.686000,L7,,,,,,,,,196.08,205.88,189.76,224.58,240.70,249.54,235.12,238.76,240.73,245.62,238.80,242.98,221.15,245.17,225.85,389.13,403.33,417.46,430.11,254.89,299.54,256.41,266.98,251.56,239.12,243.62,241.98,246.87,258.16,308.52,326.78
2002-01-29 22:08:45.213000,L7,276.62,260.42,251.91,249.63,241.53,234.44,233.89,200.06,313.09,303.33,313.46,324.93,346.10,342.49,341.20,329.00,346.69,347.60,255.29,349.75,337.77,334.54,334.80,333.83,269.30,375.52,365.90,407.98,405.85,378.63,370.58,358.62,360.18,360.75,369.09,361.00,348.69,333.07,374.61
2002-02-05 22:15:01.569000,L7,,,,,,,,,,,,,226.76,224.45,207.14,208.16,222.12,,,,,,,,,240.67,270.86,,,,248.73,224.19,227.86,226.26,,,,,
2002-02-14 22:08:53.179000,L7,247.92,240.92,238.34,230.95,,,,,188.68,207.51,182.59,203.80,229.85,245.84,247.09,238.04,240.63,241.97,250.84,243.88,244.75,375.39,383.31,493.09,465.20,,,,,,497.04,499.71,503.68,518.37,521.36,484.18,548.73,250.32,488.87
2002-03-09 22:15:05.816000,L7,,,,,,,,,184.79,205.24,186.05,206.84,230.25,233.22,211.91,224.09,233.28,217.88,226.97,228.71,211.32,236.38,217.10,206.26,215.18,257.27,276.29,297.50,236.07,243.41,259.56,244.30,240.09,241.46,217.73,197.38,,,
2002-04-03 22:08:45.014000,L7,,,,,,,,,,,,,,235.48,208.19,225.98,214.73,225.88,228.13,225.95,210.30,182.83,213.73,205.82,239.46,224.22,,,,,,,220.60,222.59,,,,,
2002-10-12 22:07:38.359000,L7,363.58,345.37,345.56,342.19,341.52,353.50,360.86,361.84,349.76,351.92,362.78,364.55,382.95,387.05,389.38,392.79,392.89,402.47,399.35,407.72,406.97,404.91,398.81,397.80,416.50,395.07,437.38,452.87,309.58,262.04,282.23,275.77,274.64,269.37,266.41,273.67,272.85,320.40,320.99
2002-10-28 22:07:46.304000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.78,218.86,221.45,221.92,181.82,,,,
