dates,satname,nzd0391-0000,nzd0391-0001,nzd0391-0002,nzd0391-0003,nzd0391-0004,nzd0391-0005,nzd0391-0006,nzd0391-0007,nzd0391-0008,nzd0391-0009,nzd0391-0010,nzd0391-0016,nzd0391-0017,nzd0391-0018,nzd0391-0019,nzd0391-0020,nzd0391-0021,nzd0391-0012,nzd0391-0013,nzd0391-0014,nzd0391-0015,nzd0391-0011
1999-09-04 22:00:09.953000,L7,388.85,382.01,397.40,407.94,379.08,332.29,327.45,370.13,369.63,367.73,351.51,406.33,395.04,368.23,361.83,348.30,333.65,,,,,
1999-09-04 22:00:33.926000,L7,,,,,383.82,374.22,331.43,374.41,375.84,377.91,375.20,413.66,402.96,380.57,367.67,354.27,339.38,411.95,393.43,398.94,373.99,
1999-10-22 22:00:04.598000,L7,,,,,,,,,,,,410.85,403.14,379.36,377.41,363.34,353.16,,,,,
1999-10-22 22:00:28.631000,L7,,,,,,,,,,,,409.76,403.05,382.62,380.64,365.33,355.10,,,,,
1999-12-09 22:00:09.551000,L7,,,,,,,,,,,,406.39,391.25,372.84,373.98,366.33,349.90,,,,,
1999-12-09 22:00:33.510000,L7,,,,,,,,,,,,400.01,385.95,363.81,368.19,360.95,345.27,404.94,387.19,394.11,401.43,
1999-12-25 22:00:04.067000,L7,396.73,388.78,400.88,404.16,389.58,387.34,332.25,380.46,392.07,399.86,,406.12,390.77,369.81,370.22,361.22,350.87,,,,,
2000-01-26 22:00:02.226000,L7,395.86,390.90,399.28,399.46,391.26,383.42,336.06,383.49,381.75,400.00,,407.69,391.58,375.19,372.69,364.24,347.76,392.16,387.73,405.72,409.70,
2000-01-26 22:00:26.187000,L7,400.37,391.59,399.85,400.94,394.93,385.87,339.53,392.12,383.69,398.45,,405.33,391.61,374.79,370.37,363.38,346.24,396.18,388.85,400.78,411.69,
2000-02-11 21:59:57.866000,L7,388.00,389.97,398.93,402.93,390.34,376.36,330.39,,,,,,,374.04,383.98,373.87,337.47,,,,,
2000-02-11 22:00:21.827000,L7,,,,,397.37,379.94,330.75,378.92,384.50,,,,,380.61,385.38,370.05,337.74,,,,,
2000-02-27 21:59:52.393000,L7,400.21,391.96,389.95,401.43,395.56,394.77,,,,,,358.93,388.26,379.32,378.63,362.42,350.33,,,,,
2000-02-27 22:00:16.353000,L7,395.06,386.49,382.93,371.03,379.20,375.46,330.00,372.49,374.44,387.55,396.20,352.53,377.10,368.43,367.92,354.03,338.79,381.13,377.66,395.48,375.86,350.56
2000-03-30 21:59:45.397000,L7,400.09,381.91,393.75,389.36,382.78,331.93,328.99,,,,,412.00,400.62,376.49,371.62,362.78,346.88,,,,,
2000-03-30 22:00:09.363000,L7,400.32,381.32,394.81,389.55,382.82,330.95,327.57,363.32,369.93,,,411.12,400.61,377.30,369.89,361.87,345.53,,,,,
2000-04-15 21:59:31.785000,L7,394.29,382.69,396.62,386.50,383.73,374.51,330.79,370.82,386.53,,,406.59,400.56,374.83,373.02,363.19,350.39,,,,,
2000-04-15 21:59:55.745000,L7,393.98,381.97,396.09,386.18,383.49,375.62,330.41,371.60,392.46,,,405.26,401.19,375.63,371.38,363.71,351.09,,,,,
2000-05-01 21:59:30.586000,L7,390.30,382.86,394.32,380.97,393.20,339.72,330.58,373.01,370.68,,,415.57,406.54,376.56,356.48,359.33,343.03,,,,,
2000-05-01 21:59:54.563000,L7,,,,,392.68,340.86,328.43,372.90,371.46,,,415.35,406.73,379.08,370.67,362.74,346.86,,,,,
2000-06-18 21:59:03.789000,L7,392.36,381.33,380.90,378.75,382.24,341.69,333.78,367.96,365.81,352.11,370.63,414.75,390.05,382.59,373.94,368.17,357.09,346.79,376.63,384.48,416.31,310.14
2000-06-18 21:59:27.736000,L7,,,,414.12,377.50,335.63,330.84,360.25,392.20,,,407.80,382.12,368.06,369.96,357.94,347.18,416.59,378.89,382.58,349.20,
2000-07-04 21:58:50.402000,L7,365.58,360.48,367.35,,,,,,,,,,,,,,,,,,,
2000-07-04 21:59:14.363000,L7,368.56,362.46,370.86,326.67,350.39,321.48,323.97,,,,,334.61,311.91,358.61,314.58,314.07,300.51,,,295.59,306.68,
2000-08-05 21:58:20.584000,L7,,,416.81,374.09,369.94,327.24,331.90,368.47,366.86,386.07,,410.14,387.47,343.76,350.62,348.10,319.20,410.96,374.06,360.49,380.28,
2000-08-05 21:58:44.520000,L7,,,416.71,395.46,368.91,328.13,331.99,369.53,368.32,382.97,,410.42,396.64,370.14,354.24,348.18,326.78,411.89,373.94,360.45,400.38,
2000-09-06 21:57:58.861000,L7,398.41,369.31,397.51,394.52,374.99,333.13,321.37,354.67,365.62,390.51,400.09,398.22,379.72,361.48,357.45,347.50,329.33,393.99,368.53,362.22,342.65,412.18
2000-09-06 21:58:22.821000,L7,390.22,359.83,390.92,,,,,,,378.91,352.31,392.16,372.43,355.94,352.93,343.18,323.51,382.01,352.81,307.77,329.87,408.22
2000-10-08 21:58:00.300000,L7,401.54,392.68,403.41,411.51,396.75,388.63,370.77,402.12,403.80,,,413.44,399.32,379.52,377.66,366.36,346.23,,,,,
2000-11-25 21:57:58.896000,L7,397.89,385.26,398.27,401.73,382.02,385.74,376.66,388.51,389.88,394.15,,397.96,389.12,368.64,367.88,361.38,349.96,397.61,383.61,396.47,400.15,
2000-12-11 21:57:36.803000,L7,387.16,371.85,391.55,385.40,366.43,322.01,321.44,,,,371.60,400.01,398.76,324.45,345.03,341.24,314.17,344.52,339.62,306.18,325.15,313.78
2000-12-11 21:58:00.763000,L7,374.12,360.07,378.65,,,,,,,,,,,,,,,,,,,
