dates,nzd0391-0000,nzd0391-0001,nzd0391-0002,nzd0391-0003,nzd0391-0004,nzd0391-0005,nzd0391-0006,nzd0391-0007,nzd0391-0008,nzd0391-0009,nzd0391-0010,nzd0391-0011,nzd0391-0012,nzd0391-0013,nzd0391-0014,nzd0391-0015,nzd0391-0016,nzd0391-0017,nzd0391-0018,nzd0391-0019,nzd0391-0020,nzd0391-0021,satname
1999-09-04 22:00:09.953,389.62,381.7,400.6,412.83,380.91,366.56,326.95,369.33,370.59,369.21,425.08,421.51,407.75,386.85,393.23,362.15,406.36,396.36,373.44,364.37,349.3,335.67,L7
1999-09-04 22:00:33.926,390.375,383.02,401.68,413.71500000000003,381.36,368.53999999999996,327.69,379.135,371.725,371.085,426.31,423.025,408.185,389.12,394.545,366.65999999999997,408.55,397.195,375.595,365.47,350.28999999999996,337.145,L7
1999-10-22 22:00:04.598,395.05,386.3766666666666,404.02,413.71500000000003,381.36,375.9633333333333,327.69,385.9633333333333,381.2966666666666,383.3066666666667,421.0833333333333,422.7633333333333,409.6433333333334,389.26666666666665,396.8933333333334,380.9533333333334,407.95,397.43,375.25,368.35999999999996,353.5333333333333,341.73,L7
1999-10-22 22:00:28.631,396.2075,386.32,403.185,413.71500000000003,381.36,375.9633333333333,328.1133333333333,386.61,383.245,387.6925,416.6625,421.22,408.6825,387.1675,396.83500000000004,385.9475,406.035,395.8025,373.0575,368.105,353.84749999999997,342.5175,L7
1999-12-09 22:00:09.551,394.40999999999997,385.804,401.41999999999996,408.70666666666665,379.99333333333334,372.49,327.15,382.33000000000004,381.79,389.444,415.422,418.802,408.6825,383.614,391.062,385.258,399.11,391.812,367.06800000000004,365.098,353.098,340.986,L7
1999-12-09 22:00:33.510,392.695,384.96,399.7266666666667,408.70666666666665,379.99333333333334,372.49,326.07599999999996,379.22499999999997,379.545,390.2366666666667,413.7633333333333,416.685,402.132,380.64166666666665,383.0916666666667,383.1766666666667,391.6766666666667,388.5183333333334,362.2716666666667,362.77666666666664,351.90333333333336,339.64000000000004,L7
1999-12-25 22:00:04.067,390.2885714285714,383.08,395.40714285714284,408.70666666666665,379.99333333333334,372.49,326.07599999999996,379.22499999999997,379.545,390.2366666666667,413.7633333333333,416.685,402.132,380.64166666666665,383.0916666666667,383.1766666666667,391.6766666666667,388.5183333333334,362.2716666666667,362.77666666666664,351.90333333333336,339.64000000000004,L7
2000-01-26 22:00:02.226,391.45125,384.24,396.20625,407.2875,383.39,374.928,327.61999999999995,380.8014285714286,380.09142857142854,391.7557142857143,412.3957142857143,416.8957142857143,400.71166666666664,381.92,386.18142857142857,386.9985714285714,393.8557142857143,389.30571428571426,364.3957142857143,364.37,353.90999999999997,340.79714285714283,L7
2000-01-26 22:00:26.187,392.06333333333333,384.6611111111111,396.13666666666666,404.798,384.49,375.3416666666667,328.4642857142857,381.13875,379.58875,391.92625,410.8125,416.51,398.8157142857143,381.9,387.4575,389.40250000000003,394.7025,388.88125,364.9125,364.575,354.42125,340.91625,L7
2000-02-11 21:59:57.866,394.267,386.923,395.92600000000004,403.8066666666667,384.1933333333333,374.6385714285715,327.9575,379.7855555555555,379.27555555555557,392.38444444444445,405.5544444444444,415.8355555555556,396.24125000000004,381.0133333333333,386.93,390.3588888888889,394.16555555555556,391.51444444444445,365.1122222222223,366.53555555555556,355.99,340.24333333333334,L7
2000-02-11 22:00:21.827,399.32000000000005,390.9236363636364,395.42,403.3528571428571,384.1385714285714,374.09875,327.18,378.692,378.858,392.659,404.754,415.14,393.84222222222223,380.157,386.183,390.921,393.462,393.15,365.42600000000004,368.062,356.631,339.601,L7
2000-02-27 21:59:52.393,399.27250000000004,390.83750000000003,394.92083333333335,402.885,385.3925,376.15555555555557,330.192,379.74818181818176,379.0290909090909,393.0481818181818,404.66636363636366,414.5690909090909,393.165,380.82454545454544,387.5127272727273,392.6109090909091,390.0190909090909,392.56363636363636,366.5418181818182,368.81454545454545,357.01454545454544,340.46636363636367,L7
2000-02-27 22:00:16.353,398.99923076923073,390.4876923076923,394.2523076923077,401.93888888888887,384.9455555555556,376.721,330.2609090909091,380.05583333333334,378.715,392.5291666666667,404.0208333333333,413.58833333333337,392.0681818181818,381.0183333333334,388.21166666666664,393.0408333333333,386.78,391.37583333333333,366.7558333333333,368.78416666666664,356.75333333333333,340.4191666666667,L7
2000-03-30 21:59:45.397,400.4891666666667,390.9216666666666,392.73,397.01375,385.21124999999995,373.41555555555556,330.418,378.55,379.05909090909097,397.27000000000004,400.1390909090909,412.14,390.008,380.37272727272733,386.4127272727273,399.7863636363636,384.8654545454546,390.90727272727275,365.70545454545453,369.2918181818182,358.18454545454546,341.41727272727275,L7
2000-03-30 22:00:09.363,400.43,390.09923076923076,392.7830769230769,395.81444444444446,384.8355555555555,369.023,329.9572727272727,377.1275,377.9783333333333,397.56333333333333,400.5116666666667,412.53833333333336,391.28545454545457,381.2191666666667,385.91499999999996,400.83916666666664,386.8233333333333,391.52,366.4083333333333,369.01666666666665,358.2241666666667,341.5975,L7
2000-04-15 21:59:31.785,399.51785714285717,389.07214285714286,392.30357142857144,393.889,383.78799999999995,365.8627272727273,329.39416666666665,375.98923076923074,377.7153846153846,398.6584615384615,401.15,412.78153846153845,392.04833333333335,381.8892307692308,386.71999999999997,398.7730769230769,387.77076923076925,391.5676923076923,366.3384615384615,368.7238461538461,358.04307692307697,341.69076923076926,L7
