dates,satname,nzd0150-0000,nzd0150-0001,nzd0150-0002,nzd0150-0003,nzd0150-0004,nzd0150-0005,nzd0150-0006,nzd0150-0007,nzd0150-0008,nzd0150-0009,nzd0150-0010,nzd0150-0011,nzd0150-0015,nzd0150-0016,nzd0150-0017,nzd0150-0026,nzd0150-0027,nzd0150-0012,nzd0150-0013,nzd0150-0014,nzd0150-0018,nzd0150-0019,nzd0150-0023,nzd0150-0024,nzd0150-0025,nzd0150-0020,nzd0150-0021,nzd0150-0022
1999-10-22 21:58:28.758000,L7,354.59,362.41,366.93,375.08,373.88,397.04,11.62,77.75,119.75,148.25,171.01,151.85,320.69,313.22,293.90,376.32,375.69,,,,,,,,,,,
2000-02-27 21:58:16.566000,L7,395.87,,,,,,,,,,,359.98,369.34,362.86,369.67,314.53,310.35,154.52,145.55,368.20,371.34,326.41,320.40,309.41,305.88,,,
2000-03-14 21:58:11.336000,L7,,,337.49,349.37,352.56,,,,,,,,,,,284.07,294.40,292.56,287.23,301.33,,,288.11,275.47,269.37,255.36,277.47,255.19
2000-03-30 21:58:09.573000,L7,355.59,355.66,354.73,376.92,374.39,384.42,38.75,77.42,121.31,146.21,166.60,151.83,370.56,365.46,366.24,369.93,368.28,369.01,366.90,370.11,364.15,357.05,320.04,367.45,,331.08,300.40,276.84
2000-09-06 21:56:22.949000,L7,286.28,,,,,,,,,,,341.50,,,248.52,309.76,321.47,212.19,296.13,309.49,330.91,331.90,290.01,279.15,275.11,320.22,283.38,256.15
2000-12-11 21:56:00.959000,L7,60.78,13.50,1.17,,,,,,,,,,,,272.37,356.62,357.47,,,,281.33,281.01,288.02,353.07,347.53,245.14,273.70,256.51
2000-12-27 21:56:05.061000,L7,,,,364.21,366.45,378.45,375.65,376.09,370.18,375.34,377.94,,,,,351.67,354.54,,,,,,,,,,,
2001-01-12 21:56:06.772000,L7,,,,,,,,,,,,309.42,304.37,313.29,288.94,,322.23,302.11,296.43,304.64,295.97,312.74,,,,255.72,214.84,
2001-06-05 21:55:16.607000,L7,329.60,346.46,343.95,351.82,353.54,337.61,320.66,297.80,272.59,299.10,285.91,304.83,353.54,331.62,325.62,329.34,337.65,299.67,302.28,308.24,287.52,282.46,288.56,277.78,275.30,309.89,285.86,258.27
2001-06-05 21:55:40.577000,L7,,,,,,,321.29,302.68,275.87,253.60,248.02,222.92,353.73,335.70,330.87,331.36,342.78,207.97,302.76,352.64,336.80,338.52,289.15,278.66,275.43,326.66,288.38,258.47
2001-09-09 21:54:12.928000,L7,329.72,342.95,338.97,345.48,355.00,323.11,332.37,353.07,352.79,353.00,344.31,349.00,277.20,263.22,293.00,325.52,326.73,354.83,352.79,332.14,311.52,297.49,343.96,331.33,303.13,314.57,285.59,254.38
2001-09-25 21:54:04.740000,L7,361.21,367.79,377.86,378.48,,,,,122.47,163.66,174.68,153.06,,,,338.80,349.40,,,,,,387.55,338.84,338.37,,,
2001-10-11 21:53:46.024000,L7,384.48,384.22,379.34,378.71,394.18,,15.41,78.32,118.16,145.50,164.60,144.06,,,,368.80,377.71,,,,,,,374.56,359.75,,,
2001-10-11 21:54:09.862000,L7,,,,,,,,,,,,351.53,352.48,346.04,337.47,329.69,331.13,354.36,352.29,331.68,344.24,344.86,352.02,337.82,328.93,344.54,279.88,254.71
2001-12-30 21:54:13.275000,L7,,,,,,,,,,233.13,280.81,294.54,293.60,284.62,240.48,279.62,291.03,294.59,289.25,298.44,,,,276.61,269.40,,,
2002-01-15 21:54:23.534000,L7,,,,291.78,288.35,318.22,314.75,283.59,275.38,249.87,285.18,299.62,294.15,293.21,283.92,,,297.83,299.78,306.78,285.91,,,,,,,
2002-01-31 21:54:26.647000,L7,327.55,330.23,334.11,334.82,337.30,350.25,335.97,317.60,278.50,,,309.05,333.75,316.63,277.05,317.11,320.56,214.89,331.10,329.23,284.41,331.97,287.92,278.05,273.84,328.30,281.63,254.37
2002-01-31 21:54:50.570000,L7,,,,,,,,,,,299.43,322.91,333.59,324.39,323.80,327.30,329.44,210.98,331.50,332.24,335.88,338.61,333.86,324.83,317.99,330.02,281.70,323.64
2002-03-20 21:54:48.224000,L7,,,,,,,,,,,,,,,,272.02,285.61,,,,,,,264.38,265.18,,,
2002-04-05 21:54:25.270000,L7,334.47,342.87,341.17,349.38,322.35,336.42,,,,288.73,299.01,341.38,350.85,343.25,345.11,332.43,341.28,333.18,329.75,336.41,349.40,351.50,319.24,332.31,325.45,329.77,281.06,306.78
2002-05-23 21:54:18.991000,L7,355.38,374.74,371.70,374.03,383.97,396.34,378.09,386.33,375.26,149.32,167.97,150.49,,,,374.75,378.28,180.86,170.23,,,,,,,,,
2002-08-27 21:53:36.267000,L7,331.33,347.99,330.52,353.16,359.31,367.86,344.08,318.23,311.92,303.99,296.93,304.81,293.52,294.24,310.62,323.07,322.97,297.27,300.65,309.93,333.68,335.18,341.46,329.82,320.49,335.30,,
2002-08-27 21:54:00.253000,L7,,,,,,,,,344.01,336.07,337.48,331.83,331.98,302.46,284.31,325.11,336.45,329.79,332.77,335.13,294.98,293.48,310.15,299.95,290.21,304.86,292.10,288.62
2002-09-12 21:53:31.762000,L7,307.61,291.80,,,322.03,344.73,335.09,320.88,318.50,319.93,313.41,318.14,320.31,314.58,283.38,300.54,314.29,311.18,316.40,323.05,311.70,318.14,295.82,285.77,278.22,282.25,277.48,263.37
2002-10-14 21:53:19.813000,L7,374.68,388.91,377.65,377.97,392.45,402.64,392.97,,,388.21,378.44,378.63,376.82,378.07,,,,380.07,380.14,381.01,,,,,,,,
2002-10-14 21:53:43.769000,L7,,,,,,,,,,,,,364.89,362.44,364.35,352.55,356.06,364.75,365.72,367.79,310.89,311.39,295.38,297.65,292.51,318.61,348.13,273.80
2002-10-30 21:53:25.867000,L7,43.55,382.03,376.60,378.30,392.44,401.23,402.73,,107.82,141.00,159.59,324.92,372.63,340.82,372.07,,,327.81,375.07,376.48,346.32,353.87,320.03,307.17,299.21,,,279.35
2003-01-18 21:54:06.301000,L7,320.36,320.29,314.09,319.38,330.79,331.17,,,332.90,329.48,338.09,331.87,354.36,347.07,348.48,335.94,338.45,325.66,371.54,356.95,349.09,352.08,324.87,301.45,298.60,348.59,331.87,259.71
2003-03-23 21:54:16.760000,L7,,110.38,,,,,,,,,349.28,352.15,344.94,345.38,337.95,330.98,334.15,340.76,322.83,313.83,338.74,340.76,317.59,304.44,324.85,329.80,304.13,311.12
2003-03-23 21:54:40.711000,L7,,,,,,,,,,,225.83,351.97,343.15,344.15,338.84,331.71,334.26,340.26,319.12,308.27,339.55,341.43,350.29,336.56,326.09,330.80,310.68,337.15
2003-05-10 21:54:22.508000,L7,308.74,179.74,3.68,322.58,298.40,331.02,335.80,356.86,298.76,,,366.17,,,,,,354.31,319.40,301.63,,,,,,,,
