dates,satname,nzd0502-0000,nzd0502-0001,nzd0502-0002,nzd0502-0003,nzd0502-0004,nzd0502-0005,nzd0502-0018,nzd0502-0019,nzd0502-0020,nzd0502-0021,nzd0502-0022,nzd0502-0023,nzd0502-0024,nzd0502-0025,nzd0502-0026,nzd0502-0006,nzd0502-0007,nzd0502-0008,nzd0502-0010,nzd0502-0011,nzd0502-0012,nzd0502-0013,nzd0502-0014,nzd0502-0015,nzd0502-0016,nzd0502-0017,nzd0502-0009
1999-08-26 22:07:32.686000,L7,,382.96,366.11,374.64,362.91,359.41,396.35,399.90,397.84,389.48,385.76,396.31,380.51,384.06,369.08,366.97,358.95,399.84,317.39,325.75,328.49,350.26,346.95,354.72,422.12,404.14,378.87
1999-12-16 22:07:33.708000,L7,343.32,358.44,338.65,327.73,330.93,349.33,303.38,309.39,307.26,308.27,309.63,312.84,313.36,320.77,323.06,,,,,,,,,,,,
2000-05-08 22:06:44.900000,L7,375.35,378.63,363.40,366.06,362.78,373.70,386.65,389.23,383.37,378.25,376.80,379.56,375.83,381.81,371.86,366.45,358.36,417.08,327.14,331.15,339.15,326.90,337.31,346.44,351.26,394.77,
2000-06-25 22:06:19.852000,L7,373.38,388.17,367.17,377.90,378.19,385.80,339.09,367.85,377.72,394.26,370.81,369.00,376.96,361.95,329.61,381.34,370.13,404.30,344.27,367.06,351.00,412.16,,424.76,327.59,335.76,375.02
2000-07-11 22:06:05.496000,L7,378.48,376.95,396.77,389.41,373.94,369.03,,,,,,,,,,385.85,337.02,339.06,,,,,,,,,
2000-09-20 22:11:14.930000,L7,373.30,378.78,362.22,361.86,354.45,380.16,370.12,366.73,359.85,356.50,366.21,366.48,362.86,362.94,375.05,379.52,360.16,364.47,357.53,384.72,369.51,371.75,367.99,381.75,365.91,373.82,364.31
2000-12-18 22:05:01.704000,L7,347.75,337.10,331.86,329.46,322.64,362.84,386.20,388.85,373.69,,304.19,309.83,307.53,333.85,237.13,349.04,330.73,343.79,,374.40,353.49,383.81,348.65,,,375.63,
2001-01-03 22:05:00.181000,L7,,,,,,,401.76,399.53,396.26,389.69,389.05,383.52,383.95,386.63,381.10,,,,,,,,,380.46,394.08,401.18,
2001-02-20 22:05:00.525000,L7,305.13,370.43,368.38,376.89,377.91,389.88,382.75,386.09,387.52,381.24,382.20,377.57,377.45,375.36,351.60,388.31,377.86,368.80,337.33,369.86,360.53,,,,388.92,383.60,399.91
2001-04-09 22:04:41.882000,L7,,,,,,,344.21,348.27,345.80,339.53,342.71,343.69,314.29,347.32,40.70,330.01,292.44,290.09,323.10,325.19,324.98,323.56,327.79,,,341.28,322.46
2001-06-28 22:03:56.771000,L7,355.00,391.88,,,,,,,,,,,,,,339.42,381.37,437.76,380.57,364.22,,336.43,362.57,357.07,,,320.76
2001-07-14 22:03:57.537000,L7,371.14,371.07,365.22,383.25,382.29,373.60,,,,,,,312.07,323.93,200.46,420.43,383.16,371.44,311.82,318.16,320.71,316.43,321.93,314.24,,,374.74
2001-08-15 22:03:26.328000,L7,359.06,,331.16,337.97,340.52,339.65,300.71,305.04,303.52,309.45,310.03,307.63,309.79,319.11,312.84,382.04,350.96,370.03,356.96,355.73,362.36,377.80,351.70,360.31,345.81,,370.30
2001-10-02 22:02:52.358000,L7,404.75,380.89,367.38,370.78,363.61,362.49,316.52,345.64,341.56,340.30,343.28,338.16,369.35,353.86,354.32,370.61,374.53,284.68,327.12,333.10,328.82,325.43,342.69,386.31,341.90,346.50,323.47
2001-11-03 22:02:58.699000,L7,,,361.39,358.55,352.80,370.24,337.32,338.75,331.83,327.60,328.87,329.53,326.28,364.63,362.03,368.69,379.26,367.44,375.72,365.63,369.29,377.89,382.17,336.01,340.87,340.77,378.88
2002-02-23 22:03:31.354000,L7,359.33,360.68,355.70,352.15,345.36,354.34,313.96,316.31,310.35,310.24,316.92,308.45,306.94,323.70,104.28,321.27,336.45,351.16,340.62,363.31,353.44,385.52,348.90,298.44,,311.72,394.67
2002-03-11 22:03:31.366000,L7,,,,,379.17,365.89,357.60,352.87,344.36,342.94,343.00,340.00,336.46,379.06,372.02,346.15,309.85,300.55,380.96,375.61,387.91,370.13,382.05,342.50,355.37,359.46,326.62
2002-04-12 22:03:25.302000,L7,397.66,394.08,,,409.10,426.70,357.48,354.07,345.60,339.58,343.75,344.48,336.44,336.10,372.89,431.98,307.68,294.32,328.00,334.81,343.48,341.53,328.61,349.52,349.32,349.69,321.58
2002-05-14 22:03:19.418000,L7,360.45,363.51,351.00,347.67,339.68,356.55,,,,,,,,,,352.99,348.92,367.86,352.51,357.71,,,,,,,358.81
