dates,nzd0502-0000,nzd0502-0001,nzd0502-0002,nzd0502-0003,nzd0502-0004,nzd0502-0005,nzd0502-0006,nzd0502-0007,nzd0502-0008,nzd0502-0009,nzd0502-0010,nzd0502-0011,nzd0502-0012,nzd0502-0013,nzd0502-0014,nzd0502-0015,nzd0502-0016,nzd0502-0017,nzd0502-0018,nzd0502-0019,nzd0502-0020,nzd0502-0021,nzd0502-0022,nzd0502-0023,nzd0502-0024,nzd0502-0025,nzd0502-0026,satname
2005-02-14 22:07:21+00:00,320.74,310.06,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2005-05-14 22:01:54+00:00,327.21000000000004,320.065,322.21,320.47,309.77,313.46,312.59,323.31,323.92,,277.82,286.8,289.85,289.32,278.86,,,,,,,,,,,299.92,,L5
2005-10-05 22:02:41+00:00,333.68,330.07,322.21,320.47,325.09000000000003,327.265,327.475,334.61,338.67,335.67,300.525,303.005,305.66,305.235,294.635,329.07,312.57,316.23,324.04,,332.27,329.43,334.94,332.67,329.62,319.365,335.53,L5
2006-02-26 22:05:22+00:00,,348.21,336.79,336.22,334.28,336.055,336.71000000000004,342.33000000000004,351.81,329.68,324.57000000000005,321.69,321.47,321.15,310.41,329.07,312.57,316.23,324.04,,332.27,329.43,334.94,332.67,329.62,338.81,335.53,L5
2006-03-14 22:05:42+00:00,,348.21,336.79,336.22,334.28,336.055,336.71000000000004,342.33000000000004,351.81,329.68,330.7033333333334,329.53333333333336,321.47,340.08,310.41,329.07,312.57,316.23,324.04,,332.27,352.565,334.94,332.67,329.62,338.81,335.53,L5
2006-04-15 22:06:18+00:00,,348.21,346.15,343.48,335.58,340.555,339.26,346.635,350.2,333.91499999999996,333.74666666666667,334.24333333333334,330.09,344.25,321.24,334.32,322.65,330.05,340.02,348.62,347.99,364.57,343.02,336.94,336.57,339.42,337.17,L5
2006-11-25 22:09:07+00:00,,,,,,,,,,,,,,,,,,,,383.26,374.51,369.83,369.69,364.21,362.25,361.88,361.34,L5
2008-11-14 21:57:52+00:00,,344.58,348.87,346.92,335.12,341.94,343.99,348.69,362.71,341.52,320.17,318.72,319.63,319.41,307.69,327.61,310.68,329.94,334.42,343.34,338.32,339.0,341.65,336.06,333.16,339.18,331.81,L5
2009-01-17 21:59:44+00:00,,344.58,348.87,346.92,335.12,341.94,343.99,346.47,362.71,341.52,327.865,328.875,331.2,331.175,329.12,341.18,332.12,343.15,346.495,343.34,338.32,339.0,347.29999999999995,343.075,340.685,343.375,337.81,L5
2011-02-08 22:04:35+00:00,,,,,,368.35,,367.35,,364.91,,366.37,368.69,365.89,376.43,361.28,359.18,367.45,363.2,362.81,353.54,352.07,351.58,,,351.13,343.46,L5
2011-03-12 22:04:31+00:00,,366.98,,362.09,353.21,364.015,359.6,363.31,,360.37,351.89,356.62,356.265,355.91999999999996,364.795,355.895,351.355,362.04499999999996,359.87,359.14,352.25,347.94,350.195,342.65,339.35,347.48,341.17499999999995,L5
2013-05-11 22:22:42+00:00,,353.8,350.35,346.43,337.79,343.55,345.26,344.52,372.69,342.14,328.29,342.88,344.59,338.24,341.68,336.49,334.74,343.27,342.39,341.07,336.01,330.33,328.74,323.68,322.46,333.99,318.62,L8
2013-06-05 22:16:38+00:00,329.65,338.35,331.46000000000004,346.43,337.79,343.55,345.26,344.52,353.99,342.14,328.29,342.88,327.735,323.95000000000005,315.515,336.49,334.74,343.27,342.39,341.07,336.01,330.33,328.74,316.72,313.53999999999996,325.9,318.62,L8
2013-06-28 22:22:44+00:00,330.235,334.04,328.26666666666665,331.82,319.71000000000004,343.55,345.26,331.13,347.84,342.14,328.29,323.27,321.68,317.11333333333334,306.2033333333333,336.49,334.74,343.27,342.39,341.07,336.01,320.775,320.265,313.6466666666667,311.53666666666663,322.25,318.62,L8
2013-07-07 22:16:35+00:00,330.235,334.04,328.26666666666665,331.82,319.71000000000004,351.01,345.26,331.13,347.84,350.41999999999996,331.32000000000005,335.06,329.7525,323.265,306.2033333333333,337.47,335.525,342.66499999999996,343.135,340.85,335.725,323.68666666666667,322.98,315.8175,314.38,325.87,318.58000000000004,L8
2013-07-23 22:16:34+00:00,330.235,334.04,328.26666666666665,331.82,319.71000000000004,351.01,345.26,331.13,347.84,350.41999999999996,331.32000000000005,335.06,329.7525,323.265,306.2033333333333,337.47,335.525,342.66499999999996,343.135,345.83,335.725,328.325,322.98,315.8175,319.442,325.87,318.58000000000004,L8
2013-08-08 22:16:37+00:00,330.235,334.04,328.26666666666665,331.82,319.71000000000004,351.01,345.26,331.13,347.84,350.41999999999996,331.32000000000005,335.06,329.7525,323.265,306.2033333333333,337.47,335.525,342.66499999999996,343.135,345.83,335.725,328.325,332.255,315.8175,319.442,325.87,318.58000000000004,L8
2013-08-31 22:22:50+00:00,330.235,338.69,332.2175,336.1766666666667,319.71000000000004,349.81333333333333,349.455,338.5466666666667,354.02750000000003,354.1333333333334,340.02333333333337,342.175,335.364,330.92,306.2033333333333,338.17,337.95666666666665,342.7366666666667,343.15333333333336,344.87,334.7633333333333,328.88800000000003,331.81800000000004,317.738,320.31666666666666,328.54200000000003,320.26666666666665,L8
2013-10-02 22:22:40+00:00,322.44,338.69,326.912,336.1766666666667,307.1466666666667,349.81333333333333,349.455,338.5466666666667,354.02750000000003,354.1333333333334,340.02333333333337,342.175,335.364,330.92,306.2033333333333,338.17,337.95666666666665,342.7366666666667,343.15333333333336,339.232,334.7633333333333,323.985,328.35833333333335,314.37666666666667,317.83714285714285,325.0183333333334,320.26666666666665,L8
2013-10-18 22:22:37+00:00,329.03,340.99,329.0366666666667,336.525,312.3825,345.21250000000003,346.0533333333333,338.05,356.788,349.53499999999997,334.625,338.578,334.6816666666667,330.245,310.02250000000004,336.85249999999996,336.295,341.0775,342.27,338.99,334.1725,324.21714285714285,328.42428571428576,315.48857142857145,318.19624999999996,326.5414285714286,320.255,L8
2013-12-30 22:16:01+00:00,327.82499999999993,347.5533333333333,329.74,337.52,310.5566666666666,340.6625,340.88666666666666,341.29333333333335,365.5933333333333,345.35,329.0525,342.14,343.3275,339.66,321.48,335.6875,333.76,339.38,340.77500000000003,338.305,332.49,325.27333333333337,330.8183333333333,317.696,321.75666666666666,329.54,319.695,L8
2014-02-23 22:21:32+00:00,327.82499999999993,349.78,333.96000000000004,343.575,310.5566666666666,334.7266666666667,340.88666666666666,349.09749999999997,365.5933333333333,340.90000000000003,327.28666666666663,336.63999999999993,339.78,338.9733333333333,321.48,341.9,332.91,346.09250000000003,344.2275,338.222,335.32499999999993,319.9725,327.278,319.79200000000003,321.304,330.32399999999996,321.9525,L8
2014-04-21 22:14:29+00:00,,348.145,342.6433333333334,347.9066666666667,335.61,342.05,344.515,352.53999999999996,356.36,339.56,314.41499999999996,322.21,344.22,341.83,344.98,347.3233333333333,342.6,355.4200000000001,349.2966666666667,347.2633333333333,338.4166666666667,326.485,333.1066666666667,332.28999999999996,329.93333333333334,336.0466666666667,322.0533333333333,L8
2014-05-30 22:20:22+00:00,330.56,339.8566666666666,337.6375,340.675,324.74666666666667,331.6666666666667,344.515,344.21999999999997,345.685,328.10999999999996,314.41499999999996,309.59000000000003,332.06666666666666,329.68,344.98,337.8825,342.6,355.4200000000001,349.2966666666667,347.2633333333333,326.47749999999996,326.485,327.5875,325.335,324.0875,330.85,322.0533333333333,L8
2014-07-17 22:20:39+00:00,330.56,336.0733333333333,336.27,339.33500000000004,318.45000000000005,326.43,359.27,341.755,333.1,322.03333333333336,322.83,297.82000000000005,324.27666666666664,321.72666666666663,344.98,323.6325,360.6,364.8900000000001,355.74,352.415,325.5433333333333,329.3,327.96,315.2075,319.4375,327.08,324.89,L8
2014-08-02 22:20:46+00:00,330.56,336.0733333333333,336.27,339.33500000000004,323.4125,330.585,354.98,344.038,333.1,327.9975,325.30499999999995,310.6,326.90999999999997,324.23249999999996,337.68,325.63800000000003,345.63,355.0133333333333,348.4266666666667,346.04333333333335,326.11,326.14,328.0075,316.056,319.608,328.876,322.79,L8
2014-08-11 22:14:39+00:00,330.56,336.0733333333333,336.27,339.33500000000004,323.4125,336.692,354.98,344.038,333.1,334.608,328.06,324.7225,326.90999999999997,330.308,341.55,330.3233333333333,343.5366666666667,351.57500000000005,347.845,344.53,327.986,328.1366666666667,328.78599999999994,317.3566666666666,321.74666666666667,331.55333333333334,323.3825,L8
2014-08-18 22:20:51+00:00,330.56,336.0733333333333,336.27,339.33500000000004,323.4125,336.692,354.98,344.038,333.1,334.608,328.06,324.7225,326.90999999999997,330.308,341.55,336.5814285714286,349.96000000000004,351.57500000000005,347.845,344.53,332.7266666666667,336.155,332.4316666666667,321.96,325.26142857142855,334.4057142857143,326.442,L8
2014-09-19 22:20:54+00:00,330.56,325.88,335.5375,331.86666666666673,328.728,340.08666666666664,358.57,341.14,333.1,338.1166666666667,329.61,334.024,328.858,330.9216666666667,341.68,332.90714285714284,346.428,343.605,342.40999999999997,340.3425,330.5566666666667,334.738,330.64666666666665,320.69428571428574,323.0171428571429,334.19,325.842,L8
2014-11-06 22:21:01+00:00,321.72,319.43,321.36,321.86,323.495,336.354,358.22,338.6325,327.17333333333335,334.996,320.3125,334.024,320.19399999999996,323.63000000000005,340.58,328.36857142857144,333.254,333.205,329.96500000000003,333.25,328.83000000000004,336.0975,330.2,316.9666666666667,317.94428571428574,331.1242857142857,322.294,L8
2015-02-10 22:20:38+00:00,312.88,316.43499999999995,320.75333333333333,,349.99,357.06,365.75,358.02,315.32,355.66,309.95,371.23,325.75499999999994,322.69500000000005,342.07,342.26,332.08666666666664,328.15,324.4933333333333,330.6333333333333,338.32,336.7033333333333,333.3933333333334,329.78,320.4875,332.555,314.02750000000003,L8
2015-04-15 22:20:10+00:00,320.65,316.92,303.1033333333333,,,,,,295.48,,280.2,,314.86,311.4,,315.07,294.73,319.27,318.765,325.475,324.77,320.83,320.26,303.755,306.365,319.78000000000003,296.43000000000006,L8
2015-06-11 22:13:52+00:00,328.42,322.115,320.05,337.77,335.49,341.54,349.9,347.87,275.64,332.78,290.155,,330.08,332.32,309.64,337.68,316.1,344.55,336.845,336.72,322.96,306.97,320.26,303.755,316.6,322.19,288.39,L8
2015-07-04 22:20:14+00:00,328.42,322.115,320.05,337.77,335.49,341.54,356.24,347.87,275.64,343.67499999999995,312.54333333333335,364.42,345.225,345.325,309.64,344.66499999999996,328.415,345.35,339.46666666666664,338.49,326.74666666666667,306.97,320.26,303.755,316.6,322.19,288.39,L8
2015-07-29 22:14:13+00:00,328.42,322.115,320.05,337.77,335.49,351.03,356.24,347.87,275.64,348.52,321.1,361.975,348.9766666666667,348.10999999999996,309.64,347.0,333.55,345.52,341.155,339.0825,329.10249999999996,314.42,325.155,310.57,322.08000000000004,329.48,305.08,L8
2015-10-08 22:20:48+00:00,328.42,317.89,318.32,337.77,335.49,351.03,356.24,347.87,275.64,348.52,321.1,361.975,358.94,358.365,309.64,357.4575,333.55,354.7075,352.6025,350.8275,339.9475,327.38000000000005,343.3,324.05333333333334,342.245,343.30499999999995,337.55499999999995,L8
2015-10-17 22:14:38+00:00,,,341.68,337.77,335.49,351.03,356.24,347.87,,348.52,336.5466666666667,361.975,358.94,358.365,309.64,357.4575,333.55,354.7075,352.6025,350.8275,346.044,327.38000000000005,343.3,340.23,342.245,343.30499999999995,337.55499999999995,L8
2015-10-24 22:20:52+00:00,,347.39,337.19,336.255,331.93,343.9666666666667,350.00666666666666,343.885,,346.15749999999997,329.2675,353.01,356.758,356.078,318.65999999999997,353.01599999999996,333.4875,351.764,349.87600000000003,348.338,343.80333333333334,326.92,337.2633333333333,333.6566666666667,334.77666666666664,338.1333333333333,330.6333333333333,L8
2016-03-16 22:20:36+00:00,,347.39,332.7,334.74,328.37,329.84,337.54,339.9,,339.07,307.43,335.08,368.42999999999995,368.03,327.68,362.03999999999996,333.3,361.13,363.94000000000005,362.76000000000005,357.37,347.49,346.1366666666667,344.3633333333333,340.79,341.93333333333334,334.1933333333333,L8
2016-04-26 22:14:08+00:00,340.11,340.15,330.81,333.6,327.49,335.42,339.86,335.76,,324.91,306.93,321.67,327.54,325.98,302.21,321.65,323.6,333.69,355.03499999999997,353.425,344.24,340.145,340.415,336.435,333.19,339.35,325.16499999999996,L8
2016-05-12 22:14:08+00:00,340.11,340.15,330.81,333.6,327.49,335.42,339.86,335.76,,324.91,306.93,321.67,327.54,325.98,302.21,321.65,323.6,333.69,355.03499999999997,353.425,344.24,345.76,344.8966666666667,336.435,340.44666666666666,344.10999999999996,332.3333333333333,L8
2016-06-04 22:20:28+00:00,326.435,329.155,330.81,333.6,327.49,335.42,339.86,335.76,,305.435,296.24,312.265,320.105,317.49,292.51,321.65,323.6,333.69,355.03499999999997,340.59999999999997,332.62,336.5025,335.13,325.01666666666665,331.9375,336.815,332.3333333333333,L8
2016-07-06 22:20:41+00:00,326.435,329.155,330.81,340.815,339.625,349.83000000000004,352.81,348.5,,305.435,296.24,328.24,332.9266666666667,317.49,292.51,327.855,328.54,335.49,348.18666666666667,339.52,331.46000000000004,334.13,332.826,323.5175,330.04200000000003,336.488,328.9125,L8
2016-07-31 22:14:37+00:00,326.435,329.155,336.9,340.5466666666667,339.46,347.37000000000006,351.71000000000004,347.2866666666667,,305.435,296.24,327.8275,332.475,324.68666666666667,292.51,330.1666666666667,330.05333333333334,336.46333333333337,345.015,338.69,330.402,332.4166666666667,330.9016666666667,322.664,328.315,335.71166666666664,326.142,L8
2016-11-27 22:21:07+00:00,315.46500000000003,315.20500000000004,327.81,332.75,329.5933333333333,338.81333333333333,357.63500000000005,340.5133333333333,319.05,287.79999999999995,279.56,321.65999999999997,326.625,324.03999999999996,282.81,334.425,333.28000000000003,337.85,334.995,328.8666666666667,312.7575,316.42,314.9,311.195,312.52250000000004,324.38750000000005,310.67,L8
2016-12-29 22:21:01+00:00,330.055,330.275,329.48333333333335,333.005,328.75,337.88,350.37999999999994,339.8925,340.155,312.34000000000003,295.005,329.0125,333.06,336.635,314.0,334.51,334.34999999999997,338.9766666666667,336.66,336.74,318.37,321.165,319.89250000000004,316.22999999999996,316.53,329.2525,312.6875,L8
2017-01-30 22:20:50+00:00,335.24333333333334,336.36333333333334,325.04,325.49666666666667,316.88,326.92,337.64,330.54333333333335,348.6333333333334,318.99,302.2,320.1066666666667,326.18333333333334,333.72,315.58000000000004,333.865,335.55,339.735,339.885,337.735,316.90666666666664,320.84999999999997,320.0133333333333,315.78,315.16333333333336,328.27666666666664,311.83,L8
2017-02-08 22:14:34+00:00,335.775,336.52750000000003,325.6425,326.56,318.58,327.835,336.44666666666666,331.5,351.03,321.0775,303.8325,320.775,327.31,333.33,312.48333333333335,333.04,334.15000000000003,338.98,337.8933333333334,336.6033333333333,319.0525,321.37,320.115,316.5275,315.765,328.895,312.065,L8
2017-04-20 22:20:11+00:00,335.775,336.52750000000003,325.6425,326.56,318.58,327.835,336.44666666666666,331.5,351.03,321.0775,303.8325,320.775,327.31,333.33,312.48333333333335,333.04,334.15000000000003,338.98,337.8933333333334,336.6033333333333,327.54799999999994,329.302,327.87,324.76599999999996,323.048,334.51,317.942,L8
2017-05-06 22:20:07+00:00,335.775,336.52750000000003,325.6425,326.56,318.58,327.835,336.44666666666666,331.5,351.03,321.0775,303.8325,320.775,327.31,333.33,312.48333333333335,333.04,334.15000000000003,338.98,337.8933333333334,336.6033333333333,327.54799999999994,329.302,327.87,331.335,329.50333333333333,334.51,323.97499999999997,L8
2017-07-02 22:14:23+00:00,341.49499999999995,342.7800000000001,328.55499999999995,333.1033333333333,333.78,335.09,341.20666666666665,338.68,363.0933333333334,330.45666666666665,313.56,323.74,329.79333333333335,328.21666666666664,309.10333333333335,331.96000000000004,331.77333333333337,336.00666666666666,335.77666666666664,335.3533333333333,336.28499999999997,333.905,332.0975,336.842,334.696,339.3575,328.782,L8
2017-07-09 22:20:35+00:00,333.74,335.10333333333335,324.4533333333333,333.1033333333333,333.78,335.09,341.20666666666665,338.68,363.0933333333334,330.45666666666665,313.56,315.7475,324.9975,324.0625,304.2825,326.79,331.77333333333337,336.00666666666666,335.77666666666664,335.3533333333333,326.464,328.418,326.978,331.1933333333333,329.7683333333333,334.22799999999995,317.52666666666664,L8
2017-08-03 22:14:35+00:00,327.8,328.385,321.84999999999997,333.4,350.9066666666667,334.66999999999996,353.7166666666667,338.94,361.8450000000001,329.53999999999996,312.0450000000001,310.64666666666665,321.33,321.0,299.99,324.7033333333333,330.355,334.89,345.18333333333334,334.5799999999999,325.23249999999996,328.9275,327.38250000000005,333.294,331.41999999999996,334.0775,317.342,L8
2017-09-27 22:21:00+00:00,320.765,317.875,311.20500000000004,337.05,364.52,338.76,363.545,343.51,365.47,331.74,315.36,304.58,316.65,315.225,296.84000000000003,321.36,329.36,332.31,338.1933333333333,326.985,321.565,325.36,324.3175,330.67600000000004,328.764,330.59000000000003,314.36,L8
2017-10-29 22:21:05+00:00,326.61,324.42333333333335,317.78000000000003,334.16499999999996,364.52,334.79999999999995,363.545,339.33500000000004,363.20500000000004,330.49,312.135,312.7733333333333,322.07666666666665,320.52000000000004,302.01,321.36,331.33000000000004,334.83000000000004,337.87,329.54333333333335,313.38,315.9975,315.4,323.024,322.02799999999996,323.76250000000005,307.5875,L8
2017-11-30 22:20:56+00:00,326.61,324.42333333333335,317.78000000000003,334.16499999999996,364.52,334.79999999999995,363.545,339.33500000000004,373.15333333333336,330.49,312.135,312.7733333333333,322.07666666666665,320.52000000000004,302.01,321.36,331.33000000000004,334.83000000000004,337.87,329.54333333333335,313.38,315.9975,315.4,312.73499999999996,312.09,323.76250000000005,292.07,L8
