dates,nzd0204-0000,nzd0204-0001,nzd0204-0002,nzd0204-0003,nzd0204-0004,nzd0204-0005,nzd0204-0006,nzd0204-0007,nzd0204-0008,nzd0204-0009,nzd0204-0010,nzd0204-0011,nzd0204-0012,nzd0204-0013,nzd0204-0014,nzd0204-0015,nzd0204-0016,nzd0204-0017,nzd0204-0018,nzd0204-0019,nzd0204-0020,nzd0204-0021,nzd0204-0022,nzd0204-0023,nzd0204-0024,nzd0204-0025,nzd0204-0026,nzd0204-0027,nzd0204-0028,nzd0204-0029,nzd0204-0030,nzd0204-0031,nzd0204-0032,nzd0204-0033,nzd0204-0034,nzd0204-0035,nzd0204-0036,nzd0204-0037,nzd0204-0038,nzd0204-0039,nzd0204-0040,nzd0204-0041,nzd0204-0042,nzd0204-0043,nzd0204-0044,nzd0204-0045,nzd0204-0046,nzd0204-0047,nzd0204-0048,nzd0204-0049,nzd0204-0050,nzd0204-0051,nzd0204-0052,nzd0204-0053,nzd0204-0054,nzd0204-0055,nzd0204-0056,nzd0204-0057,nzd0204-0058,nzd0204-0059,nzd0204-0060,nzd0204-0061,nzd0204-0062,nzd0204-0063,nzd0204-0064,nzd0204-0065,nzd0204-0066,nzd0204-0067,nzd0204-0068,nzd0204-0069,nzd0204-0070,nzd0204-0071,nzd0204-0072,nzd0204-0073,nzd0204-0074,nzd0204-0075,nzd0204-0076,nzd0204-0077,nzd0204-0078,nzd0204-0079,nzd0204-0080,nzd0204-0081,nzd0204-0082,nzd0204-0083,nzd0204-0084,nzd0204-0085,nzd0204-0086,nzd0204-0087,nzd0204-0088,nzd0204-0089,nzd0204-0090,nzd0204-0091,nzd0204-0092,nzd0204-0093,nzd0204-0094,nzd0204-0095,nzd0204-0096,nzd0204-0097,nzd0204-0098,nzd0204-0099,nzd0204-0100,nzd0204-0101,nzd0204-0102,nzd0204-0103,nzd0204-0104,nzd0204-0105,nzd0204-0106,nzd0204-0107,nzd0204-0108,nzd0204-0109,nzd0204-0110,nzd0204-0111,satname
1999-09-29 21:52:52+00:00,,,,,,,,,,,,,,,329.31,331.92,328.76,334.73,342.72,340.66,,,,,,,,316.68,,,,,,,,,,,,,,,,,372.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-01-10 21:58:52+00:00,,,235.46,,,194.22,,263.53,244.02,283.22,277.47,,294.54,291.32,312.78499999999997,320.925,315.805,323.925,332.975,320.865,,,,,,,,316.68,,,,,,,,,,252.81,231.69,,301.34,295.92,302.34,311.87,353.595,294.12,297.27,280.95,279.12,278.0,276.27,270.43,268.23,266.88,262.48,259.79,256.63,256.81,255.04,257.87,256.3,252.29,257.28,258.6,,,,,,,263.68,256.53,,,255.89,257.36,,260.83,256.35,260.74,259.82,252.64,253.62,249.89,261.42,265.32,259.9,258.75,255.56,249.62,,254.84,205.51,,248.88,247.96,,265.1,,275.6,275.77,281.74,281.53,,302.33,298.39,286.34,281.76,278.05,273.29,266.09,,L7
2000-02-20 21:52:29+00:00,,,235.46,,,194.22,,263.53,244.02,283.22,277.47,,294.54,291.32,312.78499999999997,320.925,315.805,323.925,332.975,320.865,,,,,,,,316.68,,,,,,,,,,252.81,231.69,,301.34,295.92,302.34,311.87,353.595,294.12,297.27,280.95,279.12,278.0,276.27,270.43,268.23,266.88,262.48,259.79,256.63,256.81,255.04,257.87,256.3,252.29,257.28,258.6,,,,,,,263.68,256.53,,,255.89,257.36,,260.83,256.35,260.74,259.82,252.64,253.62,249.89,261.42,265.32,259.9,258.75,255.56,249.62,,254.84,205.51,,248.88,247.96,,265.1,,275.6,275.77,281.74,281.53,,302.33,298.39,286.34,281.76,278.05,273.29,266.09,370.15,L7
2000-03-14 21:58:35+00:00,,,235.46,,,196.84,,250.70499999999998,238.57,273.66,270.64,,294.54,291.32,312.78499999999997,320.925,300.42333333333335,307.76666666666665,306.8666666666667,320.865,,,,,266.65,274.5,247.4,316.68,,,,,,,,,,254.195,243.065,,283.495,291.33000000000004,292.575,298.53,328.75333333333333,284.57,285.5,277.13,275.155,276.71000000000004,275.03999999999996,267.985,267.295,262.71000000000004,261.645,260.15999999999997,251.005,255.01,252.595,257.03999999999996,254.56,251.155,254.17499999999998,256.48,,260.47,,258.7,258.91,,261.295,254.77999999999997,252.41,,252.755,253.95,250.27,249.125,253.485,258.025,254.385,252.70499999999998,249.685,247.77999999999997,259.57000000000005,264.54999999999995,258.54999999999995,255.025,248.075,244.75,,247.44,200.22,,246.43,241.36,,263.275,,272.05,265.16999999999996,279.08000000000004,275.14,,297.41499999999996,291.595,282.80499999999995,278.245,268.815,271.49,260.655,370.15,L7
2000-03-30 21:58:33+00:00,,299.04,249.04000000000002,258.51,289.46,222.55333333333337,,250.70499999999998,238.57,273.66,270.64,,294.54,291.32,310.265,321.28499999999997,294.02333333333337,294.28499999999997,284.50333333333333,304.27,301.21,304.74,,,266.65,274.5,247.4,321.14,,,,,,348.11,,,,254.195,243.065,,283.495,301.72333333333336,292.575,298.53,306.67499999999995,284.57,293.2033333333333,277.13,275.155,276.71000000000004,275.03999999999996,267.985,282.09999999999997,262.71000000000004,261.645,260.15999999999997,251.005,255.01,252.595,257.03999999999996,254.56,251.155,254.17499999999998,256.48,,260.47,,258.7,258.91,,261.295,254.77999999999997,252.41,,252.755,253.95,250.27,264.87333333333333,253.485,258.025,254.385,252.70499999999998,249.685,247.77999999999997,259.57000000000005,264.54999999999995,258.54999999999995,255.025,248.075,244.75,,247.44,200.22,,246.43,241.36,,263.275,,272.05,265.16999999999996,279.08000000000004,275.14,,297.41499999999996,291.595,282.80499999999995,278.245,268.815,271.49,260.655,378.28999999999996,L7
2000-05-26 21:51:48+00:00,,280.605,259.44666666666666,249.76999999999998,273.705,232.34,270.07,259.35999999999996,250.23333333333335,277.8966666666667,275.37,284.82,287.28499999999997,290.39,302.3833333333333,312.1166666666666,294.15,302.99,290.8975,301.47,315.32,304.74,322.21,325.53,276.15999999999997,282.865,244.69,310.79499999999996,254.0,275.08,276.95,297.97,,348.11,288.95,295.25,280.45,264.46999999999997,251.42999999999998,298.9,291.84666666666664,299.9625,291.3533333333333,296.42,302.33,285.3833333333333,289.685,279.43666666666667,280.47333333333336,278.4666666666667,275.6166666666666,269.57,281.99,264.69,265.18333333333334,263.4066666666667,255.35666666666665,258.29,254.9766666666667,257.9866666666667,256.26,253.5566666666667,256.5833333333333,257.18666666666667,265.9,266.59000000000003,270.48,263.59000000000003,263.935,269.96,262.3433333333333,257.84666666666664,259.045,259.22,252.85,254.24666666666667,254.055,263.79,256.3966666666667,260.0133333333333,259.48333333333335,256.44666666666666,250.79999999999998,250.56666666666663,260.26,267.0933333333333,261.91333333333336,259.49,254.86666666666667,252.09666666666666,269.49,252.91333333333333,221.8066666666667,266.28,251.99333333333334,250.73666666666668,,267.8566666666666,273.41,275.26666666666665,269.18666666666667,282.3666666666667,278.64,299.89,300.49666666666667,295.00333333333333,286.8533333333333,278.245,268.815,271.49,260.655,367.94666666666666,L7
2000-08-05 21:57:08+00:00,,271.95666666666665,268.8233333333333,243.97333333333333,256.79333333333335,239.39249999999998,257.94,265.8866666666667,255.5333333333334,283.8333333333333,274.33,285.40999999999997,279.02,290.395,294.6033333333333,305.3533333333333,291.24999999999994,297.925,283.88,288.6333333333334,308.14,296.74,308.155,314.69,282.2833333333333,282.72,240.74333333333334,285.87333333333333,251.075,274.72,278.23,305.23,,328.245,292.135,311.21500000000003,283.005,268.95,261.29999999999995,287.5,294.49333333333334,299.885,286.4466666666667,290.24333333333334,287.44666666666666,279.97666666666663,284.0725,280.6566666666667,279.7133333333333,278.11,275.43666666666667,270.00333333333333,284.685,265.88,276.4066666666667,266.40333333333336,256.43666666666667,268.12999999999994,261.71000000000004,260.6766666666667,263.83,258.4566666666667,264.74,262.57666666666665,268.075,267.98333333333335,275.89,267.1766666666667,269.5566666666667,283.52,265.8666666666666,259.83,260.78,260.855,252.14666666666668,252.41,254.5633333333333,262.81000000000006,255.47333333333336,260.72333333333336,259.46333333333337,260.3566666666667,251.27666666666667,250.75666666666666,259.51,266.46333333333337,261.35999999999996,259.0733333333333,251.62333333333333,252.87666666666667,261.05,254.67,238.9333333333333,263.965,252.5,255.4433333333333,,271.5333333333333,266.685,273.70666666666665,268.1766666666667,283.67333333333335,280.5466666666667,296.03499999999997,300.71000000000004,297.15333333333336,289.01666666666665,277.635,271.625,275.37,259.65999999999997,342.9875,L7
2000-09-15 21:50:25+00:00,,271.95666666666665,268.8233333333333,243.97333333333333,256.79333333333335,252.7033333333333,257.94,279.89000000000004,266.74000000000007,293.7,279.59000000000003,285.40999999999997,279.02,290.395,294.6033333333333,313.8925,314.43333333333334,320.4,306.7825,303.58250000000004,308.14,296.74,308.155,314.69,290.09999999999997,286.83000000000004,237.41500000000002,285.87333333333333,251.075,296.2733333333333,278.23,305.23,,328.245,308.84999999999997,323.82666666666665,283.005,275.635,268.16,287.5,308.91499999999996,304.26666666666665,288.26500000000004,292.77,291.635,282.455,287.52,284.33000000000004,283.975,279.45500000000004,276.25,272.235,290.79333333333335,269.54999999999995,284.20500000000004,269.34000000000003,261.965,275.59,267.49,262.90999999999997,287.15333333333336,262.67500000000007,291.12,266.685,268.075,271.74,275.89,271.41499999999996,274.88,283.52,269.34499999999997,263.23,264.965,260.855,253.41000000000003,253.34500000000003,278.58666666666664,287.2425,286.2033333333333,263.43000000000006,264.72,264.15000000000003,254.04000000000002,253.3,260.405,267.80500000000006,263.43999999999994,262.96000000000004,257.14,259.375,261.05,261.985,260.93499999999995,263.965,256.76,265.78499999999997,,276.57499999999993,266.685,276.31,274.98,287.29999999999995,286.445,296.03499999999997,304.81500000000005,303.33000000000004,293.89,280.54,283.67,281.05,264.1,333.93333333333334,L7
2000-10-17 21:50:01+00:00,,258.41499999999996,271.925,236.70499999999998,240.46,242.06499999999997,257.94,279.89000000000004,266.74000000000007,293.7,279.59000000000003,285.40999999999997,279.02,290.395,279.77,307.6433333333334,316.86999999999995,320.4,321.7875,311.255,322.15000000000003,288.74,308.155,314.69,290.09999999999997,286.83000000000004,237.41500000000002,268.24,251.075,306.085,278.23,320.17,,326.235,317.085,329.155,304.18333333333334,275.635,268.16,287.5,321.79999999999995,314.3233333333333,288.26500000000004,292.77,291.635,282.455,276.97499999999997,302.2633333333333,283.975,279.45500000000004,276.25,272.235,280.33500000000004,269.54999999999995,284.20500000000004,269.34000000000003,261.965,288.6166666666667,282.95666666666665,281.06,294.3125,262.67500000000007,298.4125,266.685,287.1433333333333,271.74,292.0933333333333,289.4066666666667,287.28999999999996,293.63666666666666,269.34499999999997,282.6666666666667,264.965,280.9533333333333,272.4066666666667,274.58,287.315,292.83500000000004,294.4775,285.74666666666667,287.18333333333334,285.36,254.04000000000002,253.3,260.405,267.80500000000006,263.43999999999994,262.96000000000004,257.14,259.375,261.05,261.985,260.93499999999995,263.965,256.76,265.78499999999997,,276.57499999999993,266.685,276.31,274.98,287.29999999999995,286.445,296.03499999999997,304.81500000000005,303.33000000000004,293.89,280.54,283.67,281.05,264.1,307.68500000000006,L7
2001-01-05 21:50:16+00:00,,254.66,263.59,232.38,222.97,222.43,245.81,283.11,259.92,301.03,274.35,286.0,278.01,291.33,272.92,314.57500000000005,339.21,332.89,325.69000000000005,321.5825,325.9633333333333,288.74,294.1,303.85,294.53,282.43,232.85,236.03,248.15,316.42,279.51,331.27,,326.235,331.28,340.905,323.2366666666667,266.25,,276.1,328.42499999999995,332.2733333333333,287.62,293.34,289.63,277.9,274.82,311.37,276.84,276.93,275.73,271.73,279.01,270.45,296.15,268.78,259.87,300.5,292.26,290.00333333333333,300.3825,278.735,304.86,271.385,297.2733333333333,283.265,298.45666666666665,299.87,296.455,305.475,303.75,292.01,264.25,303.92333333333335,297.7,284.45,297.14,303.6000000000001,305.23,296.625,295.93499999999995,296.075,255.05,250.46,259.17,263.43,258.24,257.5,245.83,251.96,252.61,260.11,298.78999999999996,261.65,250.4,262.08,,276.13,259.96,270.92,272.74,285.66,287.25,292.18,302.97,304.84,292.83,280.54,283.67,281.05,264.1,268.11,L7
