dates,satname,nzd0204-0000,nzd0204-0001,nzd0204-0002,nzd0204-0003,nzd0204-0004,nzd0204-0005,nzd0204-0006,nzd0204-0007,nzd0204-0008,nzd0204-0009,nzd0204-0010,nzd0204-0011,nzd0204-0012,nzd0204-0013,nzd0204-0014,nzd0204-0015,nzd0204-0016,nzd0204-0017,nzd0204-0018,nzd0204-0019,nzd0204-0020,nzd0204-0021,nzd0204-0022,nzd0204-0023,nzd0204-0024,nzd0204-0025,nzd0204-0026,nzd0204-0027,nzd0204-0028,nzd0204-0029,nzd0204-0030,nzd0204-0031,nzd0204-0032,nzd0204-0033,nzd0204-0034,nzd0204-0035,nzd0204-0036,nzd0204-0037,nzd0204-0038,nzd0204-0039,nzd0204-0040,nzd0204-0041,nzd0204-0042,nzd0204-0043,nzd0204-0044,nzd0204-0045,nzd0204-0046,nzd0204-0047,nzd0204-0048,nzd0204-0049,nzd0204-0050,nzd0204-0051,nzd0204-0052,nzd0204-0053,nzd0204-0054,nzd0204-0055,nzd0204-0056,nzd0204-0057,nzd0204-0058,nzd0204-0059,nzd0204-0060,nzd0204-0061,nzd0204-0062,nzd0204-0063,nzd0204-0064,nzd0204-0065,nzd0204-0066,nzd0204-0067,nzd0204-0068,nzd0204-0069,nzd0204-0070,nzd0204-0071,nzd0204-0072,nzd0204-0073,nzd0204-0074,nzd0204-0075,nzd0204-0076,nzd0204-0077,nzd0204-0078,nzd0204-0079,nzd0204-0080,nzd0204-0081,nzd0204-0082,nzd0204-0083,nzd0204-0084,nzd0204-0085,nzd0204-0086,nzd0204-0087,nzd0204-0088,nzd0204-0089,nzd0204-0090,nzd0204-0091,nzd0204-0092,nzd0204-0093,nzd0204-0094,nzd0204-0095,nzd0204-0096,nzd0204-0097,nzd0204-0098,nzd0204-0099,nzd0204-0100,nzd0204-0101,nzd0204-0102,nzd0204-0103,nzd0204-0104,nzd0204-0105,nzd0204-0106,nzd0204-0107,nzd0204-0108,nzd0204-0109,nzd0204-0110,nzd0204-0111
2000-05-17 21:58:07.485000,L7,,217.50,233.80,244.71,302.41,420.63,506.23,549.39,464.34,367.82,320.27,298.89,286.42,287.53,278.69,317.82,296.97,306.89,302.87,269.96,300.04,328.47,314.30,327.12,320.85,310.41,237.62,251.10,241.32,272.40,286.72,305.26,337.63,520.80,505.37,311.25,470.26,309.31,231.53,288.90,300.75,294.83,290.09,292.13,311.46,303.58,276.42,285.77,283.28,282.55,278.73,275.07,280.37,271.43,274.18,272.30,260.49,263.49,261.37,260.03,257.54,261.49,259.16,257.82,261.23,267.42,272.91,267.44,268.78,270.39,263.89,263.24,260.48,259.46,255.85,256.47,260.86,260.57,257.25,261.66,266.49,260.91,255.23,254.84,265.88,269.83,324.31,333.67,333.37,334.76,274.97,241.19,178.24,,,,223.74,278.65,285.51,282.67,278.50,291.68,358.99,365.57,359.87,380.52,300.89,254.68,218.34,215.04,,
2000-05-26 21:51:48.668000,L7,358.78,262.17,280.26,241.03,257.95,261.70,270.07,516.76,273.56,286.37,284.83,284.82,280.03,289.46,422.17,414.30,481.30,320.40,310.08,295.87,329.43,352.24,322.21,325.53,285.67,291.23,241.98,300.45,254.00,275.08,276.95,297.97,506.75,403.57,288.95,295.25,280.45,285.02,268.16,298.90,308.55,294.68,288.91,292.20,293.64,287.01,279.13,284.05,291.11,281.98,276.77,272.74,281.66,268.65,272.26,269.90,264.06,264.85,259.74,259.88,259.66,258.36,261.40,258.60,265.90,272.71,270.48,268.48,268.96,269.96,264.44,263.98,265.68,259.22,253.04,319.83,294.23,316.02,321.24,263.99,269.68,263.93,253.03,317.86,328.09,332.36,330.08,327.23,328.47,332.76,333.34,333.68,326.44,266.28,263.12,269.49,266.09,277.02,356.84,342.08,373.50,353.46,378.74,375.93,368.10,391.71,377.91,391.21,366.45,359.85,352.43,347.26
2000-08-05 21:57:08.715000,L7,256.67,253.36,257.97,208.30,221.33,221.10,243.94,280.43,258.49,294.80,272.60,284.37,276.53,289.57,267.06,287.87,495.63,360.10,294.41,261.02,293.40,288.36,292.22,303.03,278.39,280.78,231.81,234.77,245.23,273.36,278.32,311.75,297.52,307.40,294.03,326.88,284.61,264.59,211.77,274.72,307.70,294.26,286.10,291.41,288.09,276.52,273.06,282.15,275.32,275.29,274.20,270.47,277.20,269.44,293.98,267.21,258.33,285.15,271.79,264.61,277.99,265.21,267.10,270.42,268.78,269.68,275.41,272.58,278.76,294.11,268.02,261.33,262.53,261.29,252.54,250.53,254.48,256.14,252.34,262.03,257.88,262.83,253.33,248.84,258.73,262.83,255.21,256.47,244.29,250.22,250.81,258.69,254.32,259.65,242.79,260.60,189.05,275.52,216.39,269.53,271.08,284.27,286.40,291.46,301.78,303.90,291.03,278.23,282.07,279.72,263.59,267.81
2000-08-14 21:50:56.232000,L7,467.11,395.22,383.40,363.04,370.72,361.91,390.24,354.51,358.53,365.28,367.00,354.03,361.44,349.86,372.68,371.40,381.88,367.32,378.10,382.14,356.72,368.19,360.63,388.01,399.58,371.82,398.91,389.94,380.04,391.36,368.43,390.04,370.18,362.79,367.35,363.51,377.00,372.94,399.89,406.12,396.22,386.84,385.64,381.43,395.09,377.22,375.26,398.07,385.68,383.97,385.01,381.99,388.23,380.84,376.28,378.49,362.75,384.47,385.14,343.52,349.61,350.92,353.14,357.42,375.75,363.26,360.00,367.04,341.67,357.77,371.58,370.92,350.95,358.83,348.28,351.38,352.53,365.88,382.96,382.62,363.40,346.86,359.94,359.41,397.14,355.95,366.17,384.28,379.41,380.38,370.13,378.79,386.14,382.37,383.39,391.88,393.77,394.48,412.51,401.40,412.89,439.58,427.12,442.45,440.72,454.31,449.84,399.79,393.31,382.11,389.01,384.32
2000-09-15 21:50:25.712000,L7,452.00,363.39,342.84,346.18,349.16,344.17,347.92,350.39,344.90,342.86,338.50,343.85,339.05,336.09,338.98,339.51,339.21,355.50,346.26,348.43,354.43,352.32,352.67,354.37,367.20,355.04,348.63,350.45,350.19,339.38,381.61,376.25,360.34,352.99,342.28,349.05,348.91,345.92,368.57,364.43,364.23,368.19,369.39,372.36,355.94,355.75,349.35,351.32,357.10,356.76,355.59,358.17,352.96,358.56,359.62,372.02,385.24,378.68,366.63,334.64,322.79,330.30,330.21,330.98,337.22,360.03,378.82,351.19,344.63,338.21,337.69,334.38,338.14,355.72,342.59,324.33,322.34,335.15,342.81,351.93,357.17,349.56,346.94,344.32,353.10,365.28,364.64,373.66,361.36,350.99,372.01,350.60,359.87,361.09,346.34,374.83,370.11,402.30,372.96,431.68,412.12,401.91,390.23,434.72,427.29,414.19,436.24,426.49,412.90,410.08,369.25,376.72
2000-09-22 21:56:29.431000,L7,,,,,,270.18,241.79,195.85,,,,191.50,259.99,283.71,283.49,523.75,,477.21,435.24,460.18,,431.64,363.32,367.03,366.94,,553.11,236.80,197.04,440.59,508.24,499.55,469.03,420.20,382.45,430.52,426.75,316.22,261.11,306.39,332.47,461.53,526.85,357.93,515.55,434.42,398.89,319.76,314.75,332.66,329.34,336.43,327.65,324.58,352.42,359.25,357.64,397.17,316.21,321.74,326.62,353.40,347.16,358.61,352.93,368.34,380.66,357.25,372.57,387.27,354.02,338.57,326.44,285.78,283.07,293.36,309.45,456.16,461.38,303.01,421.51,425.78,390.37,270.63,310.99,321.50,318.24,316.83,307.45,302.48,291.24,298.71,308.99,329.18,307.33,265.87,358.17,385.98,353.96,370.02,373.54,413.28,446.12,425.23,406.65,405.72,404.77,541.13,256.44,313.87,281.71,290.34
2000-10-17 21:50:01.277000,L7,,,,,,459.97,515.08,526.47,336.69,352.25,368.23,359.10,379.27,420.80,348.44,338.62,343.92,340.01,335.65,338.16,343.24,349.89,348.32,346.05,370.19,353.25,363.67,352.27,345.98,335.52,350.78,350.05,354.02,344.09,341.79,345.14,346.54,345.50,329.89,360.20,347.57,352.68,353.03,355.94,366.76,366.14,345.67,338.13,348.09,352.37,351.64,351.71,351.26,359.40,357.33,338.12,321.16,314.67,313.89,317.36,315.79,324.80,320.29,319.79,325.28,337.93,324.50,325.39,312.11,313.87,327.39,321.54,313.73,321.15,310.40,317.05,313.50,318.74,319.30,330.38,332.11,327.78,330.28,339.37,351.09,363.47,359.87,344.01,354.68,349.49,349.37,337.33,343.89,342.85,331.91,346.84,365.86,376.34,366.25,358.12,370.60,394.96,389.20,387.67,410.51,410.86,395.94,395.72,394.40,512.37,500.11,
2000-11-09 21:56:21.390000,L7,481.50,334.28,313.11,295.12,308.99,267.25,282.05,285.86,283.94,296.76,294.00,293.53,298.40,300.37,306.37,313.77,328.21,327.99,324.74,328.20,330.41,328.43,328.69,325.05,323.15,321.55,274.52,282.80,284.55,303.16,314.89,332.47,329.73,325.00,325.30,326.32,310.63,300.65,277.00,307.89,327.02,319.95,318.03,317.36,328.50,317.74,314.26,312.51,320.50,310.93,308.80,313.02,309.50,310.85,310.21,305.65,305.61,295.99,290.95,291.96,297.79,527.66,526.18,516.77,504.84,533.04,517.18,297.35,294.64,290.23,292.63,293.26,307.30,291.16,280.57,283.86,291.83,309.30,317.44,315.09,314.30,309.90,302.15,302.95,316.82,323.38,334.22,318.19,316.82,309.01,309.46,316.30,338.19,358.70,347.36,344.28,355.81,352.97,386.54,352.99,366.61,368.38,442.85,463.17,473.37,429.57,417.70,442.64,480.24,359.99,379.00,387.56
2000-12-20 21:50:16.996000,L7,203.77,361.07,417.44,398.87,424.79,424.47,312.00,317.00,268.84,310.13,294.01,315.98,292.78,314.58,312.38,315.95,317.03,316.75,318.26,315.56,328.15,335.29,334.35,333.98,322.58,322.19,308.31,309.65,313.70,322.17,323.36,335.52,327.98,329.57,330.75,326.58,324.55,318.57,306.47,322.05,334.84,334.51,336.89,334.90,333.63,324.73,317.51,326.45,324.46,324.64,325.41,330.19,333.25,327.41,314.92,306.01,305.92,306.38,310.36,310.50,314.76,314.30,321.30,316.09,311.39,318.69,308.55,338.88,288.77,286.80,276.63,276.49,278.54,277.00,287.35,302.35,316.81,315.14,312.89,321.42,322.86,319.71,307.80,315.18,339.11,342.85,269.83,283.03,303.57,233.94,208.16,,531.50,519.55,342.82,343.01,378.03,246.86,446.64,441.45,536.23,453.15,,,,,464.58,375.18,357.43,328.92,332.31,327.48
2001-01-05 21:50:16.585000,L7,,452.58,415.07,431.11,441.70,449.39,441.58,434.12,417.03,415.21,409.74,432.22,468.86,403.83,419.60,438.22,438.90,439.08,424.61,432.21,436.33,447.94,418.92,404.42,419.71,432.32,438.07,425.13,435.47,423.06,447.31,436.81,433.10,450.58,423.45,403.99,425.28,441.84,444.68,452.82,490.86,432.26,431.34,438.85,430.49,425.86,429.23,445.82,484.97,488.48,482.92,429.70,458.14,454.29,399.01,403.42,399.14,401.96,403.56,395.91,391.23,390.12,454.37,400.46,499.96,485.77,385.39,388.58,386.38,381.42,438.35,411.48,418.51,440.94,449.57,442.15,440.89,386.83,440.25,420.75,422.14,417.89,408.55,434.48,456.03,501.92,434.22,430.51,436.51,430.43,438.58,444.45,470.96,432.63,426.71,434.59,425.74,440.49,498.64,457.28,493.82,495.40,485.79,469.45,466.21,433.70,447.26,441.08,433.63,419.31,388.02,391.15
