dates,satname,nzd0211-0000,nzd0211-0001,nzd0211-0002,nzd0211-0003,nzd0211-0004,nzd0211-0005,nzd0211-0006,nzd0211-0007,nzd0211-0008,nzd0211-0009,nzd0211-0010,nzd0211-0011,nzd0211-0012,nzd0211-0013,nzd0211-0014,nzd0211-0015,nzd0211-0016,nzd0211-0017,nzd0211-0018,nzd0211-0019,nzd0211-0020,nzd0211-0021,nzd0211-0022,nzd0211-0023,nzd0211-0024,nzd0211-0025,nzd0211-0026,nzd0211-0027,nzd0211-0028,nzd0211-0029,nzd0211-0030,nzd0211-0031,nzd0211-0037,nzd0211-0038,nzd0211-0039,nzd0211-0040,nzd0211-0041,nzd0211-0042,nzd0211-0043,nzd0211-0044,nzd0211-0045,nzd0211-0046,nzd0211-0052,nzd0211-0053,nzd0211-0054,nzd0211-0055,nzd0211-0056,nzd0211-0057,nzd0211-0058,nzd0211-0059,nzd0211-0068,nzd0211-0069,nzd0211-0070,nzd0211-0071,nzd0211-0072,nzd0211-0073,nzd0211-0074,nzd0211-0075,nzd0211-0076,nzd0211-0077,nzd0211-0078,nzd0211-0047,nzd0211-0048,nzd0211-0060,nzd0211-0062,nzd0211-0063,nzd0211-0064,nzd0211-0065,nzd0211-0066,nzd0211-0067,nzd0211-0032,nzd0211-0061,nzd0211-0049,nzd0211-0050,nzd0211-0051,nzd0211-0033,nzd0211-0034,nzd0211-0035,nzd0211-0036
2001-04-04 21:43:43.008000,L7,366.95,353.55,337.32,337.17,324.43,332.63,338.25,346.34,350.44,348.16,350.63,349.72,352.36,355.76,358.79,360.34,366.22,362.40,360.90,349.98,349.49,344.78,344.58,346.62,334.61,322.53,313.02,252.52,250.98,259.04,260.73,259.93,336.01,360.91,351.18,354.07,369.49,360.75,361.41,360.62,359.95,362.09,,398.61,397.00,403.82,398.86,404.63,388.36,391.42,,391.81,380.92,388.52,362.81,369.58,361.10,355.91,363.45,333.90,314.89,364.69,,410.46,402.57,404.46,395.80,,,,246.10,406.33,,,,,,,
2001-04-20 21:43:46.702000,L7,321.04,334.16,330.12,318.75,329.95,318.99,321.89,335.83,336.07,342.39,344.56,335.96,342.38,342.72,351.78,349.56,366.12,356.09,351.64,334.17,337.80,339.22,336.14,,330.98,232.71,239.81,247.98,253.15,254.08,258.09,255.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.55,,,,,,,,
2001-05-22 21:43:30.869000,L7,,,,,,,,,,,,,,,,,,,,,,,,278.78,285.95,286.29,342.20,241.17,245.50,255.63,261.81,258.02,,,,,,,,,,,,,,,,,,,400.05,389.56,383.70,378.75,375.40,366.72,365.41,363.36,376.78,351.89,323.16,,,,,,,,,,,,,,,,,,
2001-07-25 21:42:54.824000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.12,355.33,360.77,365.50,384.95,385.15,394.26,394.79,388.26,391.05,396.18,378.31,383.96,392.35,373.82,368.21,374.60,364.11,357.37,349.19,359.54,348.68,357.00,325.49,306.56,388.83,387.42,406.57,399.23,402.78,389.95,391.22,391.57,380.37,,405.50,385.51,382.11,365.54,,,,
2001-08-10 21:42:36.562000,L7,258.58,259.20,253.76,248.68,255.13,263.30,260.97,273.69,248.73,274.91,281.99,292.43,269.83,286.03,292.40,295.12,274.77,292.54,310.06,261.41,257.58,283.17,,,,,,,,,,,,,,298.20,316.14,297.82,316.73,296.41,,287.62,332.11,318.13,292.62,,,,,,370.07,362.34,363.25,357.58,345.98,348.20,339.55,333.74,333.27,302.89,,309.45,310.67,,,,390.58,383.09,373.96,374.25,,,312.89,313.37,328.25,,,,
2001-08-26 21:42:25.671000,L7,307.29,307.22,297.74,293.08,288.17,295.69,303.98,305.75,314.72,311.26,320.21,322.69,321.93,320.13,319.12,326.81,310.73,330.95,333.64,310.23,312.87,319.71,250.53,,,,,,,,,,,337.11,338.62,339.52,337.39,338.39,369.04,369.00,372.51,347.89,351.20,350.86,353.34,361.40,394.61,369.97,366.16,373.25,389.85,370.18,366.21,369.80,370.95,348.68,347.12,341.60,349.21,321.73,301.17,351.69,385.03,382.08,379.94,398.84,388.47,393.09,387.45,383.41,,376.14,384.19,357.00,352.55,,,,
2001-09-11 21:42:14.303000,L7,,,,,331.35,259.15,,,,,,,,,,349.13,323.62,349.08,352.76,318.38,301.31,295.06,263.60,,,,,,,,,,284.85,321.84,326.61,323.92,331.24,335.87,340.04,341.14,342.74,342.56,374.79,364.03,355.27,355.40,351.97,351.71,359.61,351.20,349.71,,,,,,,,,,,347.00,344.57,394.68,372.70,352.33,355.23,358.13,365.69,367.33,,374.94,350.28,348.23,355.11,,,,
2001-09-27 21:42:05.338000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.20,266.10,261.43,259.47,255.62,,,,,,,,,,,,,,,,,,,,,383.47,379.03,368.10,378.12,371.26,360.67,375.21,341.49,323.49,,,,,,,,,,247.64,,,,,262.30,,,
2001-10-13 21:41:51.963000,L7,352.68,354.44,344.69,336.39,332.09,331.29,333.73,335.42,340.37,344.92,342.17,340.23,345.01,343.05,349.08,356.93,353.59,359.62,357.55,353.52,346.98,346.57,346.55,350.40,334.20,225.76,232.20,248.74,248.79,258.42,253.60,255.33,,,,,,,,,387.44,365.19,380.90,386.26,379.03,378.49,381.13,384.29,378.22,347.16,371.39,370.83,369.61,369.81,361.30,355.63,353.10,348.70,360.42,329.67,311.58,366.67,366.63,379.63,394.42,394.12,386.86,371.13,368.07,380.31,241.28,395.00,368.80,371.34,368.84,,,,
2001-10-29 21:41:57.341000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,269.02,323.63,248.54,249.85,255.15,260.44,259.17,,,,,,,,,,,,,,,,,,,390.41,385.62,380.19,376.78,362.56,366.74,366.56,382.77,375.19,342.61,322.13,,,,,,,,391.87,393.17,248.62,,,,,251.70,,,
