dates,nzd0420-0000,nzd0420-0001,nzd0420-0002,nzd0420-0003,nzd0420-0004,nzd0420-0005,nzd0420-0006,nzd0420-0007,nzd0420-0008,nzd0420-0009,nzd0420-0010,nzd0420-0011,nzd0420-0012
2005-08-27 21:55:43+00:00,276.95,288.17,286.71000000000004,292.09666666666664,275.63666666666666,230.73166666666668,243.23333333333335,249.89000000000001,,,,243.948,186.79666666666665
2006-01-25 22:03:52+00:00,276.95,283.395,283.65999999999997,284.17999999999995,263.6,226.85,253.57,,,,,260.27,
2006-02-19 21:58:15+00:00,276.95,292.27,288.2133333333333,287.1166666666666,264.4766666666667,230.13666666666666,250.93,,,,,259.625,
2006-02-26 22:04:34+00:00,,307.54999999999995,299.12333333333333,296.68666666666667,271.26,240.51,256.69666666666666,254.07,,,,264.49,
2006-05-17 22:05:57+00:00,,307.54999999999995,299.12333333333333,296.68666666666667,271.26,240.51,256.69666666666666,254.07,,307.55,308.13,252.0275,168.94
2006-06-27 22:00:24+00:00,,307.54999999999995,299.12333333333333,296.68666666666667,271.26,240.51,256.69666666666666,254.07,,307.55,308.13,247.13000000000002,169.155
2006-09-06 22:07:31+00:00,,304.03,304.46,305.74,294.42,255.24,,216.06,315.84,307.55,308.13,223.5633333333333,180.50666666666666
2008-02-16 22:04:21+00:00,,,297.25,297.7,275.27,243.56,270.72,,,,,271.17,
2008-02-25 21:58:00+00:00,303.78,291.4,291.07,282.76,255.73499999999999,232.85,270.72,,283.16,307.32,293.79,271.17,
2008-12-25 21:52:09+00:00,,,290.65,285.96,269.07,237.75,257.22,,,,,272.06,301.4
2010-01-29 21:58:29+00:00,327.27,311.24,296.92,294.02,272.82,241.44,252.84,190.47,,,,271.15,303.18
2010-12-22 22:03:41+00:00,,,305.26,307.22,281.58,240.9,228.3,,,,,258.21,285.14
2011-01-23 22:03:44+00:00,,,301.4,301.93,282.765,241.89499999999998,233.36,182.65,311.2,,309.97,257.26,285.03999999999996
2011-02-17 21:57:36+00:00,292.56,280.71,290.86333333333334,286.42,282.765,241.89499999999998,233.36,182.65,311.2,,309.97,257.26,285.03999999999996
2011-03-12 22:03:43+00:00,295.325,281.87,287.0425,282.47249999999997,270.67,235.13,233.36,182.65,311.2,312.3,301.225,257.26,285.03999999999996
2011-09-13 21:56:09+00:00,,,298.03,294.3,279.58,242.66,253.22,209.89,,,,233.88,288.96
2013-05-29 22:09:41+00:00,,,,,297.64,234.31,,,306.88,312.85,314.46,231.81,
2013-06-05 22:15:51+00:00,,,,,297.64,234.31,,,306.88,312.85,304.185,222.935,
2013-06-30 22:09:35+00:00,,,,,301.66999999999996,235.525,289.51,,295.1,312.85,304.185,225.9766666666667,
2013-07-07 22:15:47+00:00,,,,,300.3566666666666,236.12333333333333,289.51,,295.27666666666664,312.85,304.185,226.7625,
2013-09-25 22:15:41+00:00,,294.68,296.25,292.2,299.335,236.12333333333333,296.745,,298.7975,313.615,305.51,236.544,291.93
2013-10-11 22:15:41+00:00,296.67,288.675,287.83000000000004,287.79499999999996,285.508,235.335,273.28333333333336,,297.868,309.05333333333334,301.97,238.08,282.655
2013-10-27 22:15:31+00:00,297.145,285.4533333333333,287.83000000000004,280.3666666666666,277.12,231.86999999999998,273.28333333333336,,295.5316666666667,306.1325,301.97,238.20857142857145,272.77
2013-12-14 22:15:21+00:00,298.04333333333335,284.05,283.45666666666665,279.395,267.5516666666667,227.9,261.47,222.61,293.17333333333335,302.54,295.00333333333333,244.31800000000004,272.77
2014-01-24 22:08:45+00:00,296.3125,277.77799999999996,268.2675,279.395,250.47000000000003,221.8133333333333,252.12333333333336,222.61,295.02250000000004,300.51,295.00333333333333,253.47000000000003,272.77
2014-02-25 22:08:20+00:00,297.752,278.9483333333333,263.732,278.828,250.47000000000003,221.8133333333333,252.12333333333336,222.61,295.58000000000004,300.9116666666667,292.9475,253.47000000000003,272.77
2014-04-30 22:07:22+00:00,298.1566666666667,272.4433333333333,247.66666666666666,277.6366666666667,258.03,221.515,226.03,246.75,295.27,301.5225,292.77333333333337,227.74,
2014-07-03 22:07:25+00:00,297.315,268.745,234.14500000000004,282.81,286.77,228.08499999999998,235.43,272.73,297.81,305.1225,300.5566666666667,229.885,
2014-08-27 22:13:53+00:00,,,249.69,282.31333333333333,286.77,226.07000000000002,235.43,265.99333333333334,283.39,309.0133333333333,301.65333333333336,229.885,
2014-09-28 22:13:56+00:00,,,249.69,282.31333333333333,295.4166666666667,226.07000000000002,235.43,265.99333333333334,283.39,309.0133333333333,301.65333333333336,229.885,
2014-10-23 22:07:51+00:00,295.36,279.73,265.03499999999997,281.5075,281.8875,227.33499999999998,233.12,265.99333333333334,290.5,307.785,301.65333333333336,229.42,265.75
2014-11-15 22:14:01+00:00,300.58500000000004,286.82500000000005,273.55333333333334,282.975,278.4475,227.7725,235.78666666666666,264.73333333333335,295.71666666666664,307.4475,300.0366666666667,237.39666666666668,273.46500000000003
2014-12-26 22:07:42+00:00,302.81666666666666,290.34666666666664,277.6775,283.742,272.784,227.7725,236.885,272.96500000000003,299.1625,308.29200000000003,299.90999999999997,241.0625,275.6933333333333
2015-01-18 22:13:48+00:00,303.8925,290.765,280.12399999999997,282.47799999999995,263.42199999999997,226.2475,236.70499999999998,277.82000000000005,302.102,309.63800000000003,299.02,246.2225,276.9175
2015-02-03 22:13:44+00:00,305.188,291.66999999999996,281.11,282.57166666666666,260.74666666666667,226.448,234.69400000000002,281.708,302.102,309.63800000000003,300.87,247.13400000000001,277.318
2015-03-07 22:13:29+00:00,305.51166666666666,292.3433333333333,286.57666666666665,283.31166666666667,258.0042857142857,229.586,234.06166666666664,288.62600000000003,306.78,311.58250000000004,303.57,247.00333333333333,277.6483333333333
2015-03-23 22:13:20+00:00,305.51166666666666,292.3771428571428,286.6871428571429,282.8542857142857,253.71,230.43500000000003,234.06166666666664,288.62600000000003,306.842,311.572,303.502,246.33285714285714,277.7371428571428
2015-04-01 22:07:01+00:00,305.51166666666666,292.30375,286.4175,282.89,247.44750000000002,231.25428571428571,237.72142857142856,288.62600000000003,307.04999999999995,312.3016666666667,304.285,246.50375,278.47125
2015-04-24 22:13:08+00:00,301.67333333333335,292.19124999999997,282.325,283.43285714285713,250.7425,231.17428571428567,246.44571428571427,288.62600000000003,307.31166666666667,313.94199999999995,303.30285714285714,245.91125,265.5625
2015-05-19 22:06:40+00:00,300.84599999999995,291.9442857142857,276.22499999999997,283.04833333333335,249.12428571428572,231.31666666666663,247.33333333333334,289.57,307.544,314.508,304.0242857142857,242.20999999999998,250.43374999999997
2015-06-27 22:13:10+00:00,299.23749999999995,291.03666666666663,274.24999999999994,282.29599999999994,256.0785714285715,231.31666666666663,248.76399999999998,287.54749999999996,307.05499999999995,315.21750000000003,304.77333333333337,243.01749999999998,237.88125
2015-07-22 22:07:13+00:00,296.60999999999996,290.84,271.63999999999993,281.44999999999993,256.94166666666666,233.27999999999997,252.27749999999997,285.3999999999999,304.78666666666663,311.53499999999997,303.7616666666667,238.42624999999998,221.895
2015-07-29 22:13:25+00:00,296.60999999999996,290.84,271.63999999999993,281.21799999999996,259.41857142857145,231.65666666666667,259.114,282.6425,304.78666666666663,310.448,303.7616666666667,236.5633333333333,214.83222222222224
2015-08-23 22:07:24+00:00,289.7299999999999,289.72749999999996,265.0733333333333,277.128,257.5657142857143,229.94500000000002,267.22999999999996,277.77,304.78666666666663,310.448,302.86,234.78624999999997,206.82125000000002
2015-09-08 22:07:30+00:00,272.33,287.815,265.32666666666665,276.86,260.80285714285714,229.05499999999998,261.1925,273.34,304.7975,309.9733333333333,301.9216666666667,234.28,206.66249999999997
2015-10-10 22:07:38+00:00,272.33,288.1266666666666,262.846,277.1225,267.3566666666666,229.45999999999998,257.325,276.4625,305.12,308.09000000000003,301.04200000000003,233.98857142857145,196.56142857142854
2015-11-18 22:13:56+00:00,293.22,288.95,273.765,276.048,260.1716666666667,226.72999999999996,245.80666666666664,278.0066666666666,302.2033333333334,303.56,300.52,238.42200000000003,210.65999999999994
2015-11-27 22:07:47+00:00,300.57500000000005,290.4,277.628,277.66,258.9371428571429,226.72999999999996,245.885,280.4425,303.9875,303.56,300.57,241.00333333333333,222.05333333333328
2016-01-05 22:13:53+00:00,300.57500000000005,290.908,279.6483333333333,278.9785714285714,252.56285714285715,226.88166666666666,245.782,276.104,304.51599999999996,305.988,301.27,240.2166666666667,230.51799999999997
2016-01-21 22:13:53+00:00,302.6333333333334,290.9683333333333,281.4342857142857,279.7575,252.48874999999998,226.48714285714283,245.505,277.7916666666667,304.24333333333334,306.92999999999995,301.276,246.19000000000003,255.96999999999997
2016-03-18 22:07:25+00:00,300.02250000000004,289.51500000000004,287.878,281.4683333333333,249.404,228.12499999999997,244.95499999999998,279.64,304.12600000000003,305.435,302.2875,253.29500000000002,278.96999999999997
2016-04-19 22:07:10+00:00,300.02250000000004,287.9533333333333,287.964,282.34499999999997,250.852,226.93249999999998,245.20333333333335,282.4475,303.38,305.435,301.34666666666675,246.9825,281.055
2016-04-26 22:13:21+00:00,300.02250000000004,283.78285714285715,281.55833333333334,282.34499999999997,250.852,226.93249999999998,245.20333333333335,282.4475,303.38,305.026,299.82500000000005,241.488,256.348
2016-05-12 22:13:20+00:00,300.02250000000004,279.0075,277.7985714285714,282.46,254.92999999999998,227.17199999999997,245.20333333333335,282.4475,303.38,304.92833333333334,301.16,238.44833333333335,240.00333333333333
2016-06-06 22:07:18+00:00,299.47,276.0016666666666,276.25,283.94999999999993,263.375,229.73499999999999,244.745,280.68,305.71000000000004,306.25166666666667,301.968,232.06000000000003,218.71833333333333
2016-06-13 22:13:30+00:00,299.47,276.0016666666666,276.25,283.94999999999993,263.375,229.73499999999999,244.745,280.68,305.71000000000004,305.4342857142857,302.3,230.2514285714286,209.75571428571428
2016-07-08 22:07:32+00:00,299.47,259.415,272.875,283.215,271.0425,227.9,244.12,278.24,305.25000000000006,303.72333333333336,301.946,225.89285714285714,203.70625
2016-07-15 22:13:46+00:00,299.47,250.78285714285715,272.875,283.215,272.684,228.336,244.12,278.6725,305.25000000000006,303.72333333333336,301.946,226.89,199.38888888888889
2016-07-24 22:07:37+00:00,292.19,234.52285714285716,259.93,278.3625,275.508,225.53000000000003,,276.15333333333336,307.62,302.89166666666665,302.124,222.55625,185.1822222222222
