dates,satname,nzd0261-0000,nzd0261-0001,nzd0261-0002,nzd0261-0003,nzd0261-0004,nzd0261-0005,nzd0261-0006,nzd0261-0007,nzd0261-0008,nzd0261-0009,nzd0261-0010,nzd0261-0011,nzd0261-0012,nzd0261-0013,nzd0261-0014,nzd0261-0015,nzd0261-0016,nzd0261-0017,nzd0261-0018,nzd0261-0019,nzd0261-0020,nzd0261-0021,nzd0261-0022,nzd0261-0023,nzd0261-0024,nzd0261-0025,nzd0261-0026,nzd0261-0027,nzd0261-0028,nzd0261-0029,nzd0261-0030,nzd0261-0031,nzd0261-0032,nzd0261-0033,nzd0261-0034,nzd0261-0035
2000-01-10 21:59:16.407000,L7,,,,,,,,,,,,,,,,,,,,,,,294.96,289.96,301.73,300.17,287.58,259.80,,,,,,,,
2000-11-09 21:56:45.337000,L7,332.28,321.20,294.55,309.53,308.74,287.69,277.34,201.77,292.97,265.19,281.86,283.15,308.19,313.03,316.78,331.78,336.42,319.76,330.14,329.33,400.13,396.02,330.56,320.96,317.60,312.99,303.84,283.08,354.84,318.38,308.13,288.91,287.23,301.24,330.68,308.17
2001-03-17 21:56:40.512000,L7,321.03,320.82,382.36,368.02,366.23,369.56,365.94,350.56,270.60,268.83,289.62,268.13,306.44,287.18,317.58,330.37,336.56,321.87,337.29,332.09,297.37,,325.88,309.63,321.83,312.58,303.82,270.05,279.06,299.95,387.07,,,,,
2001-10-11 21:54:33.822000,L7,358.96,371.26,300.01,317.15,311.12,290.82,278.61,200.81,287.76,310.45,297.51,313.10,323.15,326.09,332.76,330.02,329.90,316.32,319.75,317.73,304.82,318.77,340.26,321.11,323.21,338.69,324.96,283.35,317.19,298.88,388.38,342.02,385.09,389.57,271.18,351.19
2002-02-16 21:55:18.119000,L7,337.04,312.32,303.55,323.72,309.62,292.76,280.54,228.11,285.37,276.23,291.92,270.51,308.87,299.76,322.75,338.21,351.50,336.44,345.51,331.71,327.22,291.91,349.72,335.07,337.22,315.28,370.41,287.11,295.94,341.02,341.46,291.66,285.19,346.36,281.27,343.28
2002-10-14 21:54:07.948000,L7,306.24,304.59,292.55,291.98,289.64,274.63,242.29,,253.10,266.04,287.93,265.82,310.40,296.97,,,,,,,,,,,,,,,,,,,,,,
2002-12-01 21:54:40.891000,L7,317.27,305.81,278.83,292.19,292.20,276.62,258.20,,,,,,292.43,288.69,288.37,305.09,325.03,299.53,306.46,303.19,292.36,283.77,302.22,298.26,302.57,301.07,291.48,264.29,,,,,,,,
2003-02-19 21:55:06.528000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.53,326.48
2003-03-07 21:55:10.647000,L7,352.25,348.64,342.10,338.23,352.27,357.35,350.45,348.09,269.19,379.99,404.14,398.23,379.56,400.49,407.38,389.57,404.01,394.83,338.95,279.18,304.53,284.97,338.03,342.40,396.12,357.69,389.82,395.08,412.53,402.37,383.98,392.82,375.24,382.15,344.08,380.50
2004-04-18 21:46:13.246000,L5,315.22,305.71,288.94,295.23,294.94,280.75,266.86,216.27,258.83,262.84,289.59,284.04,297.88,279.12,322.54,316.75,326.42,,,,,,,,,,,,,,,,,,,
