dates,nzd0261-0000,nzd0261-0001,nzd0261-0002,nzd0261-0003,nzd0261-0004,nzd0261-0005,nzd0261-0006,nzd0261-0007,nzd0261-0008,nzd0261-0009,nzd0261-0010,nzd0261-0011,nzd0261-0012,nzd0261-0013,nzd0261-0014,nzd0261-0015,nzd0261-0016,nzd0261-0017,nzd0261-0018,nzd0261-0019,nzd0261-0020,nzd0261-0021,nzd0261-0022,nzd0261-0023,nzd0261-0024,nzd0261-0025,nzd0261-0026,nzd0261-0027,nzd0261-0028,nzd0261-0029,nzd0261-0030,nzd0261-0031,nzd0261-0032,nzd0261-0033,nzd0261-0034,nzd0261-0035,satname
2000-01-10 21:59:16+00:00,,,,,,,,,,,,,,,,,,,,,,,294.96,289.96,301.73,300.17,287.58,259.8,,,,,,,,,L7
2000-11-09 21:56:45+00:00,332.28,321.2,294.55,309.53,308.74,287.69,277.34,201.77,292.97,265.19,281.86,283.15,308.19,313.03,316.78,331.78,336.42,319.76,330.14,329.33,,,330.56,320.96,317.6,312.99,303.84,283.08,,318.38,308.13,,287.23,,,308.17,L7
2001-03-17 21:56:40+00:00,326.655,321.01,294.55,309.53,308.74,287.69,277.34,201.77,281.785,267.01,285.74,275.64,307.315,313.03,317.17999999999995,331.075,336.49,320.815,333.71500000000003,330.71,297.37,,328.22,320.96,319.71500000000003,312.78499999999997,303.83,276.565,279.06,309.16499999999996,308.13,,287.23,,,308.17,L7
2001-10-11 21:54:33+00:00,358.96,,300.01,317.15,311.12,290.82,278.61,200.81,287.76,310.45,297.51,,323.15,326.09,332.76,330.02,329.9,316.32,319.75,317.73,304.82,318.77,340.26,321.11,323.21,338.69,324.96,283.35,317.19,298.88,,,,,271.18,,L7
2002-02-16 21:55:18+00:00,358.96,312.32,301.78,320.435,310.37,291.78999999999996,279.57500000000005,214.46,286.565,293.34000000000003,294.71500000000003,270.51,316.01,312.92499999999995,327.755,334.115,340.7,326.38,332.63,324.72,316.02,305.34000000000003,344.99,328.09000000000003,330.21500000000003,326.985,324.96,285.23,306.565,319.95,341.46,291.66,285.19,346.36,276.225,,L7
2002-10-14 21:54:07+00:00,306.24,304.59,292.55,291.98,289.64,274.63,242.29,,253.1,266.04,287.93,265.82,310.4,296.97,,,,,,,,,,,,,,,,,,,,,,,L7
2002-12-01 21:54:40+00:00,311.755,305.2,285.69,292.08500000000004,290.91999999999996,275.625,250.245,,253.1,266.04,287.93,265.82,301.41499999999996,292.83000000000004,288.37,305.09,325.03,299.53,306.46,303.19,292.36,283.77,302.22,298.26,302.57,301.07,291.48,264.29,,,,,,,,,L7
2003-03-07 21:55:10+00:00,311.755,305.2,285.69,292.08500000000004,290.91999999999996,275.625,250.245,,261.145,266.04,287.93,265.82,301.41499999999996,292.83000000000004,288.37,305.09,325.03,299.53,322.705,291.185,298.445,284.37,320.125,298.26,302.57,329.38,291.48,264.29,,,,,,,,,L7
2004-04-18 21:46:13+00:00,315.22,305.71,288.94,295.23,294.94,280.75,266.86,216.27,258.83,262.84,289.59,284.04,297.88,279.12,322.54,316.75,326.42,,,,,,,,,,,,,,,,,,,,L5
2005-10-30 21:54:27+00:00,,,,,,,,,,,,,,,276.86,280.2,295.51,276.41,286.06,298.3,287.88,285.11,302.44,294.19,297.91,,,,,,,,,,,,L5
2006-02-03 21:56:42+00:00,,,,,,,,,,,,,,,280.96500000000003,286.41499999999996,302.96000000000004,284.025,293.08000000000004,289.11,284.135,285.11,302.44,294.19,297.91,,,,,,,,,,,,L5
2010-01-13 21:57:13+00:00,,,,,,,,,,,,,,,274.8,288.77,301.04,277.67,290.68,282.79,277.67,,,,,,,,,,,,,,,,L5
2010-01-29 21:57:17+00:00,,,,,,,,,,,,,,,275.78,288.97,301.425,277.33000000000004,290.67,281.71500000000003,276.615,,,,,,,,,,,,,,,,L5
2011-01-16 21:56:21+00:00,,,,,,,,,,269.96,271.27,267.26,295.5,280.43,290.88,291.93,305.06,292.62,301.06,289.27,289.88,,,,,,,,,,,,,,,,L5
2013-11-21 22:08:01+00:00,349.5,338.54,333.6,328.36,321.01,287.0,288.9,228.78,311.81,309.87,310.51,304.42,323.06,334.1,360.04,338.92,334.83,325.69,326.99,330.27,330.49,,339.89,331.61,328.55,340.51,342.07,,,329.12,328.02,309.76,299.62,320.69,308.53,,L8
2015-01-27 22:06:23+00:00,335.72,,,323.23,313.16,287.57,289.32,258.74,308.1,312.54,300.91,309.22,322.47,319.69,325.33,337.29,,,,375.31,,,,359.81,341.92,,335.23,,,,,348.61,,321.4,,,L8
2015-09-24 22:06:25+00:00,332.78,322.04,297.48,304.76,304.28,279.26,284.68,,305.42,285.67,291.63,288.75,314.6,309.99,323.49,328.97,,,,357.61,314.25,300.15,330.18,320.15,323.15,322.56,295.96,271.1,315.36,313.53,309.48,285.36,280.23,302.84,276.39,,L8
2015-12-29 22:06:33+00:00,337.13,322.04,297.48,304.76,304.28,283.58500000000004,289.28999999999996,,310.24,299.27,296.55,299.03,318.99,327.995,324.855,332.785,,,357.19,346.385,322.775,309.52,333.16499999999996,323.04999999999995,329.73,328.29499999999996,295.96,271.1,315.36,313.53,309.48,285.36,302.135,311.39,276.39,,L8
2016-01-30 22:06:29+00:00,337.7266666666667,322.37,299.96500000000003,306.105,306.99,284.48,290.67333333333335,229.97,308.74666666666667,303.0933333333333,296.19666666666666,298.9166666666667,319.31333333333333,327.0833333333333,325.17333333333335,334.9566666666667,334.94,328.17,351.425,343.0933333333333,328.8966666666667,308.80333333333334,335.04333333333335,323.73333333333335,327.6666666666667,332.78999999999996,295.96,271.1,325.47,316.55999999999995,316.58000000000004,286.71000000000004,298.38000000000005,311.39,293.15,334.46,L8
