dates,satname,nzd0358-0000,nzd0358-0001,nzd0358-0002,nzd0358-0003,nzd0358-0004,nzd0358-0005,nzd0358-0006,nzd0358-0007,nzd0358-0008,nzd0358-0009,nzd0358-0010,nzd0358-0011,nzd0358-0012,nzd0358-0013,nzd0358-0014,nzd0358-0015,nzd0358-0016,nzd0358-0017,nzd0358-0018,nzd0358-0019,nzd0358-0020,nzd0358-0021,nzd0358-0022,nzd0358-0023,nzd0358-0024,nzd0358-0025,nzd0358-0026,nzd0358-0027,nzd0358-0028,nzd0358-0029,nzd0358-0030,nzd0358-0031,nzd0358-0033,nzd0358-0034,nzd0358-0035,nzd0358-0036,nzd0358-0037,nzd0358-0038,nzd0358-0039,nzd0358-0040,nzd0358-0041,nzd0358-0042,nzd0358-0043,nzd0358-0044,nzd0358-0045,nzd0358-0046,nzd0358-0047,nzd0358-0048,nzd0358-0049,nzd0358-0050,nzd0358-0051,nzd0358-0052,nzd0358-0053,nzd0358-0054,nzd0358-0055,nzd0358-0056,nzd0358-0057,nzd0358-0058,nzd0358-0059,nzd0358-0060,nzd0358-0061,nzd0358-0062,nzd0358-0063,nzd0358-0064,nzd0358-0065,nzd0358-0066,nzd0358-0067,nzd0358-0068,nzd0358-0069,nzd0358-0070,nzd0358-0071,nzd0358-0072,nzd0358-0032
2001-04-27 21:51:07.792000,L7,,,226.61,279.30,245.53,243.32,246.89,198.60,284.15,278.34,261.76,280.66,285.11,285.08,345.83,340.69,336.09,492.01,496.91,482.77,472.88,278.58,275.56,241.39,148.83,,,,278.75,295.22,296.28,336.43,388.55,371.06,265.68,234.22,289.43,323.62,332.03,302.60,281.66,274.23,319.03,315.36,312.97,314.15,313.49,320.67,331.22,324.92,324.12,314.86,304.98,360.14,347.82,332.43,357.46,277.07,449.38,463.90,459.07,300.72,,,458.55,457.57,450.81,447.35,367.67,362.75,347.55,351.13,394.07
2001-05-13 21:50:57.045000,L7,,,226.22,273.49,482.64,480.41,464.79,485.71,473.61,328.31,325.93,327.87,335.10,331.87,337.96,332.17,322.51,324.58,329.61,325.04,293.17,274.99,270.29,263.94,178.74,444.32,179.26,244.72,271.09,291.56,299.90,342.96,399.66,376.81,336.25,310.98,310.77,328.70,332.83,307.82,282.56,293.01,311.48,317.02,298.26,302.81,324.31,339.05,331.44,328.84,335.85,322.76,350.56,356.18,349.97,342.84,359.82,361.96,463.80,360.91,358.18,329.05,455.16,454.43,314.65,352.18,361.22,367.74,388.38,373.12,369.19,395.04,397.19
2001-09-18 21:49:29.215000,L7,353.84,355.42,288.32,314.98,347.75,336.53,303.68,365.43,342.48,358.86,485.18,492.39,493.36,346.21,346.37,508.82,518.32,480.94,496.48,481.41,470.15,469.63,466.15,471.52,470.07,473.64,236.96,284.74,292.51,310.10,323.54,355.83,422.85,400.69,374.41,342.41,327.93,341.15,484.24,483.90,431.15,473.44,480.95,489.87,486.33,474.07,501.58,499.82,449.99,465.90,468.20,352.69,362.47,468.14,482.08,500.25,492.68,521.72,484.61,480.83,473.43,365.99,345.22,341.63,355.98,365.86,376.58,380.00,396.45,380.54,372.24,375.93,413.92
2001-10-04 21:49:17.977000,L7,359.51,261.94,312.64,288.18,322.67,320.83,309.11,352.98,356.96,356.85,341.37,346.14,499.00,504.55,487.86,531.23,491.97,476.91,468.45,490.85,475.01,478.31,467.57,458.98,460.99,466.45,,386.09,381.21,395.40,451.29,469.99,420.66,395.77,367.84,333.81,522.75,476.25,508.36,495.72,491.66,488.72,474.61,462.95,459.54,336.05,338.79,334.77,338.52,476.80,498.08,449.30,368.55,336.60,,470.09,375.51,325.30,491.57,402.37,515.34,506.37,509.56,495.49,492.17,466.38,375.78,379.10,381.98,378.13,367.91,378.33,406.31
2002-07-19 21:49:21.346000,L7,,,,246.23,200.03,178.60,252.16,284.91,303.04,249.65,296.25,299.64,301.71,305.02,301.02,281.51,,260.36,248.49,227.22,,,,,,,,169.18,246.23,267.45,276.75,311.88,343.86,290.35,249.46,216.18,197.66,283.28,288.27,277.06,260.97,238.76,274.73,249.52,222.66,252.17,275.62,276.74,282.62,289.16,242.84,242.44,230.92,237.80,295.67,312.48,328.26,216.37,,338.25,338.66,244.73,,,214.22,311.89,173.25,,268.20,335.28,324.24,330.08,355.05
2002-08-20 21:49:10.402000,L7,,,,253.97,289.53,268.22,269.60,299.64,317.74,315.96,307.58,307.87,311.79,315.10,318.41,318.07,310.32,309.58,277.96,247.07,193.54,186.37,233.30,220.06,151.94,,,212.30,250.78,270.56,283.80,327.73,365.31,350.99,281.09,238.42,281.60,290.73,309.06,293.41,272.15,257.21,283.31,282.87,243.88,263.20,294.89,296.34,306.85,304.83,285.36,255.54,247.75,258.65,310.96,322.12,338.29,273.53,154.81,342.62,340.35,310.27,,,225.33,317.88,305.72,219.65,336.14,341.61,339.64,339.86,375.46
2002-10-23 21:48:51.087000,L7,372.39,378.88,388.92,391.80,326.25,306.17,315.71,332.08,343.78,349.35,344.67,346.64,359.07,385.86,393.30,399.88,389.33,378.65,376.60,343.23,318.59,292.58,286.27,284.93,234.34,,234.53,269.56,287.00,306.15,321.93,359.94,427.61,393.42,376.35,340.65,322.87,331.66,346.20,337.98,309.81,306.13,325.07,336.33,306.38,308.63,339.96,335.39,341.28,346.67,328.74,356.36,351.42,359.16,356.28,351.71,373.37,387.20,290.37,387.97,368.07,356.57,332.64,330.70,339.14,366.30,363.25,370.74,374.35,367.68,364.94,367.49,410.79
2002-12-10 21:49:17.131000,L7,,,229.51,294.47,328.61,306.60,314.39,333.26,346.45,346.01,473.22,489.80,494.61,494.42,502.18,486.15,419.99,502.65,494.07,469.50,443.53,297.54,281.55,274.35,213.35,,213.92,266.21,287.76,302.85,311.46,352.49,442.50,420.06,490.24,494.72,487.75,469.79,420.78,376.08,338.39,449.12,451.05,463.25,,515.09,480.48,373.93,371.04,388.13,383.98,403.36,433.22,490.73,475.30,354.36,367.63,372.52,362.60,375.03,361.72,347.31,311.67,311.22,322.91,345.29,362.25,363.63,368.98,367.42,359.26,361.90,416.96
2002-12-26 21:49:23.939000,L7,529.59,523.05,506.64,499.91,504.40,483.21,437.32,491.31,489.53,488.00,490.13,498.10,497.42,519.93,525.97,483.41,522.77,511.53,500.06,488.84,491.69,491.34,445.17,472.31,465.98,471.12,465.74,456.63,462.64,457.93,451.17,362.44,437.28,485.23,507.27,502.36,512.10,496.53,467.25,467.66,453.55,458.65,473.74,471.54,484.29,482.51,471.41,468.74,478.50,487.30,499.87,485.24,474.75,476.48,477.82,479.31,489.86,493.26,481.32,467.07,465.35,457.66,463.44,465.46,456.56,461.21,454.93,377.33,378.43,372.50,369.11,369.96,424.08
2003-01-27 21:49:33.029000,L7,483.27,474.35,473.63,461.95,450.37,447.79,435.70,432.06,459.59,485.62,502.27,491.91,500.55,495.36,496.35,499.64,489.83,478.59,478.18,467.32,459.90,450.74,450.82,441.17,428.05,416.45,431.20,277.19,406.46,416.49,427.42,421.26,441.11,407.61,511.93,514.15,509.21,495.76,492.31,503.55,451.35,481.45,446.33,448.01,520.20,298.70,346.27,349.80,345.82,352.64,368.58,373.99,370.49,384.42,363.53,358.28,372.69,384.26,367.45,383.80,371.89,360.36,343.65,331.24,340.24,357.20,389.28,394.62,389.29,371.03,372.55,364.79,429.00
