dates,nzd0358-0000,nzd0358-0001,nzd0358-0002,nzd0358-0003,nzd0358-0004,nzd0358-0005,nzd0358-0006,nzd0358-0007,nzd0358-0008,nzd0358-0009,nzd0358-0010,nzd0358-0011,nzd0358-0012,nzd0358-0013,nzd0358-0014,nzd0358-0015,nzd0358-0016,nzd0358-0017,nzd0358-0018,nzd0358-0019,nzd0358-0020,nzd0358-0021,nzd0358-0022,nzd0358-0023,nzd0358-0024,nzd0358-0025,nzd0358-0026,nzd0358-0027,nzd0358-0028,nzd0358-0029,nzd0358-0030,nzd0358-0031,nzd0358-0032,nzd0358-0033,nzd0358-0034,nzd0358-0035,nzd0358-0036,nzd0358-0037,nzd0358-0038,nzd0358-0039,nzd0358-0040,nzd0358-0041,nzd0358-0042,nzd0358-0043,nzd0358-0044,nzd0358-0045,nzd0358-0046,nzd0358-0047,nzd0358-0048,nzd0358-0049,nzd0358-0050,nzd0358-0051,nzd0358-0052,nzd0358-0053,nzd0358-0054,nzd0358-0055,nzd0358-0056,nzd0358-0057,nzd0358-0058,nzd0358-0059,nzd0358-0060,nzd0358-0061,nzd0358-0062,nzd0358-0063,nzd0358-0064,nzd0358-0065,nzd0358-0066,nzd0358-0067,nzd0358-0068,nzd0358-0069,nzd0358-0070,nzd0358-0071,nzd0358-0072
1999-09-29 21:54:04+00:00,,166.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-19 21:53:49+00:00,,166.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-26 21:53:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-14 21:52:08+00:00,,,,,,,279.08,,,,,,,,,,,,,249.73,,,,,,,,,257.37,278.03,290.51,334.46,,,,304.74,,330.65,,,,,274.88,,,263.2,276.11,,,,,,,,309.85,,,,,158.35,,,,,,243.53,,,220.48,,,,
2000-12-04 21:51:22+00:00,,,,,,,279.08,,,,,,,,,,,,,249.73,,,,,,,,,257.37,278.03,290.51,334.46,,,,304.74,343.27,330.14,,,,,274.88,,,263.2,276.11,,,,,,,,309.85,,,,,158.35,,,,,,243.53,,,220.48,,,,
2000-12-20 21:51:28+00:00,,,,,,,279.08,,,,,,,,,,,,,249.73,312.66,305.05,297.65,,,,250.46,279.73,257.37,278.03,290.51,348.90999999999997,,,,304.74,343.27,330.14,,,,,274.88,,,263.2,276.11,,,,,,,,309.85,,,,,158.35,,,,,,243.53,,,220.48,,,,
2001-01-05 21:51:28+00:00,,,,,,,279.08,,,,,,,,,,,,,249.73,312.735,299.345,297.65,,,,250.46,279.095,276.85,278.03,290.51,354.29333333333335,,,,304.74,343.27,331.955,,,,,274.88,,,263.2,276.11,,,,,,,,309.85,,,,,158.35,,,,,,243.53,,,220.48,,,,
2001-04-11 21:51:09+00:00,,,245.05,,248.6,244.42,298.86,,273.55,263.08,259.06,279.73,269.98,252.48,,,,,,,312.735,299.345,297.65,,,,250.46,275.14000000000004,296.33,257.1,264.84,359.5433333333333,398.23,,381.12,312.98,332.14,326.1766666666667,326.19,,301.38,288.93,,,,,,,,,,,,,297.83,,,,,,,,,,,,,,,264.01,263.42,229.56,306.8
2001-04-27 21:51:07+00:00,,,235.83,279.3,247.065,243.87,298.86,,278.85,270.71,260.40999999999997,280.19500000000005,277.545,268.78,,,,,,256.29,304.59999999999997,292.42333333333335,286.605,,,,250.46,275.14000000000004,287.53999999999996,257.1,264.84,353.765,396.15,,376.09000000000003,312.98,332.14,316.99,324.905,,301.99,285.295,274.23,,,,,,,,,,,,297.83,,,,277.07,167.42,,,,,,,,,,264.01,263.42,229.56,306.8
2001-05-13 21:50:57+00:00,,,242.74,290.03,247.065,243.87,298.86,,278.85,270.71,260.40999999999997,280.19500000000005,277.545,268.78,,,,,,256.29,304.59999999999997,292.0475,286.8933333333334,288.42,222.75,,240.625,275.14000000000004,287.53999999999996,257.1,264.84,355.898,396.15,,376.09000000000003,312.98,337.48333333333335,320.154,324.905,,301.99,285.295,274.23,,,,,,,,,,,,297.83,,,,277.07,167.42,,,,,,,,,,264.01,263.42,229.56,306.8
2001-09-18 21:49:29+00:00,,,253.45,297.6166666666667,247.065,243.87,300.96000000000004,,278.85,270.71,260.40999999999997,280.19500000000005,277.545,268.78,,,,,,256.29,288.33,284.75,281.51500000000004,288.42,222.75,,231.91,275.005,278.75,257.1,264.84,351.46250000000003,401.14000000000004,,376.09000000000003,312.98,336.8966666666667,315.985,324.905,,301.99,285.295,274.23,,,,,,,,,,,,297.83,,,,277.07,167.42,,,,,,,,,,264.01,263.42,229.56,306.8
2002-08-20 21:49:10+00:00,,,,,,,,,,,303.89,301.35,,309.21,,,,,,241.95,,,,,,,,,243.55,265.36,278.86,322.83,,,,264.19,,,,,,270.01,252.16,,278.83,,,288.15,290.69,301.81,299.55,,,,251.29,,,,,,,,267.83,,,216.23,,239.05,214.02,,,,
2002-10-23 21:48:51+00:00,,,,,,,,,,,303.89,301.35,,309.21,,,,,,241.95,,292.58,286.27,284.93,234.34,,234.53,269.56,265.275,285.755,278.86,341.385,410.79,,,264.19,340.65,322.87,,,,270.01,252.16,,278.83,,,288.15,290.69,301.81,299.55,328.74,,,251.29,,,,,,,,267.83,,,216.23,,239.05,214.02,,,,
2002-12-26 21:49:23+00:00,,,,,,,,,,,303.89,301.35,,309.21,,,,,,241.95,,292.58,286.27,284.93,234.34,,234.53,269.56,265.275,285.755,278.86,348.40333333333336,410.79,,,264.19,340.65,322.87,,,,270.01,252.16,,278.83,,,288.15,290.69,301.81,299.55,328.74,,,251.29,,,,,,,,267.83,,,216.23,,239.05,214.02,,,,
2003-02-12 21:49:43+00:00,,,,,,,,,,,303.89,301.35,,309.21,,,,,,241.95,,292.58,291.24,284.93,230.485,,238.91,269.56,265.275,285.755,278.86,352.65,410.79,,,264.19,340.65,327.725,,,,270.01,252.16,,278.83,,,288.15,290.69,301.81,299.55,328.74,,,251.29,,,,,,,,267.83,,,216.23,,239.05,214.02,,,,
2003-03-16 21:49:46+00:00,,,,,,,,,,,,,,,,,,,,,,292.58,291.24,284.93,230.485,,238.91,269.56,287.0,306.15,,362.59,410.79,,,,340.65,330.2366666666667,,,,,,,,,,,,,,328.74,,,,,,,,,,,,,,,,,,,,,
2003-05-03 21:49:49+00:00,,,,,,,,,,,,,,,,,,,,,,308.76,297.62,291.64,234.5,,247.70999999999998,,,,,363.91499999999996,,,,,,333.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-18 21:39:00+00:00,,193.53,268.14,317.61,322.91,303.71,312.42,,,,,,,,,,,,,,,301.385,295.445,289.685,226.56,,251.325,286.67,300.36,,,392.85,,,,,343.24,,,,,,,,,291.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-01-22 21:39:52+00:00,,200.965,264.985,315.995,322.52,303.34000000000003,310.525,,,,331.13,,335.66,,,,,,,,,297.37,294.15999999999997,287.73,217.87,,246.445,286.67,300.36,,,392.85,,,,,347.045,340.82,,,,,,,,291.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
