dates,satname,nzd0343-0000,nzd0343-0001,nzd0343-0002,nzd0343-0003,nzd0343-0004,nzd0343-0005,nzd0343-0006,nzd0343-0007,nzd0343-0008,nzd0343-0009,nzd0343-0010,nzd0343-0011,nzd0343-0012,nzd0343-0014,nzd0343-0015,nzd0343-0016,nzd0343-0017,nzd0343-0018,nzd0343-0019,nzd0343-0020,nzd0343-0021,nzd0343-0022,nzd0343-0023,nzd0343-0024,nzd0343-0025,nzd0343-0026,nzd0343-0027,nzd0343-0028,nzd0343-0029,nzd0343-0030,nzd0343-0031,nzd0343-0032,nzd0343-0033,nzd0343-0034,nzd0343-0035,nzd0343-0036,nzd0343-0037,nzd0343-0038,nzd0343-0039,nzd0343-0040,nzd0343-0041,nzd0343-0042,nzd0343-0043,nzd0343-0013
2000-10-26 21:45:10.779000,L7,342.15,327.52,323.97,318.01,319.26,323.08,335.43,350.66,362.40,358.86,360.29,349.51,292.23,,380.45,355.62,348.73,342.93,343.32,335.57,336.42,328.38,336.62,336.35,326.49,315.23,331.94,338.21,338.31,339.61,330.59,320.22,325.76,337.06,336.50,325.09,323.81,325.74,327.51,316.28,312.44,315.86,322.21,
2000-11-18 21:51:22.819000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.29,245.13,249.99,267.02,268.86,271.75,251.13,264.35,268.67,,,,,
2000-12-04 21:50:58.069000,L7,,,,,,,,,,,,,,,,,278.50,294.73,298.29,299.92,292.38,299.95,303.91,285.22,275.79,284.12,305.23,300.96,287.74,296.31,296.09,295.44,305.87,317.85,324.52,312.68,298.48,297.58,308.37,307.76,310.96,313.63,315.02,
2000-12-04 21:51:22.024000,L7,,274.12,265.18,261.84,255.36,281.38,269.84,290.26,297.51,300.66,317.70,315.29,281.91,311.15,315.71,311.49,306.71,307.74,306.57,313.91,301.55,312.60,314.14,307.36,293.30,297.06,317.55,309.74,300.28,312.77,303.97,304.05,315.29,319.42,332.45,319.14,308.93,305.57,320.29,316.29,322.60,,,312.57
2001-01-05 21:51:04.492000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.23,332.58,336.90,354.47,
2001-01-05 21:51:28.457000,L7,383.54,355.42,351.52,352.90,362.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-06 21:51:02.555000,L7,369.98,363.61,352.37,342.64,342.57,,,,,,393.53,376.24,354.81,315.50,365.99,372.14,371.64,360.84,355.03,348.14,346.80,343.50,342.07,343.08,331.69,323.66,343.33,347.94,354.59,357.56,345.44,336.69,336.28,345.68,345.06,333.22,330.98,331.28,331.19,327.54,325.96,325.03,331.72,330.01
2001-02-06 21:51:26.449000,L7,,,,,,,,,,,397.56,381.97,357.74,319.73,367.69,377.61,374.46,363.24,357.33,350.11,348.24,344.94,344.26,343.26,333.97,325.79,345.06,350.10,356.10,361.71,348.48,342.30,339.35,347.82,348.29,337.53,333.90,335.08,334.28,329.15,328.22,326.02,334.15,336.34
2001-04-27 21:50:43.832000,L7,349.32,,,,,315.84,290.27,286.80,299.64,305.23,317.86,343.76,337.23,304.39,317.63,310.42,310.32,297.33,318.28,332.80,318.95,312.68,316.26,270.35,300.50,303.28,319.58,333.27,295.03,334.16,318.17,307.43,312.89,314.37,314.01,309.06,310.10,306.33,303.35,303.82,311.58,303.05,309.56,
2001-04-27 21:51:07.792000,L7,247.04,270.87,320.90,,,,,,293.93,303.18,315.78,339.40,,298.41,319.48,308.49,296.04,295.73,320.82,330.12,316.34,304.73,315.30,322.78,291.39,297.18,316.98,316.14,284.70,328.08,315.19,306.16,309.86,301.05,312.20,305.27,304.77,304.01,300.22,303.01,306.07,302.10,306.28,
