dates,nzd0343-0000,nzd0343-0001,nzd0343-0002,nzd0343-0003,nzd0343-0004,nzd0343-0005,nzd0343-0006,nzd0343-0007,nzd0343-0008,nzd0343-0009,nzd0343-0010,nzd0343-0011,nzd0343-0012,nzd0343-0013,nzd0343-0014,nzd0343-0015,nzd0343-0016,nzd0343-0017,nzd0343-0018,nzd0343-0019,nzd0343-0020,nzd0343-0021,nzd0343-0022,nzd0343-0023,nzd0343-0024,nzd0343-0025,nzd0343-0026,nzd0343-0027,nzd0343-0028,nzd0343-0029,nzd0343-0030,nzd0343-0031,nzd0343-0032,nzd0343-0033,nzd0343-0034,nzd0343-0035,nzd0343-0036,nzd0343-0037,nzd0343-0038,nzd0343-0039,nzd0343-0040,nzd0343-0041,nzd0343-0042,nzd0343-0043
2001-02-06 21:51:02+00:00,227.56,195.28,246.87,306.23,,265.65,,275.75,278.62,345.67,339.1,337.88,278.775,305.79,,303.25,262.33666666666664,272.94,301.875,307.665,308.32,297.695,303.57,285.0066666666667,258.3875,255.47999999999996,222.685,226.84999999999997,188.63,275.04,287.36,299.6,293.78999999999996,296.65,311.44,224.86,218.79,290.83,240.87500000000003,229.73499999999996,297.41,230.765,266.09,311.99
2001-04-27 21:51:07+00:00,227.56,232.05,245.385,307.11,243.14,264.7,270.06,276.145,287.225,326.815,329.755,343.05,275.1033333333333,297.635,308.79,314.7266666666667,296.09999999999997,299.35999999999996,300.0733333333333,308.31333333333333,307.9166666666667,297.695,308.45666666666665,311.95000000000005,304.26,292.49,,,,290.09000000000003,287.36,299.6,293.78999999999996,296.65,309.71500000000003,,,290.83,,,297.41,,,311.99
2001-05-13 21:50:33+00:00,227.56,232.05,245.385,307.11,243.14,264.7,270.06,276.145,287.225,326.815,329.755,343.05,275.1033333333333,297.635,308.79,314.7266666666667,296.09999999999997,299.35999999999996,300.0733333333333,308.31333333333333,307.9166666666667,297.695,308.45666666666665,311.95000000000005,304.26,292.49,,216.58,219.38,265.34999999999997,287.36,299.6,293.78999999999996,296.65,309.71500000000003,243.2,231.54,265.90333333333336,243.6,245.32,297.41,242.97,229.83,311.99
2001-05-22 21:44:42+00:00,227.56,232.05,245.385,307.11,243.14,264.7,270.06,276.145,287.225,326.815,329.755,343.05,275.1033333333333,297.635,308.79,314.7266666666667,296.09999999999997,299.35999999999996,300.0733333333333,308.31333333333333,307.9166666666667,297.695,308.45666666666665,311.95000000000005,304.26,292.49,217.11,221.555,220.66,254.8775,287.36,299.6,270.79,296.65,309.71500000000003,245.54,236.20999999999998,258.9875,242.53,247.64,297.41,250.33999999999997,242.195,311.99
2001-07-25 21:44:06+00:00,264.8,252.45999999999998,257.835,291.52333333333337,239.435,263.75,270.06,280.505,304.185,318.25666666666666,322.90333333333336,344.95666666666665,275.48,297.635,302.855,323.22333333333336,312.2833333333333,318.00333333333333,311.93666666666667,318.19,317.06,310.855,314.19,322.19666666666666,321.76,291.77666666666664,217.11,221.555,234.76999999999998,251.57000000000002,270.79,313.54,262.4533333333333,273.35,307.99,259.49,249.68999999999997,252.925,253.01999999999998,247.64,309.95,264.53000000000003,242.195,311.99
2001-09-18 21:49:05+00:00,293.70500000000004,252.45999999999998,272.61999999999995,288.69,239.435,263.75,285.765,291.6166666666667,314.3866666666667,309.88999999999993,317.8,336.78333333333336,270.0133333333333,289.48,302.855,321.285,304.335,320.22,309.775,316.325,314.41,312.26,312.73,325.475,321.9733333333333,292.49666666666667,217.11,249.18666666666664,253.32999999999998,262.794,270.79,300.79,260.87333333333333,289.005,307.99,259.49,249.68999999999997,253.4325,253.01999999999998,265.68333333333334,309.95,264.53000000000003,242.195,
2002-03-06 21:43:47+00:00,309.34000000000003,252.11,302.19,297.73,231.22,268.12,301.47,298.6,334.79,320.57,316.055,310.37,269.87,,270.36,312.37,299.47,267.26,286.84,297.5,294.12,287.52,298.84000000000003,291.94,296.66499999999996,291.78499999999997,,305.095,303.005,298.63,298.07,296.14,292.26,301.095,301.93,,297.3,288.65999999999997,292.28,299.745,295.59,,,
2002-05-09 21:43:40+00:00,296.07,252.11,,,231.22,268.12,312.02,296.445,356.16,330.43,322.48,314.91499999999996,267.725,298.98,270.36,321.46000000000004,305.845,284.395,301.025,304.315,300.35,299.32,292.845,303.43,291.09000000000003,283.015,,304.55,296.20500000000004,283.4,298.07,292.645,287.19,297.53,301.93,,297.3,281.15,285.67499999999995,297.72,295.59,,,
2002-09-05 21:48:38+00:00,,,,,,,312.02,309.53,356.16,330.43,336.64,322.45,250.24,298.98,,330.55,312.22,301.53,315.21,276.03499999999997,306.58,311.12,296.99,314.92,297.92,248.565,195.95,279.52,270.495,277.23,,293.8,239.95,,263.69,,268.31,260.95,271.805,271.84,271.95,269.37,280.06,280.16
2002-10-16 21:42:36+00:00,,,,,,,312.02,309.53,356.16,330.43,336.64,322.45,235.5233333333333,298.98,,330.55,312.22,301.53,315.21,265.64,306.58,311.12,296.99,314.92,297.92,247.17666666666665,218.165,270.38,263.00333333333333,255.12,249.45,293.8,244.56,,261.29499999999996,258.22,266.385,255.7,267.69,269.485,266.16999999999996,267.235,275.98,276.98
